word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.079772872767283,nan,-15.374280109863443,nan,-15.387161993819301,nan,1.1626109970273792,nan,1.1623976865290093,nan,1.0016739567745345,nan,1.001641680918558,nan
g i T,3,-12.380631063028556,nan,-13.025921244114118,nan,-13.057443682418226,nan,1.1065402848434551,nan,1.1064667542009452,nan,1.0003863738811256,nan,1.0004689343009212,nan
z i T,3,-12.443694053117206,nan,-17.440600830327057,nan,-17.39882018185628,nan,1.0795876600035061,nan,1.0795812570427614,nan,1.0003863738811256,nan,1.0004689343009212,nan
y c g,3,-11.697573770341094,nan,-16.28899962612649,nan,-16.016722083069055,nan,1.1954157386110855,nan,1.1951204984033807,nan,1.0010300003059918,nan,1.0010551706546285,nan
l R z,3,-11.622280033540228,nan,-12.761441043792617,nan,-12.761281782075967,nan,1.0825122786760581,nan,1.0824984819791192,nan,1.0000640656031776,nan,1.000175405258734,nan
J Y p,3,-13.68741772839179,nan,-16.948112855278858,nan,-16.3152069158949,nan,1.0423421239316677,nan,1.0424284475567034,nan,1.0012879129370855,nan,1.0012900486704226,nan
C ^ z,3,-12.218076664042087,nan,-13.866257756500005,nan,-13.879931539525815,nan,1.1131047321089367,nan,1.1130146064995248,nan,1.0036698917833402,nan,1.0034595888265172,nan
C e J,3,-14.921357074290118,nan,-15.183787359760045,nan,-15.225608904777983,nan,1.079588227422962,nan,1.0795818216143744,nan,1.0003203280158883,nan,1.0004089137234158,nan
z i S,3,-12.557707766557298,nan,-18.533368911823956,nan,-18.482016055885133,nan,1.0804891990594658,nan,1.080480537618301,nan,1.0006439564685428,nan,1.000703538406493,nan
z u v,3,-11.89888734345335,nan,-21.328044965887834,nan,-21.137176233966017,nan,1.1586657371200344,nan,1.1584621926098206,nan,1.0016739567745345,nan,1.001641680918558,nan
