word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-12.958795104948331,nan,-12.544228666933346,nan,-12.564297074470508,nan,1.1202219923286472,nan,1.1200617915518543,nan,1.000843915798032,nan,1.0009033135744938,nan
b O r,3,-13.258464493340446,nan,-inf,nan,-14.58059103665701,nan,1.1295207872807298,nan,1.1293263028016178,nan,1.0006541444724792,nan,1.0007374760952235,nan
b O s,3,-13.255443074530758,nan,-12.655843010080144,nan,-12.677159789063575,nan,1.1002960031456128,nan,1.1002092674452177,nan,1.000843915798032,nan,1.0009033135744938,nan
b U n,3,-10.873123013517858,nan,-inf,nan,-16.04187084584714,nan,1.1474157125417115,nan,1.1471567636188935,nan,1.0007475936828334,nan,1.000819295764672,nan
b u r,3,-10.207899741161059,nan,-11.408312237318645,nan,-11.425543146333155,nan,1.2559575688899254,nan,1.2553039564329027,nan,1.0152550449206603,nan,1.0134981694375447,nan
b U s,3,-11.169770983100285,nan,-inf,nan,-16.154733560440206,nan,1.1274897233586771,nan,1.127304239512257,nan,1.0007475936828334,nan,1.000819295764672,nan
b W r,3,-11.554543189078013,nan,-15.427507356825222,nan,-15.062956449500026,nan,1.1493320198758146,nan,1.1490655951666087,nan,1.0008424793456097,nan,1.0009022145043072,nan
C e D,3,-12.561768269587303,nan,-17.344760162772754,nan,-17.32617145411544,nan,1.099801989641656,nan,1.099718864835946,nan,1.0015081154374665,nan,1.0014837447519398,nan
C i D,3,-12.12894886106083,nan,-16.58704189083906,nan,-16.58508313343514,nan,1.0984937006966977,nan,1.0984153266608994,nan,1.0043503759634904,nan,1.0039680097304347,nan
C O b,3,-15.61555201166299,nan,-19.66840199247315,nan,-18.970438057536988,nan,1.0253187394350265,nan,1.025506443356138,nan,1,1,1.0001647384090837,1.0
C O g,3,-15.71153041735252,nan,-20.43169763821754,nan,-19.273283794798694,nan,1.039931131502585,nan,1.040064961034338,nan,1,1,1.0001647384090837,1.0
C O v,3,-16.58201161319538,nan,-inf,nan,-19.046874045697862,nan,1.0167790297851544,nan,1.016998218739008,nan,1,1,1.0001647384090837,1.0
C u D,3,-12.314563898314452,nan,-16.93205510464761,nan,-16.92218359443445,nan,1.1582077461130138,nan,1.15791253336481,nan,1.0018862216361497,nan,1.0018143206402939,nan
C u S,3,-14.204602067611265,nan,-15.267355877228438,nan,-15.322951293568378,nan,1.1391357278949665,nan,1.1389108317198864,nan,1.0017913359733732,nan,1.0017314019006587,nan
C u T,3,-14.221963614807166,nan,-14.282718043425515,nan,-14.360979237606038,nan,1.137332900302216,nan,1.1371146509673813,nan,1.0023606499500315,nan,1.0022289143384697,nan
D e C,3,-12.561768269587304,nan,-12.899100648269155,nan,-12.881251764063757,nan,1.1411254264880468,nan,1.1408935442581971,nan,1.0150481957718662,nan,1.0133399033306711,nan
D e D,3,-10.583622832780224,nan,-14.962440931139469,nan,-14.909087884376879,nan,1.1601025590433176,nan,1.1598007100740413,nan,1.0157123954113008,nan,1.0139203345081171,nan
D e J,3,-12.824696602886146,nan,-11.894234970240936,nan,-11.95346794629756,nan,1.1386583992558617,nan,1.1384356127021373,nan,1.0149533101090897,nan,1.013256984591036,nan
D e S,3,-12.473661002077037,nan,-12.26531132193349,nan,-12.286825976008702,nan,1.1410305408252703,nan,1.1407990084291177,nan,1.0150481957718662,nan,1.0133399033306711,nan
