word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.022104042284226,nan,-12.78746056501867,nan,-12.806940326658756,nan,1.1076926709196304,nan,1.107615139179492,nan,1.0010907924286172,nan,1.0011110167706632,nan
b O r,3,-13.322997960660881,nan,-inf,nan,-15.274684171636956,nan,1.1231775409112428,nan,1.1230611425261259,nan,1.0010907924286172,nan,1.0011110167706632,nan
b O s,3,-13.355077362119495,nan,-13.618265210857867,nan,-13.57126457144885,nan,1.0928530038443351,nan,1.0928127193056343,nan,1.0011553127202488,nan,1.0011697711772438,nan
b U n,3,-10.865104266258514,nan,-inf,nan,-16.976944102874192,nan,1.1371440664922965,nan,1.1369930193638236,nan,1.0005133140840552,nan,1.000584885588622,nan
b u r,3,-10.216075423307,nan,-11.88052860883747,nan,-11.88938222153362,nan,1.2717819682452178,nan,1.2712946294692902,nan,1.0172219334299213,nan,1.0158005045748475,nan
b U s,3,-11.198077586093781,nan,-inf,nan,-17.202271846931602,nan,1.1223043994170012,nan,1.122190599489966,nan,1.0005133140840552,nan,1.000584885588622,nan
b W r,3,-11.57379810585162,nan,-16.330186801613472,nan,-15.947729440524263,nan,1.1432609544499017,nan,1.143094424656182,nan,1.0006419986361936,nan,1.0007020990154294,nan
C e D,3,-12.600190350234094,nan,-18.225018455630725,nan,-18.19739011928625,nan,1.1030057657393477,nan,1.1029405834926032,nan,1.0016115831662935,nan,1.001584892045905,nan
C i D,3,-12.184250618503256,nan,-17.63884494048834,nan,-17.61702337615417,nan,1.1051231863360753,nan,1.1050527186692545,nan,1.0049003378838872,nan,1.0045798898497418,nan
C O b,3,-15.782402317637946,nan,-20.837853992117463,nan,-20.164822089716626,nan,1.0217214753622665,nan,1.021859322725432,nan,1,1,1.0001172134268073,1.0
C O g,3,-15.792407505745441,nan,-21.05099235532418,nan,-20.25857638710837,nan,1.0398516773107793,nan,1.0399440183104494,nan,1,1,1.0001172134268073,1.0
C O v,3,-16.7108552925364,nan,-inf,nan,-21.38416312691705,nan,1.0114627489928234,nan,1.011626345508287,nan,1,1,1.0001172134268073,1.0
C u D,3,-12.317586562082976,nan,-17.735010891867645,nan,-17.71150621404899,nan,1.1798103855661042,nan,1.1795534867184096,nan,1.001288981708135,nan,1.0012911200130026,nan
C u S,3,-14.392492948597422,nan,-16.07222177699859,nan,-16.09718350906228,nan,1.1566476008703173,nan,1.1564488400457362,nan,1.0013535019997668,nan,1.001349874419583,nan
C u T,3,-14.277226903950192,nan,-15.117355515743256,nan,-15.150431244124725,nan,1.155808837079105,nan,1.1556121815311269,nan,1.0018696643328204,nan,1.001819909672227,nan
D e C,3,-12.600190350234094,nan,-13.13567103202506,nan,-13.116043114640425,nan,1.157477863716277,nan,1.1572771997341047,nan,1.0181591977857016,nan,1.016661706923705,nan
D e D,3,-10.467060303440752,nan,-14.857470851257839,nan,-14.822039631788071,nan,1.1811568107451176,nan,1.1808967131849992,nan,1.0193850833267042,nan,1.0177780406487342,nan
D e J,3,-12.782511907028049,nan,-11.858010511907965,nan,-11.890568447265348,nan,1.157735944882804,nan,1.1575346331232153,nan,1.0181591977857016,nan,1.016661706923705,nan
D e S,3,-12.541966689955196,nan,-12.53312892124705,nan,-12.538246864768249,nan,1.1579940260493307,nan,1.1577920665123258,nan,1.0181591977857016,nan,1.016661706923705,nan
D i C,3,-12.184250618503254,nan,-13.95279127854657,nan,-13.975519237137792,nan,1.1595952843130046,nan,1.159389334910756,nan,1.0016065987305462,nan,1.0015807566369535,nan
D i D,3,-10.051120571709912,nan,-15.895941998479039,nan,-15.863295032722379,nan,1.1832742313418452,nan,1.1830088483616505,nan,1.0054778162284495,nan,1.005106021031783,nan
D i S,3,-12.126026958224358,nan,-14.331078420780289,nan,-14.346515482044309,nan,1.1601114466460583,nan,1.1599042016889771,nan,1.0018001596054413,nan,1.001757019856695,nan
D i T,3,-12.010760913577128,nan,-13.257350956648228,nan,-13.281980181450372,nan,1.159272682854846,nan,1.1590675431743678,nan,1.0015420784389146,nan,1.001522002230373,nan
d u r,3,-9.75926284376067,nan,-10.600371967936347,nan,-10.61109537782915,nan,1.2833860200467309,nan,1.282869739784568,nan,1.0265257512034214,nan,1.0242770625077366,nan
D W C,3,-13.675309244627599,nan,-16.663840855519936,nan,-16.537222359113148,nan,1.1057614697477174,nan,1.105689898146803,nan,1.0000645202916316,nan,1.000175967833388,nan
D W D,3,-11.542179197834258,nan,-19.406984182630016,nan,-19.2309685721171,nan,1.129440416776558,nan,1.1293094115976976,nan,1.0012258855410026,nan,1.0012335471518368,nan
D W T,3,-13.501819539701472,nan,-14.554363901186559,nan,-14.468562242903964,nan,1.1054388682895588,nan,1.1053681064104148,nan,1.0000645202916316,nan,1.000175967833388,nan
f U n,3,-11.444313438856268,nan,-inf,nan,-18.26015697685965,nan,1.118616050079936,nan,1.1185112133908108,nan,1.0002566570420275,nan,1.0003510495077146,nan
f u r,3,-10.795284595904754,nan,-13.848346078226905,nan,-13.84098478464986,nan,1.2532539518328574,nan,1.2528128234962774,nan,1.0163877980433316,nan,1.015040537311899,nan
f U s,3,-11.777286758691535,nan,-inf,nan,-18.48548472091706,nan,1.1037763830046408,nan,1.1037087935169532,nan,1.0002566570420275,nan,1.0003510495077146,nan
f W r,3,-12.153007278449374,nan,-18.431248266010854,nan,-18.023682336665996,nan,1.1247329380375413,nan,1.1246126186831693,nan,1.0002570130731523,nan,1.0003513448940684,nan
f ^ r,3,-10.26243039215243,nan,-13.277972809335312,nan,-13.286286057510907,nan,1.1948003105110736,nan,1.1945050918014488,nan,1.0015435025634136,nan,1.0015231837757876,nan
g U n,3,-10.87510945436601,nan,-inf,nan,-16.81183483331527,nan,1.1369517341419952,nan,1.1368011667066642,nan,1.0023740776387553,nan,1.0022801971751996,nan
g U S,3,-13.577184069440833,nan,-13.321782320047973,nan,-13.344611844423136,nan,1.0628824393487826,nan,1.0629177840319313,nan,1.0030838008467042,nan,1.002926495647585,nan
g U T,3,-13.461918024793603,nan,-inf,nan,-16.680460434021448,nan,1.0620436755575704,nan,1.062081125517322,nan,1.0023740776387553,nan,1.0022801971751996,nan
g W C,3,-14.04320765093618,nan,-18.615170681028495,nan,-18.21761207663141,nan,1.0529982949817218,nan,1.0530583191994347,nan,1.0000645202916316,nan,1.000175967833388,nan
g W D,3,-11.910077604142838,nan,-21.358314008138574,nan,-20.91135828963536,nan,1.0766772420105624,nan,1.0766778326503292,nan,1.0012258855410026,nan,1.0012335471518368,nan
g W T,3,-13.869717946010054,nan,-16.505693726695117,nan,-16.148951960422227,nan,1.0526756935235633,nan,1.0527365274630465,nan,1.0000645202916316,nan,1.000175967833388,nan
g ^ r,3,-9.693226407662172,nan,-11.702966251774967,nan,-11.712353231331571,nan,1.2131359945731328,nan,1.2127950451173022,nan,1.003211773336593,nan,1.003043118301685,nan
h U n,3,-11.084850506798125,nan,-inf,nan,-19.6815553740979,nan,1.167596688623339,nan,1.167369690080713,nan,1,1,1.0001172134268073,1.0
h u r,3,-10.43582166384661,nan,-11.48091166253622,nan,-11.488820640544136,nan,1.3022345903762604,nan,1.3016713001861795,nan,1.0204301464552663,nan,1.0187234555861886,nan
h U s,3,-11.417823826633391,nan,-inf,nan,-19.90688311815531,nan,1.1527570215480438,nan,1.1525672702068552,nan,1,1,1.0001172134268073,1.0
h W r,3,-11.793544346391231,nan,-14.990630970551594,nan,-14.613572105705423,nan,1.1737135765809443,nan,1.1734710953730714,nan,1.0051976611321833,nan,1.0048526894515335,nan
J O b,3,-15.9647238744319,nan,-17.774463070089656,nan,-17.667635930298566,nan,1.0262733409860645,nan,1.0263998356115354,nan,1,1,1.0001172134268073,1.0
J ^ r,3,-11.640779604940885,nan,-11.790791768298957,nan,-11.839647493517354,nan,1.1922999899571565,nan,1.1920110072583778,nan,1.0060991650594033,nan,1.005673774211892,nan
k E G,3,-11.671099158622443,nan,-16.903136784446247,nan,-16.794755379968734,nan,1.1071498600037244,nan,1.1070747208475964,nan,1.0000645202916316,nan,1.000175967833388,nan
k E S,3,-12.798332616693138,nan,-17.90239217081033,nan,-17.794630170493463,nan,1.107020819420461,nan,1.1069460041530412,nan,1,1,1.0001172134268073,1.0
k i b,3,-10.383213143966268,nan,-14.775927970920645,nan,-14.769521425613075,nan,1.128976310851775,nan,1.12884650219372,nan,1.0007082990834495,nan,1.000762330353778,nan
k i C,3,-12.158449972558522,nan,-13.714102859845166,nan,-13.742177404610883,nan,1.114781846692797,nan,1.1146876657926388,nan,1.0007082990834495,nan,1.000762330353778,nan
k i D,3,-10.025319925765181,nan,-15.657253579777635,nan,-15.62995320019547,nan,1.1384607937216376,nan,1.1383071792435333,nan,1.0045795165813527,nan,1.0042875947486076,nan
k i r,3,-9.699045615581458,nan,-11.04263102674126,nan,-11.051860043992718,nan,1.2048521738106757,nan,1.2045319185922267,nan,1.0245808069871853,nan,1.0225014607885607,nan
k u f,3,-11.095758260143743,nan,-15.001265774890834,nan,-14.990641308605852,nan,1.1938564257537827,nan,1.1935648014566735,nan,1.0023223744676169,nan,1.0022320766773514,nan
k U m,3,-11.167677428514825,nan,-17.068278835808396,nan,-16.79447694035465,nan,1.1131574878049777,nan,1.1130667696753154,nan,1.0011549566891242,nan,1.00116947579089,nan
k U n,3,-10.481410402112694,nan,-inf,nan,-17.819249187527774,nan,1.1449014712877832,nan,1.1447310765359153,nan,1.0011549566891242,nan,1.00116947579089,nan
k U p,3,-11.60040966296333,nan,-16.41117680832244,nan,-16.205019043579735,nan,1.0784455709071135,nan,1.0784419788399442,nan,1.0013485175640193,nan,1.0013457390106315,nan
k u r,3,-9.83238155916118,nan,-13.548195414581956,nan,-13.535198558136642,nan,1.2795393730407045,nan,1.279032686641382,nan,1.0163877980433316,nan,1.015040537311899,nan
l U n,3,-10.380753622727475,nan,-inf,nan,-16.38984283428641,nan,1.158557068159177,nan,1.1583526151942258,nan,1.0099454603785691,nan,1.0091783615619645,nan
l R l,3,-11.066401340117837,nan,-13.623217095463136,nan,-13.619599064631387,nan,1.1069646102811261,nan,1.1068894332766739,nan,1.0009674483433508,nan,1.000998234139161,nan
m W l,3,-11.474820570346056,nan,-13.533070451542569,nan,-13.533888650050088,nan,1.0944684621729988,nan,1.0944244380366432,nan,1.0009667362811012,nan,1.0009976433664538,nan
