word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.199899284635892,nan,-11.495686045197765,nan,-11.510584055803093,nan,1.1078105591833929,nan,1.1077337713037656,nan,1.002245784049726,nan,1.0021631630568728,nan
b i l,3,-10.281142667155535,nan,-11.316729270182265,nan,-11.328476520884141,nan,1.1452093333388864,nan,1.1450388935671731,nan,1.007725523554961,nan,1.007153568918901,nan
b i s,3,-10.116688112190005,nan,-11.431945677912774,nan,-11.442785898443415,nan,1.1669260494105451,nan,1.1667011677845671,nan,1.0026991026244285,nan,1.0025758354838403,nan
b R s,3,-11.381272363882902,nan,-12.42031575104115,nan,-12.433198691336298,nan,1.1065723846232565,nan,1.1064979339378234,nan,1.001544361538714,nan,1.0015237525834684,nan
b Y s,3,-10.9414412936846,nan,-11.795119443558486,nan,-11.808146534587358,nan,1.1147733072270494,nan,1.1146784158193341,nan,1.0031490769238798,nan,1.0029857326173839,nan
b ^ l,3,-9.87954957627541,nan,-10.352943211743314,nan,-10.365408358953129,nan,1.1621237362092092,nan,1.1619111374477893,nan,1.0109607506608123,nan,1.0101041478195834,nan
C @ l,3,-12.36017884512005,nan,-16.338285117347418,nan,-16.322018955048506,nan,1.112684659078107,nan,1.1125952302696156,nan,1.0009006917711802,nan,1.0009374804134095,nan
C i D,3,-12.187745559576747,nan,-17.622196524500257,nan,-17.60047850937042,nan,1.1049100861527914,nan,1.1048402509710253,nan,1.0048941940673184,nan,1.0045746497757009,nan
C i n,3,-11.559619628430326,nan,-13.83576180843026,nan,-13.849740631653706,nan,1.1560120322798695,nan,1.1558140891146262,nan,1.0021876597201087,nan,1.0021097163875914,nan
C R J,3,-15.769931275095622,nan,-17.511155838458595,nan,-17.4590201640883,nan,1.0210997903563521,nan,1.0212391897796778,nan,1.0000644412939812,nan,1.0001757583046433,nan
C R g,3,-13.82093819275892,nan,-17.779941937472987,nan,-17.74374458589224,nan,1.0533204373469436,nan,1.0533790625057817,nan,1.0002577651759248,nan,1.0003518249752226,nan
C R T,3,-15.412680128317554,nan,-16.97995105235595,nan,-16.92269506279442,nan,1.0207775838864461,nan,1.0209177910524168,nan,1,1,1.00011706941445,1.0
C ^ J,3,-14.1037539325226,nan,-17.94411480860922,nan,-17.938042064301083,nan,1.0983678580139635,nan,1.0983146675070377,nan,1.0001925807096654,nan,1.0002925193531575,nan
C ^ n,3,-11.158026537550203,nan,-12.710300685018211,nan,-12.72080630478393,nan,1.1729264351501922,nan,1.1726863329952424,nan,1.0125653091540525,nan,1.01156078627023,nan
C ^ S,3,-13.859508942424323,nan,-16.36444321784491,nan,-16.3915512059406,nan,1.098947829659794,nan,1.0988931852161075,nan,1.0002570220036466,nan,1.0003512082433506,nan
C ^ C,3,-13.921192250862562,nan,-15.685541657890433,nan,-15.720590891386447,nan,1.0983678580139635,nan,1.0983146675070377,nan,1.0007081110615148,nan,1.0007620304747022,nan
d i k,3,-9.929474918797323,nan,-12.171610792248693,nan,-12.179898854108503,nan,1.1663311533887304,nan,1.1661079602594593,nan,1.0033494609424654,nan,1.0031676582407467,nan
d i s,3,-9.662018176242093,nan,-12.19938424785215,nan,-12.206620754236704,nan,1.1787683231270987,nan,1.1785139511317353,nan,1.0016739872989544,nan,1.0016417470957266,nan
d i t,3,-8.980980070642184,nan,-10.926319933836139,nan,-10.934275755798467,nan,1.2598354709554271,nan,1.259377870910613,nan,1.001867311180898,nan,1.0018178137663059,nan
d E p,3,-11.141563912421844,nan,-16.315292566554955,nan,-16.26134902405678,nan,1.11856364786663,nan,1.1184600844010457,nan,1.000321834883767,nan,1.0004102054994797,nan
d R s,3,-10.926602427934991,nan,-12.413906754328073,nan,-12.425194097993977,nan,1.11841465833981,nan,1.1183107172849915,nan,1.001544361538714,nan,1.0015237525834684,nan
D i D,3,-10.05270577741081,nan,-15.94841321108597,nan,-15.914286776488108,nan,1.1825569943591672,nan,1.1822937979986736,nan,1.0055348911457398,nan,1.005158455018272,nan
D i g,3,-10.421314158900085,nan,-13.939337837642636,nan,-13.93751535384673,nan,1.191321010340608,nan,1.1910358433801738,nan,1.0049549194999092,nan,1.0046302550065342,nan
D i C,3,-12.187745559576747,nan,-13.936624890924804,nan,-13.959719179035643,nan,1.1591003633500165,nan,1.1588959706540698,nan,1.001668413506869,nan,1.0016371216066868,nan
d I J,3,-12.056776625732557,nan,-14.619274506977984,nan,-14.615150202389724,nan,1.087698926954905,nan,1.0876724115250618,nan,1.0075602255253715,nan,1.007005971276789,nan
d I D,3,-9.739175161906582,nan,-14.549553325832171,nan,-14.523182420618715,nan,1.1111555579640557,nan,1.1110702388696656,nan,1.0085912862290705,nan,1.0079449935198783,nan
d Y p,3,-11.270425848310081,nan,-12.558920122929072,nan,-12.569462255349706,nan,1.0746758979947695,nan,1.0746817243320228,nan,1.001865081664064,nan,1.0018159635706898,nan
d Y t,3,-9.805733252136779,nan,-11.468623283332837,nan,-11.477527311181822,nan,1.2076827287719314,nan,1.20735511894538,nan,1.0031539075436875,nan,1.0029897413745517,nan
