word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.038444401352923,nan,-15.134958899901347,nan,-15.149252948727447,nan,1.152339086260167,nan,1.1521221508138666,nan,1.001578892488329,nan,1.00155106924963,nan
g i T,3,-12.341378063138757,nan,-12.951211549452953,nan,-12.990156014744802,nan,1.1050897799932107,nan,1.1050093470733071,nan,1.0005256273664511,nan,1.0006059534729475,nan
z i T,3,-12.403045965122368,nan,-16.17940026558795,nan,-16.1847138844986,nan,1.079171533547713,nan,1.079165737828679,nan,1.0006740834234582,nan,1.0007393490575536,nan
y c g,3,-11.7120603979315,nan,-15.88726673785839,nan,-15.621187738898339,nan,1.1807189992735176,nan,1.1804198416175302,nan,1.0009017934814075,nan,1.0009434948217626,nan
l R z,3,-11.59058086396421,nan,-12.659838645209934,nan,-12.661407379288235,nan,1.0842518728749817,nan,1.0842310952838379,nan,1.0001494612514947,nan,1.0002684121241323,nan
J Y p,3,-13.615830664356311,nan,-16.638553824763388,nan,-16.019424331662904,nan,1.0460464948834547,nan,1.0461359386343794,nan,1.0011284983448692,nan,1.0011468301085118,nan
C ^ z,3,-12.151405082843073,nan,-13.324506952682741,nan,-13.352893954619825,nan,1.11538507806236,nan,1.1152741292748691,nan,1.0039843452350743,nan,1.0037097129271275,nan
C e J,3,-14.81347378438145,nan,-14.488112262862051,nan,-14.554606488304046,nan,1.079104191339648,nan,1.0790985697754043,nan,1.0007452958684988,nan,1.0008036154174766,nan
z i S,3,-12.505832128027237,nan,-17.27578882925591,nan,-17.268816642164957,nan,1.0802247986695908,nan,1.0802159216108407,nan,1.0007493166464496,nan,1.0008068573273166,nan
z u v,3,-11.89422580357236,nan,-19.8216283180625,nan,-19.67604402578552,nan,1.1485698705896927,nan,1.1483635516870927,nan,1.0015036592653377,nan,1.0014835609798671,nan
D Y p,3,-11.354873397214359,nan,-15.197585792958105,nan,-14.996877886540458,nan,1.11298962284554,nan,1.1128862893690763,nan,1.0012027263733727,nan,1.0012135279008147,nan
s R k,3,-10.97415282765716,nan,-13.38356189027912,nan,-13.385146064428719,nan,1.1230446943062529,nan,1.122910722891046,nan,1.0009709955374726,nan,1.0010061402267658,nan
b R s,3,-11.363609331560843,nan,-12.214557456418031,nan,-12.231052021726294,nan,1.1081538422026462,nan,1.108062338778105,nan,1.0017985609903766,nan,1.0017487311941593,nan
T ^ z,3,-12.009993428793244,nan,-13.916504150121204,nan,-13.922575296097792,nan,1.1164218079201798,nan,1.1163078736446543,nan,1.0037616611495637,nan,1.0035096195502184,nan
S c G,3,-14.310552299633402,nan,-14.60151166924284,nan,-14.5481887552962,nan,1.022783739422957,nan,1.0229406343031746,nan,1.000751327035425,nan,1.0008084782822366,nan
J e J,3,-15.036265780058358,nan,-15.353780184389235,nan,-15.39584072908157,nan,1.0826586937093161,nan,1.0826428361860962,nan,1.0007452958684988,nan,1.0008036154174766,nan
D ^ z,3,-10.11323981137803,nan,-8.784245425947454,nan,-8.802878776799494,nan,1.1858827083941135,nan,1.185568746420258,nan,1.014747409368091,nan,1.0133808928110735,nan
S Y p,3,-13.354413177534441,nan,-14.619859074443273,nan,-14.59039145685165,nan,1.045231921423739,nan,1.0453237109152624,nan,1.0012769544018763,nan,1.001280225693118,nan
n W C,3,-12.976970280050079,nan,-13.746770552322117,nan,-13.755159739666777,nan,1.0615856482041002,nan,1.0616308096075944,nan,1.0100217890424685,nan,1.0091392185004413,nan
l W C,3,-13.463270308186111,nan,-14.512846362238905,nan,-14.512189781400728,nan,1.0729156245074176,nan,1.0729281587916746,nan,1.0001494612514947,nan,1.0002684121241323,nan
S c d,3,-13.243885516462456,nan,-18.31978609592178,nan,-17.98227110633221,nan,1.0813904201331588,nan,1.0813758604677535,nan,1.0000742280285035,nan,1.000200903854369,nan
g i J,3,-12.705581712865495,nan,-14.455232255279922,nan,-14.483146294886417,nan,1.1058421122231235,nan,1.1057594783462799,nan,1.00045039414346,nan,1.0005384452031845,nan
C u T,3,-14.182425295050885,nan,-14.454251089720296,nan,-14.507968412927086,nan,1.1447117165919205,nan,1.1445167458075902,nan,1.001950032630847,nan,1.0018845582111455,nan
D i g,3,-10.444624445723543,nan,-13.826689982692745,nan,-13.8257907884998,nan,1.1807944585726362,nan,1.180494653287799,nan,1.0047256203256223,nan,1.0043758803726983,nan
w u T,3,-12.274603287971003,nan,-16.413239663389817,nan,-16.05115896184948,nan,1.2432010530848114,nan,1.2427224609371774,nan,1.001578892488329,nan,1.00155106924963,nan
T c T,3,-15.16402868497408,nan,-16.26153641878186,nan,-16.218871994831794,nan,1.0184473775661298,nan,1.0186168805259803,nan,1.000148456057007,nan,1.0002676016466723,nan
g u T,3,-12.4813920600917,nan,-17.083513947389598,nan,-16.839232834755325,nan,1.1692970246487926,nan,1.169031255148209,nan,1.0015046644598256,nan,1.0014843714573272,nan
f R s,3,-11.922712955592626,nan,-13.912255599773903,nan,-13.912685752725714,nan,1.0886781313021725,nan,1.088642712402856,nan,1.0017985609903766,nan,1.0017487311941593,nan
J Y m,3,-13.199366014282766,nan,-16.131526498237264,nan,-15.513060541560641,nan,1.0774939820938068,nan,1.0774914258446413,nan,1.0011284983448692,nan,1.0011468301085118,nan
n R z,3,-11.104280835828177,nan,-14.206338343317135,nan,-14.177283924172833,nan,1.0729218965716643,nan,1.0729337460997577,nan,1.0001494612514947,nan,1.0002684121241323,nan
m R n,3,-10.734479211758021,nan,-14.024151191637532,nan,-13.992634103272035,nan,1.1263437469024766,nan,1.1261990761716691,nan,1.001578892488329,nan,1.00155106924963,nan
C u S,3,-14.285211457955754,nan,-15.329449227694921,nan,-15.374232671508926,nan,1.1457649817137983,nan,1.145566929589752,nan,1.001423400069908,nan,1.0014120003228042,nan
S e J,3,-14.774848293236488,nan,-14.439059665878611,nan,-14.505804355003004,nan,1.0818441202496005,nan,1.0818306084669793,nan,1.00119066403952,nan,1.0012038021712952,nan
T ^ S,3,-13.610733270623857,nan,-16.210847771380443,nan,-16.235363493073088,nan,1.101299930098934,nan,1.1012302350579015,nan,1.0003009328919652,nan,1.0004042391411183,nan
v e D,3,-11.762270704686715,nan,-19.985082084007516,nan,-19.902631916699736,nan,1.099222170225854,nan,1.0991576051010483,nan,1.0012789647908515,nan,1.001281846648038,nan
C ^ Z,3,-18.160218268285668,nan,-inf,nan,-21.468327828403073,nan,1.0955987404156553,nan,1.0955456767956853,nan,1.0002226840855106,nan,1.0003342994389752,nan
n c T,3,-12.620822410522013,nan,-16.502157600239876,nan,-16.43995980025627,nan,1.0506600552912484,nan,1.0507367948728754,nan,1.000148456057007,nan,1.0002676016466723,nan
s R p,3,-11.4739915423184,nan,-13.245849929891197,nan,-13.250219204791883,nan,1.08505191669566,nan,1.085029093605921,nan,1.0011966952064464,nan,1.001208665036055,nan
D i D,3,-10.107492409217684,nan,-15.959148589305412,nan,-15.918775701331448,nan,1.1737977688344479,nan,1.173518432449152,nan,1.0051770196635699,nan,1.0047809299912767,nan
S c g,3,-13.707193266969593,nan,-15.959068547456166,nan,-15.897507284261529,nan,1.0499429329228067,nan,1.0500203732574918,nan,1.0009017934814075,nan,1.0009434948217626,nan
