word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.086562573884747,nan,-15.335609507476967,nan,-15.348403648689116,nan,1.1617441358992449,nan,1.1615325565560655,nan,1.0016787753360483,nan,1.0016459484995537,nan
g i T,3,-12.389032667222937,nan,-13.033249130436122,nan,-13.066107515221352,nan,1.1072152533783273,nan,1.107139919930028,nan,1.0003229139757168,nan,1.0004113306155515,nan
z i T,3,-12.450177479787705,nan,-16.952823854585734,nan,-16.93712499439169,nan,1.080404914080014,nan,1.0803964778314996,nan,1.0003871194331808,nan,1.0004698238303387,nan
y c g,3,-11.710306904363152,nan,-16.243619970863385,nan,-15.972147760302349,nan,1.1919698451136032,nan,1.1916826436824264,nan,1.0009683645894711,nan,1.0009990799314854,nan
l R z,3,-11.627990615076037,nan,-12.785496454125761,nan,-12.785363367283018,nan,1.0807677500984958,nan,1.0807583019848077,nan,1.000064205457464,nan,1.000175792663035,nan
J Y p,3,-13.672204861877884,nan,-16.899865352082088,nan,-16.269076152488008,nan,1.0432163714352167,nan,1.0433006962194014,nan,1.0010979075174373,nan,1.0011170054170806,nan
C ^ z,3,-12.22082982694081,nan,-13.734014416077912,nan,-13.752033608348452,nan,1.115099257770587,nan,1.1150039438661483,nan,1.00361588185267,nan,1.0034098224847023,nan
C e J,3,-14.918019074916426,nan,-14.959113388256611,nan,-15.008231231962473,nan,1.0789943404801037,nan,1.0789894226007244,nan,1.0007073920451413,nan,1.0007616638669268,nan
z i S,3,-12.539296339116898,nan,-18.017834831772575,nan,-17.991855565878854,nan,1.0816965699828813,nan,1.0816848885768453,nan,1.0007746162040412,nan,1.0008226612311033,nan
z u v,3,-11.8848621035299,nan,-20.720727537290415,nan,-20.5560131318269,nan,1.1581886647584962,nan,1.1579858659478752,nan,1.0018079409263352,nan,1.0017635609664752,nan
D Y p,3,-11.358651821377826,nan,-15.382747362759815,nan,-15.178429102641015,nan,1.115437524664644,nan,1.1153416431163943,nan,1.001226318432365,nan,1.0012339918466546,nan
s R k,3,-11.00115992751585,nan,-13.534395009402079,nan,-13.53566138270952,nan,1.1194156132840756,nan,1.1193091589077837,nan,1.0007731068533232,nan,1.0008214091564085,nan
b R s,3,-11.376833340058413,nan,-12.36953662885782,nan,-12.382761498887916,nan,1.106468856796829,nan,1.1063945227966476,nan,1.0012893918767904,nan,1.0012915460054208,nan
T ^ z,3,-12.04897957001415,nan,-14.032427396312999,nan,-14.035535791827307,nan,1.1168951656661676,nan,1.1167953706095906,nan,1.0034874709377422,nan,1.0032928360551283,nan
S c G,3,-14.310371300786207,nan,-14.847813335882147,nan,-14.782867462109959,nan,1.0196706358031957,nan,1.0198138888011692,nan,1.0004520795660037,nan,1.000528943082473,nan
J e J,3,-15.093861665612671,nan,-15.737684360632326,nan,-15.766091304617202,nan,1.0830351332451604,nan,1.0830201327734692,nan,1.0005789811302135,nan,1.0006446774373527,nan
D ^ z,3,-10.083119377136999,nan,-8.738047382138458,nan,-8.753435841237424,nan,1.191361203765071,nan,1.191075600935886,nan,1.0166495897178385,nan,1.0152839450864806,nan
S Y p,3,-13.413630873584172,nan,-14.81197152112266,nan,-14.785061776276569,nan,1.0418694405135311,nan,1.0419571261618197,nan,1.0010979075174373,nan,1.0011170054170806,nan
n W C,3,-13.062153812967694,nan,-14.12535532284566,nan,-14.119629485049394,nan,1.062008225789763,nan,1.0620458244234339,nan,1.0114927768860353,nan,1.010587584895136,nan
l W C,3,-13.566786010170489,nan,-14.954094849595597,nan,-14.940700506104623,nan,1.0723988357570517,nan,1.0724105077247774,nan,1.000064205457464,nan,1.000175792663035,nan
S c d,3,-13.26761207271894,nan,-18.899147613864525,nan,-18.54906762315641,nan,1.0814117879602612,nan,1.0813999224286897,nan,1,1,1.000117299448248,1.0
g i J,3,-12.73672551484584,nan,-14.769125324046914,nan,-14.785846041317665,nan,1.1077964985346176,nan,1.1077197047654337,nan,1.0004520795660037,nan,1.000528943082473,nan
C u T,3,-14.286903791976634,nan,-14.920703904035502,nan,-14.961330655370862,nan,1.1543039460461246,nan,1.1541109314760911,nan,1.0019355971659039,nan,1.001879921358702,nan
D i g,3,-10.423172474345785,nan,-13.904194624487738,nan,-13.902599861974892,nan,1.190498493725857,nan,1.1902147941935455,nan,1.0050302886052729,nan,1.0046982383033864,nan
w u T,3,-12.299200691361023,nan,-16.32435505886623,nan,-16.072954598250618,nan,1.2577610687451175,nan,1.2573099078036662,nan,1.001742980793512,nan,1.0017044417143406,nan
T c T,3,-15.24974340262224,nan,-16.6702528960907,nan,-16.618628229624782,nan,1.0173518603622511,nan,1.017500923609568,nan,1.000064205457464,nan,1.000175792663035,nan
g u T,3,-12.518967521721855,nan,-17.430577519019657,nan,-17.179181130889997,nan,1.1797032148550528,nan,1.1794468239904865,nan,1.0016145698785843,nan,1.0015874552847666,nan
f R s,3,-11.964285402924702,nan,-14.061020106869602,nan,-14.060569893615707,nan,1.0876118238932306,nan,1.0875845419905055,nan,1.0012893918767904,nan,1.0012915460054208,nan
J Y m,3,-13.247873503700294,nan,-16.35153959122385,nan,-15.721186063470725,nan,1.0769931732952012,nan,1.0769926372101892,nan,1.0012270731077242,nan,1.0012346178840021,nan
n R z,3,-11.123358417873241,nan,-14.2966894541204,nan,-14.270722541459943,nan,1.070377140131207,nan,1.0703936186834642,nan,1.000064205457464,nan,1.000175792663035,nan
m R n,3,-10.751646273611392,nan,-14.053151436055384,nan,-14.027485630185234,nan,1.1237593167974906,nan,1.1236415863556477,nan,1.0016145698785843,nan,1.0015874552847666,nan
C u S,3,-14.376022651305828,nan,-15.807595011282086,nan,-15.839931640311992,nan,1.155595601948992,nan,1.1553993422214368,nan,1.0014189348047569,nan,1.001409471491016,nan
S e J,3,-14.83528767731896,nan,-14.740338258504277,nan,-14.792902552171755,nan,1.0816882023234748,nan,1.0816765627158875,nan,1.0010926247899246,nan,1.0011126231556493,nan
T ^ S,3,-13.673039630106697,nan,-16.559698829816163,nan,-16.576008774731186,nan,1.1029452819151988,nan,1.102880534559858,nan,1.0002583311805735,nan,1.0003525243820908,nan
v e D,3,-11.737365546732985,nan,-20.1003608718936,nan,-20.025693973498786,nan,1.1021242889177567,nan,1.1020612361674422,nan,1.0012270731077242,nan,1.0012346178840021,nan
C ^ Z,3,-18.415008434962527,nan,-inf,nan,-22.03188908880089,nan,1.0963056643838651,nan,1.0962575675213697,nan,1.0001284109149278,nan,1.000234285877822,nan
n c T,3,-12.655589065186133,nan,-16.792364777347753,nan,-16.72827165596064,nan,1.0497423420504046,nan,1.0498105845180772,nan,1.000064205457464,nan,1.000175792663035,nan
s R p,3,-11.510454377242318,nan,-13.51228347742431,nan,-13.51404690407267,nan,1.0805367706077647,nan,1.0805279954728806,nan,1.0007731068533232,nan,1.0008214091564085,nan
D i D,3,-10.053398294796752,nan,-15.796787112258045,nan,-15.766803783704859,nan,1.1831360550795122,nan,1.1828708529450753,nan,1.0054823681712766,nan,1.0051098819376116,nan
S c g,3,-13.742776248623315,nan,-16.511844397290552,nan,-16.43813680325359,nan,1.0506703774720152,nan,1.050735746689464,nan,1.0009041591320071,nan,1.0009405867166983,nan
C i S,3,-14.246087796806908,nan,-15.84103974483683,nan,-15.874054618437462,nan,1.0831076404722664,nan,1.0830924381609783,nan,1.0012882598637523,nan,1.0012906069493999,nan
g i D,3,-10.423172474345785,nan,-15.567766625604985,nan,-15.544852514176473,nan,1.1322733778939562,nan,1.132135088389733,nan,1.0042624644794627,nan,1.0039985108566571,nan
T c S,3,-15.338862261951434,nan,-15.396960697681415,nan,-15.413333322536694,nan,1.0186435162651184,nan,1.0187893343549137,nan,1.0004517022283241,nan,1.0005286300637994,nan
z u T,3,-12.580112334286623,nan,-19.517867119621673,nan,-19.37897320986055,nan,1.1528928755567396,nan,1.152703381891958,nan,1.0016787753360483,nan,1.0016459484995537,nan
S Y m,3,-12.989299515406584,nan,-14.263645760264422,nan,-14.237171687259284,nan,1.0756462423735156,nan,1.0756490671526076,nan,1.0012270731077242,nan,1.0012346178840021,nan
D ^ v,3,-10.922810347143626,nan,-9.961978465150526,nan,-9.979753612550986,nan,1.1814154533129915,nan,1.181154838196725,nan,1.0136787811412433,nan,1.0125788583472861,nan
t W C,3,-12.720549394890845,nan,-16.203197683844543,nan,-16.18983178808771,nan,1.0443057051047522,nan,1.044387475095219,nan,1.000064205457464,nan,1.000175792663035,nan
