word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.197479901988446,nan,-11.50000651810464,nan,-11.515068871535583,nan,1.1078926112818135,nan,1.1078157161815836,nan,1.0021133866861418,nan,1.0020426722374203,nan
b i l,3,-10.280650314128081,nan,-11.29479514031043,nan,-11.306751920311248,nan,1.1462431071936041,nan,1.146070371960538,nan,1.0079664332242702,nan,1.0073741441694795,nan
b i s,3,-10.11579087054671,nan,-11.407367039190198,nan,-11.418397641258823,nan,1.1671420847513176,nan,1.166917068560923,nan,1.002822069517756,nan,1.0026881085556087,nan
b R s,3,-11.382418320357537,nan,-12.386549351222655,nan,-12.39969166669672,nan,1.107456823748247,nan,1.1073803446760402,nan,1.0016695857661722,nan,1.0016378996222923,nan
b Y s,3,-10.93613121772912,nan,-11.758806408588303,nan,-11.772054264528427,nan,1.1158370693981956,nan,1.1157397346320097,nan,1.003271534931092,nan,1.0030975834611817,nan
b ^ l,3,-9.883581260986986,nan,-10.318737542706282,nan,-10.331453014548046,nan,1.1631315411751804,nan,1.1629167761466144,nan,1.0110080687067422,nan,1.010148423819562,nan
C @ l,3,-12.355422718067729,nan,-16.22899025035077,nan,-16.21518955724516,nan,1.113130483094845,nan,1.1130400935286489,nan,1.0008349594858321,nan,1.0008775252563196,nan
C i D,3,-12.179493343500424,nan,-17.463668120525128,nan,-17.44606722010121,nan,1.105438923833335,nan,1.1053678731049092,nan,1.0048838134662672,nan,1.0045658420650005,nan
C i n,3,-11.5549542562473,nan,-13.697068176978846,nan,-13.713826163733824,nan,1.1552106426938584,nan,1.1550150828547487,nan,1.0023759361593416,nan,1.0022813997032385,nan
C R J,3,-15.769025888796254,nan,-17.414814355008918,nan,-17.365787915580057,nan,1.0218323715949742,nan,1.0219696995728167,nan,1.0000643045463313,nan,1.0001754497301998,nan
