word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.085101196703224,nan,-15.276868796587596,nan,-15.289798957385706,nan,1.1601235986922707,nan,1.159917292065901,nan,1.0016034620907643,nan,1.0015775591866551,nan
g i T,3,-12.387683790360837,nan,-12.976964284440358,nan,-13.009846359249543,nan,1.1061815084947617,nan,1.1061091644075596,nan,1.0003849114703618,nan,1.0004673113602338,nan
z i T,3,-12.449258430721304,nan,-16.95434674038178,nan,-16.938395351653156,nan,1.0788942914083735,nan,1.078889627394077,nan,1.0003849114703618,nan,1.0004673113602338,nan
y c g,3,-11.698926927647857,nan,-16.222896560545433,nan,-15.951579463807228,nan,1.190603528984488,nan,1.1903214506951074,nan,1.0010260948852217,nan,1.0010515202597745,nan
l R z,3,-11.615521143157576,nan,-12.73239102307666,nan,-12.731908203889466,nan,1.0828848690382005,nan,1.0828702125288352,nan,1.0001914486279515,nan,1.0002911286602938,nan
J Y p,3,-13.679837257827842,nan,-16.894307854530705,nan,-16.263532838346347,nan,1.0433898938540929,nan,1.043473272220545,nan,1.0012830382345395,nan,1.0012855941353815,nan
C ^ z,3,-12.22107575352559,nan,-13.848461580374025,nan,-13.862764666664232,nan,1.1149013412285125,nan,1.1148070886945751,nan,1.0035276837401637,nan,1.003330743479264,nan
C e J,3,-14.920050730206661,nan,-15.149471195416712,nan,-15.194094439794855,nan,1.0784468761490138,nan,1.07844332464284,nan,1.0003835686607225,nan,1.0004661961722607,nan
z i S,3,-12.539882322334552,nan,-17.99754139317126,nan,-17.97198478833738,nan,1.0801131777311859,nan,1.0801054717659972,nan,1.0006415191172697,nan,1.0007011064388474,nan
z u v,3,-11.889251648422528,nan,-20.685176575912294,nan,-20.52085236587799,nan,1.1560746089632024,nan,1.155878266959868,nan,1.0016034620907643,nan,1.0015775591866551,nan
D Y p,3,-11.357391269270497,nan,-15.677754919600165,nan,-15.408702716918064,nan,1.1175371683201432,nan,1.1174366403202654,nan,1.0013468544438566,nan,1.0013437641080416,nan
s R k,3,-11.004078539439284,nan,-13.571263023114334,nan,-13.571926639708733,nan,1.119942457045748,nan,1.1198353716015492,nan,1.0005122081865863,nan,1.0005833725085609,nan
b R s,3,-11.384534419056486,nan,-12.391794215755883,nan,-12.405012828854131,nan,1.1062387825174966,nan,1.1061655181883727,nan,1.0016652640856227,nan,1.0016340563773556,nan
T ^ z,3,-12.050790034075824,nan,-14.03854992711997,nan,-14.039190273588494,nan,1.1171965277124143,nan,1.1170965824620644,nan,1.0034000513215293,nan,1.0032144035339436,nan
S c G,3,-14.306140548960624,nan,-14.986284098471446,nan,-14.919763047167386,nan,1.0192296457533192,nan,1.0193730995732395,nan,1.0003207595586348,nan,1.0004088625905805,nan
J e J,3,-15.10286745908303,nan,-16.016656754988702,nan,-16.030671440368724,nan,1.0830372491168174,nan,1.0830223121778186,nan,1.0004473848700397,nan,1.0005243661449208,nan
D ^ z,3,-10.081446493844613,nan,-8.671816298117951,nan,-8.687136204680353,nan,1.1936389886623666,nan,1.1933494443292738,nan,1.0173119849526717,nan,1.0158954575738484,nan
S Y p,3,-13.417358701114955,nan,-14.919340620420506,nan,-14.891115050774914,nan,1.0414134832707327,nan,1.0415017636985406,nan,1.0013468544438566,nan,1.0013437641080416,nan
n W C,3,-13.05327019776891,nan,-13.907325187144423,nan,-13.91114786745144,nan,1.0617624064070785,nan,1.0618003469541464,nan,1.01148691767709,nan,1.0105872138211338,nan
l W C,3,-13.549662501432131,nan,-14.733005045396329,nan,-14.728939750185639,nan,1.0743859320685385,nan,1.074392562675337,nan,1,1,1.0001166187423134,1.0
S c d,3,-13.267609078734843,nan,-19.009274724888073,nan,-18.65777366876724,nan,1.0796607466001245,nan,1.0796533836968718,nan,1,1,1.0001166187423134,1.0
g i J,3,-12.74078623868697,nan,-14.821232697827536,nan,-14.836035088252254,nan,1.1062456604064888,nan,1.106173156216608,nan,1.0003207595586348,nan,1.0004088625905805,nan
C u T,3,-14.289321495152437,nan,-15.00948375924417,nan,-15.046945472906295,nan,1.1520904459986143,nan,1.151904063879689,nan,1.0019863593466674,nan,1.001926579022616,nan
D i g,3,-10.418340250129626,nan,-13.852089021033219,nan,-13.850794274299789,nan,1.190984188502736,nan,1.1907010128147895,nan,1.0049971350665077,nan,1.0046700468354128,nan
w u T,3,-12.315171714618387,nan,-16.2723370407126,nan,-16.021116617193954,nan,1.2559476343951717,nan,1.255503656858575,nan,1.0016672783000815,nan,1.0016357291593154,nan
T c T,3,-15.244614017612475,nan,-16.615180193029573,nan,-16.563631767991094,nan,1.0175636797065108,nan,1.0177112863377378,nan,1.0000638162093172,nan,1.0001747887149735,nan
g u T,3,-12.520302131705945,nan,-17.377339623779367,nan,-17.12605227254359,nan,1.17829382502316,nan,1.178042451058524,nan,1.0015396458814472,nan,1.001519389213995,nan
f R s,3,-11.960246498969298,nan,-13.948434779253063,nan,-13.949946303327748,nan,1.0887698631677993,nan,1.088739926735816,nan,1.0016014478763056,nan,1.0015758864046955,nan
J Y m,3,-13.254451484707204,nan,-16.3177334866881,nan,-15.687444307499156,nan,1.0779036223632024,nan,1.0779008654886069,nan,1.0010905824993586,nan,1.0011102478264213,nan
