word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.0066659067866,nan,-12.288929903461671,nan,-12.329739628908872,nan,1.1175477399486604,nan,1.1174198001454212,nan,1.0011229053111477,nan,1.0011442328234357,nan
b O r,3,-13.270455654093205,nan,-inf,nan,-14.538182083237123,nan,1.1298325536559262,nan,1.1296660134873484,nan,1.0010420841683367,nan,1.0010722593096886,nan
b O s,3,-13.324730678366981,nan,-13.136152072220575,nan,-13.07279959456546,nan,1.0991205193877616,nan,1.0990504801325305,nan,1.0012037264539586,nan,1.0012162063371826,nan
b U n,3,-10.874554467651741,nan,-inf,nan,-16.19467787539116,nan,1.1504134714115861,nan,1.1501831052437113,nan,1.0008016032064129,nan,1.0008579123534154,nan
b u r,3,-10.222634484359371,nan,-11.887988936061465,nan,-11.899118416265365,nan,1.251515920389393,nan,1.250970152851261,nan,1.013812485554638,nan,1.012444599010028,nan
b U s,3,-11.192619239232123,nan,-inf,nan,-16.349951176145627,nan,1.1319862508506873,nan,1.1318137852308205,nan,1.0008016032064129,nan,1.0008579123534154,nan
b W r,3,-11.541150711228639,nan,-15.630503304239113,nan,-15.259770842695522,nan,1.1447423732952047,nan,1.1445293665319385,nan,1.0008022640285825,nan,1.0008584368817381,nan
C e D,3,-12.481431482995319,nan,-16.936359645923055,nan,-16.93752337380213,nan,1.101314985845261,nan,1.10123876792345,nan,1.0020139203485772,nan,1.0019375150596195,nan
C i D,3,-12.081004987741224,nan,-16.28146193952449,nan,-16.294538311547388,nan,1.1062047654043794,nan,1.1061133084380739,nan,1.0043570726679254,nan,1.0040242224299583,nan
C O b,3,-15.626986769877552,nan,-19.565045297345584,nan,-18.930928597690134,nan,1.0270164817814478,nan,1.0271720352647367,nan,1.0000801603206413,nan,1.0002148714845958,nan
C O g,3,-15.647202043877027,nan,-19.669421900931823,nan,-18.8915436374724,nan,1.038331441774982,nan,1.038451442290196,nan,1.0000801603206413,nan,1.0002148714845958,nan
C O v,3,-16.528152318441805,nan,-inf,nan,-19.175863507482998,nan,1.0178836926438095,nan,1.0180679424513304,nan,1.0000801603206413,nan,1.0002148714845958,nan
C u D,3,-12.25401690985176,nan,-16.187264627199404,nan,-16.19982135411463,nan,1.1572668896528764,nan,1.1570162970907827,nan,1.0019337600279359,nan,1.0018660660741951,nan
C u S,3,-14.220829044724848,nan,-15.110074977118309,nan,-15.167124251397585,nan,1.1338287582376982,nan,1.1336518111094742,nan,1.0016104754566921,nan,1.0015781720192074,nan
C u T,3,-14.225609930325188,nan,-14.246950150594087,nan,-14.318782263614695,nan,1.1314849450961804,nan,1.1313153625113435,nan,1.0019337600279359,nan,1.0018660660741951,nan
D e C,3,-12.481431482995319,nan,-12.994419428545788,nan,-12.9564161267924,nan,1.152137881883172,nan,1.1519042706789329,nan,1.015310621242485,nan,1.013790178715233,nan
D e D,3,-10.48066297338796,nan,-14.200533811251365,nan,-14.173461012685689,nan,1.1764650458692707,nan,1.1761549957836703,nan,1.0165229383846492,nan,1.0148697814214371,nan
D e J,3,-12.764737180847302,nan,-11.469400598385022,nan,-11.528082549507058,nan,1.1511680281694405,nan,1.150937464362465,nan,1.0155530846709178,nan,1.014006099256474,nan
D e S,3,-12.447475108261045,nan,-12.437744186245709,nan,-12.442643362141641,nan,1.1530269144540926,nan,1.1527905098023619,nan,1.0154722635281068,nan,1.013934125742727,nan
D i C,3,-12.081004987741224,nan,-13.877272073044175,nan,-13.90720205109372,nan,1.1570276614422903,nan,1.1567788111935564,nan,1.001850956418616,nan,1.0017925189754806,nan
D i D,3,-10.080236478133862,nan,-15.26593661009871,nan,-15.243256214366637,nan,1.181354825428389,nan,1.1810295362982939,nan,1.0044372329885667,nan,1.0040956714153828,nan
D i S,3,-12.04704861300695,nan,-14.311476419609324,nan,-14.329522645613299,nan,1.1579166940132108,nan,1.1576650503169854,nan,1.0014468507045613,nan,1.001432651406746,nan
D i T,3,-12.051829498607292,nan,-13.275012132606975,nan,-13.312230838002343,nan,1.155572880871693,nan,1.1553286017188547,nan,1.0014468507045613,nan,1.001432651406746,nan
d u r,3,-9.772610530101538,nan,-10.662763321168615,nan,-10.678751083761053,nan,1.253356656683911,nan,1.2528051616273899,nan,1.0215880366568424,nan,1.0193751505961954,nan
D W C,3,-13.57253313672103,nan,-16.314296231443727,nan,-16.11466356659046,nan,1.1013162385965989,nan,1.101241013526943,nan,1,1,1.0001434224991712,1.0
D W D,3,-11.57176462711367,nan,-18.94752696978945,nan,-18.677180819083382,nan,1.1256434025826976,nan,1.1254917386316805,nan,1.0007273902852987,nan,1.0007911841228938,nan
D W T,3,-13.543357647587097,nan,-14.446505593681158,nan,-14.299830821198098,nan,1.0998614580260015,nan,1.0997908040522413,nan,1.000080821142811,nan,1.0002153960129183,nan
f U n,3,-11.413902895187286,nan,-inf,nan,-17.010985987672903,nan,1.1317660124279927,nan,1.1315936685116226,nan,1.0002404809619239,nan,1.0003577694554444,nan
f u r,3,-10.761982911894917,nan,-13.365845026056462,nan,-13.353862602426128,nan,1.2328684614057996,nan,1.2323807161191722,nan,1.0129307220275838,nan,1.0116586601703594,nan
f U s,3,-11.731967666767668,nan,-inf,nan,-17.16625928842737,nan,1.1133387918670938,nan,1.1132243484987319,nan,1.0002404809619239,nan,1.0003577694554444,nan
f W r,3,-12.080499138764184,nan,-17.8414504409257,nan,-17.401964188301594,nan,1.1260949143116112,nan,1.1259399297998498,nan,1.0002411417840935,nan,1.0003582939837672,nan
f ^ r,3,-10.199327523951414,nan,-12.42805949693141,nan,-12.445726204228146,nan,1.2097021287404688,nan,1.2092865815498899,nan,1.0028976663421405,nan,1.0027250274842556,nan
g U n,3,-10.894769741651217,nan,-inf,nan,-15.972130668964677,nan,1.1507335994628067,nan,1.1505022372047773,nan,1.002565130260521,nan,1.0024297900327523,nan
g U S,3,-13.481134230007896,nan,-12.8455297249184,nan,-12.881366745845582,nan,1.0769438960764008,nan,1.0769443899601754,nan,1.0032925205458196,nan,1.003077551656475,nan
g U T,3,-13.48591511560824,nan,-inf,nan,-15.792434362982467,nan,1.074600082934883,nan,1.0746079413620446,nan,1.002565130260521,nan,1.0024297900327523,nan
g W C,3,-13.917897101012462,nan,-18.13886663688741,nan,-17.471666653080106,nan,1.058098951681833,nan,1.0581581987830464,nan,1,1,1.0001434224991712,1.0
g W D,3,-11.917128591405103,nan,-20.772097375233134,nan,-20.03418390557303,nan,1.0824261156679318,nan,1.0824089238877839,nan,1.0007273902852987,nan,1.0007911841228938,nan
