word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.20106809677198,nan,-11.47664699025592,nan,-11.491685635991987,nan,1.108016486593038,nan,1.107939631912078,nan,1.002231018156725,nan,1.002150170572705,nan
b i l,3,-10.285489613876125,nan,-11.293053581131064,nan,-11.304966520113876,nan,1.1459095859946362,nan,1.1457385313238542,nan,1.0079892760151599,nan,1.0073977618827616,nan
b i s,3,-10.120888994628434,nan,-11.399739820737256,nan,-11.410742167384184,nan,1.167914319571045,nan,1.1676885058006279,nan,1.0028079288649008,nan,1.002675831137746,nan
b R s,3,-11.38097447907305,nan,-12.376485894128383,nan,-12.389582310366636,nan,1.1069224051379896,nan,1.1068476573311752,nan,1.0015973730153287,nan,1.001572224126603,nan
b Y s,3,-10.942877035134398,nan,-11.768858667303562,nan,-11.78201570666914,nan,1.1158992944230217,nan,1.1158023124816896,nan,1.0033184613857917,nan,1.0031411930747451,nan
b ^ l,3,-9.88084139771728,nan,-10.334808608890855,nan,-10.347424888436262,nan,1.162717378698526,nan,1.1625046941588597,nan,1.010954750752513,nan,1.010103593449027,nan
C @ l,3,-12.36615016491013,nan,-16.298399397624294,nan,-16.283075808355477,nan,1.1117390972215622,nan,1.1116526320216091,nan,1.0008943360135028,nan,1.0009314750690281,nan
C i D,3,-12.1941952528041,nan,-17.462545124196204,nan,-17.446613997067047,nan,1.1061984347092602,nan,1.1061258550678927,nan,1.0050500976122623,nan,1.0047189259648979,nan
C i n,3,-11.570540997318695,nan,-13.783957837435498,nan,-13.799893992763494,nan,1.1558370197537173,nan,1.1556409137713128,nan,1.002491407661517,nan,1.0023871083130382,nan
C R J,3,-15.775754720003562,nan,-17.431677734906934,nan,-17.3822763196735,nan,1.0210908674904309,nan,1.0212293659654639,nan,1.0000639672487686,nan,1.0001746359255463,nan
C R g,3,-13.826108576565419,nan,-17.65570421162157,nan,-17.62374330816227,nan,1.053074491874746,nan,1.0531333986351934,nan,1.0002558689950745,nan,1.0003495222494356,nan
C R T,3,-15.420536440561294,nan,-16.99209518006276,nan,-16.927761995341914,nan,1.020579129500282,nan,1.0207189014427482,nan,1,1,1.0001163404842497,1.0
C ^ J,3,-14.111021019400102,nan,-17.863193063087998,nan,-17.859787185853182,nan,1.0988905746273763,nan,1.0988363772699221,nan,1.0001912990116768,nan,1.000290726011453,nan
C ^ n,3,-11.165892781159847,nan,-12.623637556137544,nan,-12.636664323058778,nan,1.1726448124576072,nan,1.1724070766063184,nan,1.012600945272791,nan,1.0116000416229722,nan
C ^ S,3,-13.862297685686272,nan,-16.307084846006425,nan,-16.336436483877364,nan,1.0993383453687569,nan,1.0992830337272983,nan,1.0002552662604456,nan,1.0003490214527495,nan
C ^ C,3,-13.931614916566271,nan,-15.587970875440092,nan,-15.626089806000126,nan,1.0987626401298392,nan,1.0987087611392432,nan,1.000703037001826,nan,1.000757089541825,nan
d i k,3,-9.931002694949202,nan,-12.19509976940748,nan,-12.203391605897043,nan,1.1662570233045957,nan,1.1660354772220982,nan,1.0033884559808504,nan,1.0032044964829048,nan
d i s,3,-9.662746923965004,nan,-12.199315230996937,nan,-12.20659171415986,nan,1.1786027023169414,nan,1.1783504338326136,nan,1.0017892747616346,nan,1.0017471104504925,nan
d i t,3,-8.98206632076631,nan,-10.917752534611346,nan,-10.925754152520557,nan,1.2590095340191099,nan,1.2585571719643136,nan,1.002045143756709,nan,1.0019802922156784,nan
d E p,3,-11.140031852874548,nan,-16.30801253144095,nan,-16.254206476956366,nan,1.118004544642939,nan,1.1179029698259386,nan,1.0003832007579827,nan,1.0004656123353424,nan
d R s,3,-10.922832408409619,nan,-12.414850315997032,nan,-12.426198826566804,nan,1.117610787883886,nan,1.117509585363161,nan,1.0015973730153287,nan,1.001572224126603,nan
D i D,3,-10.052127372883081,nan,-15.853102334421983,nan,-15.82258589161168,nan,1.1837528309428778,nan,1.1834882971571228,nan,1.0055594246638955,nan,1.0051832863085246,nan
D i g,3,-10.423955212199786,nan,-13.97279921257029,nan,-13.970631259132055,nan,1.1916208025414192,nan,1.1913366891938761,nan,1.0049837194249778,nan,1.004658627336856,nan
D i C,3,-12.1941952528041,nan,-13.935994536741575,nan,-13.95946547104519,nan,1.1595092436595669,nan,1.1593050403934677,nan,1.001657422489009,nan,1.0016272643894386,nan
d I J,3,-12.052237543434371,nan,-14.636904399255714,nan,-14.632960435155422,nan,1.0884874610441628,nan,1.088459093464816,nan,1.0075762398930412,nan,1.0070237005956963,nan
d I D,3,-9.730763560679524,nan,-14.437380912078208,nan,-14.414904922239021,nan,1.1126031138299366,nan,1.1125147340977921,nan,1.0087276503708766,nan,1.0080730185390332,nan
d Y p,3,-11.266847017794488,nan,-12.590661399524592,nan,-12.601105796645909,nan,1.0750300746614019,nan,1.0750349398500716,nan,1.0017880692923766,nan,1.00174610885712,nan
