word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.023035793613913,nan,-12.792311597763408,nan,-12.811778535321384,nan,1.1072917038342525,nan,1.1072149237449707,nan,1.0010894642399384,nan,1.0011099253411522,nan
b O r,3,-13.32397893826393,nan,-inf,nan,-15.282104215814009,nan,1.1230570330324177,nan,1.1229406262456152,nan,1.0010894642399384,nan,1.0011099253411522,nan
b O s,3,-13.356902007639366,nan,-13.625808867775017,nan,-13.578796419759154,nan,1.0924955547097452,nan,1.0924559652505135,nan,1.001154076244849,nan,1.0011687557917934,nan
b U n,3,-10.86448249855586,nan,-inf,nan,-16.983316760203707,nan,1.1368994967078745,nan,1.1367489006036295,nan,1.0005126890540887,nan,1.0005843778958967,nan
b u r,3,-10.217176672724495,nan,-11.887842827101721,nan,-11.8966825697383,nan,1.2713523419275727,nan,1.2708662159662572,nan,1.0172440430870149,nan,1.0158188468716371,nan
b U s,3,-11.198348712581314,nan,-inf,nan,-17.21133814390879,nan,1.1221033475833673,nan,1.1219899421091724,nan,1.0005126890540887,nan,1.0005843778958967,nan
b W r,3,-11.57431168452118,nan,-16.33808869062566,nan,-15.955608305539831,nan,1.1431159922736378,nan,1.1429495759355723,nan,1.0006413871907605,nan,1.000701602507122,nan
C e D,3,-12.60093302736426,nan,-18.26446396607585,nan,-18.235508103083948,nan,1.1031443205893743,nan,1.1030788000002412,nan,1.0016131966301651,nan,1.0015862407170273,nan
C i D,3,-12.185363349748044,nan,-17.681658718929455,nan,-17.658497599148333,nan,1.1053232490692513,nan,1.1052522961326965,nan,1.0049703915197647,nan,1.004643242700086,nan
C O b,3,-15.78468555120504,nan,-20.838018618142815,nan,-20.165042649184,nan,1.02167605228038,nan,1.0218138402810149,nan,1,1,1.000117224611225,1.0
C O g,3,-15.793672539796027,nan,-21.05217518086604,nan,-20.25980691914483,nan,1.0399612496700552,nan,1.0400530771977459,nan,1,1,1.000117224611225,1.0
C O v,3,-16.71335432460374,nan,-inf,nan,-21.38418207343954,nan,1.011338131494698,nan,1.0115019042150184,nan,1,1,1.000117224611225,1.0
C u D,3,-12.318609038825645,nan,-17.774176602700273,nan,-17.74934598558643,nan,1.179663161912112,nan,1.1794068700635283,nan,1.0012901366056124,nan,1.001292088463821,nan
C u S,3,-14.39182355783666,nan,-16.075339027351795,nan,-16.100252987218386,nan,1.156338228139417,nan,1.156140564314624,nan,1.001354748610523,nan,1.0013509189144623,nan
C u T,3,-14.278817401156868,nan,-15.110115667896407,nan,-15.143306387579072,nan,1.1554982720755804,nan,1.1553027195092618,nan,1.001871644649807,nan,1.001821562519592,nan
D e C,3,-12.60093302736426,nan,-13.148674408980831,nan,-13.128878534967697,nan,1.1574108572781143,nan,1.1572108793452955,nan,1.0182015131664475,nan,1.0167020387971792,nan
D e D,3,-10.466035199915005,nan,-14.895167251067226,nan,-14.85835352889596,nan,1.1813172990950038,nan,1.1810572314979122,nan,1.0194291412597474,nan,1.017819817359363,nan
D e J,3,-12.782054823966309,nan,-11.857398563270497,nan,-11.889949887987402,nan,1.1577339173026668,nan,1.1575331273473581,nan,1.0182015131664475,nan,1.0167020387971792,nan
D e S,3,-12.539249718926019,nan,-12.534776860577022,nan,-12.539790468494799,nan,1.1579923653223088,nan,1.157790925749008,nan,1.0182015131664475,nan,1.0167020387971792,nan
D i C,3,-12.185363349748044,nan,-13.966553906984867,nan,-13.989114529275046,nan,1.1595897857579913,nan,1.1593843754777509,nan,1.0016058344060732,nan,1.001580132656225,nan
D i D,3,-10.05046552229879,nan,-15.938135971881563,nan,-15.90409320073123,nan,1.1834962275748808,nan,1.1832307276303675,nan,1.0055471667056144,nan,1.0051687901453414,nan
D i S,3,-12.123680041309807,nan,-14.315467106090107,nan,-14.33111938048144,nan,1.1601712938021858,nan,1.1599644218814633,nan,1.0017996704208045,nan,1.0017566240081488,nan
D i T,3,-12.010673884630016,nan,-13.249401049260667,nan,-13.27408932228514,nan,1.1593313377383492,nan,1.159126577076101,nan,1.0015412224011626,nan,1.0015213022055838,nan
d u r,3,-9.759808452138941,nan,-10.598315240757445,nan,-10.609040009401802,nan,1.283187039982844,nan,1.282671461323924,nan,1.0265365321923725,nan,1.0242860001563086,nan
D W C,3,-13.675744050622331,nan,-16.732348630478572,nan,-16.60277941008311,nan,1.1056933489469172,nan,1.1056223093778978,nan,1,1,1.000117224611225,1.0
D W D,3,-11.540846223173077,nan,-19.44611775917199,nan,-19.26871080548012,nan,1.1295997907638067,nan,1.1294686615305145,nan,1.0012276280932997,nan,1.001235003173409,nan
D W T,3,-13.5010545855043,nan,-14.547091919049059,nan,-14.461339848183886,nan,1.105434900927275,nan,1.105364510976248,nan,1.0000646120049106,nan,1.0001760550618664,nan
f U n,3,-11.442516147114713,nan,-inf,nan,-18.25400921780388,nan,1.1186676645686728,nan,1.1185624415391153,nan,1.0002563445270443,nan,1.000350801253561,nan
