word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.077105413270914,nan,-15.164183389467617,nan,-15.179909903393096,nan,1.1590931525332437,nan,1.1588866601980317,nan,1.001711312401276,nan,1.0016744630830174,nan
g i T,3,-12.387553811311086,nan,-13.067482115371416,nan,-13.09995062012882,nan,1.1047828071848627,nan,1.1047134048541827,nan,1.0004589788594538,nan,1.0005362381743614,nan
z i T,3,-12.442243697607704,nan,-17.192083590726092,nan,-17.168291810617237,nan,1.079032289586519,nan,1.0790276997880321,nan,1.0003941364265658,nan,1.0004772167495843,nan
y c g,3,-11.709504297192423,nan,-16.170347455671028,nan,-15.899532538516379,nan,1.1901532916282331,nan,1.1898679387173206,nan,1.001052724413921,nan,1.001075839916301,nan
l R z,3,-11.602604442220835,nan,-12.830182836785873,nan,-12.82894457283679,nan,1.0840267317492855,nan,1.0840092034281394,nan,1.0001296848657761,nan,1.0002369265910032,nan
J Y p,3,-13.672429542918946,nan,-16.87950513317375,nan,-16.24855167885623,nan,1.042979808300069,nan,1.0430658282706982,nan,1.0011854583772393,nan,1.0011964054415385,nan
C ^ z,3,-12.19682122900484,nan,-13.515583239579186,nan,-13.537258417606765,nan,1.1144741220494483,nan,1.1143795370193743,nan,1.0036181684670633,nan,1.003407947590812,nan
C e J,3,-14.888825178076551,nan,-14.834261805886113,nan,-14.884852858953982,nan,1.07897115624266,nan,1.0789667109748102,nan,1.0004549133960638,nan,1.0005328746067836,nan
z i S,3,-12.542492677972565,nan,-18.20001635004549,nan,-18.1667657288619,nan,1.0798884539700806,nan,1.0798816707530194,nan,1.0006575716215078,nan,1.000716666016271,nan
z u v,3,-11.892889607854432,nan,-21.18047351110762,nan,-20.96036551217262,nan,1.1544442440167055,nan,1.1542492631546106,nan,1.001711312401276,nan,1.0016744630830174,nan
