word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.186258961052141,nan,-11.366822594018375,nan,-11.383442866268943,nan,1.11067664268545,nan,1.1105889767421278,nan,1.0025012313093147,nan,1.0023911026272618,nan
b i l,3,-10.257810584535376,nan,-11.214771594370674,nan,-11.22782844592017,nan,1.1469672235702555,nan,1.1467830808676263,nan,1.0075842937484523,nan,1.0069933520845737,nan
b i s,3,-10.094016366475682,nan,-11.309208267002228,nan,-11.321337959790522,nan,1.166023982550239,nan,1.1657890287721864,nan,1.0026487302716218,nan,1.002523800902005,nan
b R s,3,-11.350088001463549,nan,-12.312028213873958,nan,-12.326244269328836,nan,1.108794661770145,nan,1.1087094124330623,nan,1.0016360878458752,nan,1.0016054605184779,nan
b Y s,3,-10.917454946082934,nan,-11.680615710221769,nan,-11.695114537161391,nan,1.1167301022543412,nan,1.1166240948396624,nan,1.0032604757178059,nan,1.0030782227622126,nan
b ^ l,3,-9.866194604646287,nan,-10.195863078327772,nan,-10.209802434616646,nan,1.1665368267982315,nan,1.1663014925652584,nan,1.0118011616626612,nan,1.0108263772372292,nan
C @ l,3,-12.309731117877428,nan,-15.729798726343063,nan,-15.724308794318366,nan,1.1153573079982146,nan,1.1152556845953285,nan,1.0010217424054815,nan,1.0010489026394636,nan
C i D,3,-12.144862855638697,nan,-16.874667845572866,nan,-16.870474166021918,nan,1.1037317934621262,nan,1.1036614520831023,nan,1.0051269119868769,nan,1.0047671205685171,nan
C i n,3,-11.512902807087013,nan,-13.281545937424408,nan,-13.306969575979426,nan,1.1559665069252467,nan,1.1557568920229395,nan,1.002864778726663,nan,1.0027185762765063,nan
C R J,3,-15.699581020041684,nan,-17.11880859679794,nan,-17.058430240249578,nan,1.0238811400798935,nan,1.0240208184471982,nan,1.0002030484839912,nan,1.0003071814705793,nan
C R g,3,-13.773864410258197,nan,-17.372721270062357,nan,-17.337083014243813,nan,1.0537001694190764,nan,1.0537603412474992,nan,1.0004086969621926,nan,1.000493412769853,nan
C R T,3,-15.34463713326667,nan,-16.549162948884103,nan,-16.493487882234085,nan,1.0230585461670885,nan,1.0232004178182244,nan,1.0001344989912575,nan,1.0002451043708214,nan
C ^ J,3,-14.051893405164728,nan,-17.380201850555004,nan,-17.3819804092823,nan,1.1006800640879635,nan,1.1006188464839544,nan,1.0004060969679827,nan,1.000491276751046,nan
C ^ n,3,-11.121286827197926,nan,-12.187762687751613,nan,-12.20966031839411,nan,1.1755361101532227,nan,1.1752753037205717,nan,1.0124022581963896,nan,1.0113547692086784,nan
C ^ S,3,-13.78928727348116,nan,-15.683104511050924,nan,-15.724656489614077,nan,1.1010228115516323,nan,1.1009606800793603,nan,1.0005431959534503,nan,1.000615430950562,nan
C ^ C,3,-13.835059023043783,nan,-15.050688301164959,nan,-15.099813949268219,nan,1.1004744156097623,nan,1.100413746326711,nan,1.0008173939243852,nan,1.0008637393495934,nan
d i k,3,-9.91189859029605,nan,-12.177340045360134,nan,-12.186269998705418,nan,1.1647276903516963,nan,1.1644967120670606,nan,1.0030795271845991,nan,1.002912283641604,nan
d i s,3,-9.650252408809576,nan,-12.145331096035745,nan,-12.153360685255132,nan,1.175147213247227,nan,1.1748884533673958,nan,1.0016399878371902,nan,1.0016086645466882,nan
d i t,3,-8.986259755831432,nan,-10.931331527797662,nan,-10.940045896594427,nan,1.2543904268474464,nan,1.2539203806252066,nan,1.0018456363153916,nan,1.001794895845962,nan
d E p,3,-11.12668936897535,nan,-16.235043455682337,nan,-16.178349647357248,nan,1.1199343723736954,nan,1.1198225484967712,nan,1.0004086969621926,nan,1.000493412769853,nan
d R s,3,-10.906324043797444,nan,-12.389365294087334,nan,-12.401608844021895,nan,1.117917892467133,nan,1.1178088370282717,nan,1.0016360878458752,nan,1.0016054605184779,nan
D i D,3,-10.063050708344527,nan,-15.687454384313368,nan,-15.659768681353789,nan,1.1776567951391907,nan,1.177393554317814,nan,1.0055304089606496,nan,1.0051331751106438,nan
D i g,3,-10.435980627976157,nan,-13.853630220925913,nan,-13.852686199858342,nan,1.184854491876235,nan,1.184572059821335,nan,1.0045707160623771,nan,1.0042640957140332,nan
D i C,3,-12.1448628556387,nan,-13.760128994819707,nan,-13.786507211868349,nan,1.1548298140588509,nan,1.1546274368637905,nan,1.0016916373675593,nan,1.0016568575242013,nan
d I J,3,-12.048561742302523,nan,-14.442734557856642,nan,-14.442902436404035,nan,1.0913123361135493,nan,1.091275850462334,nan,1.0078022414900438,nan,1.0072012086806335,nan
d I D,3,-9.749915212887405,nan,-14.282392215487546,nan,-14.263172946751158,nan,1.113933668715688,nan,1.1138368677591142,nan,1.0088304838810502,nan,1.008132365177002,nan
