word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.020509478635763,nan,-12.803941277367208,nan,-12.823168820153942,nan,1.107018799591264,nan,1.106942375433558,nan,1.0010893944248638,nan,1.001109995780442,nan
b O r,3,-13.322237583539387,nan,-inf,nan,-15.281013845155192,nan,1.1228877030176516,nan,1.1227712938984757,nan,1.0010893944248638,nan,1.001109995780442,nan
b O s,3,-13.356966554668443,nan,-13.62068857678818,nan,-13.573460346499457,nan,1.0928987140934985,nan,1.0928578683913044,nan,1.0011541654592573,nan,1.0011689580445928,nan
b U n,3,-10.868061682155517,nan,-inf,nan,-16.99517351397282,nan,1.136368367037595,nan,1.1362187753312822,nan,1.000512656199936,nan,1.0005844790222964,nan
b u r,3,-10.216077227208293,nan,-11.862872812278756,nan,-11.871811516313214,nan,1.2714298369490837,nan,1.270943116961631,nan,1.0173489910858164,nan,1.0159112386220663,nan
b U s,3,-11.204518758188197,nan,-inf,nan,-17.20646853958565,nan,1.1222482815398296,nan,1.1221342682890287,nan,1.000512656199936,nan,1.0005844790222964,nan
b W r,3,-11.57338748099251,nan,-16.3427179625164,nan,-15.960196485364765,nan,1.1430094588651363,nan,1.142842886841457,nan,1.0006415092593215,nan,1.0007018320373524,nan
C e D,3,-12.60007939340062,nan,-18.148073249378818,nan,-18.12251701383216,nan,1.1030748042461789,nan,1.1030094295532191,nan,1.0016806018472217,nan,1.001647514316751,nan
C i D,3,-12.18556013718777,nan,-17.564217580829055,nan,-17.544459811819294,nan,1.1052535930959064,nan,1.1051827867508668,nan,1.0049804795542792,nan,1.0046517322222197,nan
C O b,3,-15.781641940516453,nan,-20.778652639512877,nan,-20.1071605211923,nan,1.0219752182930966,nan,1.0221122734243908,nan,1,1,1.000117353015056,1.0
C O g,3,-15.791457970254108,nan,-20.97488572773013,nan,-20.184295447119894,nan,1.0401111079232541,nan,1.0402024659557254,nan,1,1,1.000117353015056,1.0
C O v,3,-16.705900842039785,nan,-inf,nan,-21.28850591089174,nan,1.0114175396869693,nan,1.0115811970579351,nan,1,1,1.000117353015056,1.0
C u D,3,-12.315393667650387,nan,-17.65195085601068,nan,-17.630541529005576,nan,1.1799091522115746,nan,1.1796522319055587,nan,1.0012926646502627,nan,1.0012943122450912,nan
C u S,3,-14.384103674540297,nan,-15.985536382467656,nan,-16.01259025984929,nan,1.1569802060363041,nan,1.1567810599195139,nan,1.001357435684656,nan,1.0013532745092422,nan
C u T,3,-14.270574367304643,nan,-15.022854337724365,nan,-15.05799279883998,nan,1.1560734115547961,nan,1.1558765502929471,nan,1.0018756039598034,nan,1.0018249726224497,nan
D e C,3,-12.60007939340062,nan,-13.112718658620825,nan,-13.093491982578037,nan,1.1573106145442433,nan,1.1571110971670744,nan,1.018072509066544,nan,1.0165846877967737,nan
D e D,3,-10.466381326143269,nan,-14.864074035190864,nan,-14.828626684384698,nan,1.1809520420978414,nan,1.1806929552882788,nan,1.019303158720019,nan,1.0177049708156416,nan
D e J,3,-12.783840835252562,nan,-11.785644749182865,nan,-11.81972166454055,nan,1.157699240750604,nan,1.1574987441498887,nan,1.0181372801009374,nan,1.0166436500609246,nan
D e S,3,-12.53509133303318,nan,-12.586750479324865,nan,-12.589962332808815,nan,1.158023095922571,nan,1.157821783302234,nan,1.018072509066544,nan,1.0165846877967737,nan
D i C,3,-12.185560137187768,nan,-13.9238884105526,nan,-13.947028352505352,nan,1.1594894033939709,nan,1.159284454364722,nan,1.0016709557156016,nan,1.0016395131313087,nan
D i D,3,-10.051862069930419,nan,-15.900333009932936,nan,-15.867666731839934,nan,1.183130830947569,nan,1.1828663124859264,nan,1.005557217779207,nan,1.0051772489803652,nan
D i S,3,-12.120572076820329,nan,-14.337927489748111,nan,-14.353070484361542,nan,1.1602018847722986,nan,1.1599951404998816,nan,1.001865268818782,nan,1.0018163999237615,nan
D i T,3,-12.007042769584675,nan,-13.229781992934022,nan,-13.254479720928543,nan,1.1592950902907906,nan,1.1590906308733149,nan,1.0016061846812083,nan,1.0015805508671578,nan
d u r,3,-9.758925468360566,nan,-10.587563492590014,nan,-10.59830360243487,nan,1.2832584814503625,nan,1.2827423388507821,nan,1.0266408847096549,nan,1.0243778975032996,nan
D W C,3,-13.672703921434604,nan,-16.638852829403476,nan,-16.512596875791925,nan,1.1057245844256915,nan,1.10565366939924,nan,1,1,1.000117353015056,1.0
D W D,3,-11.539005854177253,nan,-19.411551713850816,nan,-19.235481273454887,nan,1.1293660119792897,nan,1.1292355275204444,nan,1.0012306496534749,nan,1.001237636033924,nan
D W T,3,-13.494186553831511,nan,-14.539293523041255,nan,-14.45343787336126,nan,1.1055302713225112,nan,1.1054598459078329,nan,1.0000647710343935,nan,1.000176315279207,nan
f U n,3,-11.447822036183407,nan,-inf,nan,-18.322088772987875,nan,1.117826167549104,nan,1.1177226977753156,nan,1.0003204101249599,nan,1.0004093067695812,nan
f u r,3,-10.795837581236183,nan,-13.881911978606247,nan,-13.874252798139898,nan,1.2528876374605926,nan,1.2524470394056644,nan,1.0165159247609206,nan,1.0151521588603007,nan
f U s,3,-11.784279112216087,nan,-inf,nan,-18.533383798600706,nan,1.1037060820513385,nan,1.1036381907330621,nan,1.0003204101249599,nan,1.0004093067695812,nan
f W r,3,-12.1531478350204,nan,-18.478471821900623,nan,-18.07054937387378,nan,1.1244672593766452,nan,1.1243468092854905,nan,1.0002570171093694,nan,1.0003514875319222,nan
f ^ r,3,-10.264059081473535,nan,-13.332291976166388,nan,-13.340252450901273,nan,1.19482932281785,nan,1.194533462315406,nan,1.00148077666883,nan,1.0014660554183312,nan
g U n,3,-10.877877711893174,nan,-inf,nan,-16.827404242113065,nan,1.1365601828943726,nan,1.13641011406462,nan,1.0023069528997117,nan,1.002219420047638,nan
g U S,3,-13.574022113406423,nan,-13.287687362469574,nan,-13.311495129933538,nan,1.062915516789055,nan,1.0629510108213067,nan,1.0030194342780394,nan,1.0028680049532983,nan
g U T,3,-13.46049280617077,nan,-inf,nan,-16.67180936693536,nan,1.062008722307547,nan,1.06204650119474,nan,1.0023069528997117,nan,1.002219420047638,nan
g W C,3,-14.042607867707233,nan,-18.589769471972353,nan,-18.192587063977257,nan,1.0529752238118808,nan,1.0530355177314041,nan,1,1,1.000117353015056,1.0
g W D,3,-11.908909800449882,nan,-21.36246835641969,nan,-20.915471461640223,nan,1.076616651365479,nan,1.0766173758526085,nan,1.0012306496534749,nan,1.001237636033924,nan
g W T,3,-13.86409050010414,nan,-16.49021016561013,nan,-16.133428061546592,nan,1.0527809107087005,nan,1.052841694239997,nan,1.0000647710343935,nan,1.000176315279207,nan
g ^ r,3,-9.694114757183302,nan,-11.697350744097239,nan,-11.706749072069563,nan,1.2135633381631186,nan,1.2132208786047103,nan,1.0032750733686058,nan,1.0031009964436728,nan
h U n,3,-11.083905930988116,nan,-inf,nan,-19.684320372376664,nan,1.167442535835549,nan,1.167215650131971,nan,1,1,1.000117353015056,1.0
h u r,3,-10.431921476040891,nan,-11.454656670798702,nan,-11.462654797830876,nan,1.3025040057470376,nan,1.3019399917623198,nan,1.020617174360408,nan,1.0188891669182243,nan
h U s,3,-11.420363007020795,nan,-inf,nan,-19.895615397989495,nan,1.1533224503377837,nan,1.1531311430897175,nan,1,1,1.000117353015056,1.0
h W r,3,-11.789231729825108,nan,-14.978126094220091,nan,-14.601050856214808,nan,1.1740836276630902,nan,1.1738397616421459,nan,1.0051913330337527,nan,1.0048475753516115,nan
J O b,3,-15.965403382368395,nan,-17.79386454010062,nan,-17.686574432645628,nan,1.026323044380053,nan,1.0264492847133762,nan,1,1,1.000117353015056,1.0
J ^ r,3,-11.641670320019964,nan,-11.788132477103026,nan,-11.83706188290467,nan,1.1927832870122232,nan,1.1924925158264719,nan,1.0060946824682533,nan,1.0056701894834952,nan
k E G,3,-11.66704510863876,nan,-16.913824282115403,nan,-16.805360654020532,nan,1.106794753971832,nan,1.106720900479803,nan,1.0000647710343935,nan,1.000176315279207,nan
k E S,3,-12.792266506034833,nan,-17.913245006560942,nan,-17.80518079124416,nan,1.1067299829374384,nan,1.106656292649334,nan,1,1,1.000117353015056,1.0
k i b,3,-10.387963984873517,nan,-14.801273597419431,nan,-14.794561580408427,nan,1.1288541204745894,nan,1.1287249134669188,nan,1.0007097253407218,nan,1.0007636518677328,nan
k i C,3,-12.161574135595895,nan,-13.690150569505487,nan,-13.71863133641229,nan,1.1146044929080372,nan,1.114511190763727,nan,1.0007097253407218,nan,1.0007636518677328,nan
k i D,3,-10.027876068338545,nan,-15.666595168885824,nan,-15.639269715746876,nan,1.1382459204616353,nan,1.1380930488849315,nan,1.004595987404327,nan,1.0043013877167892,nan
k i r,3,-9.70216977861883,nan,-11.044985842110684,nan,-11.054209285081557,nan,1.2048305438180702,nan,1.2045098986071177,nan,1.024675008066287,nan,1.0225796896035817,nan
k u f,3,-11.097557869364024,nan,-14.996155680530238,nan,-14.985582602990322,nan,1.1936644823624578,nan,1.1933739683903146,nan,1.0022669862037696,nan,1.002181032260339,nan
k U m,3,-11.170787635988187,nan,-17.061808668859527,nan,-16.788041254128423,nan,1.1129459103070478,nan,1.1128555965235012,nan,1.0011534764498558,nan,1.001168386531347,nan
k U n,3,-10.483987764028672,nan,-inf,nan,-17.82579230888128,nan,1.1444246330222496,nan,1.1442550021314608,nan,1.0011534764498558,nan,1.001168386531347,nan
k U p,3,-11.604285895429506,nan,-16.41426832689493,nan,-16.208129821972815,nan,1.0780990938033883,nan,1.0780965837311507,nan,1.001347789553036,nan,1.0013452733237997,nan
k u r,3,-9.832003309081447,nan,-13.535360042298962,nan,-13.52238028951427,nan,1.2794861029337383,nan,1.2789793437618096,nan,1.0164518427359286,nan,1.0150937681093957,nan
l U n,3,-10.382960949627964,nan,-inf,nan,-16.394997130310518,nan,1.1577238657588227,nan,1.1575211543095334,nan,1.0100608779237423,nan,1.00928470090715,nan
l R l,3,-11.068826209726243,nan,-13.646799071388259,nan,-13.643108634960521,nan,1.1058829104630603,nan,1.105810399750535,nan,1.0009061054721065,nan,1.0009422531999235,nan
m W l,3,-11.473358515520845,nan,-13.542927138028173,nan,-13.543691383205033,nan,1.093941159548744,nan,1.0938983160580305,nan,1.0010335805126889,nan,1.0010584631884873,nan
m W r,3,-11.272665041793713,nan,-16.414032654520156,nan,-16.030492012264737,nan,1.1458227580978728,nan,1.1456491882637416,nan,1.0003210991343614,nan,1.000409878282827,nan
m W t,3,-10.626042757881764,nan,-10.737615427687299,nan,-10.756274131268217,nan,1.1971861883718544,nan,1.1968831978257006,nan,1.0003858701687547,nan,1.000468840546978,nan
n c n,3,-10.056897436394364,nan,-15.545237756749867,nan,-15.516051827579663,nan,1.1240408128321508,nan,1.123922012396809,nan,1.0001936240937788,nan,1.000293668294263,nan
n W C,3,-13.045269526811264,nan,-13.943962016428394,nan,-13.945282391531311,nan,1.0633972186967913,nan,1.0634315889094128,nan,1.0120474206984942,nan,1.0110948141852065,nan
n W D,3,-10.911571459553913,nan,-16.71666090087573,nan,-16.668166789194274,nan,1.0870386462503894,nan,1.0870134470306172,nan,1.013278070351969,nan,1.0122150972040744,nan
n ^ r,3,-8.696776416287335,nan,-11.653727699709599,nan,-11.659357639612331,nan,1.223985333048029,nan,1.223616949782719,nan,1.001865268818782,nan,1.0018163999237615,nan
p c k,3,-11.780643960826662,nan,-14.869303029926996,nan,-14.825970581366452,nan,1.0792688416607277,nan,1.0792622482589458,nan,1.0007117923689262,nan,1.0007653664074705,nan
p c p,3,-12.297493699196032,nan,-inf,nan,-19.709833942638053,nan,1.038981258268021,nan,1.0390761777071948,nan,1.000064082024992,nan,1.000175743765961,nan
p c s,3,-11.513652643827877,nan,-15.840511474482879,nan,-15.786218816333713,nan,1.091186711989117,nan,1.0911500890652515,nan,1.0001288530593855,nan,1.000234706030112,nan
p O l,3,-13.655706877509044,nan,-16.071524528720996,nan,-15.987314506115403,nan,1.0628858998649422,nan,1.0629204153148069,nan,1.0001295420687868,nan,1.0002352775433578,nan
p O m,3,-13.840085170837803,nan,-inf,nan,-18.870773475526725,nan,1.0674198722724815,nan,1.0674429634476406,nan,1,1,1.000117353015056,1.0
p O n,3,-13.153285298878288,nan,-16.14518941184275,nan,-16.03732351937169,nan,1.0988985949876833,nan,1.0988423690556002,nan,1,1,1.000117353015056,1.0
p O r,3,-13.455013403781912,nan,-inf,nan,-18.49516854437294,nan,1.114767498414071,nan,1.114671287520518,nan,1,1,1.000117353015056,1.0
p O s,3,-13.489742374910968,nan,-16.96193671126372,nan,-16.787615045717207,nan,1.0847785094899178,nan,1.0847578620133467,nan,1.0000647710343935,nan,1.000176315279207,nan
p O t,3,-12.808391119869963,nan,-18.468186862920522,nan,-17.753550156529673,nan,1.1661309286880526,nan,1.165905297082477,nan,1,1,1.000117353015056,1.0
p u k,3,-10.65057333557866,nan,-12.751525170974478,nan,-12.759055231504956,nan,1.2214027730929609,nan,1.2210418442701962,nan,1.0144356725569155,nan,1.0132590797617658,nan
p U m,3,-11.687637374357557,nan,-15.499457808190863,nan,-15.23496622505682,nan,1.0967694397188126,nan,1.096719363345365,nan,1.0093559756488304,nan,1.0086424026471943,nan
p U n,3,-11.000837502398042,nan,-inf,nan,-16.272717279809672,nan,1.1282481624340144,nan,1.1281187689533245,nan,1.0093559756488304,nan,1.0086424026471943,nan
p U p,3,-12.121135633798879,nan,-14.851917466226269,nan,-14.655054792901208,nan,1.061922623215153,nan,1.0619603505530144,nan,1.0095502887520107,nan,1.008819289439647,nan
p U s,3,-11.337294578430722,nan,-inf,nan,-16.484012305422503,nan,1.114128076936249,nan,1.114034261911071,nan,1.0093559756488304,nan,1.0086424026471943,nan
