word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.107555073804075,nan,-15.062527197017292,nan,-15.082654915953317,nan,1.156544039852137,nan,1.1563115176614864,nan,1.0012431684719947,nan,1.00124923028818,nan
g i T,3,-12.398414846541346,nan,-13.043164650697873,nan,-13.083623762478332,nan,1.105797211893596,nan,1.1057141497503415,nan,1.0003891656288917,nan,1.0004854266132248,nan
z i T,3,-12.4678145904794,nan,-17.117262675449766,nan,-17.095048423603927,nan,1.0784071869935734,nan,1.0784044898045095,nan,1.0004648372142113,nan,1.0005532876338545,nan
y c g,3,-11.70339151248792,nan,-16.29037486184165,nan,-15.906393627565919,nan,1.1843189808654222,nan,1.18400308825008,nan,1.001241006931536,nan,1.0012474970433771,nan
l R z,3,-11.606885545189034,nan,-12.70035190799512,nan,-12.701450471780559,nan,1.083413678367837,nan,1.0833952869131365,nan,1.000227014755959,nan,1.0003410383479514,nan
J Y p,3,-13.633053890715178,nan,-16.5546698103825,nan,-15.93614537864083,nan,1.0432400950111327,nan,1.0433401296218399,nan,1.0014788293897883,nan,1.0014597463292803,nan
C ^ z,3,-12.16865445246209,nan,-13.332574916050321,nan,-13.362010185710202,nan,1.1164603498301398,nan,1.1163443393423491,nan,1.003576000704886,nan,1.003335325006353,nan
C e J,3,-14.808825059361142,nan,-14.499445043410415,nan,-14.565737668261413,nan,1.0817661059122552,nan,1.081753435780894,nan,1.0006875288892532,nan,1.0007534042061383,nan
z i S,3,-12.522028407073547,nan,-17.873979075071947,nan,-17.842130908014262,nan,1.07996384950914,nan,1.0799564413836202,nan,1.000620503465768,nan,1.0006924761647196,nan
z u v,3,-11.926748930629817,nan,-20.77068057524442,nan,-20.54988503594562,nan,1.1502778653850951,nan,1.1500632837770128,nan,1.0017101672266646,nan,1.001666795880775,nan
D Y p,3,-11.37609324635254,nan,-15.42806330445925,nan,-15.163580179355616,nan,1.1118283391822636,nan,1.111727129320907,nan,1.0014788293897883,nan,1.0014597463292803,nan
s R k,3,-10.991563560756296,nan,-13.726523303228747,nan,-13.724553091200505,nan,1.1197706043919642,nan,1.119642387541364,nan,1.0007696850959489,nan,1.0008264649611764,nan
b R s,3,-11.370514744725245,nan,-12.288131985057596,nan,-12.304614799738834,nan,1.1086321161867043,nan,1.108535583125723,nan,1.0018550257759282,nan,1.0017973181876263,nan
T ^ z,3,-12.074662664411022,nan,-13.933858274984324,nan,-13.939136344604371,nan,1.117667623654934,nan,1.1175480709102095,nan,1.0034246575342465,nan,1.0031996029650936,nan
