word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.194581071163896,nan,-11.42422980756588,nan,-11.440978682999607,nan,1.1082505731183854,nan,1.1081681520843458,nan,1.002540843692053,nan,1.0024255430895643,nan
b i l,3,-10.265603358636557,nan,-11.302579690923983,nan,-11.315522954862345,nan,1.1445170686027832,nan,1.144336452622811,nan,1.007655632382643,nan,1.0070477759247314,nan
b i s,3,-10.121577398946922,nan,-11.420087796218468,nan,-11.43213907283306,nan,1.1633072334533001,nan,1.1630755679136504,nan,1.002556442664845,nan,1.002438317062573,nan
b R s,3,-11.383218339738306,nan,-12.418698324047838,nan,-12.432708603507534,nan,1.1060785234894948,nan,1.1059988753649515,nan,1.0015258228257793,nan,1.0015052193516174,nan
b Y s,3,-10.939762857081199,nan,-11.764168709664432,nan,-11.77858189284826,nan,1.114751609605728,nan,1.1146489230423795,nan,1.003112138181826,nan,1.0029409084446461,nan
b ^ l,3,-9.863343256203295,nan,-10.235643400675219,nan,-10.249613021865308,nan,1.1648680895684322,nan,1.1646334148895323,nan,1.011089824953193,nan,1.0101689966159049,nan
C @ l,3,-12.322584983310056,nan,-15.8568724990756,nan,-15.849784106703297,nan,1.1137146571303163,nan,1.1136156887326885,nan,1.0008335432754718,nan,1.0008788962199775,nan
C i D,3,-12.179997702927526,nan,-17.19627467402097,nan,-17.183120038496334,nan,1.101923035822314,nan,1.1018564378953264,nan,1.0048010632946782,nan,1.0044665661530778,nan
C i n,3,-11.53482292667231,nan,-13.466995163599204,nan,-13.490702886074992,nan,1.1541024155373183,nan,1.1538940554501853,nan,1.0022165424788079,nan,1.0021302650859567,nan
C R J,3,-15.719507649668659,nan,-16.883020659445656,nan,-16.84744386756254,nan,1.0222718614829847,nan,1.02241819884715,nan,1.0000698519139424,nan,1.0001881524189522,nan
C R g,3,-13.786875517229511,nan,-17.292014869254036,nan,-17.26344309938215,nan,1.0548228533801627,nan,1.0548807554476376,nan,1.0002095557418273,nan,1.0003144389631209,nan
C R T,3,-15.377017340721881,nan,-16.65014682348887,nan,-16.584915950365772,nan,1.0219226019132726,nan,1.0220698881540116,nan,1.0000698519139424,nan,1.0001881524189522,nan
C ^ J,3,-14.055606606444012,nan,-17.466247114688862,nan,-17.469290141910623,nan,1.099851592412439,nan,1.0997918536625702,nan,1.0002747279639321,nan,1.0003737500433025,nan
C ^ n,3,-11.132562824239049,nan,-12.32785420206795,nan,-12.3478304759992,nan,1.1744534365029673,nan,1.1741910177169066,nan,1.0127782205596294,nan,1.011676395746403,nan
C ^ S,3,-13.794085360030902,nan,-15.809949060202939,nan,-15.849564680380999,nan,1.1008993711215758,nan,1.100836785741985,nan,1.000414431791817,nan,1.0005000365874712,nan
C ^ C,3,-13.87302425945429,nan,-15.181598074003926,nan,-15.230417305919424,nan,1.1004104077239787,nan,1.1003491507715915,nan,1.0009033951894142,nan,1.0009420394920618,nan
d i k,3,-9.920585462735307,nan,-12.09055382330178,nan,-12.099848693296606,nan,1.1640788827553357,nan,1.1638458503860507,nan,1.0030656847270716,nan,1.0028969261320753,nan
d i s,3,-9.668369482192613,nan,-12.162016874823149,nan,-12.17011347223608,nan,1.1741375583630473,nan,1.173877198348433,nan,1.0016686464482227,nan,1.001634060690388,nan
d i t,3,-8.985450581131406,nan,-10.87892013471859,nan,-10.887823214835985,nan,1.2549562227944528,nan,1.254476292740631,nan,1.0019480541039925,nan,1.0018866337787256,nan
d E p,3,-11.133301809199175,nan,-16.141522945806866,nan,-16.087642666754356,nan,1.1176467656782043,nan,1.1175394596748294,nan,1.0004175515863754,nan,1.000502591382073,nan
d R s,3,-10.930010422983997,nan,-12.453530562583861,nan,-12.465626227981572,nan,1.116908848399242,nan,1.1168005057997341,nan,1.001457530809116,nan,1.0014433534768339,nan
D i D,3,-10.084711043967499,nan,-15.87133055482982,nan,-15.836440927029216,nan,1.1754875069073898,nan,1.1752260031127177,nan,1.0052108153946577,nan,1.0048377614017787,nan
D i g,3,-10.4299479174781,nan,-13.805949566902537,nan,-13.805110184227862,nan,1.1856160344290438,nan,1.185327013213728,nan,1.0050711115667728,nan,1.00471147485761,nan
D i C,3,-12.179997702927526,nan,-13.687270183816365,nan,-13.715645244543484,nan,1.1536238578434055,nan,1.1534217537222615,nan,1.0018579235254206,nan,1.0018068843417296,nan
d I J,3,-12.032043953221557,nan,-14.318834840335683,nan,-14.323582149013365,nan,1.0880799717639902,nan,1.0880517496902407,nan,1.0076487058662842,nan,1.0070539871226163,nan
d I D,3,-9.754174947271808,nan,-14.511437152122435,nan,-14.48477617737323,nan,1.1105024361395142,nan,1.1104132961897182,nan,1.0084869288335936,nan,1.0078117063876286,nan
d Y p,3,-11.26254570044892,nan,-12.468765450714711,nan,-12.480926646255238,nan,1.0760569275302838,nan,1.0760600971901542,nan,1.0020783985482022,nan,1.0020052559390886,nan
d Y t,3,-9.803636039265681,nan,-11.423235305132376,nan,-11.433257536458934,nan,1.2064005989468807,nan,1.20604964786936,nan,1.0031261772573388,nan,1.0029524050203542,nan
d I T,3,-11.689553644274781,nan,-13.862817453064688,nan,-13.86038353635445,nan,1.087730712194278,nan,1.0877034389971023,nan,1.0076487058662842,nan,1.0070539871226163,nan
d I Z,3,-16.29472383026287,nan,-inf,nan,-18.793156958156082,nan,1.0843079684110983,nan,1.0842899942043474,nan,1.0076487058662842,nan,1.0070539871226163,nan
f i k,3,-10.953403603155657,nan,-13.065203724936175,nan,-13.077032248176566,nan,1.1347893248233147,nan,1.1346338938643117,nan,1.0034071448103878,nan,1.0032062555059926,nan
f i s,3,-10.701187622612963,nan,-13.136666776457542,nan,-13.147297027116041,nan,1.1448480004310264,nan,1.144665241826694,nan,1.002010106531539,nan,1.0019433900643053,nan
f R s,3,-11.962828563404347,nan,-14.02254041001041,nan,-14.023574799718505,nan,1.087619290467221,nan,1.087588549277995,nan,1.001457530809116,nan,1.0014433534768339,nan
f R t,3,-11.27990966234314,nan,-13.450708614769248,nan,-13.45214023417294,nan,1.1684379548986266,nan,1.168187643670193,nan,1.0013178269812313,nan,1.0013170669326652,nan
f Y k,3,-11.771589061289934,nan,-12.19331408783004,nan,-12.20944076591781,nan,1.0862337009757426,nan,1.0862072489930408,nan,1.0027769176876267,nan,1.0026366886599323,nan
f ^ l,3,-10.442953479869336,nan,-11.753853182440423,nan,-11.76749872591854,nan,1.1464088565461585,nan,1.146223088802576,nan,1.0023484468202968,nan,1.0022501646436208,nan
g e s,3,-10.551049910304922,nan,-13.726850842713233,nan,-13.716699532962735,nan,1.1609224926055015,nan,1.160697147206248,nan,1.0023035532628215,nan,1.0022074597283508,nan
g W d,3,-11.804727933484845,nan,-17.28179392348988,nan,-16.889824156823124,nan,1.1130485724909038,nan,1.112950213500434,nan,1.0012573344509639,nan,1.0012615880443863,nan
g W r,3,-11.57425459566809,nan,-20.40229567155994,nan,-19.624655512048065,nan,1.1414084495515353,nan,1.1412330417832623,nan,1.0000698519139424,nan,1.0001881524189522,nan
g W z,3,-12.349484607016517,nan,-19.698562768110662,nan,-18.926112414826825,nan,1.0658286786658129,nan,1.0658586077881387,nan,1,1,1.0001250091468679,1.0
g i C,3,-12.525234576438127,nan,-13.480910688271189,nan,-13.51674465932848,nan,1.1032185720999277,nan,1.1031500145918267,nan,1.000628667225482,nan,1.0006932985956272,nan
g i J,3,-12.707816923427847,nan,-14.696435373318657,nan,-14.715565162416809,nan,1.102659756788388,nan,1.1025927174828054,nan,1.000349259569712,nan,1.0004407255072896,nan
g i D,3,-10.4299479174781,nan,-15.664971059284643,nan,-15.637540341814216,nan,1.125082221163912,nan,1.124954263982283,nan,1.0039815590947192,nan,1.0037241756556763,nan
g R g,3,-12.036825731780084,nan,-15.339282295420535,nan,-15.312536750805313,nan,1.0779820387217607,nan,1.0779785815345941,nan,1.0003461397751539,nan,1.0004381707126877,nan
g u v,3,-11.823593437642856,nan,-18.63558000404797,nan,-18.358845591050326,nan,1.1781555365077658,nan,1.177887681980594,nan,1.0015367421067338,nan,1.0015141611327238,nan
h e s,3,-10.764947708530904,nan,-11.357025408248727,nan,-11.370321759638088,nan,1.1917105860596258,nan,1.1914036689453784,nan,1.0064693662792799,nan,1.0059812780901423,nan
h e n,3,-10.418224523677734,nan,-11.589623725173041,nan,-11.600306141143356,nan,1.2077765262663873,nan,1.2074259608297393,nan,1.0059804028816826,nan,1.0055392751855519,nan
h i n,3,-9.998670939448866,nan,-9.579973781909054,nan,-9.59612765117887,nan,1.2080496943330403,nan,1.2076984032762723,nan,1.0295333491441088,nan,1.0268766149993445,nan
h Y s,3,-11.163579582436313,nan,-11.551651539563252,nan,-11.565669587380487,nan,1.1434281302787066,nan,1.1432494665206405,nan,1.0049560226317338,nan,1.0046112870638,nan
h ^ s,3,-9.943134021868776,nan,-10.555424856127129,nan,-10.570195417763316,nan,1.2123347750919278,nan,1.2119730736586327,nan,1.008481376171719,nan,1.0077952760113364,nan
J R T,3,-15.559599687711604,nan,-inf,nan,-19.077545881071575,nan,1.0259414017225499,nan,1.0260780403279246,nan,1.0000698519139424,nan,1.0001881524189522,nan
J ^ n,3,-11.31514517122877,nan,-9.558288922981378,nan,-9.6147137329918,nan,1.1784722363122446,nan,1.1781991698908196,nan,1.0183098739093528,nan,1.0166875316038642,nan
k e d,3,-10.340139046964175,nan,-11.95727572447974,nan,-11.966732421290326,nan,1.1735303752966892,nan,1.1732714235150632,nan,1.0024943902372985,nan,1.0023815607769933,nan
k R m,3,-11.338375086016622,nan,-14.532050746563414,nan,-14.521170449090125,nan,1.0988324472581565,nan,1.0987729902014727,nan,1.000414431791817,nan,1.0005000365874712,nan
l e l,3,-10.195413364771545,nan,-11.57087809952408,nan,-11.581882314721152,nan,1.1651552825945732,nan,1.1649199884371477,nan,1.0021451306675861,nan,1.0020658444165713,nan
m @ b,3,-10.755300614561,nan,-15.685903173912894,nan,-15.6710007358932,nan,1.1161459614532518,nan,1.1160422690031593,nan,1.0024678719835523,nan,1.0023598450228781,nan
m e p,3,-11.020062509033442,nan,-12.875645947385697,nan,-12.885151001522232,nan,1.1161655531906391,nan,1.1160621257018484,nan,1.0043257955089726,nan,1.0040417202177396,nan
m @ v,3,-11.67845649072398,nan,-12.501770671986737,nan,-12.51872434597766,nan,1.1064365454152525,nan,1.106359231733915,nan,1.0029568353811493,nan,1.0028018479274685,nan
m @ z,3,-10.846849371338362,nan,-12.210521666748097,nan,-12.220012109594794,nan,1.1162158133671942,nan,1.1161119311417869,nan,1.002258316241725,nan,1.0021704152066249,nan
m R n,3,-10.739435920620757,nan,-14.065160744639154,nan,-14.040288648586406,nan,1.12480095848544,nan,1.1246706237710515,nan,1.0013271863649065,nan,1.0013247313164706,nan
m R s,3,-11.086159105473929,nan,-14.448776334889192,nan,-14.423573742855472,nan,1.1087350182786782,nan,1.1086483318866907,nan,1.0010477787091365,nan,1.0010721582281332,nan
m Y d,3,-10.823265243846024,nan,-10.855691936020886,nan,-10.872300875760322,nan,1.1204117366944364,nan,1.120293851525108,nan,1.0060022414435914,nan,1.0055571587477643,nan
m ^ b,3,-10.056027600032797,nan,-13.318557658787539,nan,-13.319362493605746,nan,1.1420286357686242,nan,1.1418561908121772,nan,1.0036803128770408,nan,1.0034537190051265,nan
n e s,3,-9.560638260539108,nan,-13.3395809994262,nan,-13.341685789798165,nan,1.17148035651123,nan,1.1712270385105956,nan,1.0025767213294745,nan,1.0024549232274846,nan
n e n,3,-9.213915075685936,nan,-13.572179316350514,nan,-13.571670171303433,nan,1.1875462967179917,nan,1.1872493303949565,nan,1.0020877579318772,nan,1.0020129203228942,nan
n c d,3,-10.577927505654795,nan,-18.17395529578037,nan,-17.880377078589618,nan,1.1115870414638997,nan,1.1114926371573226,nan,1.0000682920166633,nan,1.0001868750216514,nan
n W d,3,-10.814316283719027,nan,-12.736310864011237,nan,-12.742121769075606,nan,1.1236064363966323,nan,1.123480104804782,nan,1.0125255172004004,nan,1.0114694573836587,nan
n c G,3,-11.61717395266312,nan,-14.172215216693793,nan,-14.164178463548405,nan,1.0513746916455147,nan,1.0514438736602834,nan,1.0004175515863754,nan,1.000502591382073,nan
n i n,3,-8.794361491457067,nan,-11.889733218837808,nan,-11.896398065733404,nan,1.1878194647846447,nan,1.1875217728414897,nan,1.0019433744121549,nan,1.0018828015868229,nan
p e k,3,-10.935568186057,nan,-12.493835416723336,nan,-12.501764247997782,nan,1.1450059054113855,nan,1.1448234079395176,nan,1.006280432665703,nan,1.0058027940452567,nan
p e m,3,-11.020062509033444,nan,-13.479345537995432,nan,-13.484763733652972,nan,1.1403258271772418,nan,1.1401560446514647,nan,1.0022290216570413,nan,1.0021404842643638,nan
p e p,3,-11.459342965636338,nan,-13.59358328945984,nan,-13.599713376018741,nan,1.1055395740339058,nan,1.105464299614892,nan,1.0013209467757895,nan,1.001319621727267,nan
p i m,3,-10.600508924804576,nan,-12.96201293281296,nan,-12.971690598363065,nan,1.1405989952438949,nan,1.1404284870979977,nan,1.003036046678767,nan,1.0028726555833585,nan
p R b,3,-12.159209099860337,nan,-14.551902565779507,nan,-14.554865210508915,nan,1.0538229256824365,nan,1.0538847099098003,nan,1.0005525757224227,nan,1.000625045734339,nan
p R d,3,-11.706001183106029,nan,-12.211319552643431,nan,-12.22813546208687,nan,1.1011126714214698,nan,1.1010459777607233,nan,1.0008319833781925,nan,1.0008776188226767,nan
p R v,3,-13.082364976023317,nan,-15.262282153629688,nan,-15.22355186050589,nan,1.0441135096444372,nan,1.044201672640556,nan,1.0004827238084804,nan,1.0005619024622547,nan
r e m,3,-10.194160032123865,nan,-14.167985553106273,nan,-14.170488226606032,nan,1.128950580259457,nan,1.1288109359558123,nan,1.0023656056903678,nan,1.0022642160139306,nan
r i g,3,-10.081584609288505,nan,-14.143606636652176,nan,-14.144009875471943,nan,1.1179775901813769,nan,1.117867774083293,nan,1.0047296514834565,nan,1.0044021454836927,nan
r i s,3,-9.437896144375859,nan,-13.00718112081005,nan,-13.010237388980524,nan,1.1439625021679654,nan,1.1437820896527808,nan,1.0022149825815287,nan,1.0021289876886557,nan
r i t,3,-8.754977243314652,nan,-11.724084380705495,nan,-11.727947131580429,nan,1.2247811665993709,nan,1.2243811840449788,nan,1.0024943902372985,nan,1.0023815607769933,nan
r i z,3,-10.163214438936738,nan,-11.19017107360339,nan,-11.200660539439243,nan,1.0997462406423995,nan,1.0996859559014747,nan,1.0088509144060607,nan,1.00812759853667,nan
r E p,3,-10.90282847138242,nan,-15.566852440407713,nan,-15.532140894950025,nan,1.0874717094831223,nan,1.0874443509791771,nan,1.0022614360362831,nan,1.0021729700012267,nan
r I D,3,-9.523701609455056,nan,-16.383370437708024,nan,-16.349648581064237,nan,1.0803273799444322,nan,1.080318187494066,nan,1.001521143133942,nan,1.001501387159715,nan
r I S,3,-11.540049368991694,nan,-14.164271955685276,nan,-14.194035641733334,nan,1.058952694278045,nan,1.0590015730740032,nan,1.001241735478172,nan,1.0012488140713776,nan
r I T,3,-11.459080306458027,nan,-15.734750738650273,nan,-15.725255940045455,nan,1.057555655999196,nan,1.05760833030145,nan,1.0006829201666325,nan,1.0007436678947026,nan
r I Z,3,-16.064250492446117,nan,-inf,nan,-20.65802936184709,nan,1.0541329122160163,nan,1.0541948855086951,nan,1.0006829201666325,nan,1.0007436678947026,nan
r I z,3,-9.950568312613887,nan,-11.506874783803651,nan,-11.516236184153106,nan,1.0722245579271088,nan,1.0722373794132578,nan,1.001870402703654,nan,1.0018171035201366,nan
r ^ l,3,-9.179662001632233,nan,-12.524117038867669,nan,-12.527791170672575,nan,1.1455233582830975,nan,1.1453399366286627,nan,1.0027581989202763,nan,1.0026213598923217,nan
s i g,3,-10.131496326076054,nan,-12.557993606406079,nan,-12.564334700399483,nan,1.1598684695492674,nan,1.1596476653876409,nan,1.012719817433057,nan,1.0116404528333587,nan
s i v,3,-11.044733275109902,nan,-12.9127641443716,nan,-12.923593184942803,nan,1.1318578520583482,nan,1.1317131477979507,nan,1.0097161851335321,nan,1.0089252921337313,nan
s R d,3,-10.930010422983997,nan,-13.022585034686369,nan,-13.026389646186704,nan,1.1316283038715755,nan,1.131480760369419,nan,1.0007636913615292,nan,1.0008157529478932,nan
s R g,3,-11.393137266867438,nan,-16.217354099396896,nan,-16.17845429696859,nan,1.102639759585462,nan,1.102570972838942,nan,1.000414431791817,nan,1.0005000365874712,nan
s R k,3,-11.001664782497487,nan,-13.608986535921556,nan,-13.608956757320646,nan,1.1185659959643388,nan,1.1184539404460474,nan,1.0006239875336445,nan,1.0006894664037245,nan
s R m,3,-11.086159105473929,nan,-13.990981407742844,nan,-13.987888692469578,nan,1.1138859177301952,nan,1.1137865771579945,nan,1.000414431791817,nan,1.0005000365874712,nan
S ^ J,3,-13.976667707020624,nan,-16.960824010091493,nan,-16.968956815269337,nan,1.1024399719506175,nan,1.1023733754017007,nan,1.0004796040139219,nan,1.0005593476676529,nan
S ^ C,3,-13.794085360030902,nan,-14.676174969406558,nan,-14.730083979278138,nan,1.1029987872621572,nan,1.102930672510722,nan,1.001108271239404,nan,1.0011276371164122,nan
s Y b,3,-10.939762857081199,nan,-14.919473533487377,nan,-14.913454262760476,nan,1.0930116442487754,nan,1.092969540195924,nan,1.001324066570348,nan,1.0013221765218687,nan
s Y v,3,-11.862918733244179,nan,-14.984561961955247,nan,-14.974323023004152,nan,1.083302228210776,nan,1.0832865029266798,nan,1.0004159916890962,nan,1.000501313984772,nan
s ^ J,3,-11.661868356081941,nan,-14.727195975533652,nan,-14.719968498631577,nan,1.1476684986177383,nan,1.1474820710538745,nan,1.0034161607304417,nan,1.0032195802833421,nan
