word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.202056006758019,nan,-11.501186422417373,nan,-11.516147172738357,nan,1.1069605241094294,nan,1.106886020053049,nan,1.0019225039700128,nan,1.0018687894274678,nan
b i l,3,-10.28378445676358,nan,-11.314837839103367,nan,-11.326676195693658,nan,1.1452034282772647,nan,1.145033139777753,nan,1.0075994906923638,nan,1.007038516185817,nan
b i s,3,-10.116595038405984,nan,-11.440532719295796,nan,-11.451431094630838,nan,1.1656444909545927,nan,1.1654229255885202,nan,1.0025053457349224,nan,1.0023993711978554,nan
b R s,3,-11.38154062864734,nan,-12.424176586582778,nan,-12.437102616292348,nan,1.106075740554695,nan,1.1060024507353163,nan,1.0015445929772853,nan,1.001523906996588,nan
b Y s,3,-10.944482947812334,nan,-11.786392198083583,nan,-11.799544919698528,nan,1.1142656439394287,nan,1.1141719682231896,nan,1.0030841936808774,nan,1.002926638437226,nan
b ^ l,3,-9.883904572973364,nan,-10.34793957261782,nan,-10.360505101408629,nan,1.162159087628471,nan,1.1619465939518658,nan,1.0108197217684571,nan,1.0099766459103294,nan
C @ l,3,-12.355229828402232,nan,-16.452595106232135,nan,-16.433146008589837,nan,1.1122364226554056,nan,1.1121480736751062,nan,1.0008367793362052,nan,1.0008791930486616,nan
C i D,3,-12.182346738656726,nan,-17.562466524535918,nan,-17.543247786932394,nan,1.1044385736635816,nan,1.1043699345074192,nan,1.0048317205208672,nan,1.0045175551156345,nan
C i n,3,-11.555090988671935,nan,-13.878683082331335,nan,-13.891332366866822,nan,1.1551865746953072,nan,1.1549906330344661,nan,1.0023168894659278,nan,1.0022273442987926,nan
C R J,3,-15.760213431222791,nan,-17.56120583130145,nan,-17.507829456097294,nan,1.0213980667509164,nan,1.02153658257182,nan,1.0000644828475624,nan,1.000175755746457,nan
