word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.08160949737579,nan,-15.35767340483805,nan,-15.370878458509662,nan,1.1614735995323924,nan,1.1612639517268193,nan,1.0016728034115585,nan,1.0016405095013112,nan
g i T,3,-12.384377107409463,nan,-13.025519032448173,nan,-13.057223680640538,nan,1.1058905447087257,nan,1.1058190461763735,nan,1.0004499948132834,nan,1.0005267279197414,nan
z i T,3,-12.446357976890827,nan,-17.197210333445724,nan,-17.17042371294761,nan,1.07932157369885,nan,1.0793159319015546,nan,1.000386150083666,nan,1.0004685342512125,nan
y c g,3,-11.69942129874057,nan,-16.274559596837765,nan,-16.002472475515475,nan,1.1936220224500014,nan,1.1933325917482955,nan,1.0010292199387822,nan,1.001054308668906,nan
l R z,3,-11.62122217487116,nan,-12.792618990533896,nan,-12.792262150510762,nan,1.0825999529694539,nan,1.0825861103365082,nan,1.0001282030768952,nan,1.0002336275035388,nan
J Y p,3,-13.682439946089675,nan,-16.933475851898713,nan,-16.300679707671822,nan,1.042093614268937,nan,1.0421802942291511,nan,1.0012228085982753,nan,1.0012305953333394,nan
C ^ z,3,-12.21362588393321,nan,-13.792301988173945,nan,-13.807886870056189,nan,1.113340317728896,nan,1.1132498887749425,nan,1.003603040212228,nan,1.003398685583815,nan
C e J,3,-14.912835273224701,nan,-15.050482184350045,nan,-15.095200380073626,nan,1.0795775540116002,nan,1.0795712748440587,nan,1.0004474267249832,nan,1.000524595846183,nan
z i S,3,-12.555323724033613,nan,-18.286929171007312,nan,-18.250439438383726,nan,1.0802869489080147,nan,1.0802788901091684,nan,1.0006435834727765,nan,1.0007030145841747,nan
z u v,3,-11.898344659900246,nan,-21.04419911237832,nan,-20.868662064748605,nan,1.157691928469853,nan,1.157491551422044,nan,1.0016084450642808,nan,1.0015818894180708,nan
D Y p,3,-11.370104273980251,nan,-15.210766704067325,nan,-15.046696950418738,nan,1.1143459239216926,nan,1.1142535114657088,nan,1.0012866533278928,nan,1.0012887890018682,nan
s R k,3,-11.000946093966522,nan,-13.668921826844853,nan,-13.669030137077103,nan,1.1177164341970116,nan,1.1176147280378075,nan,1.000513325925241,nan,1.0005844951735587,nan
b R s,3,-11.381528483159993,nan,-12.395208170889727,nan,-12.408211809001823,nan,1.106753708362054,nan,1.1066788668972214,nan,1.0016053633583206,nan,1.0015793309298007,nan
T ^ z,3,-12.042976828352185,nan,-14.157542693140739,nan,-14.157158259133096,nan,1.1151880399334198,nan,1.115093031014678,nan,1.0034753507529928,nan,1.0032822982467573,nan
S c G,3,-14.322585194320352,nan,-14.98988311485861,nan,-14.922885457767336,nan,1.0182871796444959,nan,1.0184331295058415,nan,1.0003217917363882,nan,1.000409914167972,nan
J e J,3,-15.09539695488474,nan,-15.82692235265721,nan,-15.849661377111724,nan,1.0839738585671912,nan,1.0839566822420503,nan,1.0004474267249832,nan,1.000524595846183,nan
D ^ z,3,-10.083851893483825,nan,-8.761738782281126,nan,-8.77668609169152,nan,1.1899889319372428,nan,1.1897085134094918,nan,1.0149674020841555,nan,1.0137571585819527,nan
S Y p,3,-13.438194955991397,nan,-14.882435051484553,nan,-14.854013709470191,nan,1.0404370357407433,nan,1.0405278218762846,nan,1.0012228085982753,nan,1.0012305953333394,nan
n W C,3,-13.039824306302107,nan,-13.941983372721477,nan,-13.94354898383916,nan,1.0633523393256832,nan,1.0633865389659705,nan,1.0120028091681033,nan,1.0110572234351958,nan
l W C,3,-13.541219228270197,nan,-14.802937687700961,nan,-14.796902399057606,nan,1.074566101670379,nan,1.074572505662297,nan,1.0000638447296175,nan,1.0001750074202982,nan
S c d,3,-13.282743339056545,nan,-19.003467225784796,nan,-18.651580007405236,nan,1.0799424763364767,nan,1.0799340603654424,nan,1,1,1.0001168137517693,1.0
g i J,3,-12.737587844650527,nan,-14.71408020776234,nan,-14.731552773229462,nan,1.1063410531396691,nan,1.1062684266732599,nan,1.000514353160561,nan,1.0005853480029818,nan
C u T,3,-14.273747844054725,nan,-14.986576583979765,nan,-15.023157850669417,nan,1.1550384290959477,nan,1.1548447322022228,nan,1.0018643376004113,nan,1.0018150905068979,nan
D i g,3,-10.425252172541104,nan,-13.97410179764309,nan,-13.972007646586373,nan,1.1897435130924365,nan,1.1894633603502427,nan,1.0049458340048372,nan,1.0046224582817678,nan
w u T,3,-12.296105074673797,nan,-16.31091808134795,nan,-16.058546030301024,nan,1.2595303054897036,nan,1.259077603690719,nan,1.0017366481411762,nan,1.00169870316984,nan
T c T,3,-15.233284918692776,nan,-16.752338916858452,nan,-16.697216517529675,nan,1.016172367223347,nan,1.0163235896374747,nan,1.0000638447296175,nan,1.0001750074202982,nan
g u T,3,-12.513698348723564,nan,-17.445122909618114,nan,-17.1926528294928,nan,1.1801419652539598,nan,1.1798860440110441,nan,1.001608958681941,nan,1.0015823158327823,nan
f R s,3,-11.963385715102783,nan,-14.1180315273942,nan,-14.118150130564878,nan,1.0877667698466031,nan,1.0877389914682143,nan,1.0016692080879381,nan,1.0016375245983296,nan
J Y m,3,-13.251668679645693,nan,-16.39254855310516,nan,-15.760166670207498,nan,1.0765253300624753,nan,1.076525803634043,nan,1.0011584502509976,nan,1.0011719752500987,nan
n R z,3,-11.11982725290307,nan,-14.380203681171539,nan,-14.35159058497392,nan,1.0713861906247582,nan,1.0714001436401817,nan,1.0001282030768952,nan,1.0002336275035388,nan
m R n,3,-10.747650150725141,nan,-14.122149864882296,nan,-14.097581852249588,nan,1.1241072857409826,nan,1.123989053578427,nan,1.0014158836401081,nan,1.0014064555830609,nan
C u S,3,-14.382713591197511,nan,-15.96609228140774,nan,-15.993974284140544,nan,1.1560038043051124,nan,1.1558076904098367,nan,1.0013494708221902,nan,1.0013461298409738,nan
S e J,3,-14.851151964786462,nan,-14.824483420336502,nan,-14.874503899335249,nan,1.0823172800389975,nan,1.0823042098891837,nan,1.000894339832306,nan,1.0009319515258852,nan
T ^ S,3,-13.679362145763747,nan,-16.65581747512974,nan,-16.668829365877055,nan,1.1010935618796163,nan,1.1010338411835168,nan,1.0001287166945554,nan,1.0002340539182504,nan
v e D,3,-11.752515987229573,nan,-20.02356674188609,nan,-19.952771936296863,nan,1.1019202011329574,nan,1.1018579574050098,nan,1.0013515252928304,nan,1.0013478354998202,nan
C ^ Z,3,-18.43950357461363,nan,-inf,nan,-22.106336096792162,nan,1.0947407553656576,nan,1.0946968939749167,nan,1.0001276894592352,nan,1.000233201088827,nan
n c T,3,-12.644258401074804,nan,-16.78312751160287,nan,-16.718244244918917,nan,1.0495587960223276,nan,1.0496272632106283,nan,1.0000638447296175,nan,1.0001750074202982,nan
s R p,3,-11.51604960019797,nan,-13.579468782309341,nan,-13.580773766501954,nan,1.0785222007049278,nan,1.0785186248086875,nan,1.0006420426197962,nan,1.0007017353400396,nan
D i D,3,-10.05552767742288,nan,-15.862318353539774,nan,-15.831862165027612,nan,1.181248211251788,nan,1.1809893281232413,nan,1.0054607007830583,nan,1.0050914189476918,nan
S c g,3,-13.752850226085426,nan,-16.570803798585857,nan,-16.495588988809903,nan,1.0493722613795968,nan,1.0494403837910056,nan,1.0009653752091647,nan,1.0009961150003772,nan
C i S,3,-14.253392349883413,nan,-15.977630487065454,nan,-16.006641440039054,nan,1.0817523837598784,nan,1.0817406925751658,nan,1.0012181860393345,nan,1.0012267576009344,nan
g i D,3,-10.425252172541104,nan,-15.590968312284026,nan,-15.56777811889044,nan,1.1297031332014533,nan,1.1295720152975135,nan,1.004311495649942,nan,1.0040439329141724,nan
T c S,3,-15.342250665835564,nan,-15.458653254684283,nan,-15.472830619045352,nan,1.0171377424325116,nan,1.0172865478450885,nan,1.000514353160561,nan,1.0005853480029818,nan
z u T,3,-12.575679218204925,nan,-19.720818452942066,nan,-19.571251806411766,nan,1.153572994244084,nan,1.1533829297362252,nan,1.0016728034115585,nan,1.0016405095013112,nan
S Y m,3,-13.007423689547416,nan,-14.341507752691005,nan,-14.313500672005867,nan,1.0748687515342816,nan,1.0748733312811765,nan,1.0011584502509976,nan,1.0011719752500987,nan
D ^ v,3,-10.93393690544792,nan,-10.081547689192783,nan,-10.097829540086416,nan,1.1790480129000436,nan,1.1787949870565355,nan,1.0120069181093838,nan,1.011060634752889,nan
t W C,3,-12.695715637468846,nan,-16.126136751942255,nan,-16.120060236769387,nan,1.0435371115461356,nan,1.04362042736053,nan,1.0000638447296175,nan,1.0001750074202982,nan
g Y b,3,-11.605307652060498,nan,-17.681828017730158,nan,-17.58841709932067,nan,1.0684643804317906,nan,1.068485553457982,nan,1.0013515252928304,nan,1.0013478354998202,nan
r c S,3,-13.056198248617582,nan,-15.280508893129735,nan,-15.30111068001528,nan,1.0199411830186857,nan,1.02008303951917,nan,1.0005781978901787,nan,1.0006435416715107,nan
d R s,3,-10.925367679421672,nan,-12.417541952512185,nan,-12.428821864682604,nan,1.118094899824303,nan,1.1179919468514607,nan,1.001541518628703,nan,1.0015211372612718,nan
S c z,3,-13.814831095566788,nan,-14.659453080384688,nan,-14.590036194290418,nan,1.0321242243091888,nan,1.0322355304816393,nan,1.0000643583472777,nan,1.00017543383501,nan
y c d,3,-11.229314411711687,nan,-18.7072230240367,nan,-18.15846349411081,nan,1.2241922374068812,nan,1.2238262683227323,nan,1.0000638447296175,nan,1.0001750074202982,nan
J u S,3,-14.565275272857551,nan,-14.84463151984595,nan,-14.895940058737034,nan,1.1604001088607034,nan,1.160193097807828,nan,1.0012217813629551,nan,1.001229742503916,nan
h u S,3,-12.829572942420615,nan,-13.93149905576367,nan,-13.951442538989669,nan,1.2120726160285913,nan,1.2117375238914687,nan,1.0051801545992445,nan,1.0048377499527055,nan
g u S,3,-12.622664095866352,nan,-18.424638607046084,nan,-18.163469262963925,nan,1.1811073404631245,nan,1.180849002218658,nan,1.00109409190372,nan,1.0011133551668583,nan
y R z,3,-11.764390590318971,nan,-10.112418095169225,nan,-10.129308515958106,nan,1.1831415267190557,nan,1.1828784708297075,nan,1.0103433598157066,nan,1.009544614468157,nan
C e g,3,-12.970224096233501,nan,-15.485256561641062,nan,-15.500713159795886,nan,1.111434935914033,nan,1.1113488956953137,nan,1.0014128019341477,nan,1.0014038970947907,nan
z i J,3,-12.79956871413189,nan,-18.88577150875989,nan,-18.84475280553653,nan,1.0797720821297934,nan,1.079765312398441,nan,1.0004505084309434,nan,1.000527154334453,nan
m u S,3,-12.312467863169783,nan,-14.891345041348409,nan,-14.908085668895174,nan,1.1837196373729684,nan,1.1834548240058704,nan,1.0026263654145415,nan,1.002510003211551,nan
D Y m,3,-10.93933300753627,nan,-14.669839405273777,nan,-14.506183912954414,nan,1.148777639715231,nan,1.1485990208706007,nan,1.001222294980615,nan,1.0012301689186276,nan
J e g,3,-13.15278577789354,nan,-16.26169672994823,nan,-16.255174156833984,nan,1.115831240469624,nan,1.1157343030933053,nan,1.0014128019341477,nan,1.0014038970947907,nan
f u v,3,-12.404274939071112,nan,-16.681054064274303,nan,-16.668288716846497,nan,1.1655925337581614,nan,1.1653725734126381,nan,1.0016084450642808,nan,1.0015818894180708,nan
v R n,3,-11.969912264867167,nan,-13.390937015521786,nan,-13.382399501318604,nan,1.0953720197326997,nan,1.0953250139190904,nan,1.0014797283697257,nan,1.0014646492515897,nan
g i C,3,-12.55502616299049,nan,-13.671969769083294,nan,-13.702358058428237,nan,1.1062766947923917,nan,1.106204229459419,nan,1.000514353160561,nan,1.0005853480029818,nan
C i D,3,-12.185301667872265,nan,-17.453360929339723,nan,-17.43718015285284,nan,1.1045995970434412,nan,1.104530703488692,nan,1.0048222534868825,nan,1.0045094822624032,nan
