word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.075910222167634,nan,-14.833158712643304,nan,-14.85893159828907,nan,1.1520404882389668,nan,1.1517593872484633,nan,1.0020751352925548,nan,1.001974484589908,nan
g i T,3,-12.386704845998095,nan,-12.87453849484664,nan,-12.930787767310397,nan,1.0991968702699124,nan,1.0991148423353132,nan,1.0002970591147637,nan,1.0004286721438536,nan
z i T,3,-12.436046430087758,nan,-16.448864216223868,nan,-16.45287976395801,nan,1.0742885868175085,nan,1.074299991897687,nan,1.0003939395642891,nan,1.000513110208533,nan
y c g,3,-11.747049068597462,nan,-15.509594509553747,nan,-15.253190061877298,nan,1.1757490452382502,nan,1.1753776545442103,nan,1.0009880577938168,nan,1.0010294613272936,nan
l R z,3,-11.587627259641913,nan,-12.748786443690983,nan,-12.745594609006144,nan,1.0822120145002847,nan,1.0821929167641322,nan,1.0001937608990505,nan,1.000339372713832,nan
J Y p,3,-13.631489143674063,nan,-inf,nan,-16.314632173007837,nan,1.0483707403325186,nan,1.0484787822670463,nan,1.0012872561639767,nan,1.001289257341788,nan
C ^ z,3,-12.16089627389383,nan,-12.976264068561878,nan,-13.022666794446653,nan,1.1186906744814833,nan,1.1185337119514915,nan,1.0039565096860592,nan,1.0036095964659835,nan
C e J,3,-14.85080182438573,nan,-14.231036512503593,nan,-14.329361343946681,nan,1.079316268736414,nan,1.079308786790254,nan,1.0010721027109661,nan,1.00110417666129,nan
z i S,3,-12.425464320757222,nan,-17.31470912848829,nan,-17.29991793450598,nan,1.0762689809159343,nan,1.0762727675930905,nan,1.0009880577938168,nan,1.0010294613272936,nan
z u v,3,-11.896243646140668,nan,-19.66196441413469,nan,-19.463547349721562,nan,1.1458221119521959,nan,1.1455637482762442,nan,1.001778076177791,nan,1.0017163090305274,nan
D Y p,3,-11.368540691903545,nan,-14.7888705361858,nan,-14.59797151645123,nan,1.1106414489635286,nan,1.110515908361112,nan,1.0014810170630273,nan,1.001458133471147,nan
s R k,3,-10.939373450434188,nan,-13.159935830173616,nan,-13.16483735319278,nan,1.1257806464267193,nan,1.1255946841184152,nan,1.001076381221758,nan,1.0011074175715176,nan
b R s,3,-11.326387208270493,nan,-12.191963245910323,nan,-12.213622269835923,nan,1.1094672504181256,nan,1.1093421014320846,nan,1.001472460041443,nan,1.0014516516506915,nan
T ^ z,3,-12.036442099420425,nan,-13.527385558794052,nan,-13.547461164829993,nan,1.11907684941873,nan,1.1189184383148656,nan,1.0037627487870087,nan,1.0034407203366245,nan
S c G,3,-14.193877845496155,nan,-14.793886338000029,nan,-14.657329516118791,nan,1.025299109755926,nan,1.0254947924889712,nan,1.0004929592692104,nan,1.0005991687283262,nan
