word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.161996323358009,nan,-11.293805984810437,nan,-11.3126321380209,nan,1.1125172906122498,nan,1.1124165036178908,nan,1.0027200261420248,nan,1.0025790069338008,nan
b i l,3,-10.254738467172237,nan,-11.117071109644023,nan,-11.13194519607346,nan,1.1483611560201252,nan,1.14815713836883,nan,1.007846398679663,nan,1.007184904725941,nan
b i s,3,-10.083305553737599,nan,-11.190577694157286,nan,-11.204474506968811,nan,1.1657318040789182,nan,1.165477641699696,nan,1.0030954522020445,nan,1.0029159612894414,nan
b R s,3,-11.359946709680997,nan,-12.311673282159676,nan,-12.327434154934599,nan,1.1070503085056396,nan,1.1069631225110192,nan,1.0013298161471467,nan,1.001328019311994,nan
b Y s,3,-10.905543102462834,nan,-11.653181735096751,nan,-11.669385025133135,nan,1.117074454258182,nan,1.1169587448661922,nan,1.003316023634955,nan,1.0031143464381953,nan
b ^ l,3,-9.86384915384979,nan,-10.148749053661215,nan,-10.164556888154783,nan,1.1682631096310128,nan,1.1680024615849398,nan,1.0115098811184124,nan,1.0104877284740608,nan
C @ l,3,-12.324166942890443,nan,-15.884374851659306,nan,-15.873242343369723,nan,1.1155042830780821,nan,1.1153935629309484,nan,1.0008865440980979,nan,1.0009295274396544,nan
C i D,3,-12.148694425948293,nan,-16.801315739648935,nan,-16.80001968918569,nan,1.1042840849420483,nan,1.1042059963495412,nan,1.005112532846657,nan,1.0047272512507066,nan
C i n,3,-11.522769311838937,nan,-13.324384235002073,nan,-13.35334014103852,nan,1.1549113583441715,nan,1.1546871214420653,nan,1.0028855266852732,nan,1.0027261840148474,nan
C R J,3,-15.735419370976857,nan,-17.499159934693907,nan,-17.40090890501405,nan,1.022515958829092,nan,1.0226714919647135,nan,1.0001474024858115,nan,1.0002650873899492,nan
C R g,3,-13.80446952157257,nan,-17.620001176201942,nan,-17.567955218441135,nan,1.0521351407754953,nan,1.0522051707211901,nan,1.0003701031019498,nan,1.0004651941135352,nan
C R T,3,-15.395369313007759,nan,-16.709826045328143,nan,-16.65146384915669,nan,1.0218478569806768,nan,1.0220053187596803,nan,1.0000731689470987,nan,1.000198385148754,nan
C ^ J,3,-14.067888901711012,nan,-17.446119196782085,nan,-17.444003544477134,nan,1.1010994080132581,nan,1.1010313343694997,nan,1.0002948049716234,nan,1.0003976310849239,nan
C ^ n,3,-11.13187999851649,nan,-12.154145927032424,nan,-12.179972183171714,nan,1.174813311955059,nan,1.1745324446581749,nan,1.0120237040882443,nan,1.010936585193782,nan
C ^ S,3,-13.769511540142481,nan,-15.74944744847078,nan,-15.795228970138968,nan,1.1019902104778114,nan,1.1019195653095442,nan,1.0004432720490488,nan,1.0005310355673145,nan
C ^ C,3,-13.852661908474651,nan,-15.00357764942894,nan,-15.061041239708757,nan,1.1013221086293965,nan,1.101253392104511,nan,1.0007402062039001,nan,1.0007978445320957,nan
d i k,3,-9.895362583431043,nan,-12.133420935277924,nan,-12.143488005557227,nan,1.1650027746012253,nan,1.164751099258162,nan,1.0031114210762535,nan,1.0029288731006814,nan
d i s,3,-9.640318241262097,nan,-12.095398150491603,nan,-12.104535872139811,nan,1.173613865091909,nan,1.1733373316785911,nan,1.0019979179955618,nan,1.0019283394827518,nan
d i t,3,-8.983034398864977,nan,-10.938403860421337,nan,-10.948135611008952,nan,1.2498517093499448,nan,1.249355096297392,nan,1.0023690856891256,nan,1.0022618506887284,nan
d E p,3,-11.119685602258876,nan,-16.260727031723906,nan,-16.194231290893978,nan,1.1187896347890658,nan,1.1186710571601888,nan,1.0005896099432465,nan,1.000662718474873,nan
d R s,3,-10.916959397205497,nan,-12.456721339508302,nan,-12.469972502873357,nan,1.1149323695186304,nan,1.1148228124899144,nan,1.0012566472000477,nan,1.0012621778582147,nan
D i D,3,-10.053837630099483,nan,-15.591512441840912,nan,-15.56348391833681,nan,1.1764633288480473,nan,1.1761803795822026,nan,1.0054783775821514,nan,1.0050564585196031,nan
D i g,3,-10.432971569780364,nan,-13.837671756212531,nan,-13.836968170063038,nan,1.1829958802547729,nan,1.1826940731425282,nan,1.0043648745014595,nan,1.0040559249016736,nan
D i C,3,-12.148694425948293,nan,-13.68693504990787,nan,-13.718271139384132,nan,1.153599398924508,nan,1.1533824521210627,nan,1.0016182335690864,nan,1.0015879419774474,nan
d I J,3,-12.053432148065419,nan,-14.388175873391651,nan,-14.392564948223084,nan,1.0925956405707653,nan,1.0925520169758287,nan,1.0075364015511816,nan,1.0069142134342424,nan
