word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-12.968782146021749,nan,-12.558972340232144,nan,-12.580560719084952,nan,1.1182416352579343,nan,1.1181220188549825,nan,1.0012525345682137,nan,1.0012592500960906,nan
b O r,3,-13.258304028667355,nan,-inf,nan,-14.888698936833414,nan,1.1303434987964303,nan,1.1301889421596907,nan,1.001178290006628,nan,1.00119253895533,nan
b O s,3,-13.28768758591468,nan,-13.285714807661341,nan,-13.231258070896745,nan,1.1002002067925696,nan,1.100132679204405,nan,1.0012525345682137,nan,1.0012592500960906,nan
b U n,3,-10.876957781848372,nan,-inf,nan,-16.490241803068017,nan,1.1458578072882752,nan,1.1456591021271223,nan,1.0006627881287282,nan,1.0007289627963896,nan
b u r,3,-10.21900112996606,nan,-11.780638030266447,nan,-11.791395097267426,nan,1.2668778533144358,nan,1.26633228185715,nan,1.0158056715113863,nan,1.014335605635545,nan
b U s,3,-11.195863221741304,nan,-inf,nan,-16.630113531113818,nan,1.1278163788229105,nan,1.1276697624765448,nan,1.0006627881287282,nan,1.0007289627963896,nan
b W r,3,-11.562069124494743,nan,-15.914146665070877,nan,-15.537674899080223,nan,1.1483860645229196,nan,1.1481798365641553,nan,1.0008843189411425,nan,1.000928124268276,nan
C e D,3,-12.574692739852015,nan,-17.840969705795246,nan,-17.814580219409958,nan,1.10197077507294,nan,1.1018990164950275,nan,1.0018519039864453,nan,1.001797312998953,nan
C i D,3,-12.1485639887187,nan,-17.105217208190922,nan,-17.088955349644404,nan,1.1035909238320532,nan,1.1035145253803265,nan,1.004966566956022,nan,1.0045962650597087,nan
C O b,3,-15.67711761313645,nan,-19.89552814033006,nan,-19.250243322581063,nan,1.02385613575074,nan,1.024008238673185,nan,1.0000736431254142,nan,1.0001991614718861,nan
C O g,3,-15.704974567639415,nan,-20.094653513448467,nan,-19.339390015697845,nan,1.0406354066691452,nan,1.0407390648502652,nan,1.0000736431254142,nan,1.0001991614718861,nan
C O v,3,-16.63003502298684,nan,-inf,nan,-20.262268052871523,nan,1.014575565552507,nan,1.0147544631327645,nan,1.0000736431254142,nan,1.0001991614718861,nan
C u D,3,-12.324916300185562,nan,-17.344844910935223,nan,-17.32353768935279,nan,1.1669240116883017,nan,1.1666662363511004,nan,1.000963976428273,nan,1.0009992091858149,nan
C u S,3,-14.324863229574177,nan,-15.344641604157687,nan,-15.389505194707608,nan,1.1471007137448759,nan,1.1469001717967622,nan,1.001038220989859,nan,1.0010659203265753,nan
C u T,3,-14.291681685129673,nan,-14.724153058584447,nan,-14.777177739998164,nan,1.1460612898826739,nan,1.145863748936235,nan,1.0012609546746165,nan,1.001266053748857,nan
D e C,3,-12.574692739852015,nan,-12.912710156528977,nan,-12.89595730742262,nan,1.1515347508031084,nan,1.1513216765012462,nan,1.0166439477797904,nan,1.0151003096987397,nan
D e D,3,-10.519253072201902,nan,-15.02984339318443,nan,-14.98151545708404,nan,1.1715807824312918,nan,1.1713098316685544,nan,1.0179061053267502,nan,1.0162343990916682,nan
D e J,3,-12.759013440536112,nan,-11.726156294170002,nan,-11.768950620371882,nan,1.151757484487866,nan,1.1515437671142161,nan,1.0168666814645482,nan,1.015300443121021,nan
D e S,3,-12.519200001590516,nan,-12.500606005575307,nan,-12.502792824720112,nan,1.151757484487866,nan,1.1515437671142161,nan,1.0167181923413764,nan,1.0151670208395,nan
D i C,3,-12.1485639887187,nan,-13.958698292452407,nan,-13.986249918429362,nan,1.1531548995622216,nan,1.152937185386545,nan,1.0016255616846579,nan,1.001594263725486,nan
D i D,3,-10.093124321068588,nan,-16.108166909750793,nan,-16.063091955250417,nan,1.173200931190405,nan,1.1729253405538533,nan,1.004966566956022,nan,1.0045962650597087,nan
D i S,3,-12.093071250457204,nan,-14.285203696135437,nan,-14.303932193386201,nan,1.1533776332469792,nan,1.153159275999515,nan,1.0014028279999003,nan,1.0013941303032043,nan
D i T,3,-12.059889706012699,nan,-13.462438979238696,nan,-13.492675445483142,nan,1.1523382093847772,nan,1.152122853138988,nan,1.001551317123072,nan,1.0015275525847254,nan
d u r,3,-9.76495202200215,nan,-10.621516677541054,nan,-10.63474897406374,nan,1.2732060358015587,nan,1.2726423559638345,nan,1.0238327721815388,nan,1.0215541486819026,nan
D W C,3,-13.667984294714245,nan,-16.488502113398493,nan,-16.3232495299734,nan,1.097996198626954,nan,1.0979364510643244,nan,1.0000742445615858,nan,1.000199647447084,nan
D W D,3,-11.612544627064132,nan,-19.613566532843464,nan,-19.37574214432773,nan,1.1180422302551374,nan,1.1179246062316326,nan,1.001113668423788,nan,1.0011336034177312,nan
D W T,3,-13.579310012008243,nan,-14.80521955417262,nan,-14.682583888238845,nan,1.0971795084495095,nan,1.0971221188167672,nan,1.0000742445615858,nan,1.000199647447084,nan
f U n,3,-11.440953778276356,nan,-inf,nan,-17.504032600039714,nan,1.1257695070675247,nan,1.1256282854861361,nan,1.000294572501657,nan,1.0003978369685749,nan
f u r,3,-10.782997126394044,nan,-13.413624860901537,nan,-13.408286794114286,nan,1.2467895530936852,nan,1.246301465216164,nan,1.0148483108810011,nan,1.0134746784832271,nan
f U s,3,-11.759859218169288,nan,-inf,nan,-17.643904328085515,nan,1.10772807860216,nan,1.1076389458355587,nan,1.000294572501657,nan,1.0003978369685749,nan
f W r,3,-12.126065120922727,nan,-17.83816738256303,nan,-17.430741061527385,nan,1.128297764302169,nan,1.1281490199231692,nan,1.0002951739378285,nan,1.0003983229437727,nan
f ^ r,3,-10.229269481083843,nan,-12.861140643549195,nan,-12.874165971936314,nan,1.201130815336855,nan,1.2007734875395593,nan,1.0022159095603151,nan,1.0021250370003845,nan
g U n,3,-10.904814736351339,nan,-inf,nan,-16.494971797979215,nan,1.1408541281124107,nan,1.140669741205558,nan,1.0023565800132557,nan,1.0022521416043366,nan
g U S,3,-13.557657465204542,nan,-13.075335053302087,nan,-13.103798739059242,nan,1.0639367623094558,nan,1.0639744495265528,nan,1.0030247810675283,nan,1.0028525418711813,nan
g U T,3,-13.524475920760038,nan,-inf,nan,-16.352200995390394,nan,1.0628973384472538,nan,1.0629380266660258,nan,1.0023565800132557,nan,1.0022521416043366,nan
g W C,3,-14.008739663466802,nan,-17.973338664212534,nan,-17.586399994496617,nan,1.0541404223208466,nan,1.0542061700459078,nan,1.000147887687,nan,1.0002658726126468,nan
g W D,3,-11.953299995816689,nan,-21.0984030836575,nan,-20.63889260885095,nan,1.07418645394903,nan,1.074194325213216,nan,1.0011873115492023,nan,1.001199828583294,nan
g W T,3,-13.9200653807608,nan,-16.29005610498666,nan,-15.945734352762063,nan,1.0533237321434021,nan,1.0533918377983507,nan,1.000147887687,nan,1.0002658726126468,nan
g ^ r,3,-9.693130439158825,nan,-11.678011823752895,nan,-11.689654049962598,nan,1.216215436381741,nan,1.215814943258981,nan,1.0036887720685999,nan,1.0034495403116428,nan
h U n,3,-11.112098587705209,nan,-inf,nan,-19.184481343465,nan,1.1699932009600926,nan,1.1697254312781973,nan,1,1,1.0001329363063234,1.0
h u r,3,-10.454141935822895,nan,-11.480082636453682,nan,-11.489902364110414,nan,1.2910132469862532,nan,1.2903986110082248,nan,1.0189723259041987,nan,1.0171832877547504,nan
h U s,3,-11.43100402759814,nan,-inf,nan,-19.3243530715108,nan,1.151951772494728,nan,1.1517360916276198,nan,1,1,1.0001329363063234,1.0
h W r,3,-11.797209930351576,nan,-14.765409956973912,nan,-14.395282280015671,nan,1.172521458194737,nan,1.1722461657152303,nan,1.004713761462683,nan,1.0043718328775475,nan
J O b,3,-15.861438313820546,nan,-17.235962700769697,nan,-17.149927261987806,nan,1.0276088951326385,nan,1.0277502593643582,nan,1,1,1.0001329363063234,1.0
J ^ r,3,-11.592135438740478,nan,-11.786509416297685,nan,-11.845425256177109,nan,1.194213964711395,nan,1.193876429795044,nan,1.00611899520727,nan,1.0056349707752188,nan
k E G,3,-11.66927645551302,nan,-16.458956236763328,nan,-16.35232424387513,nan,1.1110701226361481,nan,1.1109728213819503,nan,1.000147887687,nan,1.0002658726126468,nan
k E S,3,-12.737749476606087,nan,-17.23842139343956,nan,-17.137981667524954,nan,1.1098079650891883,nan,1.109714307908453,nan,1.0000736431254142,nan,1.0001991614718861,nan
k i b,3,-10.33431817088894,nan,-14.40111985501666,nan,-14.397240445722518,nan,1.1332604929202235,nan,1.1330993611264828,nan,1.0008136829965864,nan,1.000864328978701,nan
k i C,3,-12.076859424289461,nan,-13.39786693817394,nan,-13.43347318865941,nan,1.1197479827115961,nan,1.1196258639396306,nan,1.001036416681344,nan,1.0010644624009826,nan
k i D,3,-10.02141975663935,nan,-15.547335555472328,nan,-15.510315225480465,nan,1.1397940143397796,nan,1.1396140191069388,nan,1.004377421952708,nan,1.0040664637352053,nan
k i r,3,-9.658045839820367,nan,-10.858508798082518,nan,-10.870298749707061,nan,1.2089899457378046,nan,1.2086101695363138,nan,1.023977986211376,nan,1.0216782048959792,nan
k u f,3,-11.074666478783787,nan,-15.006963370110416,nan,-14.990580608029259,nan,1.1880554561940977,nan,1.1877375986000696,nan,1.0021512879774752,nan,1.0020661014627854,nan
k U m,3,-11.170779180984889,nan,-16.656154385445383,nan,-16.38608819220569,nan,1.116779266430466,nan,1.1166646557666957,nan,1.001178290006628,nan,1.00119253895533,nan
k U n,3,-10.492354803169544,nan,-inf,nan,-17.472968432772586,nan,1.1513029875678926,nan,1.15108870077706,nan,1.001178290006628,nan,1.00119253895533,nan
k U p,3,-11.579904718352605,nan,-16.033810936563427,nan,-15.831858156498996,nan,1.0847798603869587,nan,1.084757637703326,nan,1.0014010236913855,nan,1.0013926723776116,nan
k u r,3,-9.83439815128723,nan,-13.534530549393335,nan,-13.51605907170137,nan,1.2723230335940532,nan,1.2717618805070876,nan,1.0149955971318296,nan,1.013607128814353,nan
l U n,3,-10.387538468193128,nan,-inf,nan,-16.14246484543176,nan,1.159765092056487,nan,1.159526590570882,nan,1.0096472494292659,nan,1.008808432995065,nan
l R l,3,-10.982192755732802,nan,-13.40590248192952,nan,-13.40434714447285,nan,1.1088691410664053,nan,1.1087772709551023,nan,1.0011124655514447,nan,1.0011326314673359,nan
m W l,3,-11.461552306009235,nan,-13.432020591921738,nan,-13.433306501661141,nan,1.0965102693918003,nan,1.0964537557291472,nan,1.0011118641152732,nan,1.0011321454921382,nan
m W r,3,-11.274699288595908,nan,-16.236628358246453,nan,-15.857838556879514,nan,1.1460313919695715,nan,1.145831902012831,nan,1.0002951739378285,nan,1.0003983229437727,nan
m W t,3,-10.641006631093465,nan,-10.734583790399077,nan,-10.757178318964069,nan,1.1906523734826755,nan,1.1903240548111726,nan,1.0004436630610003,nan,1.0005317452252938,nan
n c n,3,-10.05845677680565,nan,-15.414787866286993,nan,-15.382017738122356,nan,1.1281086219010004,nan,1.1279607512642909,nan,1.0004448659333436,nan,1.0005327171756888,nan
n W C,3,-13.015088495249657,nan,-13.681440194711644,nan,-13.690906681421708,nan,1.0606157718425537,nan,1.06066299006205,nan,1.010457925244994,nan,1.0095373957914549,nan
n W D,3,-10.959648827599544,nan,-16.806504614156612,nan,-16.74339929577604,nan,1.0806618034707371,nan,1.0806511452293581,nan,1.0114973491071961,nan,1.010471351762102,nan
n ^ r,3,-8.69947927094168,nan,-11.776838109833461,nan,-11.783437047901792,nan,1.2226907859034482,nan,1.2222717632751232,nan,1.002142266434901,nan,1.0020588118348215,nan
p c k,3,-11.727197927024061,nan,-14.736761320394377,nan,-14.676482366491921,nan,1.088722892667256,nan,1.0886884149953222,nan,1.000816088741273,nan,1.0008662728794913,nan
