word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.074951449460551,nan,-15.359883691346043,nan,-15.372467030145398,nan,1.16301367450442,nan,1.162798562226589,nan,1.0016797049088086,nan,1.00164682573712,nan
g i T,3,-12.370282703877658,nan,-13.027311086584982,nan,-13.05895273123302,nan,1.1063521047702003,nan,1.1062787603704125,nan,1.0003876970793486,nan,1.000470409397359,nan
z i T,3,-12.435838085751715,nan,-17.563252485332704,nan,-17.510654770979183,nan,1.0796862948363828,nan,1.0796796064157914,nan,1.0003876970793486,nan,1.000470409397359,nan
y c g,3,-11.695795974556415,nan,-16.278934146313947,nan,-16.006771064916265,nan,1.195931562090883,nan,1.195633954795342,nan,1.0010335431098942,nan,1.001058486618452,nan
l R z,3,-11.621724720208915,nan,-12.74297158669467,nan,-12.742907019882137,nan,1.0821015132998155,nan,1.0820886923422406,nan,1.0000643004115226,nan,1.00017597794045,nan
J Y p,3,-13.692374098493204,nan,-16.960979017971134,nan,-16.32849908629174,nan,1.0420433926925516,nan,1.0421307726695441,nan,1.0012277074179374,nan,1.0012352502516275,nan
C ^ z,3,-12.225076201762699,nan,-13.889659141629465,nan,-13.902970727648993,nan,1.1117128340658828,nan,1.1116258594622215,nan,1.003424025997509,nan,1.0032350794599485,nan
C e J,3,-14.930739041529364,nan,-15.143453258101005,nan,-15.18671901211345,nan,1.0801374264521288,nan,1.0801296069554713,nan,1.0005153505972877,nan,1.0005867677332165,nan
z i S,3,-12.54872376748731,nan,-18.656041266300413,nan,-18.594005903784335,nan,1.0805263051749716,nan,1.0805175052233968,nan,1.0006461617989144,nan,1.0007057450448265,nan
z u v,3,-11.900470146337238,nan,-21.470922177077167,nan,-21.26904705766838,nan,1.1585378612336292,nan,1.1583338818057947,nan,1.0016150887289172,nan,1.0015879918252533,nan
D Y p,3,-11.369557101527572,nan,-15.421363493848819,nan,-15.21651894818334,nan,1.1155510711607133,nan,1.1154547054986688,nan,1.00129200782946,nan,1.0012938222659191,nan
s R k,3,-10.996779140431116,nan,-13.620763457411893,nan,-13.62131573549218,nan,1.1185291452459882,nan,1.118424795909121,nan,1.000515982134025,nan,1.000587291528367,nan
b R s,3,-11.374438935458944,nan,-12.407938353887516,nan,-12.420871590170186,nan,1.1068373118857977,nan,1.1067620208275657,nan,1.001548893707182,nan,1.0015278484255101,nan
T ^ z,3,-12.037301738394596,nan,-14.076441049084817,nan,-14.07756892724426,nan,1.113897502831545,nan,1.113805067256094,nan,1.0032954251744637,nan,1.0031179354313653,nan
S c G,3,-14.325306429977537,nan,-15.058955415521915,nan,-14.991173364247933,nan,1.0178942981313426,nan,1.0180421770817252,nan,1.0003230808994572,nan,1.0004115754854923,nan
J e J,3,-15.114276403944206,nan,-15.827416463390882,nan,-15.853148161299764,nan,1.0844425090197571,nan,1.0844239281963377,nan,1.0005796510088103,nan,1.0006453397475081,nan
D ^ z,3,-10.085796567211913,nan,-8.737762294794848,nan,-8.752766274253865,nan,1.1895255951016728,nan,1.1892441135322125,nan,1.0147408984254924,nan,1.013543753975265,nan
S Y p,3,-13.433947954445852,nan,-14.926389520040594,nan,-14.897360787387235,nan,1.040437018600153,nan,1.040528413997579,nan,1.0012277074179374,nan,1.0012352502516275,nan
n W C,3,-13.05682741099174,nan,-13.930241870948954,nan,-13.932484788529742,nan,1.0630071690797194,nan,1.0630422656665086,nan,1.0119598765432098,nan,1.0110118005843907,nan
l W C,3,-13.557762858148621,nan,-14.789446023414829,nan,-14.783962702292534,nan,1.0748300823997734,nan,1.0748356254921718,nan,1,1,1.0001174059261584,1.0
S c d,3,-13.280033409490326,nan,-19.05792026867593,nan,-18.70543617159542,nan,1.0797319822874554,nan,1.0797244200723795,nan,1,1,1.0001174059261584,1.0
g i J,3,-12.741594529660606,nan,-14.810121567014022,nan,-14.826296035538434,nan,1.1068044180294403,nan,1.1067299366514307,nan,1.0004523132592402,nan,1.000529243309226,nan
C u T,3,-14.280259934878755,nan,-15.066271358120575,nan,-15.100947239085066,nan,1.1562669033163457,nan,1.1560686558043356,nan,1.0018726061433765,nan,1.0018225417799946,nan
D i g,3,-10.418777532694975,nan,-13.951515706941596,nan,-13.949562993685145,nan,1.1920593204930128,nan,1.1917712745101046,nan,1.0049048300727423,nan,1.0045838071741058,nan
w u T,3,-12.29403477624687,nan,-16.29265111577829,nan,-16.040213597272405,nan,1.2617092987413923,nan,1.2612474790321269,nan,1.0017440053203313,nan,1.0017053977514117,nan
T c T,3,-15.220444822980019,nan,-16.71548039527685,nan,-16.660476994461856,nan,1.0166048642630778,nan,1.0167559772535222,nan,1.0001286008230452,nan,1.0002345499547416,nan
g u T,3,-12.505657749269277,nan,-17.450197786604797,nan,-17.197576607823745,nan,1.1812620841940686,nan,1.181001356740113,nan,1.001615404497286,nan,1.0015882537228284,nan
f R s,3,-11.957847629121868,nan,-14.122387035114684,nan,-14.122517714859306,nan,1.087560822777014,nan,1.0875337167639838,nan,1.0016131941187045,nan,1.0015864204398017,nan
J Y m,3,-13.259888617647706,nan,-16.407658671677734,nan,-15.775609733299238,nan,1.0766130489344745,nan,1.0766135312902336,nan,1.001163091238046,nan,1.0011764163397607,nan
n R z,3,-11.120789273052035,nan,-14.29836520641789,nan,-14.272081713228673,nan,1.0702785999797615,nan,1.0702953325165774,nan,1.0000643004115226,nan,1.00017597794045,nan
m R n,3,-10.747664365051385,nan,-14.105505475420525,nan,-14.081033772612352,nan,1.123365688938774,nan,1.1232488838825057,nan,1.0014215559576118,nan,1.001411751987228,nan
C u S,3,-14.393145616614348,nan,-16.013596687017483,nan,-16.040305069466523,nan,1.1571069136549346,nan,1.156906554611941,nan,1.001355676704245,nan,1.0013518704850601,nan
S e J,3,-14.855850259896854,nan,-14.871398503245006,nan,-14.921001028514247,nan,1.0828361349273585,nan,1.0828215695243726,nan,1.0010297538894686,nan,1.0010553438475491,nan
T ^ S,3,-13.671459760497505,nan,-16.598996035913384,nan,-16.61328854115929,nan,1.1003281050543416,nan,1.1002697788255429,nan,1.0001292323597828,nan,1.000235073749892,nan
