word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.202042185249132,nan,-11.507125173910321,nan,-11.52197607536688,nan,1.107231947652518,nan,1.1071562430168171,nan,1.0019321997634925,nan,1.0018772757171461,nan
b i l,3,-10.283981691766527,nan,-11.337135270325692,nan,-11.348833218399886,nan,1.1452735131557283,nan,1.1451022267470519,nan,1.007622882868105,nan,1.0070583571562115,nan
b i s,3,-10.117590046343988,nan,-11.442617104718229,nan,-11.453426868252405,nan,1.1669957784776834,nan,1.1667698607188066,nan,1.0025802141326512,nan,1.0024671510816927,nan
b R s,3,-11.385704541773926,nan,-12.447285179632809,nan,-12.460047046323513,nan,1.1059958428236072,nan,1.1059226206674588,nan,1.001549768327219,nan,1.0015286391432343,nan
b Y s,3,-10.940942125908533,nan,-11.798009921257158,nan,-11.811017654148618,nan,1.1143608129027527,nan,1.1142666514761879,nan,1.0030964998995706,nan,1.0029372884917247,nan
b ^ l,3,-9.882728002811884,nan,-10.373693709963906,nan,-10.386109380123315,nan,1.1617460696192765,nan,1.1615335489550107,nan,1.0109427548079026,nan,1.0100844072542434,nan
C @ l,3,-12.363172634134738,nan,-16.39269572756932,nan,-16.375096163379585,nan,1.1121581224236385,nan,1.1120696739877949,nan,1.0008395337627822,nan,1.0008819168841825,nan
C i D,3,-12.188896278147974,nan,-17.675364772987805,nan,-17.652212507902025,nan,1.105462165299489,nan,1.105390649657154,nan,1.0049752860569006,nan,1.0046475492885654,nan
C i n,3,-11.562013977246306,nan,-13.88731070512679,nan,-13.899866663439298,nan,1.1560181518523724,nan,1.155819488246178,nan,1.0022600028916562,nan,1.0021753614022861,nan
C R J,3,-15.777138925049108,nan,-17.581794181951043,nan,-17.527788557838782,nan,1.0209944251458007,nan,1.0211346264756067,nan,1.0000646495991725,nan,1.0001763330087905,nan
C R g,3,-13.827126206137018,nan,-17.85733059224981,nan,-17.81949075260913,nan,1.0533192247320433,nan,1.0533781294097655,nan,1.0002585983966898,nan,1.0003529178578106,nan
C R T,3,-15.420320106568727,nan,-17.03845165048715,nan,-16.979684594864874,nan,1.0204125787532483,nan,1.0205542434227919,nan,1,1,1.0001174713924506,1.0
C ^ J,3,-14.107770740664527,nan,-18.017943993913224,nan,-18.00998789049121,nan,1.0984669172634252,nan,1.0984131887349133,nan,1.000193341446544,nan,1.000293552561012,nan
C ^ n,3,-11.160760288291662,nan,-12.761512114476163,nan,-12.770590533938053,nan,1.1724907083159206,nan,1.172250810454137,nan,1.0125414148884886,nan,1.0115361212819491,nan
C ^ S,3,-13.86271084323715,nan,-16.419284683181836,nan,-16.444874973815327,nan,1.0987901652592875,nan,1.098735623764255,nan,1.0002579910457166,nan,1.000352414177352,nan
C ^ C,3,-13.926648944062478,nan,-15.767115867713521,nan,-15.800330533565207,nan,1.098208318866735,nan,1.09815524071144,nan,1.0006458886407514,nan,1.000705583875392,nan
d i k,3,-9.930273574362324,nan,-12.189407147387909,nan,-12.1976559182174,nan,1.1666713709036678,nan,1.1664464331999558,nan,1.0032959148558498,nan,1.0031184064648726,nan
d i s,3,-9.661912068019818,nan,-12.20694423499886,nan,-12.214167294316168,nan,1.1786961963497502,nan,1.178441016291463,nan,1.0016150252773652,nan,1.001588004440033,nan
d i t,3,-8.981094975643334,nan,-10.93845039286253,nan,-10.94638652584177,nan,1.2604779393029437,nan,1.2600170787148846,nan,1.0018089740748828,nan,1.001764589289053,nan
d E p,3,-11.143994441709472,nan,-16.3320227750824,nan,-16.2780181659271,nan,1.1181602144403562,nan,1.1180571803609753,nan,1.0003229443203756,nan,1.0004115276339212,nan
d R s,3,-10.930026563449756,nan,-12.448609142111568,nan,-12.459749956284478,nan,1.117696260695674,nan,1.1175937762401151,nan,1.001549768327219,nan,1.0015286391432343,nan
D i D,3,-10.049889923278826,nan,-15.934361990674669,nan,-15.900306183395143,nan,1.184150689889653,nan,1.1838823772446876,nan,1.0055543993700722,nan,1.0051750372735613,nan
D i g,3,-10.420005355837933,nan,-13.95635401988364,nan,-13.954364235097895,nan,1.1930076849762836,nan,1.192717097048647,nan,1.0049079033783475,nan,1.0045864211101616,nan
D i C,3,-12.188896278147972,nan,-13.951319033774528,nan,-13.974078315174536,nan,1.160424286993351,nan,1.160215646091015,nan,1.0016107738205506,nan,1.0015844786768222,nan
d I J,3,-12.060498198760726,nan,-14.653763507423328,nan,-14.649151124107865,nan,1.0871087344899355,nan,1.0870835209435918,nan,1.0075284730712308,nan,1.0069748151973972,nan
d I D,3,-9.74037004728953,nan,-14.562093480927164,nan,-14.535685995384355,nan,1.1105765389895474,nan,1.1104923040737913,nan,1.0085628666579907,nan,1.007916601058837,nan
d Y p,3,-11.270409862495079,nan,-12.548024906904775,nan,-12.558660368988456,nan,1.0741476026393137,nan,1.074154741336585,nan,1.0018718016211345,nan,1.001821939864017,nan
d Y t,3,-9.804447055207879,nan,-11.47789125071469,nan,-11.486807286811501,nan,1.207842973728013,nan,1.2075138694722658,nan,1.0029708448070669,nan,1.0028225873417966,nan
d I T,3,-11.703679380280347,nan,-14.015110796155113,nan,-14.01007538292823,nan,1.086526888097383,nan,1.086503137890777,nan,1.0075284730712308,nan,1.0069748151973972,nan
d I Z,3,-16.4071854669893,nan,-inf,nan,-18.917448993453405,nan,1.0829711601428964,nan,1.0829563525680197,nan,1.0075284730712308,nan,1.0069748151973972,nan
f i k,3,-10.966073799270683,nan,-13.239789583595218,nan,-13.249440764287797,nan,1.1362631420383513,nan,1.136114254156734,nan,1.0036819903979641,nan,1.0034700651215365,nan
f i s,3,-10.697712292928177,nan,-13.25732667120617,nan,-13.265952140386565,nan,1.1482879674844337,nan,1.148108837248241,nan,1.0020011008194796,nan,1.0019396630966968,nan
f R s,3,-11.965826788358116,nan,-14.19000460714526,nan,-14.189265712331261,nan,1.0872880318303575,nan,1.0872615971968933,nan,1.0016141142509047,nan,1.001587248919345,nan
f R t,3,-11.285009695981632,nan,-13.598804790383443,nan,-13.598510244941124,nan,1.169069774783551,nan,1.168837659620315,nan,1.0012262166558699,nan,1.001234079221305,nan
f Y k,3,-11.789425878835228,nan,-12.402682798711265,nan,-12.416010816880664,nan,1.0836281764634206,nan,1.0836110449141152,nan,1.002453648013687,nan,1.0023516944110766,nan
f ^ l,3,-10.462850249396075,nan,-12.004787874015175,nan,-12.01579845078403,nan,1.1430382586260268,nan,1.1428725254844452,nan,1.0016769417971567,nan,1.001644599494309,nan
g e s,3,-10.542807314394299,nan,-13.629606062636698,nan,-13.621617802074569,nan,1.164808074985768,nan,1.1645876333620158,nan,1.0021980863718645,nan,1.00211876634801,nan
g W d,3,-11.813028312499542,nan,-17.373631917167238,nan,-16.98052022719042,nan,1.1151433468669305,nan,1.115047200547418,nan,1.0013576415826222,nan,1.0013535653355903,nan
g W r,3,-11.584507715839779,nan,-20.607437864951596,nan,-19.826487703380565,nan,1.143201272907789,nan,1.1430345610942676,nan,1.0000646495991725,nan,1.0001763330087905,nan
g W z,3,-12.34438853870724,nan,-19.910632132807507,nan,-19.134239968498694,nan,1.066979395483429,nan,1.0670043811755212,nan,1,1,1.0001174713924506,1.0
g i C,3,-12.559011710707079,nan,-13.738733655401873,nan,-13.768391179209955,nan,1.106936662435331,nan,1.1068617920445867,nan,1.0004525471942074,nan,1.0005295027068304,nan
g i J,3,-12.74013350730913,nan,-14.816072848409828,nan,-14.83189530269885,nan,1.107195260832021,nan,1.10711974006806,nan,1.0004525471942074,nan,1.0005295027068304,nan
g i D,3,-10.420005355837933,nan,-15.721776612302012,nan,-15.694619047430564,nan,1.130663065331633,nan,1.1305285231982594,nan,1.004396172743729,nan,1.0041200613035695,nan
g R g,3,-12.058235283826978,nan,-15.466610649502556,nan,-15.440867667488394,nan,1.0785201247641873,nan,1.078516002950871,nan,1.0002585983966898,nan,1.0003529178578106,nan
g u v,3,-11.838272592902374,nan,-18.89552452300113,nan,-18.615635281217255,nan,1.1863574491172457,nan,1.1860837269312539,nan,1.001616239979312,nan,1.0015890118009503,nan
h e s,3,-10.751722983421304,nan,-11.358664903153924,nan,-11.370517229255986,nan,1.1957948959436595,nan,1.1954969574610284,nan,1.006380571411437,nan,1.0059284017952026,nan
h e n,3,-10.41626239594984,nan,-11.643731072702854,nan,-11.653154096983917,nan,1.2100824573607787,nan,1.2097485857579264,nan,1.0057987250188847,nan,1.0053986472481429,nan
h i n,3,-10.00203872396327,nan,-9.553180873622445,nan,-9.567827748226946,nan,1.2122058728424079,nan,1.211866685886296,nan,1.0321808574055227,nan,1.0294289072937408,nan
