word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.018700400317543,nan,-12.79727664703041,nan,-12.816165173737119,nan,1.105193163319993,nan,1.105123981641755,nan,1.0010360799609945,nan,1.0010606429804687,nan
b O r,3,-13.31906205634717,nan,-inf,nan,-15.284332798579271,nan,1.1200185463607473,nan,1.119913585602151,nan,1.0010360799609945,nan,1.0010606429804687,nan
b O s,3,-13.353541068761004,nan,-13.61913143017766,nan,-13.571565652924559,nan,1.0912362127586135,nan,1.0912007143150224,nan,1.0010981108523784,nan,1.001117325896238,nan
b U n,3,-10.861171990797075,nan,-inf,nan,-16.993414359437285,nan,1.1338377269474917,nan,1.1337006217584937,nan,1.0005485129205265,nan,1.0006144385072688,nan
b u r,3,-10.210311497068433,nan,-11.865378534269984,nan,-11.874209242107696,nan,1.2617177174967784,nan,1.2612767521370813,nan,1.016609088732332,nan,1.0152907769083923,nan
b U s,3,-11.196012659240536,nan,-inf,nan,-17.209818337892038,nan,1.1198807763861123,nan,1.1197773544317609,nan,1.0005485129205265,nan,1.0006144385072688,nan
b W r,3,-11.57055995711919,nan,-16.35310499508273,nan,-15.970401391241275,nan,1.1392164985791773,nan,1.139066014616561,nan,1.000671489691969,nan,1.0007268969821883,nan
C e D,3,-12.609611117581617,nan,-17.17390498227991,nan,-17.171914682990632,nan,1.1016625482523783,nan,1.1016036386146222,nan,1.0015464322392962,nan,1.0015259019426719,nan
C i D,3,-12.19434045882216,nan,-16.589163147558324,nan,-16.592879751536767,nan,1.103308087013958,nan,1.103245275387286,nan,1.0047666135346323,nan,1.0044688767795737,nan
C O b,3,-15.787365773628583,nan,-20.4995474791129,nan,-19.83297561347165,nan,1.0217630552331827,nan,1.021894046387083,nan,1,1,1.000112458474919,1.0
C O g,3,-15.797724351068357,nan,-20.812082855754394,nan,-20.02337121097789,nan,1.0390696739292933,nan,1.0391588978722315,nan,1,1,1.000112458474919,1.0
C O v,3,-16.713096762384122,nan,-inf,nan,-21.221972273188392,nan,1.0116520199376053,nan,1.0118074127237167,nan,1,1,1.000112458474919,1.0
C u D,3,-12.323639025066518,nan,-16.678719016912353,nan,-16.680727456587878,nan,1.1738834161217104,nan,1.1736532525259737,nan,1.0014223704565284,nan,1.0014125361111337,nan
C u S,3,-14.394334566575548,nan,-15.977284606703721,nan,-16.00539250255217,nan,1.1498154302647536,nan,1.1496433515358748,nan,1.0012983086737606,nan,1.0012991702795953,nan
C u T,3,-14.28381882264516,nan,-15.009180035930674,nan,-15.045262271483038,nan,1.1492571522422985,nan,1.1490864208428055,nan,1.0017325249134479,nan,1.0016959506899796,nan
D e C,3,-12.609611117581618,nan,-13.222485439349072,nan,-13.198872322529024,nan,1.1517657018605014,nan,1.1515894305286636,nan,1.017310799959267,nan,1.015954531986752,nan
D e D,3,-10.469119814137045,nan,-13.903412953419542,nan,-13.89074639814763,nan,1.1763919657399133,nan,1.1761562622118318,nan,1.0184893868955613,nan,1.0170315073863665,nan
D e J,3,-12.787124972807469,nan,-11.849195547001463,nan,-11.882772638830975,nan,1.1518277327518853,nan,1.1516513117167824,nan,1.017310799959267,nan,1.015954531986752,nan
D e S,3,-12.539815355646075,nan,-12.502896627131152,nan,-12.509640110323579,nan,1.1523239798829565,nan,1.1521463612217329,nan,1.017310799959267,nan,1.015954531986752,nan
D i C,3,-12.194340458822161,nan,-13.976498483264283,nan,-13.999612388856798,nan,1.1534112406220811,nan,1.1532310673013273,nan,1.0015312420807405,nan,1.001513198950003,nan
D i D,3,-10.053849155377588,nan,-14.94404537043041,nan,-14.93409368465338,nan,1.178037504501493,nan,1.1777978989844955,nan,1.005315126455159,nan,1.0049708568119236,nan
D i S,3,-12.124544696886618,nan,-14.345952508698321,nan,-14.361451520550462,nan,1.1539695186445362,nan,1.1537879979943966,nan,1.0017173347548922,nan,1.0016832476973105,nan
D i T,3,-12.014028952956231,nan,-13.22262831090911,nan,-13.247666076145904,nan,1.1534112406220811,nan,1.1532310673013273,nan,1.0015312420807405,nan,1.001513198950003,nan
d u r,3,-9.754348183927391,nan,-10.570588768285115,nan,-10.581247587648747,nan,1.2736963141160171,nan,1.2732270099472118,nan,1.0256900248610497,nan,1.0236013352217395,nan
D W C,3,-13.683887485117275,nan,-16.733176550483986,nan,-16.60419587991088,nan,1.1014853508122324,nan,1.1014283069194948,nan,1.000062030891384,nan,1.0001691413906884,nan
D W D,3,-11.543396181672703,nan,-18.45037322264843,nan,-18.297064878135807,nan,1.1261116146916443,nan,1.125995138602663,nan,1.0011785869362944,nan,1.0011894338745337,nan
D W T,3,-13.503575979251345,nan,-14.519786268114894,nan,-14.434345901958578,nan,1.1014853508122324,nan,1.1014283069194948,nan,1.000062030891384,nan,1.0001691413906884,nan
f U n,3,-11.442593825962035,nan,-inf,nan,-18.291173285190407,nan,1.1158394294891432,nan,1.1157449044397192,nan,1.0003047294002925,nan,1.000391336270669,nan
f u r,3,-10.791733332233393,nan,-13.869554443165946,nan,-13.861634947732803,nan,1.2437194200384298,nan,1.2433210348183068,nan,1.0158167922915713,nan,1.0145656946394426,nan
f U s,3,-11.777434494405496,nan,-inf,nan,-18.50757726364516,nan,1.1018824789277637,nan,1.1018216371129865,nan,1.0003047294002925,nan,1.000391336270669,nan
f W r,3,-12.15198179228415,nan,-18.44283087823327,nan,-18.03519063347987,nan,1.1212182011208287,nan,1.1211102972977864,nan,1.0002448685315595,nan,1.0003364680681384,nan
f ^ r,3,-10.262194348483197,nan,-13.284501580275279,nan,-13.29283315758126,nan,1.1910012337878204,nan,1.1907278567311177,nan,1.0015344971147166,nan,1.0015159210198608,nan
g U n,3,-10.871530568236848,nan,-inf,nan,-16.811542211528504,nan,1.1338985320064727,nan,1.1337612829656518,nan,1.0023768893222817,nan,1.0022877052817682,nan
g U S,3,-13.570400179612346,nan,-13.275693526497756,nan,-13.299349867905567,nan,1.0615084817614506,nan,1.0615459364309983,nan,1.0029971982361208,nan,1.0028545344394602,nan
g U T,3,-13.459884435681957,nan,-inf,nan,-16.61977681134546,nan,1.0609502037389955,nan,1.060989005737929,nan,1.0023768893222817,nan,1.0022877052817682,nan
g W C,3,-14.049222251840376,nan,-18.66403062535707,nan,-18.26415141665894,nan,1.0515035923299267,nan,1.0515647946356004,nan,1.000062030891384,nan,1.0001691413906884,nan
g W D,3,-11.908730948395805,nan,-20.381227297521512,nan,-19.957020414883868,nan,1.0761298562093387,nan,1.0761316263187686,nan,1.0011785869362944,nan,1.0011894338745337,nan
g W T,3,-13.868910745974446,nan,-16.450640342987978,nan,-16.094301438706637,nan,1.0515035923299267,nan,1.0515647946356004,nan,1.000062030891384,nan,1.0001691413906884,nan
g ^ r,3,-9.69113109075801,nan,-11.709996940715005,nan,-11.719282969677522,nan,1.20906033630515,nan,1.2087442352570503,nan,1.0029971982361208,nan,1.0028545344394602,nan
h U n,3,-11.079578346335044,nan,-inf,nan,-19.718784351228212,nan,1.1623552996095372,nan,1.1621507279156063,nan,1,1,1.000112458474919,1.0
h u r,3,-10.428717852606402,nan,-11.474414124205913,nan,-11.482407172708058,nan,1.2902352901588239,nan,1.2897268582941939,nan,1.019839220375433,nan,1.0182468815433414,nan
h U s,3,-11.414419014778504,nan,-inf,nan,-19.935188329682966,nan,1.1483983490481577,nan,1.1482274605888736,nan,1,1,1.000112458474919,1.0
h W r,3,-11.788966312657159,nan,-15.032134623402102,nan,-14.6547813765945,nan,1.1677340712412227,nan,1.1675161207736735,nan,1.004754863655889,nan,1.0044638594452369,nan
J O b,3,-15.964879628854437,nan,-17.509623407460595,nan,-17.406663127949702,nan,1.0260802144208272,nan,1.0262009920953026,nan,1,1,1.000112458474919,1.0
J ^ r,3,-11.643801482705332,nan,-11.79711699604793,nan,-11.846147937843881,nan,1.1886298364875652,nan,1.1883620696519548,nan,1.0059226004789292,nan,1.0055317612786594,nan
k E G,3,-11.669885124082821,nan,-17.001517697108618,nan,-16.884697180999417,nan,1.103792280923454,nan,1.1037294995298825,nan,1.000062030891384,nan,1.0001691413906884,nan
k E S,3,-12.79474175765942,nan,-17.873099249619766,nan,-17.765544103026677,nan,1.1034200955751503,nan,1.1033582124011696,nan,1,1,1.000112458474919,1.0
k i b,3,-10.381985601047411,nan,-14.510494323733173,nan,-14.50816774312722,nan,1.125904044288094,nan,1.1257882712701317,nan,1.0008009765313637,nan,1.0008447995968224,nan
k i C,3,-12.167500715208654,nan,-13.706133085212706,nan,-13.73471482678005,nan,1.1116989701611788,nan,1.111617479190924,nan,1.0007389456399798,nan,1.0007881166810533,nan
k i D,3,-10.027009411764082,nan,-14.673679972378833,nan,-14.669196122576633,nan,1.1363252340405907,nan,1.136184310874092,nan,1.0045228300143982,nan,1.0042457745429738,nan
k i r,3,-9.69919699792724,nan,-11.049319731199592,nan,-11.05842610197389,nan,1.1994726814694103,nan,1.1991793603790426,nan,1.0235042827778744,nan,1.021590746768345,nan
k u f,3,-11.09270600245673,nan,-14.956989127454563,nan,-14.946445786170164,nan,1.1867405234485726,nan,1.1864809018741662,nan,1.0021699961871113,nan,1.0020954531702213,nan
k U m,3,-11.16737579546664,nan,-17.038219688610475,nan,-16.76429990810767,nan,1.1109664816617697,nan,1.1108849695153804,nan,1.0010970258410532,nan,1.0011164185396186,nan
k U n,3,-10.47935605790024,nan,-inf,nan,-17.820180033535497,nan,1.142168020027876,nan,1.1420112071391428,nan,1.0010970258410532,nan,1.0011164185396186,nan
k U p,3,-11.595662523881042,nan,-16.007849668559,nan,-15.870469668471689,nan,1.0782762019024497,nan,1.0782735833767665,nan,1.0014071802979727,nan,1.0013998331184646,nan
k u r,3,-9.828495564171599,nan,-13.525250739548165,nan,-13.512191214529754,nan,1.2700480105771628,nan,1.2695873375177305,nan,1.0158167922915713,nan,1.0145656946394426,nan
l U n,3,-10.378543800941932,nan,-inf,nan,-16.39112884277081,nan,1.1550586925318285,nan,1.1548713830566437,nan,1.0097513408093612,nan,1.009036547938916,nan
l R l,3,-11.066159226745963,nan,-13.690987546922617,nan,-13.685821963043654,nan,1.1037866146684518,nan,1.1037223915766603,nan,1.0008673474680492,nan,1.0009051119390684,nan
m W l,3,-11.475589848800821,nan,-13.568156603870978,nan,-13.567838989016003,nan,1.0916395441589528,nan,1.0916040254695119,nan,1.0009272083367824,nan,1.0009599801415994,nan
m W r,3,-11.275429435535791,nan,-16.415564617105606,nan,-16.03187203927851,nan,1.1422567515282227,nan,1.1420990749744622,nan,1.0002448685315595,nan,1.0003364680681384,nan
m W t,3,-10.630699887482157,nan,-10.740861906591292,nan,-10.759364056794508,nan,1.193184113354412,nan,1.1929035304200069,nan,1.0004309612057112,nan,1.000506516815446,nan
n c n,3,-10.059169325564273,nan,-15.56320974294521,nan,-15.532436690070739,nan,1.1238756659245899,nan,1.123762249111649,nan,1.0001850076628263,nan,1.0002815998656074,nan
n W C,3,-13.055713415250807,nan,-13.979193351414068,nan,-13.977888165665485,nan,1.0634821889491655,nan,1.0635150524457309,nan,1.0113979645822664,nan,1.0105433953925849,nan
n W D,3,-10.915222111806235,nan,-15.696390023578513,nan,-15.670757163890414,nan,1.0881084528285774,nan,1.088081884128899,nan,1.0125145206271768,nan,1.0115636878764303,nan
n ^ r,3,-8.69762225416844,nan,-11.615256413971753,nan,-11.620874280206344,nan,1.2210389329243887,nan,1.2206944930671808,nan,1.0021439559153018,nan,1.0020736766113605,nan
p c k,3,-11.776810117798039,nan,-14.78171472676423,nan,-14.742269918001615,nan,1.0786193253970082,nan,1.07861418846846,nan,1.0006812547938975,nan,1.0007350631917609,nan
p c p,3,-12.291782257525877,nan,-inf,nan,-19.630936954387188,nan,1.0402222036303685,nan,1.0403097330229154,nan,1.0000609458800584,nan,1.000168234034069,nan
p c s,3,-11.510316459988536,nan,-15.758424452348763,nan,-15.708006422458904,nan,1.0901570711944155,nan,1.090124089458559,nan,1.0001850076628263,nan,1.0002815998656074,nan
p O l,3,-13.652378676443204,nan,-15.904624306538722,nan,-15.835933145331985,nan,1.0616790965009022,nan,1.061714562788132,nan,1.0001240617827678,nan,1.0002258243064575,nan
p O m,3,-13.839876344714948,nan,-inf,nan,-18.71165797736998,nan,1.0662693824633114,nan,1.066293770708924,nan,1,1,1.000112458474919,1.0
p O n,3,-13.151856607148549,nan,-15.98871094997502,nan,-15.896337091889915,nan,1.0974709208294178,nan,1.0974200083326864,nan,1,1,1.000112458474919,1.0
p O r,3,-13.452218263178175,nan,-inf,nan,-18.364504716732068,nan,1.112296303870172,nan,1.1122096122930822,nan,1,1,1.000112458474919,1.0
p O s,3,-13.48669727559201,nan,-16.81056573312227,nan,-16.651737571077355,nan,1.0835139702680383,nan,1.0834967410059537,nan,1.000062030891384,nan,1.0001691413906884,nan
p O t,3,-12.80748871512454,nan,-18.32015829018942,nan,-17.621005559270586,nan,1.1632236656963615,nan,1.163014067738627,nan,1,1,1.000112458474919,1.0
p u k,3,-10.644440374122777,nan,-12.733260810973286,nan,-12.740819991060246,nan,1.2136753956066622,nan,1.213350006550785,nan,1.0135717450771713,nan,1.0125151287489407,nan
p U m,3,-11.682347935194478,nan,-15.461714337768022,nan,-15.197204613879714,nan,1.0949139460908102,nan,1.0948704108256626,nan,1.0088980984885423,nan,1.0082556901108162,nan
p U n,3,-10.994328197628079,nan,-inf,nan,-16.25308473930754,nan,1.1261154844569166,nan,1.125996648449425,nan,1.0088980984885423,nan,1.0082556901108162,nan
p U p,3,-12.11063466360888,nan,-14.431344317716547,nan,-14.303374374243733,nan,1.0622236663314901,nan,1.0622590246870487,nan,1.0092082529454618,nan,1.0085391046896621,nan
p U s,3,-11.329168866071539,nan,-inf,nan,-16.469488717762296,nan,1.112158533895537,nan,1.1120733811226922,nan,1.0088980984885423,nan,1.0082556901108162,nan
p u v,3,-11.951987295775151,nan,-15.212489360048515,nan,-15.214382532210626,nan,1.1703158025293097,nan,1.1700950560557355,nan,1.002220091953916,nan,1.0021421551631795,nan
r U n,3,-10.178383387676902,nan,-inf,nan,-20.741981831356917,nan,1.1161434547840476,nan,1.1160482104755092,nan,1,1,1.000112458474919,1.0
r W r,3,-10.887771353999018,nan,-18.136272545243457,nan,-17.745089785945563,nan,1.1215222264157332,nan,1.1214136033335764,nan,1.000305814411618,nan,1.0003922436272883,nan
S c g,3,-13.75154777352934,nan,-16.48280880975439,nan,-16.408151494303866,nan,1.0482057822738877,nan,1.048273355818316,nan,1.0009304633707585,nan,1.000962702211457,nan
s c p,3,-11.510316459988536,nan,-inf,nan,-17.18822249420154,nan,1.072144859595345,nan,1.0721568667808772,nan,1.0003047294002925,nan,1.000391336270669,nan
s U g,3,-11.206371236680308,nan,-20.96786856854053,nan,-20.23301322290074,nan,1.1166015049774416,nan,1.1165071485440203,nan,1.0003101544569195,nan,1.000395873053765,nan
S U g,3,-13.570400179612346,nan,-16.553093810859576,nan,-16.52777508083423,nan,1.0702072449750093,nan,1.0702226474824492,nan,1.0009805591375631,nan,1.0010094042044149,nan
s U k,3,-10.8141967263437,nan,-16.100173996609662,nan,-15.427260217497395,nan,1.1325434440631061,nan,1.132410613890555,nan,1.0106693133180324,nan,1.0098619199872194,nan
s U m,3,-10.900882137657137,nan,-21.66213585688685,nan,-20.703124748012996,nan,1.1268366020557865,nan,1.1267175445836244,nan,1,1,1.000112458474919,1.0
s U n,3,-10.212862400090737,nan,-inf,nan,-21.759004873440823,nan,1.158038140421893,nan,1.1578437822073868,nan,1,1,1.000112458474919,1.0
s U p,3,-11.329168866071539,nan,-20.631765836835378,nan,-19.809294508377015,nan,1.0941463222964665,nan,1.0941061584450105,nan,1.0003101544569195,nan,1.000395873053765,nan
s U s,3,-10.547703068534197,nan,-inf,nan,-21.975408851895576,nan,1.1440811898605134,nan,1.1439205148806542,nan,1,1,1.000112458474919,1.0
S u T,3,-14.214023060709618,nan,-14.199052710162936,nan,-14.246956208495105,nan,1.1517501596605157,nan,1.1515735303362846,nan,1.0015496872732723,nan,1.0015286240125296,nan
s W l,3,-11.122410779677883,nan,-14.533107287632388,nan,-14.518650920996382,nan,1.1127997046843086,nan,1.1127141255605038,nan,1.0010491000968993,nan,1.0010715312598992,nan
s W t,3,-10.27752081835922,nan,-11.7058125903527,nan,-11.710175988774887,nan,1.2143442738797678,nan,1.2140136305109988,nan,1.000552852965828,nan,1.0006180679337457,nan
S ^ r,3,-11.396491865543938,nan,-14.255683803230392,nan,-14.273554515378684,nan,1.1868056847181379,nan,1.1865422334372142,nan,1.0009250383141315,nan,1.0009581654283608,nan
