word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.201325378406938,nan,-11.51527930554334,nan,-11.530092035403063,nan,1.1067445824925952,nan,1.1066704432817671,nan,1.0019254097581203,nan,1.00187131816541,nan
b i l,3,-10.285394255790939,nan,-11.354774077435753,nan,-11.366422788740397,nan,1.144432526651536,nan,1.1442639320667334,nan,1.0075396355828743,nan,1.0069837490045128,nan
b i s,3,-10.118177049164958,nan,-11.453301543923917,nan,-11.464075986227343,nan,1.1663006726972076,nan,1.1660772001961974,nan,1.002572534563651,nan,1.0024604569878295,nan
b R s,3,-11.386326970277187,nan,-12.449253985309808,nan,-12.462044792079912,nan,1.1055994355970218,nan,1.1055273280734352,nan,1.0015457312293636,nan,1.0015249677352016,nan
b Y s,3,-10.9407712055072,nan,-11.814106792051446,nan,-11.827053481667097,nan,1.1138681363213343,nan,1.1137754099148676,nan,1.003087368956555,nan,1.0029293904246839,nan
b ^ l,3,-9.883960068509044,nan,-10.393649007669367,nan,-10.406013996808223,nan,1.161162223465843,nan,1.1609519116063753,nan,1.010902058941453,nan,1.0100503106679302,nan
C @ l,3,-12.365396576338242,nan,-16.42640192747855,nan,-16.40852356583576,nan,1.1117934850045028,nan,1.1117061523132448,nan,1.0008373734201264,nan,1.000879802141853,nan
C i D,3,-12.19009368210283,nan,-17.577600853893248,nan,-17.558247184570096,nan,1.1051645668231005,nan,1.1050939915261115,nan,1.0048989090618237,nan,1.0045786394673037,nan
C i n,3,-11.563708460124875,nan,-13.893086785212905,nan,-13.905622965713532,nan,1.1555451628752227,nan,1.1553481579246703,nan,1.002254089038601,nan,1.0021701333285502,nan
C R J,3,-15.779925756552991,nan,-17.587915728181468,nan,-17.533880838523103,nan,1.0209179807356872,nan,1.0210578572580562,nan,1.0000645078054444,nan,1.0001758924963398,nan
C R g,3,-13.82827671082866,nan,-17.8228881108021,nan,-17.785358970985502,nan,1.0533008990688055,nan,1.053359510948295,nan,1.000258031221778,nan,1.0003521246528337,nan
C R T,3,-15.42109486495919,nan,-17.030455887901116,nan,-16.971710770782586,nan,1.0204019182921316,nan,1.0205430898685703,nan,1,1,1.0001171484441749,1.0
C ^ J,3,-14.110341648158867,nan,-18.024281464153198,nan,-18.016308818559466,nan,1.09834891465018,nan,1.0982957089204604,nan,1.000192704715899,nan,1.0002927012803604,nan
C ^ n,3,-11.16227427284298,nan,-12.766668052334353,nan,-12.775728100856448,nan,1.1722748596895296,nan,1.1720361374643122,nan,1.0125782033612352,nan,1.0115715592959862,nan
C ^ S,3,-13.865281750731489,nan,-16.43836117919924,nan,-16.463774684090442,nan,1.0986714536774023,nan,1.0986174385388892,nan,1.0002572125213434,nan,1.000351445332525,nan
C ^ C,3,-13.929219851556816,nan,-15.773453337953494,nan,-15.806651461633463,nan,1.0980263756229576,nan,1.0979739793020318,nan,1.0006442593540101,nan,1.0007039096455133,nan
d i k,3,-9.929730506322555,nan,-12.174928841063945,nan,-12.183188628994003,nan,1.1662630152909206,nan,1.1660398908924372,nan,1.0032882606767983,nan,1.0031117364639577,nan
d i s,3,-9.66166134548121,nan,-12.200837350244441,nan,-12.208064482871556,nan,1.1783904827144789,nan,1.1781369245453552,nan,1.0016110577352424,nan,1.0015843911076752,nan
d i t,3,-8.980779045630507,nan,-10.932796132351907,nan,-10.940729110214972,nan,1.2601218722126082,nan,1.259663209855181,nan,1.001804581151576,nan,1.0017606232641691,nan
d E p,3,-11.142101118385359,nan,-16.3319513345698,nan,-16.27791068163924,nan,1.118129309502367,nan,1.118026842822741,nan,1.000322129677005,nan,1.0004105290448442,nan
d R s,3,-10.92981126659344,nan,-12.44447347588593,nan,-12.455626228137753,nan,1.117689245614293,nan,1.117587052422593,nan,1.0015457312293636,nan,1.0015249677352016,nan
D i D,3,-10.04953332536695,nan,-15.83340147068825,nan,-15.803139285383033,nan,1.1838442828085158,nan,1.183577911893646,nan,1.0054757951588689,nan,1.0051042789953963,nan
D i g,3,-10.419566432980549,nan,-13.91212782246587,nan,-13.910477257331733,nan,1.1926818521544067,nan,1.1923933034385916,nan,1.0049597327153132,nan,1.0046343265780786,nan
D i C,3,-12.19009368210283,nan,-13.954279404795386,nan,-13.977016083747676,nan,1.159976394794066,nan,1.1597699201299243,nan,1.0016053268322014,nan,1.0015796358655131,nan
d I J,3,-12.061079974786114,nan,-14.652719848365098,nan,-14.6480945592335,nan,1.086991617990659,nan,1.0869669214630044,nan,1.0074995192615859,nan,1.0069504623093777,nan
