word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.077014616099817,nan,-15.388591155112948,nan,-15.40139461275707,nan,1.1592240045675286,nan,1.159024427730946,nan,1.0016470120812855,nan,1.0016171714094952,nan
g i T,3,-12.381115083110029,nan,-13.038275457808801,nan,-13.06984385579958,nan,1.1047830625131465,nan,1.1047160226356045,nan,1.000380276334136,nan,1.0004617448468947,nan
z i T,3,-12.445871492907356,nan,-16.741002446337273,nan,-16.73323395000495,nan,1.0796427006915619,nan,1.0796366773123112,nan,1.0005053310455723,nan,1.0005759392056932,nan
y c g,3,-11.69327929879519,nan,-16.209144339979247,nan,-15.9375892535989,nan,1.1923555336491398,nan,1.1920750594666567,nan,1.0010132181910585,nan,1.0010391033130737,nan
l R z,3,-11.628604095324075,nan,-12.798577785570068,nan,-12.798199915847434,nan,1.081231933995066,nan,1.0812218225437606,nan,1.0000625273557182,nan,1.000172001168441,nan
J Y p,3,-13.683863527364707,nan,-16.937705734901034,nan,-16.30455983786259,nan,1.0421106753662752,nan,1.042195684053107,nan,1.0012042083914312,nan,1.001213233372243,nan
C ^ z,3,-12.22329493216734,nan,-13.85046558570798,nan,-13.865014531064805,nan,1.1117894115939486,nan,1.1117047067349277,nan,1.0034199309073115,nan,1.0032343428189905,nan
C e J,3,-14.922175562300406,nan,-15.140371876639808,nan,-15.183434893300745,nan,1.0786474917035782,nan,1.0786438763819775,nan,1.0003768682009178,nan,1.0004589063259233,nan
z i S,3,-12.566293549887995,nan,-17.86215883246055,nan,-17.844927557645633,nan,1.0803398739708114,nan,1.080332131570388,nan,1.0007588486016632,nan,1.000807166444262,nan
z u v,3,-11.899244587744892,nan,-20.645980925863974,nan,-20.489154037697297,nan,1.1562923895444546,nan,1.1560997734378193,nan,1.0016470120812855,nan,1.0016171714094952,nan
D Y p,3,-11.365738881528172,nan,-15.40963067203509,nan,-15.204676334256565,nan,1.1142254601448156,nan,1.1141354438390305,nan,1.0012667357471494,nan,1.0012703305516424,nan
s R k,3,-11.004321336217272,nan,-13.620865624603764,nan,-13.621373004691737,nan,1.1169380551155692,nan,1.116839999518458,nan,1.000504479012268,nan,1.0005752295754504,nan
b R s,3,-11.384373760908204,nan,-12.437142928217588,nan,-12.44994649453269,nan,1.104956693637728,nan,1.104887266266055,nan,1.0015159931367172,nan,1.0014980096389967,nan
T ^ z,3,-12.044581316749584,nan,-14.10581640806214,nan,-14.107660362026778,nan,1.1137856686120395,nan,1.1136961187705243,nan,1.003232348840157,nan,1.0030630512807925,nan
S c G,3,-14.340046621202598,nan,-15.125925646802418,nan,-15.057682609670941,nan,1.0174977774787828,nan,1.017642911841672,nan,1.0002535175560907,nan,1.0003461312276103,nan
J e J,3,-15.101859544132829,nan,-15.833961241597848,nan,-15.858715840979412,nan,1.082951920898837,nan,1.0829378585837324,nan,1.0005019229123542,nan,1.0005731006847218,nan
D ^ z,3,-10.084854268163228,nan,-8.775271114456991,nan,-8.790060757327613,nan,1.1882086255677478,nan,1.187938448722606,nan,1.0147999096480105,nan,1.01362602946967,nan
S Y p,3,-13.445887987095166,nan,-15.016197025817197,nan,-14.981056806497097,nan,1.0402391844118148,nan,1.0403287352697355,nan,1.0012042083914312,nan,1.001213233372243,nan
n W C,3,-13.055352209242987,nan,-13.8948854981295,nan,-13.896804196173415,nan,1.0636788650458329,nan,1.063711873975869,nan,1.0117551428750078,nan,1.010849173716117,nan
l W C,3,-13.556452470612541,nan,-14.819722332980723,nan,-14.813638083963006,nan,1.073597767104473,nan,1.0736067025277392,nan,1.0000625273557182,nan,1.000172001168441,nan
S c d,3,-13.294186416385699,nan,-19.118476040105705,nan,-18.765614061906017,nan,1.0779617146064289,nan,1.0779577629512378,nan,1,1,1.0001149039890416,1.0
g i J,3,-12.739512680360207,nan,-14.807894072387015,nan,-14.824297915826921,nan,1.1052900976253281,nan,1.1052218075505695,nan,1.0004436557231589,nan,1.0005195516565368,nan
C u T,3,-14.280026574807753,nan,-15.035278018329755,nan,-15.070543745215634,nan,1.152985701385994,nan,1.152801265119707,nan,1.0018345941484397,nan,1.0017884629476932,nan
D i g,3,-10.421388034523671,nan,-13.881401963549209,nan,-13.880077806373437,nan,1.189451892751038,nan,1.1891780942024626,nan,1.0048640243219604,nan,1.004552545356875,nan
w u T,3,-12.29592522538741,nan,-16.310728000654183,nan,-16.058221330915334,nan,1.2559800869131306,nan,1.2555456798312634,nan,1.0017095394370035,nan,1.0016742685888944,nan
T c T,3,-15.233049295483138,nan,-16.743359649604486,nan,-16.687958160979,nan,1.0159836466426895,nan,1.016132497514585,nan,1.0000625273557182,nan,1.000172001168441,nan
g u T,3,-12.508886392782433,nan,-17.464142551072538,nan,-17.211465529606826,nan,1.1774398498576097,nan,1.177196062555764,nan,1.0015844847255673,nan,1.0015600742300959,nan
f R s,3,-11.964480606797515,nan,-14.208858087176095,nan,-14.208053346130944,nan,1.086241784093124,nan,1.086217778432338,nan,1.0015785204924352,nan,1.001555106818396,nan
