word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.197976828075422,nan,-11.47791671377578,nan,-11.492848156735457,nan,1.1081335710548892,nan,1.1080560736330716,nan,1.0020513299686533,nan,1.0019861375900019,nan
b i l,3,-10.283433625836519,nan,-11.310543212685424,nan,-11.322321416106483,nan,1.1464979384208835,nan,1.1463243707209299,nan,1.0077265859680564,nan,1.0071544287549683,nan
b i s,3,-10.116244951671131,nan,-11.417558253267106,nan,-11.42844344909628,nan,1.167707324702472,nan,1.167480566463969,nan,1.0026982208313882,nan,1.0025750827795088,nan
b R s,3,-11.382150663662966,nan,-12.414981358606031,nan,-12.427856751404343,nan,1.106695801014892,nan,1.1066209968873675,nan,1.0016730015802064,nan,1.0016409085034585,nan
b Y s,3,-10.939304875121236,nan,-11.79052008763483,nan,-11.803534299486088,nan,1.1150184642671328,nan,1.1149229318768306,nan,1.0032126133895596,nan,1.0030436495588357,nan
b ^ l,3,-9.882365520784862,nan,-10.349831522380775,nan,-10.362322706667594,nan,1.162887182979142,nan,1.1626727965463337,nan,1.0112747373641258,nan,1.010390746791851,nan
C @ l,3,-12.361535856875985,nan,-16.36905318920439,nan,-16.352237616824077,nan,1.112263607875288,nan,1.1121752622430747,nan,1.000836723656676,nan,1.0008791638155172,nan
C i D,3,-12.190552174766392,nan,-17.662916976619847,nan,-17.640368314481798,nan,1.105501621450669,nan,1.105430376898935,nan,1.004959887318661,nan,1.0046343564359925,nan
C i n,3,-11.562805017155805,nan,-13.876103487014014,nan,-13.889252807516987,nan,1.1560431376961562,nan,1.1558451412227728,nan,1.002252306091224,nan,1.002168554756899,nan
C R J,3,-15.774059350584203,nan,-17.556564135443093,nan,-17.503410414535843,nan,1.021282258670773,nan,1.0214211706430205,nan,1.000064466219701,nan,1.0001757587810383,nan
C R g,3,-13.82281147586041,nan,-17.83333570155356,nan,-17.796271013602666,nan,1.0535798347409124,nan,1.0536377483550647,nan,1.0002578648788034,nan,1.000351887472402,nan
C R T,3,-15.415800647045835,nan,-17.10389262276513,nan,-17.035977760618138,nan,1.020830995132867,nan,1.0209710388187005,nan,1,1,1.0001170492172502,1.0
C ^ J,3,-14.107085533540712,nan,-17.990319580064185,nan,-17.983222105604536,nan,1.0986830269166117,nan,1.0986291660450258,nan,1.0001925071928124,nan,1.0002924380879632,nan
C ^ n,3,-11.16173691210415,nan,-12.737129208663722,nan,-12.746995459999473,nan,1.1724323822544147,nan,1.1721935670481767,nan,1.0126344875950815,nan,1.0116233838990358,nan
C ^ S,3,-13.862840543442436,nan,-16.416829614531142,nan,-16.442964025161167,nan,1.0990053580151162,nan,1.098950688776683,nan,1.0002569734125133,nan,1.000351147651751,nan
C ^ C,3,-13.925725053226309,nan,-15.696557965711627,nan,-15.731220472927436,nan,1.0984896282575092,nan,1.0984362524060316,nan,1.0007082369504194,nan,1.0007621145982668,nan
d i k,3,-9.929606758003693,nan,-12.17195333554665,nan,-12.18023998731696,nan,1.1669779778974723,nan,1.1667532590218892,nan,1.0033500147587198,nan,1.003168096982596,nan
d i s,3,-9.660121929039027,nan,-12.204584398749482,nan,-12.211815882279547,nan,1.1788397623224336,nan,1.1785852955468714,nan,1.001673893046497,nan,1.0016416483241095,nan
d i t,3,-8.980977373117092,nan,-10.933436084933309,nan,-10.941381102843224,nan,1.2605829289031454,nan,1.260123460295119,nan,1.0018028254858988,nan,1.0017590674516854,nan
d E p,3,-11.139615967439157,nan,-16.32354225841158,nan,-16.269554121020562,nan,1.1183697218630708,nan,1.1182667481786472,nan,1.000321885365359,nan,1.0004102271258646,nan
d R s,3,-10.926027641030862,nan,-12.451697859867615,nan,-12.462809618354473,nan,1.1178282386348535,nan,1.11772572597027,nan,1.0016730015802064,nan,1.0016409085034585,nan
D i D,3,-10.054311191254818,nan,-15.94508859721336,nan,-15.910960689470729,nan,1.1835566438435032,nan,1.1832911210434243,nan,1.0056000921842179,nan,1.005217752970617,nan
D i g,3,-10.420664780357004,nan,-13.96049553002778,nan,-13.95844863405248,nan,1.1926463808213268,nan,1.1923580620761554,nan,1.00501989620691,nan,1.0046893668965255,nan
D i C,3,-12.190552174766392,nan,-13.929343136538229,nan,-13.952560273366831,nan,1.160155406092085,nan,1.159948570725117,nan,1.0016676527824644,nan,1.0016364695795528,nan
d I J,3,-12.05732764071249,nan,-14.64198695516657,nan,-14.637467709229075,nan,1.0881599103190445,nan,1.0881323170996207,nan,1.0075544174135724,nan,1.0070011283258204,nan
d I D,3,-9.739726176886514,nan,-14.557157991028784,nan,-14.530765690913388,nan,1.1113677494113603,nan,1.1112819537789338,nan,1.0085858769287865,nan,1.0079404813464277,nan
d Y p,3,-11.266681658266489,nan,-12.544691237876558,nan,-12.555317350147646,nan,1.0748357910051964,nan,1.0748412420799183,nan,1.002057570232686,nan,1.0019913163345588,nan
d Y t,3,-9.804037296567198,nan,-11.468512077747182,nan,-11.477452159350152,nan,1.2078940684678061,nan,1.2075658257079809,nan,1.003153495967601,nan,1.0029893789189537,nan
d I T,3,-11.699068937174122,nan,-13.98864474702646,nan,-13.983753097301317,nan,1.0877086467811383,nan,1.0876821852753007,nan,1.0075544174135724,nan,1.0070011283258204,nan
d I Z,3,-16.402575023883074,nan,-inf,nan,-18.907127049172935,nan,1.0840340722581885,nan,1.0840168261344094,nan,1.0075544174135724,nan,1.0070011283258204,nan
