word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.052694202037294,nan,-15.212359738416446,nan,-15.224375360892287,nan,1.1546061818694175,nan,1.1544061896786004,nan,1.0016115763647273,nan,1.001583492146933,nan
g i T,3,-12.356433778408796,nan,-12.977116329210606,nan,-13.011340945039581,nan,1.1049971319830623,nan,1.104925296800326,nan,1.0004030903594223,nan,1.0004869795246432,nan
z i T,3,-12.407644229128216,nan,-17.075971039783603,nan,-17.048906658412047,nan,1.0784560929013822,nan,1.078452762055124,nan,1.0004030903594223,nan,1.0004869795246432,nan
y c g,3,-11.710103128879465,nan,-16.170604035037172,nan,-15.900522417677568,nan,1.184883361085495,nan,1.1846044737595078,nan,1.001006940825594,nan,1.0010349123590507,nan
l R z,3,-11.585788986909975,nan,-12.588435798671803,nan,-12.589995728426874,nan,1.0847269540273303,nan,1.084707002691821,nan,1.0004015202134988,nan,1.0004856856176936,nan
J Y p,3,-13.66403833557586,nan,-16.73900093392791,nan,-16.11243889369604,nan,1.0443713784496393,nan,1.0444557952619453,nan,1.0011420893516962,nan,1.001157465932055,nan
C ^ z,3,-12.15907329215715,nan,-13.325416957676625,nan,-13.350046144445676,nan,1.1172247434892821,nan,1.1171207806819246,nan,1.0037598214690557,nan,1.0035327041524547,nan
C e J,3,-14.86105427765646,nan,-14.62306864331541,nan,-14.68019080998242,nan,1.0793909935282848,nan,1.0793852340447465,nan,1.0008662967887594,nan,1.0009078301117231,nan
z i S,3,-12.537487848673553,nan,-18.195779966319243,nan,-18.15820062329483,nan,1.0799340908859303,nan,1.0799268976756013,nan,1.0007389989922741,nan,1.0007917460734668,nan
z u v,3,-11.894413430707768,nan,-20.754936307052297,nan,-20.579840807214758,nan,1.1500328051126143,nan,1.1498444312807459,nan,1.0016115763647273,nan,1.001583492146933,nan
D Y p,3,-11.375205138745077,nan,-15.342469618752201,nan,-15.139209581580939,nan,1.1121837333033318,nan,1.112093121535936,nan,1.001208486005305,nan,1.0012177722883449,nan
s R k,3,-10.983664110020602,nan,-13.424023440384907,nan,-13.424831858005033,nan,1.125327977060909,nan,1.1252022115071538,nan,1.0008014702810744,nan,1.0008488176623829,nan
b R s,3,-11.365764897987672,nan,-12.203984873938992,nan,-12.218491644443255,nan,1.1092647999376086,nan,1.1091801639513132,nan,1.0018748077602768,nan,1.0018227767116687,nan
T ^ z,3,-12.00564074521533,nan,-13.911632421377565,nan,-13.915359953495736,nan,1.1184190902479578,nan,1.1183120447454586,nan,1.0035606315082297,nan,1.003351785083585,nan
S c G,3,-14.310667142762385,nan,-14.9998777012546,nan,-14.921279423611246,nan,1.0222499390390876,nan,1.0223916934001278,nan,1.000537453812563,nan,1.0006088861441726,nan
J e J,3,-15.083883807928682,nan,-15.489885504580656,nan,-15.525210526833668,nan,1.0832394441951285,nan,1.0832237515828007,nan,1.000733503481542,nan,1.0007872173991432,nan
D ^ z,3,-10.093069625598584,nan,-8.731554107943523,nan,-8.747865783103885,nan,1.1888855490098182,nan,1.1885966244939696,nan,1.0148480626217016,nan,1.0136038656528767,nan
S Y p,3,-13.41761987790716,nan,-14.954274714725713,nan,-14.91701511418184,nan,1.0420490375299922,nan,1.0421394484717401,nan,1.0011420893516962,nan,1.001157465932055,nan
n W C,3,-13.001905430388824,nan,-13.823489383450951,nan,-13.829402907439437,nan,1.0621079705771677,nan,1.0621469005019475,nan,1.0108242246841348,nan,1.0099524896482666,nan
l W C,3,-13.49546412162762,nan,-14.691746435578482,nan,-14.688804620858706,nan,1.07352061738229,nan,1.0735300904423843,nan,1.0001343634531408,nan,1.0002431662855842,nan
S c d,3,-13.283655732502261,nan,-18.94076064532679,nan,-18.578127049351757,nan,1.0790184979910526,nan,1.0790119024593612,nan,1,1,1.0001212596660547,1.0
g i J,3,-12.732695855622833,nan,-14.681588323793623,nan,-14.701472974040538,nan,1.1056017675221956,nan,1.1055283522814303,nan,1.0003359086328518,nan,1.0004260262148783,nan
C u T,3,-14.21380146794231,nan,-14.562418174498685,nan,-14.609153412080122,nan,1.1468429279380261,nan,1.1466629732656288,nan,1.001810766325553,nan,1.001764411215803,nan
D i g,3,-10.443862658792048,nan,-13.967001532743149,nan,-13.965025831025422,nan,1.182802063235909,nan,1.1825284397309053,nan,1.0044230029321806,nan,1.0041351207618796,nan
w u T,3,-12.286366758370665,nan,-16.213071849352364,nan,-15.963184990473547,nan,1.2460400615058054,nan,1.2456040718758208,nan,1.0016779730183358,nan,1.0016437985032232,nan
T c T,3,-15.180995739071907,nan,-16.481567007651766,nan,-16.431888847800217,nan,1.0189621800814703,nan,1.0191125154748584,nan,1.0001327933072173,nan,1.0002418723786346,nan
g u T,3,-12.493415663275997,nan,-17.31959188582477,nan,-17.069622962520977,nan,1.1707962157092424,nan,1.1705544358731736,nan,1.0015451797111186,nan,1.0015231857906433,nan
f R s,3,-11.934443685020206,nan,-13.936300319777585,nan,-13.935997774155325,nan,1.0895580784194612,nan,1.089524306903001,nan,1.0018748077602768,nan,1.0018227767116687,nan
J Y m,3,-13.240503707145201,nan,-16.16142429255048,nan,-15.535500476654505,nan,1.0772904244691222,nan,1.077288815899844,nan,1.001276452804837,nan,1.0012793725515845,nan
n R z,3,-11.092230295671182,nan,-14.155044450261189,nan,-14.128605681916564,nan,1.073314307222208,nan,1.0733238127513842,nan,1.0004015202134988,nan,1.0004856856176936,nan
m R n,3,-10.731704786517467,nan,-13.935886438515963,nan,-13.913025788804628,nan,1.1283377772526653,nan,1.1282033160667482,nan,1.0015451797111186,nan,1.0015231857906433,nan
C u S,3,-14.343645087487648,nan,-15.47769815867047,nan,-15.516432030487158,nan,1.1483209259225742,nan,1.148137108886106,nan,1.0012061307864197,nan,1.0012158314279207,nan
S e J,3,-14.837465350259983,nan,-14.678045684876246,nan,-14.73525185542763,nan,1.0809171032754814,nan,1.0809074047925957,nan,1.0013310733640202,nan,1.001329974605753,nan
T ^ S,3,-13.651227171765743,nan,-16.347221666177134,nan,-16.367199813762564,nan,1.1033032017696238,nan,1.1032356577178521,nan,1.000201545179711,nan,1.000304119595349,nan
v e D,3,-11.76857585059621,nan,-20.162016650498884,nan,-20.082803311158813,nan,1.0996383962208185,nan,1.099579659238284,nan,1.0014108162579778,nan,1.001401279171114,nan
C ^ Z,3,-18.310623254612203,nan,-inf,nan,-21.638111560699027,nan,1.0971374072447406,nan,1.0970859374763495,nan,1.000199189960826,nan,1.0003021787349244,nan
n c T,3,-12.619783461905318,nan,-16.642430023058417,nan,-16.579196226732524,nan,1.0512758951634158,nan,1.0513428265271416,nan,1.000199189960826,nan,1.0003021787349244,nan
s R p,3,-11.489384716255275,nan,-13.365010900792448,nan,-13.367328182161769,nan,1.086765666009515,nan,1.0867406730456155,nan,1.0009358337342151,nan,1.0009707242819124,nan
D i D,3,-10.098244796899797,nan,-16.001336850116832,nan,-15.964074015993056,nan,1.1756136184928792,nan,1.1753587801222212,nan,1.0049604567447434,nan,1.0046227472399973,nan
S c g,3,-13.743886100892746,nan,-16.579718304734342,nan,-16.49319225928046,nan,1.0493913565735182,nan,1.0494621838852525,nan,1.0009405441719852,nan,1.000974606002761,nan
C i S,3,-14.206663202620444,nan,-15.641491300988331,nan,-15.678901811097939,nan,1.082521842196394,nan,1.0825079698132585,nan,1.0014029655283607,nan,1.0013948096363663,nan
g i D,3,-10.443862658792048,nan,-15.707709082157042,nan,-15.678533440342127,nan,1.1279061007435593,nan,1.127774398917721,nan,1.0040309035942223,nan,1.003778458251938,nan
T c S,3,-15.310839358617244,nan,-15.129732078277812,nan,-15.151054569222289,nan,1.0204401780660184,nan,1.0205866510953356,nan,1.000804610572921,nan,1.0008514054762818,nan
z u T,3,-12.544626113995418,nan,-19.620956452460728,nan,-19.47084331053942,nan,1.1442551766275624,nan,1.1440819011279717,nan,1.0016115763647273,nan,1.001583492146933,nan
S Y m,3,-12.994085249476502,nan,-14.37669807334828,nan,-14.340076697140303,nan,1.074968083549475,nan,1.0749724691096387,nan,1.001276452804837,nan,1.0012793725515845,nan
D ^ v,3,-10.95859974931601,nan,-9.944207434386328,nan,-9.964270988126671,nan,1.178069291031988,nan,1.17780863199866,nan,1.012429520465168,nan,1.0114095465013468,nan
t W C,3,-12.659247900213382,nan,-15.704462177045908,nan,-15.703237144927467,nan,1.0471786360937225,nan,1.0472560997077716,nan,1.0003335534139668,nan,1.000424085354454,nan
g Y b,3,-11.597203182369725,nan,-17.50316350647279,nan,-17.411621220693725,nan,1.0691789364139381,nan,1.0691991718511356,nan,1.0011420893516962,nan,1.001157465932055,nan
r c S,3,-13.042007195763347,nan,-14.772801279523023,nan,-14.800952236785562,nan,1.0256820332846501,nan,1.025814976707513,nan,1.0011365938409642,nan,1.0011529372577315,nan
d R s,3,-10.914934777868421,nan,-12.362335502789948,nan,-12.37430640509957,nan,1.1187532214093092,nan,1.118644095122723,nan,1.0019412044138853,nan,1.0018830830679586,nan
S c z,3,-13.795096551612168,nan,-14.753794220633498,nan,-14.671981038962707,nan,1.0358878295328733,nan,1.0359939448072573,nan,1.0001343634531408,nan,1.0002431662855842,nan
y c d,3,-11.24987276048898,nan,-18.531646375629613,nan,-17.985457207748865,nan,1.2145105025030294,nan,1.2141541923336165,nan,1.0000663966536087,nan,1.0001815660223445,nan
J u S,3,-14.566474617759866,nan,-14.735912878549012,nan,-14.792184999593582,nan,1.1521693765894179,nan,1.1519756264241605,nan,1.0010733374792025,nan,1.0010952187153408,nan
h u S,3,-12.842923398558344,nan,-13.862036395431456,nan,-13.88446811905582,nan,1.2014030040859343,nan,1.2010821783765098,nan,1.0046587567740701,nan,1.0043517619549982,nan
g u S,3,-12.623259282821333,nan,-18.234871869996557,nan,-17.976901580928015,nan,1.1722742136937905,nan,1.172028571493651,nan,1.0009405441719852,nan,1.000974606002761,nan
y R z,3,-11.749503220369824,nan,-9.975929951414033,nan,-9.995094234105377,nan,1.1768243596407602,nan,1.1765666982576715,nan,1.0102282249475802,nan,1.0094110263486065,nan
C e g,3,-12.917838942717928,nan,-15.116506767221917,nan,-15.14021339406397,nan,1.1088837714926785,nan,1.1088009402897212,nan,1.0014037506013223,nan,1.0013954565898409,nan
z i J,3,-12.783906306342253,nan,-18.780443034366623,nan,-18.739038687413004,nan,1.0790607284405156,nan,1.0790558175362284,nan,1.0003359086328518,nan,1.0004260262148783,nan
m u S,3,-12.31394422438704,nan,-14.744100771608547,nan,-14.763232649016556,nan,1.1763217221537468,nan,1.176065633042294,nan,1.0024012705513756,nan,1.0023013458411398,nan
D Y m,3,-10.951670510314418,nan,-14.764892977374771,nan,-14.562271164539402,nan,1.1451027793228146,nan,1.1449261421738346,nan,1.0013428494584458,nan,1.0013396789078743,nan
