word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.200850626867812,nan,-11.521893608761891,nan,-11.536720615562299,nan,1.1061767980656592,nan,1.1061053152125224,nan,1.00203044279173,nan,1.0019678969395098,nan
b i l,3,-10.28547229644581,nan,-11.348547016015614,nan,-11.360227291825968,nan,1.143482130192103,nan,1.1433177784057915,nan,1.0076197683168497,nan,1.007059676936548,nan
b i s,3,-10.116562772073657,nan,-11.451742196928457,nan,-11.462533904362079,nan,1.1652393986601088,nan,1.165020723348173,nan,1.002549490414276,nan,1.0024403341696202,nan
b R s,3,-11.385494884414822,nan,-12.45489629694801,nan,-12.467652693342409,nan,1.1051546475374727,nan,1.1050838148308229,nan,1.0015347358316609,nan,1.0015148583931175,nan
b Y s,3,-10.93838507503494,nan,-11.827074547531021,nan,-11.839970812964705,nan,1.113376771375307,nan,1.1132857075753022,nan,1.0029968882918858,nan,1.0028480911276885,nan
b ^ l,3,-9.883730279287821,nan,-10.385600476202992,nan,-10.397993633299349,nan,1.160432354719331,nan,1.160226295755949,nan,1.010764145240118,nan,1.0099347035582895,nan
C @ l,3,-12.36419957924404,nan,-16.357374171024016,nan,-16.34105703312235,nan,1.1112221512151714,nan,1.1111370321091598,nan,1.0008315486487742,nan,1.000873986609389,nan
C i D,3,-12.18764114020486,nan,-17.270413278700733,nan,-17.260365984206494,nan,1.1046278620079397,nan,1.1045594824983316,nan,1.00486933306525,nan,1.0045531106001884,nan
C i n,3,-11.562290504770711,nan,-13.838368540613857,nan,-13.852317953406589,nan,1.1553948217666201,nan,1.1551996873638886,nan,1.002302103747491,nan,1.0022142028700982,nan
C R J,3,-15.774980783815845,nan,-17.526217614542702,nan,-17.473921771806605,nan,1.0210529626278104,nan,1.021191075901596,nan,1.000064180732944,nan,1.000174642132408,nan
C R g,3,-13.8278398653744,nan,-17.764696541424588,nan,-17.72718124694284,nan,1.0532075098327396,nan,1.0532653396660008,nan,1.0002567229317758,nan,1.0003500602121649,nan
C R T,3,-15.415579674188427,nan,-16.989130619592146,nan,-16.931740672937206,nan,1.0205395167642586,nan,1.0206789120091504,nan,1,1,1.0001161694391558,1.0
C ^ J,3,-14.10430665431669,nan,-17.96367337161946,nan,-17.95740110115302,nan,1.0980879382776745,nan,1.0980365017691038,nan,1.0001906749458338,nan,1.000290035624215,nan
C ^ n,3,-11.160548487612722,nan,-12.717071124642947,nan,-12.727538567053008,nan,1.172345046293848,nan,1.1721082047140463,nan,1.012641737136964,nan,1.011633738115152,nan
C ^ S,3,-13.86068457165894,nan,-16.383378873414625,nan,-16.410346650818198,nan,1.0984730226753383,nan,1.098420624688438,nan,1.0002548556787778,nan,1.0003485083174675,nan
C ^ C,3,-13.924622672484269,nan,-15.71661125852516,nan,-15.751413473115978,nan,1.0978312153458987,nan,1.097780419822881,nan,1.0006399400764416,nan,1.000699344476981,nan
d i k,3,-9.929723135653274,nan,-12.183280437491273,nan,-12.191512933299284,nan,1.1659872262917257,nan,1.1657672099580272,nan,1.0032694828741462,nan,1.0030951730056257,nan
d i s,3,-9.660223065010149,nan,-12.178223825410845,nan,-12.185491301113164,nan,1.1777323004204723,nan,1.1774829589977198,nan,1.0016007838176029,nan,1.0015748829810671,nan
d i t,3,-8.981602438881573,nan,-10.925629608184998,nan,-10.933579815415401,nan,1.2587283853957627,nan,1.2582768130310105,nan,1.001857506749379,nan,1.0018087737540762,nan
d E p,3,-11.141359546889056,nan,-16.318428547345153,nan,-16.264432625299495,nan,1.1177842403357943,nan,1.1176842701049712,nan,1.0003199700382206,nan,1.0004077569580683,nan
d R s,3,-10.929155177351316,nan,-12.443080745220959,nan,-12.454181073403344,nan,1.1176475492978362,nan,1.1175460504803696,nan,1.0015347358316609,nan,1.0015148583931175,nan
D i D,3,-10.048917590767463,nan,-15.569793056139108,nan,-15.547430879362476,nan,1.1828031412053654,nan,1.1825428661841322,nan,1.0055018041296988,nan,1.0051300780592238,nan
D i g,3,-10.420184203595838,nan,-13.863796173243001,nan,-13.862577577674443,nan,1.1914675401528014,nan,1.1911856318691514,nan,1.004924177533203,nan,1.0046038238199535,nan
D i C,3,-12.18764114020486,nan,-13.96369817435903,nan,-13.986375219144513,nan,1.1590562700160965,nan,1.158855286158524,nan,1.0016509601530605,nan,1.0016217164640888,nan
d I J,3,-12.056979034517964,nan,-14.626342115048587,nan,-14.622033495736753,nan,1.0881320719401482,nan,1.0881053512231686,nan,1.0075896527733856,nan,1.0070397789475796,nan
d I D,3,-9.738571503248142,nan,-14.180282046600968,nan,-14.165622033837971,nan,1.1116222201976413,nan,1.1115368493025541,nan,1.008680725233433,nan,1.0080338147328678,nan
d Y p,3,-11.267085436059377,nan,-12.540917328467136,nan,-12.55152176220954,nan,1.0743967253146065,nan,1.0744035130071794,nan,1.0018519049903842,nan,1.001804118069984,nan
d Y t,3,-9.803424741842855,nan,-11.463391100474013,nan,-11.472313229135258,nan,1.206865758110961,nan,1.2065417972581396,nan,1.0029429774504317,nan,1.0027981538552722,nan
d I T,3,-11.697577924890545,nan,-13.949493177722871,nan,-13.94632100424283,nan,1.0876186260765963,nan,1.087593187330723,nan,1.0076538335063296,nan,1.0070982516408318,nan
d I Z,3,-16.405104117516164,nan,-inf,nan,-18.908389831423353,nan,1.084024505031734,nan,1.084008040083604,nan,1.0075896527733856,nan,1.0070397789475796,nan
f i k,3,-10.96795240675836,nan,-13.220033450355357,nan,-13.229943649686472,nan,1.1355121174520513,nan,1.1353669078432236,nan,1.0037122126192604,nan,1.0034990502269505,nan
f i s,3,-10.698452336115235,nan,-13.214976838274929,nan,-13.22392201750035,nan,1.1472571915807979,nan,1.1470826568829162,nan,1.002043513562717,nan,1.001978760202392,nan
f R s,3,-11.9673844484564,nan,-14.131782587363315,nan,-14.13181858020473,nan,1.0871724404581617,nan,1.087145748365566,nan,1.0015979829381056,nan,1.001572555139021,nan
f R t,3,-11.288763822327823,nan,-13.552607247256155,nan,-13.553055955547336,nan,1.1681685254334522,nan,1.1679396023988566,nan,1.0012128985404418,nan,1.0012217189795074,nan
f Y k,3,-11.789774709719643,nan,-12.376862186250838,nan,-12.390472281781339,nan,1.0836494901672495,nan,1.0836318920703527,nan,1.0024295315868799,nan,1.002330372309254,nan
f ^ l,3,-10.465619843329398,nan,-11.979494787573007,nan,-11.990775848879931,nan,1.14245014764002,nan,1.1422882292906922,nan,1.0017198090185,nan,1.0016840688940845,nan
g e s,3,-10.540963213558292,nan,-13.613064116968443,nan,-13.605106686198397,nan,1.163530361999019,nan,1.1633158952295761,nan,1.0022453920265397,nan,1.002161937755636,nan
g W d,3,-11.811150580479008,nan,-17.337509410005733,nan,-16.944751898826055,nan,1.1148013871104827,nan,1.1147067352510642,nan,1.0013477953918233,nan,1.001344095997453,nan
