word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.0817267025899,nan,-15.312864559094866,nan,-15.32696329985729,nan,1.1628237074482046,nan,1.162600479307393,nan,1.0017509628166326,nan,1.0017100923241802,nan
g i T,3,-12.380062675779286,nan,-13.047358935752165,nan,-13.080469995834749,nan,1.1059178024412466,nan,1.105842766981126,nan,1.0004041764904008,nan,1.0004884324507373,nan
z i T,3,-12.446842566089153,nan,-17.517080982572484,nan,-17.466046978313337,nan,1.0789593078462913,nan,1.0789542478463505,nan,1.0004041764904008,nan,1.0004884324507373,nan
y c g,3,-11.701827867433892,nan,-16.229224827597804,nan,-15.957889454940524,nan,1.1951484700127608,nan,1.1948414323251253,nan,1.0010773353326312,nan,1.0010990694719255,nan
l R z,3,-11.616043342105872,nan,-12.745267007578548,nan,-12.745125673817036,nan,1.0819491271442845,nan,1.081936337796304,nan,1.0000668941066293,nan,1.0001825351935436,nan
J Y p,3,-13.684992796704803,nan,-16.894646192383963,nan,-16.264603866564208,nan,1.0414744926000516,nan,1.0415668589865787,nan,1.0012798922196025,nan,1.0012827621586684,nan
C ^ z,3,-12.225182398855416,nan,-13.822148904016734,nan,-13.837746556783078,nan,1.1123008750690786,nan,1.1122088086848285,nan,1.0036366511300654,nan,1.003420570479427,nan
C e J,3,-14.93192551179374,nan,-15.054914761256248,nan,-15.102073964666872,nan,1.0799599695436772,nan,1.0799523128135815,nan,1.0005360901365754,nan,1.00060832203479,nan
z i S,3,-12.537814344294878,nan,-18.624346971276996,nan,-18.56246814477533,nan,1.0797002980786927,nan,1.0796932964891885,nan,1.0006736274840013,nan,1.0007328415916392,nan
z u v,3,-11.904694087349885,nan,-21.39667401228674,nan,-21.195237191225814,nan,1.158255536782843,nan,1.1580440717075895,nan,1.0016836000682325,nan,1.001648990038955,nan
D Y p,3,-11.363942869256237,nan,-15.367636637486333,nan,-15.16360993989325,nan,1.1144759606368861,nan,1.1143788390198566,nan,1.0013467863262318,nan,1.0013434786128275,nan
s R k,3,-10.995180435401787,nan,-13.636399476537067,nan,-13.636782372665467,nan,1.1182411696960013,nan,1.1181333282999035,nan,1.0006717529169176,nan,1.0007312982673735,nan
b R s,3,-11.374558353968833,nan,-12.380389816926643,nan,-12.393961712920317,nan,1.1063980964011866,nan,1.106320730734527,nan,1.0016134254692066,nan,1.001585572767331,nan
T ^ z,3,-12.045614206079836,nan,-14.06707227783644,nan,-14.068626579904974,nan,1.1141692855855607,nan,1.1140723694169417,nan,1.003502862916807,nan,1.003299137571109,nan
S c G,3,-14.321668920975643,nan,-14.917489383202678,nan,-14.86370100551054,nan,1.0176782572168683,nan,1.0178326710605303,nan,1.0002020882452003,nan,1.000305125595061,nan
J e J,3,-15.109183766631148,nan,-15.792914713678806,nan,-15.821272994978955,nan,1.0840971642587447,nan,1.0840787687204034,nan,1.0005360901365754,nan,1.00060832203479,nan
