word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.19300452255999,nan,-11.47348006803371,nan,-11.488746563104618,nan,1.1079900262526272,nan,1.1079112146595447,nan,1.0020957637661694,nan,1.0020252184138012,nan
b i l,3,-10.278152038671214,nan,-11.30750520939949,nan,-11.319495297630873,nan,1.1450661396508026,nan,1.1448925157964966,nan,1.0074951103293415,nan,1.0069330415235827,nan
b i s,3,-10.111471389024867,nan,-11.429260800923185,nan,-11.44032674739285,nan,1.1661929002141829,nan,1.1659651869709207,nan,1.0026247667726744,nan,1.0025058802911566,nan
b R s,3,-11.372589976063868,nan,-12.41477739880364,nan,-12.427922143446496,nan,1.1061536588799774,nan,1.1060786973107994,nan,1.0015766782746933,nan,1.001552755945359,nan
b Y s,3,-10.938855754336831,nan,-11.77479154706295,nan,-11.78817409834505,nan,1.1142635346157523,nan,1.114167939922842,nan,1.0031500507110436,nan,1.0029834673901694,nan
b ^ l,3,-9.878789544900318,nan,-10.344929812270134,nan,-10.357661367859826,nan,1.1618091089117575,nan,1.1615928876407136,nan,1.011124163241953,nan,1.0102365207402608,nan
C @ l,3,-12.367451611911449,nan,-16.212649768215663,nan,-16.19926476290742,nan,1.1127517996478307,nan,1.1126602385483482,nan,1.0008543612057115,nan,1.0008960309789612,nan
C i D,3,-12.195941826718192,nan,-17.46990354674899,nan,-17.453219084137892,nan,1.1047443274201012,nan,1.1046733784563894,nan,1.0048666244885314,nan,1.0045433978183274,nan
C i n,3,-11.567062358543172,nan,-13.775847365017201,nan,-13.792195533959545,nan,1.155488042044295,nan,1.1552871774454263,nan,1.0022998218032608,nan,1.0022101641958325,nan
C R J,3,-15.774555883846316,nan,-17.4073938311564,nan,-17.35833370643533,nan,1.0214722310115243,nan,1.0216135151994719,nan,1.0000658154534685,nan,1.0001791378673845,nan
