word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.019409105054624,nan,-12.855895449986157,nan,-12.86928901405241,nan,1.1075650023502195,nan,1.1074860859591396,nan,1.0011130753617494,nan,1.0011317167107483,nan
b O r,3,-13.322072050408574,nan,-inf,nan,-15.251097089322665,nan,1.123317704696647,nan,1.1231983994165058,nan,1.0011130753617494,nan,1.0011317167107483,nan
b O s,3,-13.355371228280482,nan,-13.587081048384384,nan,-13.542319208783962,nan,1.0930646068848886,nan,1.093022868550685,nan,1.0011789862502283,nan,1.0011916220602959,nan
b U n,3,-10.8595022907256,nan,-inf,nan,-16.96918032082091,nan,1.137487087074897,nan,1.137331958477426,nan,1.0004583251489556,nan,1.0005362659545258,nan
b u r,3,-10.213330019950856,nan,-11.867479655042596,nan,-11.876512167670185,nan,1.271815052958285,nan,1.271317521673559,nan,1.017393936550406,nan,1.0159290585968848,nan
b U s,3,-11.195464413951457,nan,-inf,nan,-17.190225391809406,nan,1.122986691609566,nan,1.1228687410689715,nan,1.0004583251489556,nan,1.0005362659545258,nan
b W r,3,-11.575743010968113,nan,-16.275308889997003,nan,-15.893580445567178,nan,1.1431566361442995,nan,1.1429868006704242,nan,1.0007206611012727,nan,1.00077480653094,nan
C e D,3,-12.599732234842353,nan,-18.15514664902158,nan,-18.12885872848776,nan,1.1024459834668643,nan,1.1023808071483092,nan,1.0015796819874936,nan,1.001555377444688,nan
C i D,3,-12.184477708660452,nan,-17.535083736907687,nan,-17.51533462498459,nan,1.1040828589988487,nan,1.104013513522395,nan,1.004873482942635,nan,1.0045492038263717,nan
C O b,3,-15.774144998997684,nan,-20.64814871535158,nan,-19.98052339016519,nan,1.0219825076622666,nan,1.0221224274092335,nan,1,1,1.00011945042517,1.0
C O g,3,-15.784524996700402,nan,-20.935020241116796,nan,-20.146884698085216,nan,1.0407011999902391,nan,1.040793126245602,nan,1,1,1.00011945042517,1.0
C O v,3,-16.70175523488094,nan,-inf,nan,-21.252689115322774,nan,1.0117663199480562,nan,1.0119324333260045,nan,1,1,1.00011945042517,1.0
C u D,3,-12.315275642373878,nan,-17.641495625293626,nan,-17.619978232502234,nan,1.179575558533976,nan,1.1793139314952263,nan,1.0012505634122992,nan,1.0012562109708745,nan
C u S,3,-14.380844129185467,nan,-15.967253640458349,nan,-15.994796555975983,nan,1.156836302008798,nan,1.1566329769228776,nan,1.001316474300778,nan,1.0013161163204223,nan
C u T,3,-14.265999453995187,nan,-15.033427601754994,nan,-15.068810126030053,nan,1.1558476386816163,nan,1.15564684846321,nan,1.0018437614086082,nan,1.001795359116804,nan
D e C,3,-12.599732234842353,nan,-13.135200393056166,nan,-13.116229578020443,nan,1.1569076038707744,nan,1.1567045802917089,nan,1.01787555254367,nan,1.0163759766178941,nan
D e D,3,-10.47747797185533,nan,-14.88537656396776,nan,-14.84938792942912,nan,1.180042325726825,nan,1.1797799862479246,nan,1.0189960376478093,nan,1.0173943675602053,nan
D e J,3,-12.78912612936991,nan,-11.815849822124148,nan,-11.850172348011334,nan,1.1569735147592533,nan,1.15677032218902,nan,1.01787555254367,nan,1.0163759766178941,nan
D e S,3,-12.54304645866692,nan,-12.516305312389555,nan,-12.522331038917498,nan,1.157303069201647,nan,1.1570990316755758,nan,1.01787555254367,nan,1.0163759766178941,nan
D i C,3,-12.184477708660452,nan,-13.942612955764874,nan,-13.965698678670305,nan,1.1585444794027588,nan,1.1583372866657946,nan,1.0015748874483001,nan,1.0015514144315076,nan
D i D,3,-10.06222344567343,nan,-15.875110683470421,nan,-15.84250803681759,nan,1.1816792012588095,nan,1.1814126926220103,nan,1.0053318080915905,nan,1.0049660193557275,nan
D i S,3,-12.12779193248502,nan,-14.341588399790336,nan,-14.356960278516926,nan,1.1589399447336315,nan,1.1587317380496616,nan,1.0017067092252578,nan,1.001671225130603,nan
D i T,3,-12.012947257294739,nan,-13.257392404099626,nan,-13.282338902529041,nan,1.1579512814064499,nan,1.157745609589994,nan,1.0013112438943852,nan,1.0013117930333169,nan
d u r,3,-9.759356712114823,nan,-10.589672363242093,nan,-10.600633051982777,nan,1.2833761241535822,nan,1.2828492175495119,nan,1.0266913895720784,nan,1.0243844593352436,nan
D W C,3,-13.677688633391137,nan,-16.82957509705875,nan,-16.680583291674125,nan,1.1053787621239008,nan,1.1053069836354914,nan,1,1,1.00011945042517,1.0
D W D,3,-11.555434370404114,nan,-19.573003040980627,nan,-19.374049260373734,nan,1.1285134839799515,nan,1.1283823895917071,nan,1.0011204851041393,nan,1.0011378413674812,nan
D W T,3,-13.506158182025423,nan,-14.64115937187692,nan,-14.536023044538133,nan,1.1047855641275919,nan,1.1047153065596909,nan,1.0000659108884788,nan,1.0001793557747176,nan
f U n,3,-11.436933833512514,nan,-inf,nan,-18.32561133379236,nan,1.1181533182963208,nan,1.11804731452668,nan,1.0003273751063968,nan,1.0004171758032814,nan
f u r,3,-10.79076156273777,nan,-13.883695800675783,nan,-13.876183294458851,nan,1.2524812841797088,nan,1.2520328777228131,nan,1.016477286252495,nan,1.0150954275381732,nan
f U s,3,-11.772895956738372,nan,-inf,nan,-18.546656404780855,nan,1.10365292283099,nan,1.1035840971182256,nan,1.0003273751063968,nan,1.0004171758032814,nan
f W r,3,-12.153174553755028,nan,-18.489350778960112,nan,-18.080819425065105,nan,1.1238228673657236,nan,1.1237021567196783,nan,1.000262335952317,nan,1.0003579910015843,nan
f ^ r,3,-10.257445089579402,nan,-13.336802441527727,nan,-13.344819929273955,nan,1.1941430402197797,nan,1.1938432225503994,nan,1.001444373272941,nan,1.0014326845541885,nan
g U n,3,-10.869882288428318,nan,-inf,nan,-16.802357007250432,nan,1.1367686024243417,nan,1.136615299411689,nan,1.002422575787337,nan,1.0023226182231932,nan
g U S,3,-13.567932406195945,nan,-13.269691697789362,nan,-13.294123815307543,nan,1.0632120508820269,nan,1.0632473420124384,nan,1.0031475955606035,nan,1.002981577068218,nan
g U T,3,-13.453087731005665,nan,-inf,nan,-16.646785665581664,nan,1.0622233875548452,nan,1.062261213552771,nan,1.002422575787337,nan,1.0023226182231932,nan
g W C,3,-14.038195957259942,nan,-18.638937467076797,nan,-18.23957719222062,nan,1.0527334322741293,nan,1.0527954193642035,nan,1,1,1.00011945042517,1.0
g W D,3,-11.91594169427292,nan,-21.382365410998673,nan,-20.933043160920228,nan,1.07586815413018,nan,1.0758708253204192,nan,1.0011204851041393,nan,1.0011378413674812,nan
g W T,3,-13.866665505894229,nan,-16.450521741894967,nan,-16.095016945084627,nan,1.0521402342778203,nan,1.052203742288403,nan,1.0000659108884788,nan,1.0001793557747176,nan
g ^ r,3,-9.690393544495207,nan,-11.710002093754344,nan,-11.719543988339716,nan,1.2127583243478006,nan,1.2124112074354083,nan,1.0031467238262048,nan,1.002980856520367,nan
h U n,3,-11.085127232891193,nan,-inf,nan,-19.651676588016382,nan,1.1671409081069022,nan,1.1669104326451243,nan,1,1,1.00011945042517,1.0
h u r,3,-10.438954962116451,nan,-11.467886339726698,nan,-11.476088246233486,nan,1.3014688739902902,nan,1.3008959958412574,nan,1.020602212593096,nan,1.0188467673023747,nan
h U s,3,-11.42108935611705,nan,-inf,nan,-19.872721659004878,nan,1.1526405126415713,nan,1.1524472152366698,nan,1,1,1.00011945042517,1.0
h W r,3,-11.801367953133708,nan,-14.974929029342917,nan,-14.598539100223878,nan,1.1728104571763047,nan,1.1725652748381226,nan,1.0051074875269912,nan,1.0047643265976305,nan
J O b,3,-15.963538893525241,nan,-17.650621161164832,nan,-17.54810741988892,nan,1.026358732352012,nan,1.0264875326278147,nan,1,1,1.00011945042517,1.0
J ^ r,3,-11.641534378140978,nan,-11.802900874737489,nan,-11.852712396438228,nan,1.1921835366273565,nan,1.1918886978256618,nan,1.0059621497412183,nan,1.0055412947721236,nan
k E G,3,-11.672313339307545,nan,-16.91930275122553,nan,-16.80896710926295,nan,1.1069292692687642,nan,1.106853262615709,nan,1.0000659108884788,nan,1.0001793557747176,nan
k E S,3,-12.793253897111578,nan,-18.01456862061437,nan,-17.892820078946784,nan,1.1069292692687642,nan,1.106853262615709,nan,1,1,1.00011945042517,1.0
k i b,3,-10.383804043899369,nan,-14.67591951788706,nan,-14.670821340908379,nan,1.1282334006735586,nan,1.1281029011898394,nan,1.0006573654159903,nan,1.000717062824945,nan
k i C,3,-12.155930980720303,nan,-13.683017867432703,nan,-13.711674768628734,nan,1.1141943814275792,nan,1.1140998770625632,nan,1.0007891871929477,nan,1.0008368735240405,nan
k i D,3,-10.03367671773328,nan,-15.615515595138252,nan,-15.58848412677602,nan,1.13732910328363,nan,1.1371752830187791,nan,1.004546107836238,nan,1.0042514784482603,nan
k i r,3,-9.703858032131192,nan,-11.046267157471133,nan,-11.055710517111624,nan,1.2038991006471942,nan,1.2035745993030469,nan,1.0242534634913922,nan,1.022163177963027,nan
k u f,3,-11.09203352039971,nan,-14.948520356636571,nan,-14.938281016462314,nan,1.1939053778253481,nan,1.1936077764633086,nan,1.0023068810967573,nan,1.00221613765934,nan
k U m,3,-11.168501443370339,nan,-17.02663268663588,nan,-16.75322227147573,nan,1.1142834493793445,nan,1.1141879880354353,nan,1.001309936292787,nan,1.0013107122115403,nan
k U n,3,-10.480828236619361,nan,-inf,nan,-17.787320484857545,nan,1.1450638342989334,nan,1.1448894540797454,nan,1.0012440254043082,nan,1.0012508068619927,nan
k U p,3,-11.60140397020077,nan,-16.147029064208997,nan,-15.982148662626535,nan,1.0789552131547204,nan,1.0789503310766555,nan,1.0014417580697446,nan,1.0014305229106357,nan
k u r,3,-9.83465596584462,nan,-13.514735345739103,nan,-13.502020656356786,nan,1.2793918001823215,nan,1.2788750172758785,nan,1.0164118112312155,nan,1.015035882462551,nan
l U n,3,-10.3745347663966,nan,-inf,nan,-16.375247770711976,nan,1.1587803594458963,nan,1.1585711271529098,nan,1.010083153277025,nan,1.009289392070996,nan
l R l,3,-11.059070934685646,nan,-13.614848217537238,nan,-13.611252509798739,nan,1.106559131863992,nan,1.1064835067712178,nan,1.0009223165715035,nan,1.0009577650449124,nan
m W l,3,-11.475785748036143,nan,-13.550186016741467,nan,-13.55099373051339,nan,1.093969290277192,nan,1.0939256130817048,nan,1.0009873557255835,nan,1.0010169498466093,nan
m W r,3,-11.280807260596966,nan,-16.403204284708192,nan,-16.020191044002154,nan,1.1451161397367227,nan,1.1449413253951621,nan,1.000262335952317,nan,1.0003579910015843,nan
m W t,3,-10.634409323176232,nan,-10.751144487724064,nan,-10.770248260586573,nan,1.1965925436386473,nan,1.1962857471951753,nan,1.0003282468407957,nan,1.000417896351132,nan
n c n,3,-10.05239409851234,nan,-15.516910544589855,nan,-15.488070561654197,nan,1.1234524884656445,nan,1.1233331644484548,nan,1.0001972967982369,nan,1.0002988061998876,nan
n W C,3,-13.045207002435099,nan,-14.027806441788627,nan,-14.026807735795261,nan,1.0629228509547302,nan,1.0629589479328398,nan,1.0118509788515682,nan,1.0108971091127965,nan
