word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-12.966884416938463,nan,-12.521754984944703,nan,-12.560015800557128,nan,1.1072128716855605,nan,1.1071245133903818,nan,1.0006528362106484,nan,1.0007198073509322,nan
b O r,3,-13.263188989391653,nan,-inf,nan,-15.05781704983856,nan,1.1217903468964527,nan,1.1216600405799337,nan,1.0006528362106484,nan,1.0007198073509322,nan
b O s,3,-13.280596201050164,nan,-13.34497201368318,nan,-13.316891752509736,nan,1.0917474284415172,nan,1.0917035733771006,nan,1.0007268335467443,nan,1.0007863188241612,nan
b U n,3,-10.859570609750875,nan,-inf,nan,-16.681149825219734,nan,1.135647515527139,nan,1.1354789437701287,nan,1.0005077614971711,nan,1.0005891481753917,nan
b u r,3,-10.210811526385367,nan,-11.726560167325403,nan,-11.737994992977102,nan,1.2585232643489408,nan,1.2580072376866247,nan,1.0168509529188647,nan,1.015279910560818,nan
b U s,3,-11.173282393862577,nan,-inf,nan,-16.899029276439656,nan,1.1201820722830957,nan,1.1200580037568475,nan,1.0005077614971711,nan,1.0005891481753917,nan
b W r,3,-11.54979281788746,nan,-16.065748774622786,nan,-15.688422844470827,nan,1.141665582642862,nan,1.1414792087535324,nan,1.000799370903483,nan,1.0008516484119316,nan
C e D,3,-12.524300130516675,nan,-17.272048624836348,nan,-17.2663637675177,nan,1.101698081133932,nan,1.1016279955736887,nan,1.0014697268664179,nan,1.0014537973273703,nan
C i D,3,-12.121863472804577,nan,-16.50832551651485,nan,-16.512929829092055,nan,1.1016255437771934,nan,1.1015556628431282,nan,1.0053102884466185,nan,1.004906484507991,nan
C O b,3,-15.65243054292008,nan,-19.59864700671296,nan,-18.955412251285843,nan,1.0231304406875141,nan,1.0232824366675177,nan,1,1,1.0001318410609996,1.0
C O g,3,-15.706959814888254,nan,-20.314696655437547,nan,-19.492940291570594,nan,1.0384478892593656,nan,1.0385558078768442,nan,1,1,1.0001318410609996,1.0
C O v,3,-16.625060034137356,nan,-inf,nan,-20.37349788216822,nan,1.012770813634088,nan,1.0129526203906787,nan,1,1,1.0001318410609996,1.0
C u D,3,-12.275283048416924,nan,-16.871328119596654,nan,-16.87010548747526,nan,1.1677070757661676,nan,1.1674507803838152,nan,1.0011041201240098,nan,1.001124785617601,nan
C u S,3,-14.306759557111057,nan,-15.69706690794707,nan,-15.735322308203068,nan,1.1463218456344524,nan,1.1461270882123402,nan,1.0012521147962017,nan,1.0012578085640593,nan
C u T,3,-14.245342479432562,nan,-14.779172567461274,nan,-14.829225447245532,nan,1.1451378882569179,nan,1.1449465377807015,nan,1.0018440934849688,nan,1.0017899003498925,nan
D e C,3,-12.524300130516675,nan,-12.871587177108857,nan,-12.857906212942341,nan,1.1514313577306208,nan,1.151222707557758,nan,1.0173393482192685,nan,1.0157479763090191,nan
