word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.200198268393939,nan,-11.482913255235555,nan,-11.497915023141427,nan,1.1069427698812584,nan,1.106868265274934,nan,1.0019244554164002,nan,1.0018705363285303,nan
b i l,3,-10.283249665398625,nan,-11.316894133668146,nan,-11.328730977372217,nan,1.1454946578134615,nan,1.145323465985929,nan,1.007610062561447,nan,1.007047411069175,nan
b i s,3,-10.116243894348795,nan,-11.431515444057533,nan,-11.442436986769776,nan,1.1664181321434584,nan,1.166194375545321,nan,1.0025729298523738,nan,1.0024607945808768,nan
b R s,3,-11.384837484198332,nan,-12.423313893088867,nan,-12.436254066296426,nan,1.1065398100172976,nan,1.1064652328341928,nan,1.0015466611579424,nan,1.0015257494663552,nan
b Y s,3,-10.942575017135864,nan,-11.780569723539005,nan,-11.793723929865962,nan,1.1148010972411209,nan,1.1147059380852469,nan,1.0030879459334439,nan,1.002929878486343,nan
b ^ l,3,-9.88283873243342,nan,-10.35193385348999,nan,-10.364490192907008,nan,1.162721683109651,nan,1.1625075722846385,nan,1.0108944945947196,nan,1.0100440397649513,nan
C @ l,3,-12.35534570551979,nan,-16.446158986804107,nan,-16.426834485591076,nan,1.1122339847934701,nan,1.1121455569728627,nan,1.0008379092034467,nan,1.000880257234416,nan
C i D,3,-12.181928867705025,nan,-17.43293415304216,nan,-17.41776187185823,nan,1.10467673485031,nan,1.1046074569881608,nan,1.0048385580914505,nan,1.0045233527179345,nan
C i n,3,-11.555443543381784,nan,-13.872557845650398,nan,-13.885213593018399,nan,1.1554355336878948,nan,1.155238737585945,nan,1.0022554131124384,nan,1.0021712416982944,nan
C R J,3,-15.764442774864985,nan,-17.576040603989984,nan,-17.522338311751387,nan,1.0214209506640912,nan,1.0215595819915393,nan,1.0000645786244753,nan,1.0001759622269857,nan
C R g,3,-13.820389636556886,nan,-17.872974762896295,nan,-17.833606057299658,nan,1.0534519484038392,nan,1.053510110205917,nan,1.0002583144979011,nan,1.0003523705534587,nan
C R T,3,-15.409790076307022,nan,-17.03869526324284,nan,-16.980204333231754,nan,1.0208397430438134,nan,1.0209798345037784,nan,1,1,1.0001171594514948,1.0
C ^ J,3,-14.095438252050247,nan,-18.065893975652603,nan,-18.05538319928286,nan,1.0985262980864414,nan,1.098472831001377,nan,1.0001280819724623,nan,1.0002338728035023,nan
C ^ n,3,-11.155032610416583,nan,-12.753958359800748,nan,-12.763126526703719,nan,1.1726625589840842,nan,1.1724228438846545,nan,1.012785492369621,nan,1.011759216799739,nan
C ^ S,3,-13.856546343767896,nan,-16.381998152300493,nan,-16.408351110212124,nan,1.0988491912088179,nan,1.0987949129390218,nan,1.0003218178458881,nan,1.0004102811299753,nan
C ^ C,3,-13.91263581041894,nan,-15.754389642983995,nan,-15.787892088926364,nan,1.09826798358854,nan,1.0982151654512609,nan,1.0007092895927399,nan,1.0007630977829212,nan
d i k,3,-9.925048834398046,nan,-12.13958073362069,nan,-12.1479676587359,nan,1.1664921869791338,nan,1.1662685412846967,nan,1.003355400281495,nan,1.0031726732795905,nan
d i s,3,-9.658402455567677,nan,-12.1768707447439,nan,-12.184190609274635,nan,1.1783746538825888,nan,1.1781211565900305,nan,1.0016763560451372,nan,1.0016438011168245,nan
d i t,3,-8.980194111976996,nan,-10.920226071567182,nan,-10.928240917587235,nan,1.2601957710927922,nan,1.2597367195892575,nan,1.001870091918563,nan,1.0018202094432975,nan
d E p,3,-11.1371631286451,nan,-16.326957960258046,nan,-16.272238260588452,nan,1.1188992916203888,nan,1.1187950463196434,nan,1.0003869341086076,nan,1.0004695300049535,nan
d R s,3,-10.926996045417216,nan,-12.42082108757305,nan,-12.432110591846635,nan,1.118496331756428,nan,1.1183920138789023,nan,1.001674743130405,nan,1.0016424628183627,nan
D i D,3,-10.050810992025909,nan,-15.687222544456375,nan,-15.661140473697,nan,1.1826818499398242,nan,1.1824185418787787,nan,1.0054149269675312,nan,1.005048562801968,nan
D i g,3,-10.42067817102823,nan,-13.93669482205242,nan,-13.934940208386113,nan,1.1913353856195141,nan,1.1910503378076631,nan,1.0048982979717287,nan,1.00457814059804,nan
D i C,3,-12.181928867705025,nan,-13.928417569568525,nan,-13.951504749177623,nan,1.1590460733818648,nan,1.1588421440431693,nan,1.0016693667479637,nan,1.00163800182349,nan
d I J,3,-12.055182633008485,nan,-14.637468269681856,nan,-14.633072830090647,nan,1.0880918758106608,nan,1.0880645531276336,nan,1.0076849183477425,nan,1.007119960571943,nan
d I D,3,-9.741262315698062,nan,-14.320003470825554,nan,-14.301550401773447,nan,1.1114693378707188,nan,1.111383285413127,nan,1.0087181763393473,nan,1.008060804979799,nan
d Y p,3,-11.267911531996873,nan,-12.520840877062492,nan,-12.531601513137161,nan,1.0751592980244875,nan,1.0751640254942954,nan,1.001996023338049,nan,1.0019351383973558,nan
d Y t,3,-9.806525234764065,nan,-11.455807624009132,nan,-11.464830273954984,nan,1.2085787361904547,nan,1.2082482821291833,nan,1.0031584385786043,nan,1.002993588356194,nan
d I T,3,-11.70052993445052,nan,-14.051332764765277,nan,-14.044418835936124,nan,1.087510668190383,nan,1.0874848056398727,nan,1.0076849183477425,nan,1.007119960571943,nan
d I Z,3,-16.39898805486217,nan,-inf,nan,-18.904095496762373,nan,1.0839588438442416,nan,1.0839419043257783,nan,1.0076849183477425,nan,1.007119960571943,nan
f i k,3,-10.957595828575913,nan,-13.166676148368875,nan,-13.17678269015344,nan,1.1361852816082898,nan,1.1360370214173585,nan,1.0036115642264198,nan,1.0034060999836054,nan
f i s,3,-10.690949449745544,nan,-13.203966159492088,nan,-13.213005640692176,nan,1.1480677485117448,nan,1.147889636722692,nan,1.001932519990062,nan,1.0018772278208394,nan
f R s,3,-11.959543039595081,nan,-14.11773334159343,nan,-14.117572728444012,nan,1.088189426385584,nan,1.088160494011564,nan,1.0016107021441738,nan,1.001584106142359,nan
f R t,3,-11.2813346960044,nan,-13.548354554092146,nan,-13.548524677228013,nan,1.1700105435957875,nan,1.169776057010791,nan,1.0013523876462727,nan,1.0013488950403948,nan
f Y k,3,-11.783926951362982,nan,-12.315276128613114,nan,-12.32919231868369,nan,1.0845682467059523,nan,1.0845485839572842,nan,1.0025766933200828,nan,1.0024639172772876,nan
f ^ l,3,-10.45754428783017,nan,-11.936996206652243,nan,-11.948509944067794,nan,1.1443712994779374,nan,1.1442028334620096,nan,1.001864715536122,nan,1.0018157484484247,nan
g e s,3,-10.539955106941338,nan,-13.607922468979707,nan,-13.60006686216714,nan,1.1643051890670504,nan,1.1640866955886184,nan,1.0023242928428666,nan,1.0022336132696836,nan
g W d,3,-11.814936410398747,nan,-17.379780446289217,nan,-16.98625572895199,nan,1.114368811315803,nan,1.114274689058721,nan,1.0013561511139812,nan,1.0013520177368058,nan
g W r,3,-11.585989012264736,nan,-20.58421846302479,nan,-19.803534257405254,nan,1.1425896702115086,nan,1.1424246504088884,nan,1.0000645786244753,nan,1.0001759622269857,nan
g W z,3,-12.34482764170258,nan,-19.895532046425153,nan,-19.119422660608816,nan,1.0664514719551315,nan,1.0664777295122123,nan,1,1,1.0001171594514948,1.0
g i C,3,-12.551796046707347,nan,-13.710567068489054,nan,-13.740581226385139,nan,1.1061688355302024,nan,1.106096433219775,nan,1.0005166289958023,nan,1.0005875816554228,nan
g i J,3,-12.734598488338651,nan,-14.830677379038589,nan,-14.84588295880382,nan,1.1064271500281038,nan,1.106354098769891,nan,1.000452050371327,nan,1.0005287788799317,nan
g i D,3,-10.42067817102823,nan,-15.469372043376907,nan,-15.450216950904515,nan,1.1298046120881617,nan,1.1296728310553843,nan,1.0042621892153698,nan,1.0039981426339009,nan
g R g,3,-12.059138939880091,nan,-15.490408255762134,nan,-15.463050017199347,nan,1.078579825641691,nan,1.0785754842731405,nan,1.0003223554841323,nan,1.0004107272294624,nan
g u v,3,-11.839578221492062,nan,-18.834214729766757,nan,-18.555060515789624,nan,1.1840743954437296,nan,1.183807821599253,nan,1.0016144656118824,nan,1.0015872288387697,nan
h e s,3,-10.748898024880882,nan,-11.354146401712141,nan,-11.366060779398724,nan,1.1949317875325234,nan,1.194637113344853,nan,1.0063588749754315,nan,1.005910083857919,nan
h e n,3,-10.416778054195724,nan,-11.636750738897582,nan,-11.646235961062597,nan,1.209332820790515,nan,1.2090019677638173,nan,1.0057776673551537,nan,1.0053808588784998,nan
h i n,3,-10.003135764644535,nan,-9.542548561665026,nan,-9.557317542464173,nan,1.2111900093912196,nan,1.210854529409403,nan,1.0318423487512471,nan,1.0291320260120198,nan
h Y s,3,-11.161586858116761,nan,-11.585150148491534,nan,-11.59758741953677,nan,1.1451719412308905,nan,1.1450012375303646,nan,1.004881093547917,nan,1.0045638654144475,nan
h ^ s,3,-9.934844802364488,nan,-10.515404091489827,nan,-10.528897711188536,nan,1.2140160014294175,nan,1.2136737812891483,nan,1.007993233202346,nan,1.0073966589262229,nan
J R T,3,-15.592592517938325,nan,-inf,nan,-19.21038559219147,nan,1.0253154463686218,nan,1.025444404948322,nan,1,1,1.0001171594514948,1.0
J ^ n,3,-11.33783505204789,nan,-9.650119396315338,nan,-9.701326237564484,nan,1.1771382623088926,nan,1.176887414329198,nan,1.0180368532405784,nan,1.0165444642320451,nan
k e d,3,-10.338691123949236,nan,-12.006096748713208,nan,-12.014655911557224,nan,1.1743621123993402,nan,1.1741185567826962,nan,1.0025121146956073,nan,1.0024051145017967,nan
k R m,3,-11.351659491879289,nan,-14.48245563418935,nan,-14.473601882682445,nan,1.097290284653671,nan,1.0972391413961025,nan,1.0004498998183506,nan,1.0005269944819828,nan
l e l,3,-10.209734116400593,nan,-11.645153622593583,nan,-11.655020390791112,nan,1.1653126610286135,nan,1.1650921812074904,nan,1.001738246478392,nan,1.001700373394879,nan
m @ b,3,-10.77135955320145,nan,-15.938020568078542,nan,-15.921253422956855,nan,1.1153104708244201,nan,1.1152150128344613,nan,1.002437320944494,nan,1.0023378358360475,nan
m e p,3,-11.013239766392697,nan,-12.826282358310872,nan,-12.835333802782802,nan,1.1157119832008007,nan,1.1156156421085797,nan,1.0044274302618579,nan,1.0041509076875488,nan
m @ v,3,-11.696068361683434,nan,-12.675403508494542,nan,-12.689138957810567,nan,1.105107048157323,nan,1.1050372236048813,nan,1.0029539499402964,nan,1.0028082580399755,nan
m @ z,3,-10.843409345724165,nan,-12.257240545856023,nan,-12.2657978323862,nan,1.1152458921999449,nan,1.1151505964469324,nan,1.0021144278221175,nan,1.0020438219585925,nan
m R n,3,-10.752893142363762,nan,-14.108375821335468,nan,-14.083907166258832,nan,1.1236902038891,nan,1.1235726090976625,nan,1.0014853083629318,nan,1.0014696232877878,nan
m R s,3,-11.08501311304892,nan,-14.503599216176458,nan,-14.478728863292057,nan,1.1092891706311083,nan,1.1092077546786983,nan,1.0011624152405554,nan,1.0011756094103328,nan
m Y d,3,-10.839072816804382,nan,-10.901648744367158,nan,-10.916693925868241,nan,1.119423237964715,nan,1.119316535168093,nan,1.0057222285808283,nan,1.0053296397942924,nan
m ^ b,3,-10.070172199833229,nan,-13.627724594638362,nan,-13.62445836468635,nan,1.1404145374270458,nan,1.1402565357678969,nan,1.003545910325456,nan,1.0033464050091399,nan
n e s,3,-9.543602603615778,nan,-13.282942054722993,nan,-13.28502136833173,nan,1.174663245333035,nan,1.1744189871888482,nan,1.0025164158015603,nan,1.0024086832976948,nan
n e n,3,-9.211482632930622,nan,-13.565546391908434,nan,-13.565196549995605,nan,1.1890642785910266,nan,1.1887838416078125,nan,1.0019352081812825,nan,1.0018794583182757,nan
n c d,3,-10.588876806644972,nan,-18.36552365923845,nan,-18.06971731010494,nan,1.111598465404394,nan,1.1115112862677408,nan,1.0000640409862311,nan,1.0001755161274986,nan
n W d,3,-10.818583907073185,nan,-12.745033964590103,nan,-12.74996435473036,nan,1.1247268675817876,nan,1.1246069806589507,nan,1.0132677745529821,nan,1.0122063594735005,nan
n c G,3,-11.63679745646678,nan,-14.352177708209016,nan,-14.341261967014667,nan,1.050377929401811,nan,1.0504445508902607,nan,1.0004515127330829,nan,1.0005283327804444,nan
n i n,3,-8.79784034337943,nan,-11.883998782811652,nan,-11.890105868764335,nan,1.1909214671917312,nan,1.1906364032533983,nan,1.0021913721262072,nan,1.0021128850222907,nan
p e k,3,-10.92554690677343,nan,-12.583173733677391,nan,-12.590195615325415,nan,1.1448140265114215,nan,1.1446443105275605,nan,1.0064557118945534,nan,1.005995652602646,nan
p e m,3,-11.013239766392697,nan,-13.519798653091653,nan,-13.52468338005764,nan,1.1395185793044469,nan,1.1393621667501836,nan,1.002258101303659,nan,1.0021734721957307,nan
p e p,3,-11.442078481585188,nan,-13.57350360170083,nan,-13.579376078478926,nan,1.1050981724591127,nan,1.1050282321972333,nan,1.0012894219365296,nan,1.0012914305633658,nan
p i m,3,-10.599597476841506,nan,-13.031409227625677,nan,-13.039866914869114,nan,1.1413757679051515,nan,1.1412147283957694,nan,1.002763439896335,nan,1.0026345263104262,nan
p R b,3,-12.16801543784046,nan,-14.848328038865684,nan,-14.846990537677089,nan,1.0526953792630076,nan,1.052755876846713,nan,1.0004504374565948,nan,1.00052744058147,nan
p R d,3,-11.710173999059343,nan,-12.291820130531189,nan,-12.30673378389174,nan,1.1005481399992039,nan,1.1004884200056926,nan,1.0006441733300206,nan,1.000703848907943,nan
p R v,3,-13.092724246322444,nan,-15.52717909503361,nan,-15.48399157694767,nan,1.0424919565959105,nan,1.0425780876171329,nan,1.0003212802076442,nan,1.000409835030488,nan
r e m,3,-10.197436585434495,nan,-14.386912278007383,nan,-14.387471693119345,nan,1.127306303089613,nan,1.1271802673943574,nan,1.0023221422898902,nan,1.0022318288717345,nan
r i g,3,-10.09368759007407,nan,-14.528507437161707,nan,-14.526227041258778,nan,1.118637175900844,nan,1.1185329578727183,nan,1.0043859700818791,nan,1.0041112871900102,nan
r i s,3,-9.429455057433668,nan,-13.241196003028543,nan,-13.242242243035745,nan,1.1463414058007473,nan,1.1461675881226538,nan,1.001996560976293,nan,1.0019355844968432,nan
r i t,3,-8.751246713842985,nan,-11.984551329851826,nan,-11.986292551348345,nan,1.2281625230109507,nan,1.2277831511218809,nan,1.002190296849719,nan,1.0021119928233162,nan
r i z,3,-10.155668459555432,nan,-11.437107435738547,nan,-11.444781199419454,nan,1.1002968465498593,nan,1.1002387038144859,nan,1.0089710524196254,nan,1.0082862842498714,nan
r E p,3,-10.908215730511088,nan,-15.828078173934111,nan,-15.792595886774304,nan,1.0868660435385473,nan,1.0868414778522668,nan,1.0020519997506185,nan,1.0019868035810506,nan
r I D,3,-9.512314917564053,nan,-16.384176547885875,nan,-16.35762126201519,nan,1.0794360897888773,nan,1.0794297169457503,nan,1.0014175039089919,nan,1.0014081439153733,nan
r I S,3,-11.587343326592126,nan,-14.541184493598173,nan,-14.566019555844196,nan,1.0563815208511957,nan,1.0564330665979018,nan,1.0007717176642388,nan,1.000820116160463,nan
r I T,3,-11.471582536316511,nan,-16.115505841825602,nan,-16.100489696177867,nan,1.0554774201085415,nan,1.055531237172496,nan,1.000384245917387,nan,1.0004672995075172,nan
r I Z,3,-16.17004065672816,nan,-inf,nan,-20.960166357004116,nan,1.0519255957624,nan,1.0519883358584017,nan,1.000384245917387,nan,1.0004672995075172,nan
r I z,3,-9.944162966047736,nan,-11.726598160322267,nan,-11.733278229465357,nan,1.0697492961175825,nan,1.0697672588164022,nan,1.0014175039089919,nan,1.0014081439153733,nan
r ^ l,3,-9.196049895518293,nan,-12.825208621119828,nan,-12.826730983145847,nan,1.14264495676694,nan,1.1424807848619714,nan,1.0023770434259716,nan,1.0022826018564546,nan
s i g,3,-10.126312817390147,nan,-12.7255963405777,nan,-12.730393357533416,nan,1.1624351298650384,nan,1.162221968651467,nan,1.0127112982919335,nan,1.0116976550704957,nan
s i v,3,-11.040952702830777,nan,-13.074477305257252,nan,-13.082674093499389,nan,1.1339559564714319,nan,1.1338143417511835,nan,1.0097406815660699,nan,1.0089927273979096,nan
s R d,3,-10.926996045417216,nan,-13.051867496403478,nan,-13.055525171240287,nan,1.1321338177485645,nan,1.131995531428615,nan,1.0006441733300206,nan,1.000703848907943,nan
s R g,3,-11.394906407239686,nan,-16.335905424827395,nan,-16.298121436089094,nan,1.1025568077388777,nan,1.1024928259403388,nan,1.0004504374565948,nan,1.00052744058147,nan
s R k,3,-10.99732025342965,nan,-13.616660423840209,nan,-13.617252317381851,nan,1.118378570735326,nan,1.1182748408849408,nan,1.00051501608107,nan,1.000586243356961,nan
s R m,3,-11.08501311304892,nan,-13.898271032389967,nan,-13.897048357352293,nan,1.1130831235283514,nan,1.1129926971075637,nan,1.0003858588321195,nan,1.000468637805979,nan
S ^ J,3,-14.039348785399202,nan,-17.347420870258194,nan,-17.34888419339902,nan,1.101403535938104,nan,1.1013429120014406,nan,1.000320204931156,nan,1.0004089428315135,nan
S ^ C,3,-13.856546343767896,nan,-15.035916537589586,nan,-15.081393083042522,nan,1.1011452214402027,nan,1.1010852464513246,nan,1.0009014125514335,nan,1.0009381678109324,nan
s Y b,3,-10.942575017135864,nan,-15.139841659243924,nan,-15.130902862617623,nan,1.0925423442361915,nan,1.0925036935206893,nan,1.0014201921002124,nan,1.0014103744128096,nan
s Y v,3,-11.867283825617847,nan,-15.094165853848423,nan,-15.083814008440768,nan,1.0823389215690944,nan,1.0823259042911093,nan,1.0003869341086076,nan,1.0004695300049535,nan
s ^ J,3,-11.669955022733046,nan,-14.890027437423402,nan,-14.879186238141138,nan,1.14763115742148,nan,1.1474555467357987,nan,1.0034582132564842,nan,1.0032684199556965,nan
s ^ g,3,-9.725901884424944,nan,-12.468861059374001,nan,-12.47389697145142,nan,1.1796621551612279,nan,1.1794060749501765,nan,1.0042977353746632,nan,1.0040328560370795,nan
s ^ S,3,-11.431063114450696,nan,-13.206131614071293,nan,-13.232154149070402,nan,1.1479540505438564,nan,1.1477776286734436,nan,1.00365194912991,nan,1.0034448282821695,nan
t e s,3,-9.197514230710253,nan,-12.62251858545751,nan,-12.628810922316633,nan,1.1543307645146206,nan,1.154137081455064,nan,1.0052061372232701,nan,1.0048596636898517,nan
t E m,3,-9.833793899043997,nan,-13.782791994758863,nan,-13.788675143216615,nan,1.1311329976984594,nan,1.130997467383213,nan,1.004895072142264,nan,1.0045754640011166,nan
t R t,3,-9.37425718741792,nan,-12.39671660137006,nan,-12.40738646618334,nan,1.178130748199368,nan,1.1778760633887486,nan,1.0021208794810468,nan,1.0020491751524396,nan
T i n,3,-11.383593286455127,nan,-15.576265063460408,nan,-15.49088692462065,nan,1.157673385350299,nan,1.1574710228082168,nan,1.0016790442363577,nan,1.0016460316142608,nan
T R T,3,-15.237939819380362,nan,-16.46886422460296,nan,-16.41841252714962,nan,1.0230775947062176,nan,1.0232121197260502,nan,1.0001280819724623,nan,1.0002338728035023,nan
T ^ J,3,-13.923587995123587,nan,-18.28809811872488,nan,-18.265062772676508,nan,1.1007641497488456,nan,1.1007051162236487,nan,1,1,1.0001171594514948,1.0
T ^ S,3,-13.684696086841235,nan,-16.60420229537277,nan,-16.618030683605774,nan,1.101087042871222,nan,1.1010271981612936,nan,1.0001937358734259,nan,1.0002935677779679,nan
