word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.105355358011849,nan,-15.091310143513773,nan,-15.109240802946458,nan,1.1553951024662037,nan,1.1551930096066538,nan,1.0015516882414417,nan,1.0015289180674019,nan
g i T,3,-12.412910093863465,nan,-13.096942964546209,nan,-13.131835646363536,nan,1.1061601628793467,nan,1.106085494589265,nan,1.0004729090663425,nan,1.0005504815212523,nan
z i T,3,-12.472972191054614,nan,-16.626253849533263,nan,-16.624385626090266,nan,1.0800939693395177,nan,1.0800865530703447,nan,1.000605870108757,nan,1.0006712325929181,nan
y c g,3,-11.721154898089477,nan,-16.15489837625908,nan,-15.884930354885093,nan,1.1844614907813342,nan,1.1841836563988297,nan,1.001012298653892,nan,1.0010396997943272,nan
l R z,3,-11.598635099145135,nan,-12.685580644986661,nan,-12.686899836237359,nan,1.081483439888284,nan,1.081472094123478,nan,1.0002005194804635,nan,1.0003036531038536,nan
J Y p,3,-13.648123375258182,nan,-16.818079457340026,nan,-16.189781678836475,nan,1.0428103134962965,nan,1.0428989338039294,nan,1.0013511687609782,nan,1.0013469037475586,nan
C ^ z,3,-12.182979158888612,nan,-13.546727202261073,nan,-13.56866107059113,nan,1.1124351911153783,nan,1.1123435333634895,nan,1.0035108829448602,nan,1.003305552264547,nan
C e J,3,-14.853276312724194,nan,-14.778612376788303,nan,-14.832705099670916,nan,1.081037009550311,nan,1.081027122140418,nan,1.0006015584413903,nan,1.0006676817435398,nan
z i S,3,-12.563510176823216,nan,-17.587733378826773,nan,-17.57614049868357,nan,1.0809722290341537,nan,1.0809625048256173,nan,1.000673428546806,nan,1.0007324958410955,nan
z u v,3,-11.933387997701661,nan,-20.273603987370873,nan,-20.12215406055098,nan,1.1506333864139469,nan,1.1504433690710294,nan,1.0016203245963324,nan,1.001591069027924,nan
D Y p,3,-11.362816321239091,nan,-15.308762000148278,nan,-15.10553526349705,nan,1.1125854677046936,nan,1.112494064790963,nan,1.0014176492821856,nan,1.0014072792833917,nan
s R k,3,-10.971042216149401,nan,-13.51382304707127,nan,-13.514923886184668,nan,1.1201744938740317,nan,1.1200616987530507,nan,1.00073775323433,nan,1.0007910959522393,nan
b R s,3,-11.358149969708894,nan,-12.305382197940649,nan,-12.319507246457698,nan,1.1089906575554238,nan,1.1089061294395945,nan,1.001682493450173,nan,1.0016478937143787,nan
T ^ z,3,-12.073560813670898,nan,-14.047817333454615,nan,-14.049266331458657,nan,1.1140933459207107,nan,1.1139974100504437,nan,1.0033779219024457,nan,1.0031848011928812,nan
S c G,3,-14.349179867188742,nan,-14.779461843938734,nan,-14.719495788874163,nan,1.0193504650282657,nan,1.0195000816006143,nan,1.0003377921902445,nan,1.0004279550248973,nan
J e J,3,-15.047613864789323,nan,-15.705259411145818,nan,-15.732375881032004,nan,1.084751276314256,nan,1.0847318059191955,nan,1.0006015584413903,nan,1.0006676817435398,nan
D ^ z,3,-10.09200965693465,nan,-8.77193759133317,nan,-8.788194533953357,nan,1.1859246120877203,nan,1.1856433481293005,nan,1.0144136884228552,nan,1.0132071401411396,nan
S Y p,3,-13.434905463743943,nan,-14.67992211169079,nan,-14.65717179975735,nan,1.0414837896520306,nan,1.041575832454366,nan,1.0014176492821856,nan,1.0014072792833917,nan
n W C,3,-13.024404785100067,nan,-13.744750173254548,nan,-13.75179542324104,nan,1.0626107534408948,nan,1.0626487166559027,nan,1.011168727562824,nan,1.0102647288039341,nan
l W C,3,-13.507684987981463,nan,-14.6438432145815,nan,-14.642102612081816,nan,1.0733555965794501,nan,1.073365837587366,nan,1.0000664805212074,nan,1.0001820143198432,nan
S c d,3,-13.295570012006095,nan,-18.739232877531528,nan,-18.393711333003615,nan,1.078328981444966,nan,1.078323611012379,nan,1,1,1.0001216387840102,1.0
g i J,3,-12.716665991146307,nan,-14.689454589088431,nan,-14.708350251179022,nan,1.1071059810120316,nan,1.1070288272487894,nan,1.0005404675043914,nan,1.0006117447694296,nan
C u T,3,-14.286450927635007,nan,-14.7743195525942,nan,-14.819547415936343,nan,1.1474359594006072,nan,1.1472544015092736,nan,1.0016846492838563,nan,1.0016496691390675,nan
D i g,3,-10.431358937127216,nan,-14.007573844844575,nan,-14.005241805368767,nan,1.1870026367210307,nan,1.1867178503788405,nan,1.0042410907612986,nan,1.003968795446364,nan
w u T,3,-12.349291973900256,nan,-16.21559446256116,nan,-15.967643229824409,nan,1.2470579001049913,nan,1.2466193128614833,nan,1.0015516882414417,nan,1.0015289180674019,nan
T c T,3,-15.295798717274383,nan,-16.667583239078763,nan,-16.61207187755715,nan,1.0168643575246472,nan,1.0170204723478093,nan,1.0000664805212074,nan,1.0001820143198432,nan
g u T,3,-12.555594073116502,nan,-17.30793039421193,nan,-17.05992750904897,nan,1.1723082814805965,nan,1.172062551813587,nan,1.0014852077202345,nan,1.001468542531569,nan
f R s,3,-11.922435026828001,nan,-13.893400030766252,nan,-13.894614218618806,nan,1.0906846285045515,nan,1.09064733081562,nan,1.0017489739713803,nan,1.0017082692502115,nan
J Y m,3,-13.224031129797106,nan,-16.285982588365684,nan,-15.658127082913094,nan,1.076251740330508,nan,1.0762524814085384,nan,1.0012160518848805,nan,1.0012243772512037,nan
n R z,3,-11.11535489626374,nan,-14.22658675824177,nan,-14.199982439512594,nan,1.0707385967497287,nan,1.0707549731920145,nan,1.0001340389592563,nan,1.0002432775680208,nan
m R n,3,-10.738989804642017,nan,-14.13324200741111,nan,-14.10596634105181,nan,1.1245769408113526,nan,1.1244515049333683,nan,1.0013511687609782,nan,1.0013469037475586,nan
C u S,3,-14.37698891340361,nan,-15.606886635119483,nan,-15.644575912491941,nan,1.1483142190952431,nan,1.1481303532645462,nan,1.0012792986555628,nan,1.001282089650003,nan
