word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.080018383625779,nan,-15.373325126870633,nan,-15.386359856396554,nan,1.1626757122006108,nan,1.1624624599132594,nan,1.0016753602489752,nan,1.0016428523547176,nan
g i T,3,-12.385233191474395,nan,-13.058952087271532,nan,-13.090485898516768,nan,1.106504085172183,nan,1.106430796468957,nan,1.0003867225265872,nan,1.0004692308263374,nan
z i T,3,-12.449059832396815,nan,-17.392557155761924,nan,-17.355184605792058,nan,1.0801714761986434,nan,1.080163662264303,nan,1.0003867225265872,nan,1.0004692308263374,nan
y c g,3,-11.697496133042863,nan,-16.283982986643792,nan,-16.01176408854586,nan,1.1953838577572387,nan,1.1950891542314328,nan,1.0010308227046631,nan,1.0010558601030153,nan
l R z,3,-11.62470072191979,nan,-12.774421123819167,nan,-12.774176383348472,nan,1.0823076160295702,nan,1.0822944215645705,nan,1.0000640163881953,nan,1.000175371725462,nan
J Y p,3,-13.683352649803762,nan,-16.93814311793683,nan,-16.30520923707998,nan,1.0418089880387844,nan,1.0418965942530436,nan,1.0011601675797615,nan,1.0011736215283802,nan
C ^ z,3,-12.225416949621561,nan,-13.832862369524232,nan,-13.84753996289652,nan,1.1122782469669252,nan,1.1121902270355466,nan,1.0036085355156754,nan,1.0034034661348001,nan
C e J,3,-14.923154652530101,nan,-15.120988660251143,nan,-15.16425993744092,nan,1.0801738322973564,nan,1.0801660065511007,nan,1.000449426816075,nan,1.00052647815141,nan
z i S,3,-12.56028546750704,nan,-18.496924856000653,nan,-18.449697913464856,nan,1.08107382876068,nan,1.081063752273304,nan,1.000644537544312,nan,1.0007040277270183,nan
z u v,3,-11.9013821971247,nan,-21.267290546130017,nan,-21.080804109982118,nan,1.1588120297078957,nan,1.1586082965471072,nan,1.001610906494544,nan,1.0015841531295473,nan
D Y p,3,-11.366603216702433,nan,-15.415838565476601,nan,-15.210957945566495,nan,1.1151184601083228,nan,1.11502378583736,nan,1.0012241839679568,nan,1.001231957778526,nan
s R k,3,-11.001725429851051,nan,-13.629331025457395,nan,-13.629904209900207,nan,1.117802746796829,nan,1.117700598914397,nan,1.0005143179367422,nan,1.0005855403516046,nan
b R s,3,-11.383895431403724,nan,-12.423177570554158,nan,-12.436098768994377,nan,1.1055655428094295,nan,1.105493576490765,nan,1.0015442659089338,nan,1.0015236390292552,nan
T ^ z,3,-12.047538946897383,nan,-14.155321601059516,nan,-14.154917766863056,nan,1.114259584049886,nan,1.1141666376189066,nan,1.0034805027392846,nan,1.0032867936345085,nan
S c G,3,-14.336765832755363,nan,-15.025842483130587,nan,-14.958540450372764,nan,1.0178200959764365,nan,1.0179675616586776,nan,1.000322268772156,nan,1.000410531601167,nan
J e J,3,-15.098487387046987,nan,-15.81892927252472,nan,-15.843716374064288,nan,1.08458390515943,nan,1.0845651139785792,nan,1.000577459592466,nan,1.0006431506517017,nan
D ^ z,3,-10.084000251037121,nan,-8.750508927068754,nan,-8.765420820298017,nan,1.1899977918985372,nan,1.1897165260473415,nan,1.0150034526144527,nan,1.0137873186607598,nan
S Y p,3,-13.441367547672922,nan,-14.970633550139635,nan,-14.936117377638102,nan,1.0401472214530756,nan,1.0402389595702257,nan,1.0011601675797615,nan,1.0011736215283802,nan
n W C,3,-13.058170888821888,nan,-13.959527886232985,nan,-13.961091533307066,nan,1.0630866923189446,nan,1.0631215665989775,nan,1.012035080980731,nan,1.0110842505027342,nan
l W C,3,-13.558711124358318,nan,-14.830997352146186,nan,-14.824791534288883,nan,1.074846886617807,nan,1.07485251973892,nan,1.0000640163881953,nan,1.000175371725462,nan
S c d,3,-13.290025374794094,nan,-19.044931117924502,nan,-18.69280005156415,nan,1.0790511626860724,nan,1.0790450979837387,nan,1,1,1.0001170354753162,1.0
g i J,3,-12.738443928715458,nan,-14.825790959606579,nan,-14.84123393188687,nan,1.107213076470926,nan,1.1071380100474577,nan,1.0004511762810184,nan,1.0005279300515078,nan
C u T,3,-14.287009602558523,nan,-15.030318687110107,nan,-15.066000464505548,nan,1.156156474056676,nan,1.1559594315422042,nan,1.0018674094135613,nan,1.0018178611051551,nan
D i g,3,-10.421694495614132,nan,-13.96902475599144,nan,-13.967017846143882,nan,1.1922963742769732,nan,1.1920090787837319,nan,1.0048901753782904,nan,1.00457128006279,nan
w u T,3,-12.300643737835829,nan,-16.309809910108044,nan,-16.05741851592721,nan,1.2614869099508343,nan,1.2610279683608208,nan,1.0017393766371707,nan,1.0017011886048635,nan
T c T,3,-15.241914388076278,nan,-16.75070288853443,nan,-16.695566550117878,nan,1.0159574129577023,nan,1.0161095330578758,nan,1.0000640163881953,nan,1.000175371725462,nan
g u T,3,-12.514375843474797,nan,-17.470000873786418,nan,-17.217432460863694,nan,1.1809551446434077,nan,1.1806964414242571,nan,1.0016113438607799,nan,1.0015845161045718,nan
