word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.02414185907324,nan,-12.706692356165718,nan,-12.730677735399315,nan,1.109519244091467,nan,1.109434969860772,nan,1.0011077083469082,nan,1.0011270577637592,nan
b O r,3,-13.322934861597655,nan,-inf,nan,-15.19849645766252,nan,1.1232395607141583,nan,1.1231200807233286,nan,1.0011077083469082,nan,1.0011270577637592,nan
b O s,3,-13.353108628899154,nan,-13.528335047794343,nan,-13.485880486279498,nan,1.0934902203447652,nan,1.0934470759203812,nan,1.0011736714075943,nan,1.0011870062080972,nan
b U n,3,-10.86736221460323,nan,-inf,nan,-16.88225997633631,nan,1.138515139054652,nan,1.1383573668450433,nan,1.000521274516192,nan,1.0005935031040485,nan
b u r,3,-10.215430088889423,nan,-11.828190778312262,nan,-11.837508911015217,nan,1.267567442384843,nan,1.2670821241394212,nan,1.016677401907294,nan,1.0152768844072733,nan
b U s,3,-11.196328984429142,nan,-inf,nan,-17.098466226483804,nan,1.1224861153079502,nan,1.1223694729046525,nan,1.000521274516192,nan,1.0005935031040485,nan
b W r,3,-11.56934796587463,nan,-16.21654948321906,nan,-15.835248874667812,nan,1.1435041075311259,nan,1.1433332615370553,nan,1.0007827155204503,nan,1.0008313031016234,nan
C e D,3,-12.597487479074402,nan,-17.769956239280468,nan,-17.75374636301396,nan,1.1024990992503338,nan,1.102434078948326,nan,1.0018413394760743,nan,1.0017931365840649,nan
C i D,3,-12.18256878036857,nan,-17.253025867196293,nan,-17.242217944010825,nan,1.1049099938877223,nan,1.104838862517805,nan,1.0048724252829833,nan,1.0045481066505713,nan
C O b,3,-15.77182522951111,nan,-20.858899456261945,nan,-20.158969543102916,nan,1.0222341879538235,nan,1.0223729253495775,nan,1,1,1.0001192322954167,1.0
C O g,3,-15.792118567162664,nan,-20.99275679843765,nan,-20.147358829571406,nan,1.0402421035211058,nan,1.0403346333566832,nan,1,1,1.0001192322954167,1.0
C O v,3,-16.693735442853956,nan,-inf,nan,-20.999938525894553,nan,1.0124056919116071,nan,1.0125696488182268,nan,1,1,1.0001192322954167,1.0
C u D,3,-12.314733376503654,nan,-17.289901422636756,nan,-17.278033312475195,nan,1.1763246026060388,nan,1.1760724514947969,nan,1.0013820092897583,nan,1.0013754912534765,nan
C u S,3,-14.374688030509994,nan,-15.785984735217957,nan,-15.818435935803517,nan,1.1533694574873052,nan,1.1531762083209038,nan,1.0014479723504444,nan,1.0014354396978145,nan
C u T,3,-14.265125827998467,nan,-14.813741767377754,nan,-14.855006649140744,nan,1.152445974637701,nan,1.15225509508977,nan,1.0019097137752464,nan,1.0018550788081795,nan
D e C,3,-12.597487479074404,nan,-13.108357750602114,nan,-13.090689393307594,nan,1.1535858301687327,nan,1.1533924731296914,nan,1.017203666526663,nan,1.0157714981667816,nan
D e D,3,-10.4809934146524,nan,-14.711089331584816,nan,-14.680417834483714,nan,1.1769367536515822,nan,1.1766834791169274,nan,1.0184569646796973,nan,1.0169105186092011,nan
D e J,3,-12.78179119707235,nan,-11.857316952466507,nan,-11.891846971666164,nan,1.1535198671080467,nan,1.1533266793274675,nan,1.017137703465977,nan,1.0157115497224438,nan
D e S,3,-12.54094806865874,nan,-12.532374602274267,nan,-12.538002723086946,nan,1.1539816085328487,nan,1.1537872359430343,nan,1.017203666526663,nan,1.0157714981667816,nan
D i C,3,-12.18256878036857,nan,-13.98584368238154,nan,-14.009241530324127,nan,1.155996724806121,nan,1.15579725669917,nan,1.0017657314614443,nan,1.00172521302062,nan
D i D,3,-10.066074715946565,nan,-15.785285557610298,nan,-15.757049929467396,nan,1.1793476482889704,nan,1.179088262686406,nan,1.0053936997991753,nan,1.0050223774592029,nan
D i S,3,-12.126029369952905,nan,-14.378855329418418,nan,-14.39424950064079,nan,1.156392503170237,nan,1.156192019512513,nan,1.0018316945221304,nan,1.001785161464958,nan
