word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.201047704759311,nan,-11.494821358257495,nan,-11.509801955773884,nan,1.106944878861158,nan,1.1068703027092033,nan,1.001925762636583,nan,1.0018716797523801,nan
b i l,3,-10.284197955443492,nan,-11.315642016907763,nan,-11.327489349225834,nan,1.1451927908359472,nan,1.1450222440060034,nan,1.0076130633792846,nan,1.0070499583539894,nan
b i s,3,-10.116456688635505,nan,-11.431146633484472,nan,-11.442072268443841,nan,1.1657354264948618,nan,1.1655132550247547,nan,1.002509704206158,nan,1.0024031728707825,nan
b R s,3,-11.381411359236116,nan,-12.416597934197013,nan,-12.429550653764448,nan,1.106067413933175,nan,1.105994011961208,nan,1.0015473321320139,nan,1.0015263643133734,nan
b Y s,3,-10.944088197463053,nan,-11.78353337698526,nan,-11.79668660538147,nan,1.1143350547714752,nan,1.1142410391955768,nan,1.0030895718225525,nan,1.0029312859992117,nan
b ^ l,3,-9.884144862455193,nan,-10.348893831263526,nan,-10.361468961726908,nan,1.1623048846640571,nan,1.162091672467837,nan,1.0108373613303345,nan,1.0099914770667473,nan
C @ l,3,-12.354740598468085,nan,-16.44591400425581,nan,-16.426594408768718,nan,1.112235267856411,nan,1.1121467720906573,nan,1.0008382655492112,nan,1.0008806110461288,nan
C i D,3,-12.181945748024567,nan,-17.5258769875517,nan,-17.507778959844497,nan,1.1045529472730606,nan,1.1044839057323248,nan,1.0048403780429822,nan,1.0045249203569253,nan
C i n,3,-11.554633166243313,nan,-13.87414211538486,nan,-13.88679677889079,nan,1.1551989421051019,nan,1.1550026247219505,nan,1.0022563987148168,nan,1.002172117580618,nan
C R J,3,-15.762426022894958,nan,-17.57570689098477,nan,-17.52211921796048,nan,1.0213061233418648,nan,1.021445105996312,nan,1.000064599483204,nan,1.0001760377094764,nan
C R g,3,-13.815482709164625,nan,-17.88404191498122,nan,-17.844558074291488,nan,1.0534120664943196,nan,1.053470365355807,nan,1.0002583979328166,nan,1.0003524979176994,nan
C R T,3,-15.403871515039917,nan,-17.0422633595347,nan,-16.983689771396662,nan,1.0207893274762316,nan,1.020929608863765,nan,1,1,1.0001172176400686,1.0
C ^ J,3,-14.097418259306048,nan,-18.06156350342156,nan,-18.051214609810316,nan,1.0980862297316616,nan,1.0980337775216924,nan,1.0001281804781132,nan,1.0002340127813907,nan
C ^ n,3,-11.154580073255012,nan,-12.75479866043952,nan,-12.763970837893531,nan,1.1723110359332118,nan,1.172072053183784,nan,1.0125958807365112,nan,1.0115862861770735,nan
C ^ S,3,-13.854500457137538,nan,-16.369423481363793,nan,-16.39587976855633,nan,1.0984738266308864,nan,1.098420400371103,nan,1.0003219789277256,nan,1.0004104729896137,nan
C ^ C,3,-13.91172564225251,nan,-15.73856060872308,nan,-15.772271106598737,nan,1.0980216302484573,nan,1.097969340380124,nan,1.0007095758269504,nan,1.0007633934060598,nan
d i k,3,-9.92431714348051,nan,-12.149069102777052,nan,-12.157440465909893,nan,1.1661384201621041,nan,1.1659155184360925,nan,1.0032925366668206,nan,1.0031153511848738,nan
d i s,3,-9.658669503997553,nan,-12.188479036017585,nan,-12.195781620992511,nan,1.1772495312732152,nan,1.1769987067858574,nan,1.001548350620309,nan,1.0015272093108665,nan
d i t,3,-8.980318347625195,nan,-10.926526703868403,nan,-10.93453385573806,nan,1.2594200739088741,nan,1.258962750860862,nan,1.0017421490699214,nan,1.0017036695190895,nan
d E p,3,-11.140266363283548,nan,-16.34427247372838,nan,-16.28955383862441,nan,1.1182026226832849,nan,1.118100032695597,nan,1.000322488171873,nan,1.0004108954883606,nan
d R s,3,-10.923624174598164,nan,-12.42608223052794,nan,-12.437362909358468,nan,1.1175815187115283,nan,1.1174794637223107,nan,1.001675512610127,nan,1.0016431594546955,nan
D i D,3,-10.052112760808326,nan,-15.782070285871143,nan,-15.75306722275566,nan,1.1823371217757153,nan,1.1820745131851067,nan,1.0054171901944915,nan,1.0050504984928748,nan
D i g,3,-10.420695051347773,nan,-13.942666614090939,nan,-13.940860011696131,nan,1.190864253558661,nan,1.1905802158721357,nan,1.0049649938120626,nan,1.004638758007021,nan
D i C,3,-12.181945748024567,nan,-13.91485128218974,nan,-13.938151135735101,nan,1.158693710923002,nan,1.1584905193710724,nan,1.0016704201686517,nan,1.0016389344672292,nan
d I J,3,-12.056856846715597,nan,-14.644610102208398,nan,-14.640358719261352,nan,1.0873761616618256,nan,1.087350589192004,nan,1.0076267384477344,nan,1.0070665285487348,nan
d I D,3,-9.741331242445817,nan,-14.424060770115776,nan,-14.402664260590253,nan,1.1109549730313346,nan,1.1108701458644699,nan,1.0086603301790005,nan,1.0080076496592578,nan
d Y p,3,-11.271464527572023,nan,-12.555710838552578,nan,-12.566371024119722,nan,1.074557169885746,nan,1.0745634005513698,nan,1.0018682925714446,nan,1.0018187746654252,nan
d Y t,3,-9.807949856452742,nan,-11.469233442369518,nan,-11.478220242271513,nan,1.2080197021854875,nan,1.2076905350316842,nan,1.0030956827523232,nan,1.002936355984171,nan
d I T,3,-11.698302338860554,nan,-14.062376406588898,nan,-14.055409257062637,nan,1.0868593657961925,nan,1.0868350920594567,nan,1.0076267384477344,nan,1.0070665285487348,nan
d I Z,3,-16.397772093147047,nan,-inf,nan,-18.91411362806995,nan,1.083306394219965,nan,1.0832910492731949,nan,1.0076267384477344,nan,1.0070665285487348,nan
f i k,3,-10.958787224492106,nan,-13.150911228743734,nan,-13.161139825829341,nan,1.1363296822359223,nan,1.1361809599879047,nan,1.0036129878621036,nan,1.0034073390381792,nan
f i s,3,-10.693139585009149,nan,-13.19032116198427,nan,-13.199480980911959,nan,1.1474407933470334,nan,1.1472641483376695,nan,1.001868801815592,nan,1.001819197164172,nan
f R s,3,-11.95809425560976,nan,-14.097741195766819,nan,-14.09770937445775,nan,1.0877727807853466,nan,1.0877449052741228,nan,1.0016114223710704,nan,1.0015847618840346,nan
f R t,3,-11.279743099237402,nan,-13.527951747353322,nan,-13.528230429793123,nan,1.1699433234210055,nan,1.1697089493491275,nan,1.001353024438254,nan,1.0013494816064037,nan
f Y k,3,-11.786418733319653,nan,-12.29321752064278,nan,-12.30728468690046,nan,1.0849293105125357,nan,1.0849087441587268,nan,1.0025778683983948,nan,1.0024649504314165,nan
f ^ l,3,-10.460827758828836,nan,-11.922140918130696,nan,-11.933787560897072,nan,1.1440102515162287,nan,1.1438425657807518,nan,1.0017365473842985,nan,1.0016990220328768,nan
g e s,3,-10.541249867025572,nan,-13.60628071071184,nan,-13.598438541727782,nan,1.1637489980549713,nan,1.1635317784057726,nan,1.0023250721512011,nan,1.0022343176399986,nan
g W d,3,-11.814704445357723,nan,-17.366701605986005,nan,-16.97322420120173,nan,1.1149982236312495,nan,1.1149024987766811,nan,1.0013565891472869,nan,1.00135243909763,nan
g W r,3,-11.5867336456181,nan,-20.57551845000514,nan,-19.794878248573234,nan,1.1423238050265982,nan,1.1421594096601144,nan,1.000064599483204,nan,1.0001760377094764,nan
g W z,3,-12.343458402770533,nan,-19.881744660076915,nan,-19.105673957166857,nan,1.0670654070937817,nan,1.0670901397329284,nan,1,1,1.0001172176400686,1.0
g i C,3,-12.550528038564014,nan,-13.690444703029314,nan,-13.720677572313722,nan,1.1061765996839563,nan,1.1061040977273766,nan,1.0005167958656331,nan,1.00058777819533,nan
g i J,3,-12.736220655617553,nan,-14.822053575608715,nan,-14.837431697587487,nan,1.1062411991671606,nan,1.106168534868945,nan,1.0004521963824289,nan,1.0005289581259225,nan
g i D,3,-10.420695051347773,nan,-15.557663706710716,nan,-15.535593659334282,nan,1.1298200105366696,nan,1.129688091541411,nan,1.004263565891473,nan,1.0039993422209756,nan
g R g,3,-12.054232012487832,nan,-15.496824236671326,nan,-15.469361654634675,nan,1.0786791297579286,nan,1.0786745511648932,nan,1.000322488171873,nan,1.0004108954883606,nan
g u v,3,-11.837644123042129,nan,-18.81640816628829,nan,-18.53741805320819,nan,1.1844608269767598,nan,1.1841930646329106,nan,1.0016149870801034,nan,1.0015877193752607,nan
h e s,3,-10.747904745324504,nan,-11.343231532926787,nan,-11.355176379510445,nan,1.1948370809565256,nan,1.1945424981607498,nan,1.0064268474508231,nan,1.0059717621623065,nan
h e n,3,-10.414966081284604,nan,-11.62519182343522,nan,-11.63469918329811,nan,1.2097595615766805,nan,1.20942747786305,nan,1.005845452101986,nan,1.0054423815376374,nan
h i n,3,-10.000037347865451,nan,-9.536557777384925,nan,-9.551313438524403,nan,1.2115540882702651,nan,1.2112175302860138,nan,1.0318660891589622,nan,1.0291517952260278,nan
h Y s,3,-11.1606075207329,nan,-11.579619496994793,nan,-11.592048314667004,nan,1.1452312359267236,nan,1.1450603347545356,nan,1.0048840985161371,nan,1.0045664179777214,nan
h ^ s,3,-9.932922918917052,nan,-10.507578921311033,nan,-10.52106662311012,nan,1.2137437014782202,nan,1.213401979045547,nan,1.007996586325329,nan,1.0073994987804626,nan
J R T,3,-15.589564132093457,nan,-inf,nan,-19.220528528569343,nan,1.0252030676412671,nan,1.0253323653721875,nan,1,1,1.0001172176400686,1.0
J ^ n,3,-11.340272690308552,nan,-9.660385146821618,nan,-9.71165690316774,nan,1.1767247760982473,nan,1.1764748096922066,nan,1.017787190100095,nan,1.0163164894006196,nan
k e d,3,-10.33924587689966,nan,-12.000996805411338,nan,-12.009571570016108,nan,1.174522681928828,nan,1.1742785836606462,nan,1.0025132689151908,nan,1.0024061303620089,nan
k R m,3,-11.348394509598684,nan,-14.526026579273912,nan,-14.51660460969211,nan,1.097140152133077,nan,1.0970893762664065,nan,1.000386069166782,nan,1.000468870560275,nan
l e l,3,-10.213776192360747,nan,-11.645456273910526,nan,-11.655347560125636,nan,1.1647633252310852,nan,1.164544085406419,nan,1.0017390936050363,nan,1.0017011345266098,nan
m @ b,3,-10.770311464201885,nan,-15.955915675658943,nan,-15.938863769774818,nan,1.1153168900658395,nan,1.1152213389877088,nan,1.0024389937931832,nan,1.0023392828164155,nan
m e p,3,-11.017884447681192,nan,-12.840625895683866,nan,-12.849658237001966,nan,1.1152715673367084,nan,1.115176242875399,nan,1.0044303744012655,nan,1.004153409995628,nan
m @ v,3,-11.694300463501794,nan,-12.660009594709807,nan,-12.673904473607802,nan,1.1053039701691987,nan,1.1052335820446069,nan,1.0030203891420204,nan,1.0028686634410846,nan
m @ z,3,-10.841278236976745,nan,-12.250969250695675,nan,-12.25952808604792,nan,1.1157044869650643,nan,1.1156079618371193,nan,1.0021159963771626,nan,1.002045182469377,nan
m R n,3,-10.749808206075826,nan,-14.111930960385603,nan,-14.087423678393947,nan,1.1236125517528437,nan,1.123495122342426,nan,1.001421188630491,nan,1.0014112591670377,nan
m R s,3,-11.082746870115727,nan,-14.500133231550272,nan,-14.475272266867085,nan,1.1086900711326888,nan,1.1086101426401258,nan,1.0011627906976743,nan,1.001175978889407,nan
m Y d,3,-10.840728287014596,nan,-10.89570679659321,nan,-10.910779658520886,nan,1.1197354897487668,nan,1.1196279669619358,nan,1.0057900190134377,nan,1.005391166445669,nan
m ^ b,3,-10.070830869836701,nan,-13.645102711351313,nan,-13.641557170680388,nan,1.1399275418635708,nan,1.139770629359784,nan,1.0034827704074003,nan,1.0032888539018707,nan
n e s,3,-9.545354994704871,nan,-13.29058290613347,nan,-13.292657639604107,nan,1.1737918561116463,nan,1.1735496446640676,nan,1.002517342868371,nan,1.0024095103519817,nan
n e n,3,-9.212416330664968,nan,-13.572543196641902,nan,-13.572180443391773,nan,1.1887143367318012,nan,1.188434624366368,nan,1.0019359475195337,nan,1.0018801297273126,nan
n c d,3,-10.587316613492158,nan,-18.36351328773023,nan,-18.067704631984846,nan,1.1119666729203797,nan,1.1118785545248113,nan,1.0000640902390565,nan,1.0001756152107297,nan
n W d,3,-10.81880957303702,nan,-12.74370992311062,nan,-12.748663511187027,nan,1.1250410816879244,nan,1.1249203650349762,nan,1.0132132833727563,nan,1.0121559896699264,nan
