word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.017593318908009,nan,-12.79632233937765,nan,-12.81556050163983,nan,1.107421983663869,nan,1.1073447311834599,nan,1.0010961377264813,nan,1.0011159867015236,nan
b O r,3,-13.317800375624024,nan,-inf,nan,-15.281323765855634,nan,1.1232455893707431,nan,1.123128417062236,nan,1.0010961377264813,nan,1.0011159867015236,nan
b O s,3,-13.352306326709463,nan,-13.621413352156937,nan,-13.574180427578863,nan,1.093154798190458,nan,1.0931135389976783,nan,1.0011609885695423,nan,1.0011750150941803,nan
b U n,3,-10.86017347986667,nan,-inf,nan,-16.992476193665333,nan,1.1370177022788668,nan,1.1368662130460787,nan,1.0005158295183443,nan,1.0005875075470902,nan
b u r,3,-10.21308146098395,nan,-11.87461278707839,nan,-11.883493893409147,nan,1.2726427136211784,nan,1.27215079936221,nan,1.017439666637647,nan,1.0159920671108804,nan
b U s,3,-11.194886487668125,nan,-inf,nan,-17.21209961887168,nan,1.1227505168054557,nan,1.122635020860297,nan,1.0005158295183443,nan,1.0005875075470902,nan
b W r,3,-11.573156869605114,nan,-16.34588936002688,nan,-15.963394585381844,nan,1.1433629405861665,nan,1.143195306694343,nan,1.0006451590511982,nan,1.0007052558457952,nan
C e D,3,-12.608353258248023,nan,-18.257499815210295,nan,-18.22884074075877,nan,1.1029968208554808,nan,1.1029312584058224,nan,1.0016197824634523,nan,1.0015922241686916,nan
C i D,3,-12.194664637738155,nan,-17.682391013059263,nan,-17.659391767430602,nan,1.1048022241696855,nan,1.1047321331163962,nan,1.0049901655362825,nan,1.0046601581538055,nan
C O b,3,-15.785940895741794,nan,-20.829251183975096,nan,-20.15635024387852,nan,1.0215692634997628,nan,1.021708090316511,nan,1,1,1.0001177482987051,1.0
C O g,3,-15.797376593165282,nan,-21.040959037865818,nan,-20.248685630932144,nan,1.0399220520860146,nan,1.040014578446403,nan,1,1,1.0001177482987051,1.0
C O v,3,-16.71294874984042,nan,-inf,nan,-21.364360928806672,nan,1.0112579794530703,nan,1.0114228196004231,nan,1,1,1.0001177482987051,1.0
C u D,3,-12.3235120399625,nan,-17.757654729979798,nan,-17.73318565102672,nan,1.180629163366281,nan,1.1803688709604918,nan,1.0012955282481475,nan,1.0012970822054075,nan
C u S,3,-14.398844472070266,nan,-16.086448454100562,nan,-16.111479456039095,nan,1.1575422632365795,nan,1.1573402145144085,nan,1.0013603790912085,nan,1.0013561105980642,nan
C u T,3,-14.285596591579274,nan,-15.079824046496594,nan,-15.113563997445869,nan,1.156634351433726,nan,1.1564345931934952,nan,1.0018791858356961,nan,1.0018283377393191,nan
D e C,3,-12.608353258248023,nan,-13.121524155898118,nan,-13.102301147485017,nan,1.1579412887748401,nan,1.1577386917900583,nan,1.0183126922077546,nan,1.0167948185895972,nan
D e D,3,-10.466368458526304,nan,-14.889919056042121,nan,-14.853130346744386,nan,1.1816766973351513,nan,1.1814142206082225,nan,1.0195448582259128,nan,1.0179163580500776,nan
D e J,3,-12.785127954081812,nan,-11.82960786944501,nan,-11.862724995801647,nan,1.158265542990145,nan,1.1580621279760988,nan,1.0183126922077546,nan,1.0167948185895972,nan
D e S,3,-12.541700890634072,nan,-12.553053183068503,nan,-12.557864104472124,nan,1.1585897972054497,nan,1.1583855641621392,nan,1.0183126922077546,nan,1.0167948185895972,nan
D i C,3,-12.194664637738155,nan,-13.945559542618316,nan,-13.968571513322535,nan,1.159746692089045,nan,1.159539566500632,nan,1.0016145723177012,nan,1.0015879053561698,nan
D i D,3,-10.052679838016436,nan,-15.931367319367542,nan,-15.897343156966503,nan,1.183482100649356,nan,1.1832150953187963,nan,1.0055704737444198,nan,1.0051886373082388,nan
