word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.087825772083495,nan,-15.313242903679965,nan,-15.327442765411885,nan,1.1614195806835976,nan,1.1612005447907356,nan,1.0017464978108217,nan,1.0017061399930427,nan
g i T,3,-12.384323461087162,nan,-12.953953287211275,nan,-12.987348050710231,nan,1.1059880447209325,nan,1.1059130111334021,nan,1.000403144527313,nan,1.0004873055488255,nan
z i T,3,-12.445232214174155,nan,-17.019233110094376,nan,-16.997003232134613,nan,1.0792290751409552,nan,1.0792233284883352,nan,1.000403144527313,nan,1.0004873055488255,nan
y c g,3,-11.710678844836352,nan,-16.179278649166196,nan,-15.908386867913277,nan,1.193124545738497,nan,1.1928235308937545,nan,1.0009402087561956,nan,1.0009746110976514,nan
l R z,3,-11.623159314535076,nan,-12.763619825595436,nan,-12.76378992236058,nan,1.0812108150385065,nan,1.0811999740354419,nan,1.0000667289470173,nan,1.0001821214609774,nan
J Y p,3,-13.680062206231103,nan,-16.85786502362631,nan,-16.228201951197548,nan,1.0427737805323556,nan,1.0428625411414076,nan,1.0011422428273868,nan,1.0011578737029343,nan
C ^ z,3,-12.202126659241657,nan,-13.810907258180531,nan,-13.826200520461075,nan,1.1121549595030034,nan,1.1120634996382137,nan,1.0036273771307473,nan,1.0034126603675204,nan
C e J,3,-14.896985525855513,nan,-15.121458401956685,nan,-15.165978644097295,nan,1.0802986956007472,nan,1.080290167384259,nan,1.0004684880517254,nan,1.000546744764367,nan
z i S,3,-12.550475900577801,nan,-18.115986593524877,nan,-18.083870940593535,nan,1.080236936459238,nan,1.0802285556696782,nan,1.0006719075455217,nan,1.000731148513956,nan
z u v,3,-11.917043093707719,nan,-21.224275714329462,nan,-21.003485361671032,nan,1.15793298297156,nan,1.1577228671877418,nan,1.0016121163017173,nan,1.0015842185104775,nan
D Y p,3,-11.356752539080826,nan,-15.343054550332948,nan,-15.139054334760408,nan,1.1169267459853278,nan,1.1168235025011208,nan,1.0012089717744042,nan,1.0012184540627818,nan
s R k,3,-10.98829899295524,nan,-13.556115912392414,nan,-13.557522089669858,nan,1.1178725470333222,nan,1.1177659503348785,nan,1.0006033313683647,nan,1.0006690466283676,nan
b R s,3,-11.372715198653923,nan,-12.383812711974826,nan,-12.397476801595115,nan,1.1057348634942266,nan,1.105659407590437,nan,1.001475425754938,nan,1.0014603951207357,nan
T ^ z,3,-12.04534370624408,nan,-14.093730932073477,nan,-14.095964886101001,nan,1.1140853329304146,nan,1.1139888747544,nan,1.003493919236713,nan,1.0032914996478257,nan
S c G,3,-14.324705228674866,nan,-14.95447357880384,nan,-14.889389179613543,nan,1.017902865334445,nan,1.0180563073028428,nan,1.000403144527313,nan,1.0004873055488255,nan
J e J,3,-15.106993100900818,nan,-15.824986444189117,nan,-15.850867148992867,nan,1.0847585238640767,nan,1.0847384478251034,nan,1.0006019459457598,nan,1.0006679054840617,nan
D ^ z,3,-10.088824567136685,nan,-8.75514842075824,nan,-8.770754985644707,nan,1.190767753219305,nan,1.1904727414387712,nan,1.0151714849647258,nan,1.0138930626211098,nan
S Y p,3,-13.418515364591867,nan,-14.85171403127194,nan,-14.824572714528403,nan,1.0409765363068348,nan,1.0410699505159928,nan,1.0011422428273868,nan,1.0011578737029343,nan
n W C,3,-13.023532683858164,nan,-13.858632949462045,nan,-13.862543160097834,nan,1.0631963680774859,nan,1.0632324551792875,nan,1.0118110236220472,nan,1.0108442647941087,nan
l W C,3,-13.522032956049468,nan,-14.740309018831244,nan,-14.73585097778743,nan,1.074911737843844,nan,1.0749174903671777,nan,1,1,1.00012154110113,1.0
S c d,3,-13.282981557541277,nan,-19.374270916363148,nan,-18.90622131585787,nan,1.0789120704678186,nan,1.0789060593468047,nan,1,1,1.00012154110113,1.0
g i J,3,-12.751113989130044,nan,-14.771940402145525,nan,-14.788736835937078,nan,1.1067271430210064,nan,1.1066501777330535,nan,1.0004703352818651,nan,1.0005482662901082,nan
C u T,3,-14.255731556719848,nan,-15.037702847005425,nan,-15.073826618250735,nan,1.1547631205890758,nan,1.1545613202521618,nan,1.0019466846518732,nan,1.0018878810725846,nan
D i g,3,-10.427804321979767,nan,-13.871089294603017,nan,-13.869594155517008,nan,1.1912909677057073,nan,1.1909942776087743,nan,1.0048970743542145,nan,1.0045652087303611,nan
w u T,3,-12.296381987302876,nan,-16.261049073528778,nan,-16.00998944848864,nan,1.2596023670777932,nan,1.2591291067347006,nan,1.0018132267578388,nan,1.00176672035289,nan
T c T,3,-15.231349192302915,nan,-16.62634001880411,nan,-16.574475183007813,nan,1.0160956026512127,nan,1.0162537502768338,nan,1.0000667289470173,nan,1.0001821214609774,nan
g u T,3,-12.518312682191876,nan,-17.382336623082605,nan,-17.13123415389758,nan,1.180257362751094,nan,1.1799895502348998,nan,1.0016797688638044,nan,1.0016455596331952,nan
f R s,3,-11.963854225016043,nan,-14.132523391462815,nan,-14.131890425285327,nan,1.0870302106286205,nan,1.0870031866370442,nan,1.001408696807921,nan,1.0013998147608885,nan
J Y m,3,-13.258425102088943,nan,-16.34412801222243,nan,-15.71477478939768,nan,1.0770410653539642,nan,1.077040265307069,nan,1.001209433581939,nan,1.001218834444217,nan
n R z,3,-11.12465904234377,nan,-14.339341196473534,nan,-14.311577241714028,nan,1.0694954452721483,nan,1.0695149388475518,nan,1.0000667289470173,nan,1.0001821214609774,nan
m R n,3,-10.754230483235323,nan,-14.21565972911604,nan,-14.185651228983536,nan,1.1231806658407273,nan,1.123059675198971,nan,1.0014110058455956,nan,1.0014017166680647,nan
C u S,3,-14.360975243123498,nan,-16.03596143456408,nan,-16.062633113533437,nan,1.1557709819073585,nan,1.1555665474335048,nan,1.0012075863517993,nan,1.0012173129184758,nan
S e J,3,-14.845446259261582,nan,-14.879707412520007,nan,-14.930867793281218,nan,1.082961279638556,nan,1.0829458571996886,nan,1.0010023196278632,nan,1.0010313876431458,nan
T ^ S,3,-13.670314561091129,nan,-16.55252253011799,nan,-16.56878673368796,nan,1.1007815635290843,nan,1.1007198759606727,nan,1.0001343815091044,nan,1.0002434625836951,nan
v e D,3,-11.754714564136508,nan,-20.051074814079506,nan,-19.976078758781366,nan,1.1026154184161734,nan,1.1025485391652075,nan,1.0013438150910434,nan,1.0013407559267822,nan
C ^ Z,3,-18.38214331289423,nan,-inf,nan,-22.067441015323748,nan,1.0943494095466775,nan,1.0943044861011544,nan,1.0001334578940344,nan,1.0002427018208246,nan
n c T,3,-12.649079219009433,nan,-16.71723501445317,nan,-16.653094822092186,nan,1.0491782093209858,nan,1.0492506962335462,nan,1.0000667289470173,nan,1.0001821214609774,nan
