word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.200708354615436,nan,-11.50805418476781,nan,-11.52290422868905,nan,1.1071098633414405,nan,1.107034394417802,nan,1.001933868239519,nan,1.001878745945494,nan
b i l,3,-10.284323642404804,nan,-11.33390362851185,nan,-11.345608674996408,nan,1.1451805760859068,nan,1.1450093790801763,nan,1.007563844391394,nan,1.0070042336512004,nan
b i s,3,-10.117288767085062,nan,-11.443585305349794,nan,-11.454400017876115,nan,1.1667889088801102,nan,1.1665633284864747,nan,1.0025822826394368,nan,1.0024689526993804,nan
b R s,3,-11.384924849612798,nan,-12.440051585320182,nan,-12.452888366090992,nan,1.1060559920255988,nan,1.1059825755634372,nan,1.0015509445781563,nan,1.0015297006494008,nan
b Y s,3,-10.939578839168828,nan,-11.80910965594492,nan,-11.822080991534255,nan,1.1143641004818363,nan,1.1142698683811167,nan,1.0031633764413632,nan,1.0029980830908292,nan
b ^ l,3,-9.88268357010445,nan,-10.371559942098537,nan,-10.38397996491918,nan,1.1616035811738183,nan,1.1613912369755892,nan,1.0109524617120194,nan,1.0100925458562628,nan
C @ l,3,-12.36377407869767,nan,-16.410767212121513,nan,-16.392929568139852,nan,1.1122495828513352,nan,1.1121607838156895,nan,1.0008401678962462,nan,1.000882528907175,nan
C i D,3,-12.188428254149288,nan,-17.644776413802475,nan,-17.62297048963461,nan,1.105356848613852,nan,1.10528548453382,nan,1.0049789367611335,nan,1.0046506620017104,nan
C i n,3,-11.562084601357768,nan,-13.887901189670563,nan,-13.90045876590004,nan,1.1558194222051053,nan,1.1556210550036186,nan,1.002261721260066,nan,1.002176872391627,nan
C R J,3,-15.776051095429711,nan,-17.582103235167683,nan,-17.528092282587806,nan,1.0211394263572573,nan,1.02127933150753,nan,1.0000646956071684,nan,1.000176457412328,nan
