word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-12.987674508556882,nan,-12.690157532762704,nan,-12.71129532114998,nan,1.109656856997311,nan,1.1095738286100392,nan,1.0010310269072475,nan,1.0010567290166197,nan
b O r,3,-13.291060462764555,nan,-inf,nan,-15.182093097358244,nan,1.1250394752876984,nan,1.1249176069345244,nan,1.0009661213448409,nan,1.000997655292612,nan
b O s,3,-13.326474851812373,nan,-13.505162937598366,nan,-13.459893296299807,nan,1.0929761274587895,nan,1.0929352166716733,nan,1.0010310269072475,nan,1.0010567290166197,nan
b U n,3,-10.85710998671966,nan,-inf,nan,-16.88335569440684,nan,1.1397998429563476,nan,1.139641287652763,nan,1.0005796728069045,nan,1.0006456872043854,nan
b u r,3,-10.209225490157152,nan,-11.768728539518051,nan,-11.778196529784253,nan,1.2702153093724595,nan,1.2697296853155073,nan,1.0174521341961422,nan,1.0160023811905328,nan
b U s,3,-11.19591032997515,nan,-inf,nan,-17.092957168823983,nan,1.123119113417826,nan,1.1230026757143972,nan,1.0005796728069045,nan,1.0006456872043854,nan
b W r,3,-11.577679933148712,nan,-inf,nan,-16.9125742730728,nan,1.144812758812109,nan,1.1446413460928924,nan,1.0005796728069045,nan,1.0006456872043854,nan
C e D,3,-12.609565570131737,nan,-17.793271325764188,nan,-17.777849829770958,nan,1.1035204578583284,nan,1.1034536616401405,nan,1.0018128784926317,nan,1.001768087960529,nan
C i D,3,-12.198501896436914,nan,-17.24277358063255,nan,-17.232889551303174,nan,1.1066764542514753,nan,1.1066017503005965,nan,1.0049278480154027,nan,1.0046032143369221,nan
C O b,3,-15.759713456582933,nan,-20.539875070899598,nan,-19.867498652120297,nan,1.0222232561074351,nan,1.0223603578765421,nan,1,1,1.0001177350720454,1.0
C O g,3,-15.777876574695322,nan,-21.009868776740486,nan,-20.162487574479826,nan,1.040072285769277,nan,1.0401643200674004,nan,1,1,1.0001177350720454,1.0
C O v,3,-16.683461814533672,nan,-inf,nan,-20.885148815552938,nan,1.0132662884953108,nan,1.0134260059407658,nan,1,1,1.0001177350720454,1.0
C u D,3,-12.331173544587049,nan,-17.300915325426686,nan,-17.289845650088658,nan,1.1776541690524545,nan,1.1774016218071819,nan,1.0012312157947247,nan,1.0012384863243098,nan
C u S,3,-14.383464097200935,nan,-15.752568311264763,nan,-15.786102329390287,nan,1.1545477888356699,nan,1.1543535834801069,nan,1.001361026919538,nan,1.001356633772325,nan
C u T,3,-14.293193827266698,nan,-14.869517304547152,nan,-14.911230511379037,nan,1.1531847720251291,nan,1.1529940081855323,nan,1.0018802714187918,nan,1.0018292235643855,nan
D e C,3,-12.609565570131739,nan,-13.057455457237905,nan,-13.040812741688622,nan,1.154657466240159,nan,1.1544633553554446,nan,1.01784203578023,nan,1.0163677532304496,nan
D e D,3,-10.470682488701886,nan,-14.711563592101708,nan,-14.680748864606201,nan,1.178737429893044,nan,1.17848251889293,nan,1.0189454303411438,nan,1.017372006538578,nan
