word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.202074581871033,nan,-11.509192306227549,nan,-11.52403935816198,nan,1.107137515443909,nan,1.1070620520777668,nan,1.0019315517753522,nan,1.0018766899014546,nan
b i l,3,-10.285683526720375,nan,-11.346040830790624,nan,-11.35771923265747,nan,1.145157554968357,nan,1.144986617888147,nan,1.0075538253467262,nan,1.0069957927706255,nan
b i s,3,-10.118850233932964,nan,-11.446875629758388,nan,-11.457681561133619,nan,1.16680117817549,nan,1.1665758426094204,nan,1.002579022400609,nan,1.0024661145542597,nan
b R s,3,-11.386591386069412,nan,-12.448414036366561,nan,-12.461201215675352,nan,1.1059455976029584,nan,1.105872557188476,nan,1.0015489171465775,nan,1.0015278850789902,nan
b Y s,3,-10.941245375625442,nan,-11.815306020027814,nan,-11.828251458781573,nan,1.114244085862849,nan,1.1141502779276957,nan,1.0030950496520217,nan,1.002936037620098,nan
b ^ l,3,-9.883445585717771,nan,-10.380018456312303,nan,-10.392420443592334,nan,1.1614972140227153,nan,1.1612853858552927,nan,1.0108752829475933,nan,1.0100231559660409,nan
C @ l,3,-12.363821999651382,nan,-16.445521796541062,nan,-16.42631142979682,nan,1.1121776072646008,nan,1.1120891522827598,nan,1.0008390664037576,nan,1.0008814810436835,nan
C i D,3,-12.189140426002972,nan,-17.63894771305572,nan,-17.6171612838283,nan,1.1055536359349334,nan,1.1054819142650805,nan,1.0049722967690973,nan,1.00464502268686,nan
C i n,3,-11.562784454970485,nan,-13.889547528366364,nan,-13.902100137057916,nan,1.1561415671922017,nan,1.155942699210624,nan,1.002258767889397,nan,1.0021742891142968,nan
C R J,3,-15.7781401522264,nan,-17.582360370679513,nan,-17.528348758608704,nan,1.0210515894107286,nan,1.0211915952680581,nan,1.0000646078304691,nan,1.0001762500185536,nan
C R g,3,-13.827104415322275,nan,-17.867577861713432,nan,-17.82964941050099,nan,1.053420112475724,nan,1.0534787641795746,nan,1.0002584313218763,nan,1.0003527309880222,nan
C R T,3,-15.4193092606326,nan,-17.032932702096424,nan,-16.97414686051736,nan,1.0205347267669762,nan,1.0206760316926247,nan,1,1,1.0001174230287306,1.0
C ^ J,3,-14.108161059087351,nan,-18.073188312666442,nan,-18.06245502767373,nan,1.0982468290376184,nan,1.0981936486561483,nan,1.0001286587327114,nan,1.0002346151065462,nan
C ^ n,3,-11.160546513967882,nan,-12.763532469187181,nan,-12.772605259311007,nan,1.17248122624656,nan,1.17224146717777,nan,1.0125333621827695,nan,1.011529397152549,nan
C ^ S,3,-13.863101161659973,nan,-16.43320080644221,nan,-16.45862759881716,nan,1.0986344760204327,nan,1.0985803213377234,nan,1.0002578743936494,nan,1.0003522690861921,nan
C ^ C,3,-13.9270392624853,nan,-15.753694165775313,nan,-15.787115638908077,nan,1.0980530055462112,nan,1.0980003123153608,nan,1.000710129206933,nan,1.0007640580149526,nan
d i k,3,-9.93075988341292,nan,-12.177337143510812,nan,-12.185611564584942,nan,1.16686826932532,nan,1.1666429200849253,nan,1.0032938854974685,nan,1.0031166757060395,nan
d i s,3,-9.661943334295547,nan,-12.194607664920607,nan,-12.201861543150235,nan,1.1788207179620946,nan,1.1785653277668227,nan,1.001614081905273,nan,1.0015871739706432,nan
d i t,3,-8.981282700496047,nan,-10.926473446121143,nan,-10.934433322034725,nan,1.2606142313359157,nan,1.2601532635791575,nan,1.0017432975662113,nan,1.0017048279502891,nan
d E p,3,-11.142383140170628,nan,-16.330303523551464,nan,-16.27628421224822,nan,1.1187067496660237,nan,1.1186023585904052,nan,1.000387368518701,nan,1.000470154016753,nan
d R s,3,-10.929684486431993,nan,-12.44139604548363,nan,-12.452574180725687,nan,1.1179651373895632,nan,1.1178620423458783,nan,1.0016132465129333,nan,1.0015864811178978,nan
D i D,3,-10.04900364851804,nan,-15.898282017338975,nan,-15.865586321433788,nan,1.1842912628792708,nan,1.1840226592801473,nan,1.005551261066299,nan,1.00517238703703,nan
D i g,3,-10.419226485700896,nan,-13.959942491889668,nan,-13.957885721149392,nan,1.193013319992593,nan,1.1927227946155858,nan,1.0049051827616085,nan,1.0045841171388006,nan
D i C,3,-12.189140426002972,nan,-13.937250166384747,nan,-13.960213290683345,nan,1.1604509734361903,nan,1.1602422893632818,nan,1.0016101834076867,nan,1.001583940657831,nan
d I J,3,-12.06033700068197,nan,-14.647749200300073,nan,-14.643141382659437,nan,1.08689379160035,nan,1.086869100445632,nan,1.0075265358636218,nan,1.0069731595809397,nan
d I D,3,-9.739078426594988,nan,-14.519469268436845,nan,-14.49443267901366,nan,1.1105402575520233,nan,1.1104561340217098,nan,1.0085602611511266,nan,1.0079143914181066,nan
d Y p,3,-11.269106378733367,nan,-12.5522674506103,nan,-12.562850651663352,nan,1.0744481456132735,nan,1.0744545146479,nan,1.0018708424424694,nan,1.0018210962244443,nan
d Y t,3,-9.803677842188524,nan,-11.475983832751899,nan,-11.48486308711769,nan,1.2080571390232748,nan,1.2077276988974328,nan,1.0030337833909124,nan,1.0028799820412568,nan
d I T,3,-11.70150610908817,nan,-14.003011351912656,nan,-13.997967706362367,nan,1.0863769289565977,nan,1.0863535368701984,nan,1.0075265358636218,nan,1.0069731595809397,nan
d I Z,3,-16.407024268910543,nan,-inf,nan,-18.911439252004975,nan,1.0828234982807998,nan,1.082809037289094,nan,1.0075265358636218,nan,1.0069731595809397,nan
f i k,3,-10.966863473168535,nan,-13.24784008493221,nan,-13.25742871168989,nan,1.1362088015274026,nan,1.1360601156994665,nan,1.003615532329247,nan,1.0034096559005783,nan
f i s,3,-10.698046924051162,nan,-13.26511060634201,nan,-13.273678690255183,nan,1.1481612501641774,nan,1.1479825233813639,nan,1.0019357287370516,nan,1.001880154165182,nan
f R s,3,-11.965788076187609,nan,-14.17315266875373,nan,-14.172838329472675,nan,1.0873056695916459,nan,1.0872792379604195,nan,1.0016132465129333,nan,1.0015864811178978,nan
f R t,3,-11.28512744238811,nan,-13.584598201324923,nan,-13.58468797727129,nan,1.1690991829654667,nan,1.1688671737727543,nan,1.0012902073605878,nan,1.001292346168783,nan
f Y k,3,-11.789258614861012,nan,-12.411690237920325,nan,-12.424946631652304,nan,1.0836517092147617,nan,1.0836345510177419,nan,1.0024520344525776,nan,1.0023503081819354,nan
f ^ l,3,-10.46264227583597,nan,-12.010373631672794,nan,-12.021335080359005,nan,1.1428572860114028,nan,1.1426920666272362,nan,1.001740512925078,nan,1.0017025184411374,nan
g e s,3,-10.541888552952988,nan,-13.638943886580867,nan,-13.630927099339223,nan,1.1646140872244417,nan,1.1643942247312917,nan,1.0021966662359478,nan,1.0021175406827103,nan
g W d,3,-11.812819526129068,nan,-17.365370962878153,nan,-16.972566311553013,nan,1.1148972332754197,nan,1.1148017660924987,nan,1.00135676443985,nan,1.001352789815012,nan
g W r,3,-11.584712677599551,nan,-20.612973113473938,nan,-19.83200646331041,nan,1.1431954630208647,nan,1.143028871847477,nan,1.0000646078304691,nan,1.0001762500185536,nan
g W z,3,-12.345643055017968,nan,-19.92001571964173,nan,-19.143608545003804,nan,1.066570576084568,nan,1.0665965717894763,nan,1,1,1.0001174230287306,1.0
g i C,3,-12.559363263185828,nan,-13.732384746065117,nan,-13.762227078695588,nan,1.1067165602725446,nan,1.1066422380713667,nan,1.0004522548132833,nan,1.0005292119574911,nan
g i J,3,-12.74048505978788,nan,-14.824322738494224,nan,-14.840119939636583,nan,1.1069103837639518,nan,1.1068355744121543,nan,1.0004522548132833,nan,1.0005292119574911,nan
g i D,3,-10.419226485700896,nan,-15.693416597019345,nan,-15.667600109446031,nan,1.130556849715625,nan,1.1304226079882322,nan,1.0043933324718957,nan,1.00411765833669,nan
g R g,3,-12.057190475020201,nan,-15.484914963615592,nan,-15.459058611469446,nan,1.0784233262564158,nan,1.0784194579027264,nan,1.0002584313218763,nan,1.0003527309880222,nan
g u v,3,-11.836522935608524,nan,-18.905875622858122,nan,-18.625935426756833,nan,1.186179200176344,nan,1.1859059776223053,nan,1.0015505879312572,nan,1.001529270784481,nan
h e s,3,-10.75056668263884,nan,-11.360107942032805,nan,-11.371945119824467,nan,1.195852035546848,nan,1.1955540631617592,nan,1.006378075049071,nan,1.0059262832117155,nan
h e n,3,-10.414818875938078,nan,-11.647083595929306,nan,-11.656485868351597,nan,1.210324189571916,nan,1.2099898432738942,nan,1.0057966045748494,nan,1.0053968403033091,nan
h i n,3,-10.001548644354262,nan,-9.555579956446143,nan,-9.570212101238587,nan,1.2123827292952998,nan,1.2120432313642433,nan,1.0321719232448168,nan,1.0294214472064098,nan
h Y s,3,-11.1596915927475,nan,-11.58820675308241,nan,-11.600581227734525,nan,1.1453534829575913,nan,1.1451818865703836,nan,1.0048962719099825,nan,1.0045767267095154,nan
h ^ s,3,-9.93505851005242,nan,-10.52014521931281,nan,-10.533533025202534,nan,1.2142502343245902,nan,1.213906219219254,nan,1.0081976759385103,nan,1.0075822150615337,nan
J R T,3,-15.600431057234653,nan,-inf,nan,-19.19660439221033,nan,1.0250982953490562,nan,1.025228189158804,nan,1,1,1.0001174230287306,1.0
J ^ n,3,-11.341668310569933,nan,-9.646334677839068,nan,-9.697447425186766,nan,1.17704479482864,nan,1.1767936246439492,nan,1.017872699590296,nan,1.016392868381894,nan
k e d,3,-10.344030114996736,nan,-12.02834349893939,nan,-12.036818784079896,nan,1.1751669154752011,nan,1.1749206366856035,nan,1.0025163638189332,nan,1.002408904220843,nan
k R m,3,-11.358052268556625,nan,-14.448169285329495,nan,-14.44032576063675,nan,1.0971167411462759,nan,1.0970659961701141,nan,1.0003868115904744,nan,1.000469692114923,nan
l e l,3,-10.214724137013226,nan,-11.659905770188566,nan,-11.669706923770557,nan,1.164824172720227,nan,1.1646040639325674,nan,1.0017416267815313,nan,1.0017034422447983,nan
m @ b,3,-10.771013926573904,nan,-15.941279550557883,nan,-15.92440381782936,nan,1.1162958809719414,nan,1.116197438995822,nan,1.002510794536667,nan,1.0024042852025399,nan
m e p,3,-11.019532701631965,nan,-12.835108714259384,nan,-12.844101358281552,nan,1.116012387879867,nan,1.1159147209885865,nan,1.004507511070715,nan,1.0042228409669172,nan
m @ v,3,-11.69860766560235,nan,-12.695510970502049,nan,-12.70864007927239,nan,1.1057648046054858,nan,1.1056928311463667,nan,1.0029630493499504,nan,1.0028160741313004,nan
m @ z,3,-10.846930555825386,nan,-12.251712971596497,nan,-12.260220693523472,nan,1.115972841819596,nan,1.1158752117611763,nan,1.0021877553843217,nan,1.0021101502534253,nan
m R n,3,-10.75348791273849,nan,-14.128548957926505,nan,-14.103934394252965,nan,1.1235029810919674,nan,1.1233858522073241,nan,1.0014859801007883,nan,1.001470443794658,nan
m R s,3,-11.089235719439252,nan,-14.521024533076478,nan,-14.49601991936106,nan,1.1090308270668996,nan,1.108950072095189,nan,1.001162940948443,nan,1.0011763088455434,nan
m Y d,3,-10.83804572343624,nan,-10.888679202337357,nan,-10.903645590734367,nan,1.1195905893932072,nan,1.1194833834769298,nan,1.0057367306343066,nan,1.005341939479044,nan
m ^ b,3,-10.070319540378577,nan,-13.644860129477298,nan,-13.641218912596154,nan,1.1404837227217002,nan,1.1403247490574235,nan,1.0035500891064382,nan,1.00335013605801,nan
n e s,3,-9.545309744737644,nan,-13.306515507716668,nan,-13.308502563209665,nan,1.1752195635067402,nan,1.174973182223117,nan,1.0024539837013708,nan,1.0023519248383415,nan
n e n,3,-9.209561938036883,nan,-13.59349116161317,nan,-13.593043311736793,nan,1.189691717531808,nan,1.1894089623352522,nan,1.0018725132271493,nan,1.001822481929935,nan
n c d,3,-10.587240226136112,nan,-18.309436910530657,nan,-18.016034047309105,nan,1.1118005545239453,nan,1.111712859107938,nan,1.0000643293663558,nan,1.0001760190676385,nan
n W d,3,-10.816240717913724,nan,-12.71334842763529,nan,-12.719091894940615,nan,1.1255027095577181,nan,1.125380723584324,nan,1.0134506853147294,nan,1.0123688451296728,nan
n c G,3,-11.632055304741051,nan,-14.289018325802338,nan,-14.28039358949296,nan,1.0500354685955309,nan,1.0501030118436472,nan,1.0003227606882321,nan,1.0004113270269301,nan
n i n,3,-8.796291706453067,nan,-11.90962027441775,nan,-11.915649696796754,nan,1.191750257255192,nan,1.1914623504256012,nan,1.0021944385230415,nan,1.0021156930753892,nan
p e k,3,-10.934642003301123,nan,-12.657001175151404,nan,-12.66374374287847,nan,1.1443700844033247,nan,1.1442009957376036,nan,1.0063956182882094,nan,1.0059408331193704,nan
p e m,3,-11.019532701631967,nan,-13.594007099163797,nan,-13.598592337220406,nan,1.1393306736267386,nan,1.1391742508771279,nan,1.002066893646783,nan,1.001999424801234,nan
p e p,3,-11.450593356929094,nan,-13.633741692014313,nan,-13.639360343972735,nan,1.104507053003919,nan,1.104438154982303,nan,1.0011623840202162,nan,1.001175846943713,nan
