word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.080586119762401,nan,-15.399123884112942,nan,-15.411737078779696,nan,1.1636301887744132,nan,1.1634133658596804,nan,1.001679955070358,nan,1.0016470744064487,nan
g i T,3,-12.380424146512151,nan,-13.033033992306231,nan,-13.06454331352656,nan,1.1066089232895915,nan,1.1065348634116525,nan,1.000387747188833,nan,1.0004704921899852,nan
z i T,3,-12.4456577794067,nan,-17.57954150189375,nan,-17.526767722753092,nan,1.0798633915935647,nan,1.079856225561335,nan,1.000387747188833,nan,1.0004704921899852,nan
y c g,3,-11.69438344782023,nan,-16.290268296082704,nan,-16.017900645622245,nan,1.196670164518898,nan,1.1963705576573875,nan,1.0010337097556363,nan,1.00105866605105,nan
l R z,3,-11.627952610604739,nan,-12.783320509102294,nan,-12.783063481517315,nan,1.0817543620056465,nan,1.0817423994606792,nan,1.0000643417835542,nan,1.0001760535179522,nan
J Y p,3,-13.690183079059452,nan,-16.964385267722353,nan,-16.331294684196912,nan,1.0418703368209976,nan,1.041958186587897,nan,1.0012278660979708,nan,1.0012354230520033,nan
C ^ z,3,-12.22352263178061,nan,-13.927587157368476,nan,-13.939871479421644,nan,1.112095579299242,nan,1.112007580806359,nan,1.003424534672188,nan,1.0032355424716912,nan
C e J,3,-14.927289372933581,nan,-15.222384013878886,nan,-15.262987919077112,nan,1.0799290867470799,nan,1.0799217528674776,nan,1.0003866161971613,nan,1.0004695542126503,nan
z i S,3,-12.558303281051387,nan,-18.67257046295236,nan,-18.610339792226398,nan,1.080832759565647,nan,1.0808231565224644,nan,1.0006462453147216,nan,1.0007058555321446,nan
z u v,3,-11.901549343778084,nan,-21.57391323132206,nan,-21.370805230858895,nan,1.1596003917881783,nan,1.159393596209056,nan,1.0016153305388857,nan,1.001588233570909,nan
D Y p,3,-11.366466417343947,nan,-15.424001540079544,nan,-15.219032576261348,nan,1.1162563468505722,nan,1.1161581481090925,nan,1.001292207881525,nan,1.0012940293932096,nan
s R k,3,-11.004684206352712,nan,-13.647134811187687,nan,-13.64763421368461,nan,1.11793313082697,nan,1.117830241480907,nan,1.0005161480080236,nan,1.0005874703780637,nan
b R s,3,-11.385844458869741,nan,-12.441061124141196,nan,-12.453883605383947,nan,1.1059719917672932,nan,1.1058988644879175,nan,1.001549292267824,nan,1.0015282202637004,nan
T ^ z,3,-12.044612335443224,nan,-14.149057068124657,nan,-14.149416869655077,nan,1.114217220034744,nan,1.1141239150589086,nan,1.0032958511050796,nan,1.003118329789279,nan
S c G,3,-14.333491850162755,nan,-15.061340539968239,nan,-14.993371591313354,nan,1.0171945118630656,nan,1.0173442089943652,nan,1.0002584981258886,nan,1.0003528105189055,nan
J e J,3,-15.110091814564885,nan,-15.851504344376659,nan,-15.8758880881417,nan,1.0844295367920842,nan,1.0844109467365215,nan,1.0005152997642697,nan,1.0005867668950625,nan
D ^ z,3,-10.082608411696409,nan,-8.75415364985906,nan,-8.769006391767315,nan,1.1909820393738209,nan,1.1906967361965985,nan,1.014941713928397,nan,1.0137260775475865,nan
S Y p,3,-13.441115842735451,nan,-14.929915606023002,nan,-14.900727251858253,nan,1.040198741089996,nan,1.0402907717222523,nan,1.0012278660979708,nan,1.0012354230520033,nan
n W C,3,-13.05488814406993,nan,-13.974350510006706,nan,-13.975541787269732,nan,1.0629141401193742,nan,1.0629494671379165,nan,1.012031913524643,nan,1.0110768329822903,nan
l W C,3,-13.557590979492314,nan,-14.845604616357884,nan,-14.839030683411442,nan,1.0744867259493858,nan,1.0744931085154577,nan,1,1,1.000117447176746,1.0
S c d,3,-13.288183910954517,nan,-19.08353157600548,nan,-18.73077696904664,nan,1.0789109394189658,nan,1.0789054801862688,nan,1,1,1.000117447176746,1.0
g i J,3,-12.742136884480843,nan,-14.845246187845708,nan,-14.860344514141222,nan,1.107190544072841,nan,1.1071150219883301,nan,1.000452371720305,nan,1.000529333025525,nan
C u T,3,-14.281911191165896,nan,-15.11304733500516,nan,-15.146159860337175,nan,1.1571366822809068,nan,1.15693610042006,nan,1.0018729804210207,nan,1.001822893430067,nan
D i g,3,-10.418420222765336,nan,-13.953568031383188,nan,-13.95157137145344,nan,1.193122125099996,nan,1.1928312616854946,nan,1.0049063749293607,nan,1.0045851297797683,nan
w u T,3,-12.295783625915373,nan,-16.31166495824745,nan,-16.05902507358486,nan,1.263347303343013,nan,1.262881075729494,nan,1.001744296853912,nan,1.0017056807476548,nan
T c T,3,-15.234546471481735,nan,-16.770047071409962,nan,-16.714168461629274,nan,1.015711803906899,nan,1.015865219474612,nan,1.0000643417835542,nan,1.0001760535179522,nan
g u T,3,-12.510182740697982,nan,-17.469442323038948,nan,-17.216626940153887,nan,1.182339202532932,nan,1.1820755860867054,nan,1.0016156132868037,nan,1.0015884680652425,nan
f R s,3,-11.966212333193592,nan,-14.17122925635406,nan,-14.170918591133363,nan,1.0873272701522745,nan,1.0873007756018787,nan,1.0016136340513784,nan,1.0015868266049064,nan
J Y m,3,-13.256787233266529,nan,-16.420095442672718,nan,-15.787376308857205,nan,1.076832208347429,nan,1.0768321632526299,nan,1.0011632415664986,nan,1.0011765822164636,nan
n R z,3,-11.125249775182352,nan,-14.334044282237835,nan,-14.307589188926002,nan,1.070181776175635,nan,1.070198758083138,nan,1.0000643417835542,nan,1.0001760535179522,nan
m R n,3,-10.751402014823302,nan,-14.136688852555368,nan,-14.112041738437552,nan,1.122824369410752,nan,1.1227089113956548,nan,1.0014217396923872,nan,1.001411945558623,nan
C u S,3,-14.394556692810585,nan,-16.060612843992974,nan,-16.085738627386785,nan,1.1581060502529892,nan,1.1579030313811893,nan,1.0013559841692434,nan,1.0013521667457481,nan
S e J,3,-14.861024578240885,nan,-14.895606220461973,nan,-14.944311821922032,nan,1.0827579410610826,nan,1.0827435318708767,nan,1.0009656922491494,nan,1.0009970112835054,nan
