word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.190820402661915,nan,-11.46771472010703,nan,-11.48328676294917,nan,1.1083761355155572,nan,1.108295541575669,nan,1.0019187252648785,nan,1.0018637296316126,nan
b i l,3,-10.278433435776641,nan,-11.299970723238374,nan,-11.312219189678698,nan,1.144917455411244,nan,1.1447424229588248,nan,1.0075078862897704,nan,1.0069392321208792,nan
b i s,3,-10.109096519412015,nan,-11.389297530779661,nan,-11.400653967625754,nan,1.1658685694784205,nan,1.1656393315431421,nan,1.0025860372708146,nan,1.0024695534545347,nan
b R s,3,-11.367368536657567,nan,-12.364250604164846,nan,-12.377827541127907,nan,1.1062716087912714,nan,1.106195546120709,nan,1.001460615682667,nan,1.0014470870441403,nan
b Y s,3,-10.927692566633086,nan,-11.756948768711336,nan,-11.770548775222135,nan,1.1151252592702936,nan,1.1150264410726003,nan,1.0032489547294612,nan,1.0030717508927869,nan
b ^ l,3,-9.878587867551861,nan,-10.311355228450036,nan,-10.324388896313186,nan,1.1626908283877884,nan,1.1624701150637409,nan,1.010974107437233,nan,1.0100918949084168,nan
C @ l,3,-12.334579245942574,nan,-16.279759630206726,nan,-16.263214581120316,nan,1.113192876411273,nan,1.11309923861543,nan,1.0008628913330628,nan,1.0009042027535457,nan
C i D,3,-12.164921171170558,nan,-17.459117417926635,nan,-17.441153001861395,nan,1.1041738371450043,nan,1.1041036362517365,nan,1.0051174283460826,nan,1.0047680575969684,nan
C i n,3,-11.536075572995742,nan,-13.757314678747774,nan,-13.773550109998226,nan,1.1557202288975816,nan,1.1555166653083904,nan,1.0023904579436882,nan,1.0022916140115614,nan
C R J,3,-15.73201808772022,nan,-17.59665026558214,nan,-17.52569172525274,nan,1.0214308837741173,nan,1.0215737422980575,nan,1.0000665114732292,nan,1.000180840550709,nan
C R g,3,-13.79788663785752,nan,-17.78158186063558,nan,-17.741437524731115,nan,1.052558253245351,nan,1.0526205779090432,nan,1.0001995344196875,nan,1.0003016426768265,nan
C R T,3,-15.379075884211172,nan,-16.818190357600088,nan,-16.764603232567964,nan,1.020699257568597,nan,1.0208440089824147,nan,1,1,1.0001204394876504,1.0
C ^ J,3,-14.073900502249888,nan,-18.020023388059784,nan,-18.004673444344295,nan,1.0988012174378108,nan,1.0987452198254068,nan,1.0001986555102296,nan,1.0003009173998927,nan
C ^ n,3,-11.136230004770962,nan,-12.59980034048909,nan,-12.612878826587629,nan,1.173493601874126,nan,1.1732443574133065,nan,1.0124367665843899,nan,1.0114147130026954,nan
C ^ S,3,-13.82457513479384,nan,-16.214883199906176,nan,-16.245406378570223,nan,1.0990672633307272,nan,1.0990105773947314,nan,1.0002651669834586,nan,1.0003613184629514,nan
C ^ C,3,-13.873365298963272,nan,-15.446970368773536,nan,-15.486393126714814,nan,1.098468660071665,nan,1.0984135228637508,nan,1.0007307472960625,nan,1.0007841259043624,nan
d i k,3,-9.921686485688818,nan,-12.187221135986777,nan,-12.195761149485168,nan,1.16517257128714,nan,1.164945383197269,nan,1.0031242814228534,nan,1.0029578388975418,nan
d i s,3,-9.657703750487695,nan,-12.168504592285943,nan,-12.176104809436747,nan,1.176878590575467,nan,1.1766211162475544,nan,1.0016610290118124,nan,1.0016290155102503,nan
d i t,3,-8.980580865569397,nan,-10.9151650079147,nan,-10.923464562833232,nan,1.2572244502362586,nan,1.256759102183603,nan,1.0018605634314999,nan,1.0018102186994264,nan
d E p,3,-11.137007369913881,nan,-16.26744966329017,nan,-16.213489858848938,nan,1.1187915084461024,nan,1.1186842064698799,nan,1.0003981899299168,nan,1.0004821205890688,nan
d R s,3,-10.915975767733249,nan,-12.392850529437956,nan,-12.404643963990619,nan,1.117281629888318,nan,1.1171773308251214,nan,1.0015266877011673,nan,1.001507125468732,nan
D i D,3,-10.056631475153065,nan,-15.849544105045508,nan,-15.81696571333286,nan,1.1826284784952155,nan,1.182357072169406,nan,1.0056460044940838,nan,1.0052483649937023,nan
D i g,3,-10.431324924594474,nan,-13.898542369149727,nan,-13.896808246822228,nan,1.1906098552827113,nan,1.190317799249146,nan,1.0048478668153342,nan,1.0045235522369977,nan
D i C,3,-12.164921171170558,nan,-13.80359418160996,nan,-13.828373823520874,nan,1.159149928445332,nan,1.1589392666765044,nan,1.0015888046271066,nan,1.001563900147121,nan
d I J,3,-12.05028224826863,nan,-14.555316149952858,nan,-14.553009752093477,nan,1.0887442747531961,nan,1.0887143301675333,nan,1.0077964981830194,nan,1.0072049735894757,nan
d I D,3,-9.74145734896452,nan,-14.467246276792181,nan,-14.442714436149803,nan,1.111890267436934,nan,1.111800438698779,nan,1.0088606817546855,nan,1.008171390598415,nan
d Y p,3,-11.260366371655548,nan,-12.517731564415897,nan,-12.528924847776008,nan,1.074655400087992,nan,1.0746615361126899,nan,1.001791415229897,nan,1.001747641805566,nan
d Y t,3,-9.79917691279047,nan,-11.444782963983341,nan,-11.454133568892454,nan,1.2064811400281317,nan,1.2061462117130615,nan,1.0031881561677087,nan,1.003016064129799,nan
d I T,3,-11.697340044759581,nan,-13.90468961348069,nan,-13.901620176665126,nan,1.0880126485476758,nan,1.0879845968518904,nan,1.0077964981830194,nan,1.0072049735894757,nan
d I Z,3,-16.361826807904094,nan,-inf,nan,-18.85450569084861,nan,1.0844210289933025,nan,1.0844022696660074,nan,1.0077964981830194,nan,1.0072049735894757,nan
f i k,3,-10.962716759230924,nan,-13.204621996329006,nan,-13.215116270089457,nan,1.135372993228068,nan,1.1352222293865242,nan,1.0034546415153542,nan,1.0032580310205006,nan
f i s,3,-10.6987340240298,nan,-13.185905452628171,nan,-13.195459930041036,nan,1.1470790125163952,nan,1.1468979624368096,nan,1.0019913891043133,nan,1.0019292076332091,nan
f R s,3,-11.957006041275354,nan,-14.106549746345165,nan,-14.10594677317631,nan,1.087482051829246,nan,1.0874541770143764,nan,1.001394543664167,nan,1.0013870486195486,nan
f R t,3,-11.279883156357057,nan,-13.525659665971139,nan,-13.525422345977592,nan,1.1678279114900376,nan,1.1675921629504251,nan,1.0011284977712505,nan,1.0011454443673138,nan
f Y k,3,-11.781312806451997,nan,-12.290306747444452,nan,-12.304952349346998,nan,1.0846296830199411,nan,1.0846093389159823,nan,1.0024560905074593,nan,1.002351289797686,nan
f ^ l,3,-10.468225372169648,nan,-11.882059220661883,nan,-11.894360470047127,nan,1.143901271425763,nan,1.1437287459574084,nan,1.00185616888421,nan,1.0018065923147568,nan
g e s,3,-10.540828301331109,nan,-13.6200479604378,nan,-13.611100787126102,nan,1.1651422085202925,nan,1.1649148363645336,nan,1.0021948786165613,nan,1.002113674568588,nan
g W d,3,-11.809120814966414,nan,-17.247269079819922,nan,-16.855474593973973,nan,1.1156031361059535,nan,1.1155030500151153,nan,1.001463252411041,nan,1.001449262874942,nan
g W r,3,-11.584640186303654,nan,-20.488129585417862,nan,-19.708467355583203,nan,1.143072374549585,nan,1.1429012190478869,nan,1.0000665114732292,nan,1.000180840550709,nan
g W z,3,-12.341905523845629,nan,-19.780645983767613,nan,-19.00574307733279,nan,1.0675818524345202,nan,1.0676060087520132,nan,1,1,1.0001204394876504,1.0
g i C,3,-12.539614620611967,nan,-13.536279108074062,nan,-13.568549050784668,nan,1.1062095276014499,nan,1.106134637229539,nan,1.000465580312604,nan,1.0005432469290614,nan
