word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.084606075309376,nan,-15.366244804613512,nan,-15.378512845342978,nan,1.1622707100847112,nan,1.1620551364550176,nan,1.0017008155405263,nan,1.0016655728459332,nan
g i T,3,-12.38560222030106,nan,-13.013773299745854,nan,-13.046189842333668,nan,1.1058681336480145,nan,1.1057952988394912,nan,1.0003925930772755,nan,1.000475728579596,nan
z i T,3,-12.44595235563423,nan,-17.0860554659233,nan,-17.062875696335546,nan,1.0798545105536257,nan,1.0798473242050923,nan,1.0003925930772755,nan,1.000475728579596,nan
y c g,3,-11.704561439277965,nan,-16.266338976709072,nan,-15.994468256821147,nan,1.1941658139988296,nan,1.1938697998833123,nan,1.0010464937450672,nan,1.0010704764403153,nan
l R z,3,-11.616179257035775,nan,-12.754979541535576,nan,-12.755107984295758,nan,1.0822505567428358,nan,1.0822373322981664,nan,1.0001300221037577,nan,1.0002369929275523,nan
J Y p,3,-13.67699993614397,nan,-16.895813411849183,nan,-16.263985722984906,nan,1.0421900430675397,nan,1.0422780041013378,nan,1.001243211411372,nan,1.001249353906899,nan
C ^ z,3,-12.215879777035834,nan,-13.788994848352198,nan,-13.804912217386548,nan,1.1123848936573086,nan,1.1122952091182057,nan,1.0035324954401446,nan,1.0033314942367644,nan
C e J,3,-14.907415278813762,nan,-15.014133694591974,nan,-15.060193908716347,nan,1.080373924736386,nan,1.0803654264219889,nan,1.0005213517980318,nan,1.0005930051362282,nan
z i S,3,-12.545386252622418,nan,-18.14195571276587,nan,-18.109366335243223,nan,1.080966857605906,nan,1.0809568399341094,nan,1.000654321795459,nan,1.000713767141843,nan
z u v,3,-11.90088819566597,nan,-20.979804348942025,nan,-20.80693967082593,nan,1.1584819300841471,nan,1.1582758197323715,nan,1.0017008155405263,nan,1.0016655728459332,nan
D Y p,3,-11.36078551806601,nan,-15.69284723244579,nan,-15.423644026088471,nan,1.1160142402780489,nan,1.1159158972034473,nan,1.0013082224632508,nan,1.0013085150025625,nan
s R k,3,-10.998144294545376,nan,-13.626557892572354,nan,-13.627172561405434,nan,1.1189372783123999,nan,1.1188307251526517,nan,1.000522194053366,nan,1.0005937022260247,nan
b R s,3,-11.380930169749877,nan,-12.424394541665935,nan,-12.437533929573572,nan,1.1061224655366173,nan,1.106048011660934,nan,1.001632856594978,nan,1.0016039719359815,nan
T ^ z,3,-12.048264367631575,nan,-14.106055046546304,nan,-14.106654329636843,nan,1.1142661781204939,nan,1.1141717459371523,nan,1.0034024733363869,nan,1.0032131720454374,nan
