word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.020385275557267,nan,-12.793467554289442,nan,-12.813438533622604,nan,1.1079389180900667,nan,1.1078603662521815,nan,1.0011609136912156,nan,1.0011749460650412,nan
b O r,3,-13.323069098830759,nan,-inf,nan,-15.282020362053235,nan,1.1234372645008053,nan,1.1233196159287664,nan,1.0010960670535138,nan,1.0011159211565297,nan
b O s,3,-13.357755868551372,nan,-13.620229992965665,nan,-13.573741227726678,nan,1.0931538846940483,nan,1.0931126301590381,nan,1.0011609136912156,nan,1.0011749460650412,nan
b U n,3,-10.859550587106021,nan,-inf,nan,-16.984763605376813,nan,1.137532728534941,nan,1.137379949505124,nan,1.0005157962604772,nan,1.0005874730325204,nan
b u r,3,-10.212199930206998,nan,-11.862549843779416,nan,-11.871506736100857,nan,1.2721155365833328,nan,1.2716249731864677,nan,1.017373689432101,nan,1.0159320985437534,nan
b U s,3,-11.196921180100128,nan,-inf,nan,-17.206069798748203,nan,1.1227476951389226,nan,1.1226322134119804,nan,1.0005157962604772,nan,1.0005874730325204,nan
b W r,3,-11.57081867260733,nan,-16.326707998877964,nan,-15.944356714818893,nan,1.1436177931919724,nan,1.1434495278202064,nan,1.0007095919632982,nan,1.0007639308574785,nan
C e D,3,-12.598140463858883,nan,-18.15163699830419,nan,-18.125445334734255,nan,1.1033769334583414,nan,1.1033104344294207,nan,1.0016841520545368,nan,1.00165084673659,nan
C i D,3,-12.184854710990274,nan,-17.576125328511893,nan,-17.55558970017976,nan,1.1049887967723324,nan,1.104918254868034,nan,1.0048601488813578,nan,1.0045418334524956,nan
C O b,3,-15.780045227379695,nan,-20.807624638383388,nan,-20.12818687443096,nan,1.0220843229772936,nan,1.0222218597054562,nan,1,1,1.0001177413667346,1.0
