word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.076739165467153,nan,-14.943319016100029,nan,-14.962394736752605,nan,1.128073241101253,nan,1.127964325398516,nan,1.0012769178592964,nan,1.0012783714689333,nan
g i T,3,-12.365610108167083,nan,-12.980576796134882,nan,-13.017250974200198,nan,1.0951246474937686,nan,1.095087336255721,nan,1.0006903325876038,nan,1.0007398254249305,nan
z i T,3,-12.436193753503119,nan,-15.059805770736938,nan,-15.084840550100205,nan,1.07708857534948,nan,1.0770903357558042,nan,1.0008019085987614,nan,1.0008426743398744,nan
y c g,3,-11.692282001133577,nan,-15.540514180667362,nan,-15.275457375084494,nan,1.1535961297756165,nan,1.1534293143551018,nan,1.0012185202886354,nan,1.001224737786981,nan
l R z,3,-11.601038287621172,nan,-12.79226648050875,nan,-12.79218239367252,nan,1.0788794472799101,nan,1.0788760333562912,nan,1.000461961435124,nan,1.0005297091460819,nan
J Y p,3,-13.639880263373467,nan,-16.731885644129864,nan,-16.106232551683124,nan,1.041605973766566,nan,1.0416836325221612,nan,1.0012847465545434,nan,1.0012849991423742,nan
C ^ z,3,-12.15282730943014,nan,-13.452588331946533,nan,-13.479845383080196,nan,1.104967979528042,nan,1.1049077297732506,nan,1.0030288449791283,nan,1.0028873819275013,nan
C e J,3,-14.81079315665943,nan,-14.426427250629974,nan,-14.490485679432165,nan,1.0688552932300182,nan,1.068874876325284,nan,1.0005657087510347,nan,1.0006259303875848,nan
z i S,3,-12.503365281660184,nan,-15.922809894173247,nan,-15.938607213750004,nan,1.0776725510560907,nan,1.0776729844768902,nan,1.0008603061694223,nan,1.0008963080218265,nan
z u v,3,-11.898976077344592,nan,-18.493649735645157,nan,-18.371330073177763,nan,1.1301843698447638,nan,1.1300703854665992,nan,1.0015157272721051,nan,1.0014973246457028,nan
D Y p,3,-11.372346808438339,nan,-15.545910422834828,nan,-15.279057028998082,nan,1.0989428697808168,nan,1.0988963192965877,nan,1.0012847465545434,nan,1.0012849991423742,nan
s R k,3,-10.988148435671558,nan,-13.588297298989398,nan,-13.587071405056827,nan,1.1123902124839147,nan,1.1123111763250928,nan,1.0009187037400835,nan,1.0009499417037788,nan
b R s,3,-11.355342571051073,nan,-12.378359129733871,nan,-12.392467578766214,nan,1.0989830742956797,nan,1.098931800441198,nan,1.001675262593595,nan,1.001644970344678,nan
