word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.19896529212992,nan,-11.48963887994911,nan,-11.504525708627536,nan,1.106352270270329,nan,1.1062811687545842,nan,1.0020768466166554,nan,1.002010792828494,nan
b i l,3,-10.285986518147794,nan,-11.330116171676892,nan,-11.341844151874861,nan,1.1430511627771924,nan,1.1428892490070526,nan,1.0073200546642116,nan,1.0067892804804304,nan
b i s,3,-10.12069470119864,nan,-11.426171071427552,nan,-11.437019336646424,nan,1.1645057314509681,nan,1.164290522892403,nan,1.0025310884423866,nan,1.0024242473061782,nan
b R s,3,-11.38684076906964,nan,-12.422891984817625,nan,-12.435699819141137,nan,1.105059477379307,nan,1.104989141901339,nan,1.0015251975459565,nan,1.0015061515554164,nan
b Y s,3,-10.941032823134623,nan,-11.776912373100458,nan,-11.789948664640274,nan,1.1132654407969969,nan,1.1131751070328768,nan,1.0031009166256541,nan,1.002944017032808,nan
b ^ l,3,-9.883621095508422,nan,-10.378225663862716,nan,-10.390668337242557,nan,1.1601521399758896,nan,1.1599485503880438,nan,1.010981555924366,nan,1.0101401081200119,nan
C @ l,3,-12.360275540385155,nan,-16.264962612797913,nan,-16.250650989995982,nan,1.1107249996513167,nan,1.1106417225425087,nan,1.000826451655936,nan,1.0008689723805697,nan
C i D,3,-12.18699755051992,nan,-17.00077168373908,nan,-16.9970975096775,nan,1.1036208144492214,nan,1.1035555352790538,nan,1.0048419116372416,nan,1.0045295488655208,nan
C i n,3,-11.56137729906384,nan,-13.772800245627408,nan,-13.78861286078306,nan,1.1540645919857773,nan,1.1538740066166333,nan,1.0022239434359774,nan,1.002143330730263,nan
C R J,3,-15.7743139496883,nan,-17.379637620007383,nan,-17.330835984096794,nan,1.0209959638639279,nan,1.0211331351797093,nan,1.0000638528829577,nan,1.0001735927634001,nan
C R g,3,-13.821624113647609,nan,-17.59409663260939,nan,-17.560778976871937,nan,1.0528585524598029,nan,1.0529165746701552,nan,1.0002554115318307,nan,1.00034819409037,nan
C R T,3,-15.416629414548215,nan,-16.877120889924356,nan,-16.822129133761102,nan,1.0205489936832242,nan,1.020687275307098,nan,1,1,1.0001153923210766,1.0
C ^ J,3,-14.105802459177932,nan,-17.86999051527838,nan,-17.866221508255354,nan,1.0975431951342862,nan,1.0974938175517646,nan,1.000251775709317,nan,1.0003451683996596,nan
C ^ n,3,-11.159011876424469,nan,-12.708404653904662,nan,-12.719740931706983,nan,1.1711655691844745,nan,1.1709333079976245,nan,1.012447676354231,nan,1.0114614528834216,nan
C ^ S,3,-13.85561099564165,nan,-16.35919416825336,nan,-16.38708978027902,nan,1.0977347537831592,nan,1.0976849003543125,nan,1.0003156285922745,nan,1.0004033688419829,nan
C ^ C,3,-13.921798816200994,nan,-15.653926388404349,nan,-15.690231520364588,nan,1.0970962249535825,nan,1.0970479576791532,nan,1.0006987458900205,nan,1.0007525714959231,nan
d i k,3,-9.930201191011927,nan,-12.16001572896778,nan,-12.168308383056921,nan,1.164442840231852,nan,1.1642284049994402,nan,1.0032516492674894,nan,1.0030795806252875,nan
d i s,3,-9.662670933997454,nan,-12.181611514342832,nan,-12.18885206509302,nan,1.1761917706960625,nan,1.17594815022237,nan,1.00159147431059,nan,1.00156636912488,nan
d i t,3,-8.982113272112393,nan,-10.935775436367592,nan,-10.94370121186225,nan,1.2569018147545516,nan,1.2564577043624974,nan,1.001783032959463,nan,1.00174097045185,nan
d E p,3,-11.1353849021327,nan,-16.30039302930785,nan,-16.24642437071619,nan,1.1174119000942258,nan,1.1173139132500824,nan,1.0003180524739506,nan,1.000405385969123,nan
d R s,3,-10.928817001868453,nan,-12.406047120536085,nan,-12.417322300691346,nan,1.1167455166244014,nan,1.1166467692313058,nan,1.0015878384880763,nan,1.0015633434341698,nan
D i D,3,-10.049830862199473,nan,-15.408776995733291,nan,-15.390709542421227,nan,1.179736300013526,nan,1.1794859635565926,nan,1.0054056801163194,nan,1.0050442757742999,nan
D i g,3,-10.418311357456165,nan,-13.833537186231128,nan,-13.832586320773714,nan,1.1884202920957685,nan,1.188148383938758,nan,1.0048310041697004,nan,1.0045204717933895,nan
D i C,3,-12.18699755051992,nan,-13.948664446742159,nan,-13.971857760916723,nan,1.1561107333191898,nan,1.1559190845757008,nan,1.0015745071388595,nan,1.001552249234898,nan
d I J,3,-12.058879811728405,nan,-14.566221631931894,nan,-14.563516834299259,nan,1.0871830597452963,nan,1.0871591413144064,nan,1.0074542721122526,nan,1.0069212258927094,nan
d I D,3,-9.73770948043102,nan,-14.002692829944849,nan,-13.992490803262513,nan,1.1103616562589287,nan,1.1102801604226868,nan,1.0084759182395753,nan,1.0078524329698832,nan
d Y p,3,-11.26363036221871,nan,-12.527143904036679,nan,-12.537753350477711,nan,1.0742522909737047,nan,1.0742594859552004,nan,1.0019022551395131,nan,1.0018503113915058,nan
d Y t,3,-9.802451394048374,nan,-11.483132055198315,nan,-11.491960343214272,nan,1.2056615241005804,nan,1.2053422885029712,nan,1.0029877541497934,nan,1.002839718911003,nan
d I T,3,-11.701195276588319,nan,-13.968394722044541,nan,-13.963838205757838,nan,1.0867360895645926,nan,1.086713281441795,nan,1.0074542721122526,nan,1.0069212258927094,nan
d I Z,3,-16.40268523358209,nan,-inf,nan,-18.928065558981807,nan,1.083032622353048,nan,1.0830190139258715,nan,1.0074542721122526,nan,1.0069212258927094,nan
f i k,3,-10.966912379260119,nan,-13.243841709750265,nan,-13.25346809860768,nan,1.1339466522553492,nan,1.1338063614859433,nan,1.0035648539780884,nan,1.0033655400190535,nan
f i s,3,-10.699382122245646,nan,-13.265437495125317,nan,-13.274011780643779,nan,1.1456955827195596,nan,1.1455261067088731,nan,1.001904679021189,nan,1.001852328518646,nan
f R s,3,-11.965528190116645,nan,-14.155248995923985,nan,-14.155043916686973,nan,1.0862493286478985,nan,1.086224725717809,nan,1.0015878384880763,nan,1.0015633434341698,nan
f R t,3,-11.284970528231584,nan,-13.595167017585057,nan,-13.595299321271709,nan,1.1669593727063876,nan,1.1667342798579363,nan,1.0012047211903303,nan,1.0012141407802295,nan
f Y k,3,-11.7872505011961,nan,-12.406373635509372,nan,-12.419665839556274,nan,1.082706361601378,nan,1.082690945626417,nan,1.0024142901440123,nan,1.0023169234936629,nan
f ^ l,3,-10.462308516555426,nan,-12.021938593210942,nan,-12.0329283091546,nan,1.141341991244481,nan,1.141184134204514,nan,1.0018359783748796,nan,1.001790093822042,nan
g e s,3,-10.541207459503157,nan,-13.620106107914616,nan,-13.612121681250704,nan,1.1620012837953242,nan,1.1617921757972922,nan,1.0021709980205606,nan,1.002094207360071,nan
g W d,3,-11.807581148038022,nan,-17.348904801230702,nan,-16.956131960639905,nan,1.114001734941301,nan,1.11390948978818,nan,1.001340910542111,nan,1.0013376016098672,nan
g W r,3,-11.581640535661599,nan,-20.615142667960207,nan,-19.83418667240265,nan,1.140756092900563,nan,1.140597387877352,nan,1.0000638528829577,nan,1.0001735927634001,nan
g W z,3,-12.338479254343767,nan,-19.92284247041561,nan,-19.14643312837783,nan,1.0659843669571365,nan,1.0660114006162056,nan,1,1,1.0001153923210766,1.0
g i C,3,-12.55547804577661,nan,-13.71783965804923,nan,-13.748106294153644,nan,1.104367201260697,nan,1.104301355007719,nan,1.0004469701807037,nan,1.0005227954173401,nan
g i J,3,-12.73948168875355,nan,-14.772569506043979,nan,-14.78940048047598,nan,1.1048141714414008,nan,1.1047472148803303,nan,1.0004469701807037,nan,1.0005227954173401,nan
g i D,3,-10.418311357456165,nan,-15.177952207040363,nan,-15.166958075658147,nan,1.1279927679550332,nan,1.1278682339886108,nan,1.0042781431581635,nan,1.004014821956742,nan
g R g,3,-12.052937920583854,nan,-15.332246218402304,nan,-15.307706028758908,nan,1.0772305059656146,nan,1.077229273379712,nan,1.0002554115318307,nan,1.00034819409037,nan
g u v,3,-11.832924154662983,nan,-18.86231009853591,nan,-18.583044971278355,nan,1.1812377127498082,nan,1.1809843495577057,nan,1.0014686163080264,nan,1.001454002494514,nan
h e s,3,-10.752697231437068,nan,-11.35331314407692,nan,-11.365146848695256,nan,1.1923099952063978,nan,1.1920271985514848,nan,1.006180018316226,nan,1.0057544876002766,nan
h e n,3,-10.416740091710906,nan,-11.659964311902524,nan,-11.669322304860625,nan,1.2067407467548301,nan,1.2064221030100835,nan,1.005605342369607,nan,1.0052306836193665,nan
h i n,3,-10.004180877933997,nan,-9.567997818836592,nan,-9.582626659102333,nan,1.2087452569026627,nan,1.2084217280803828,nan,1.03135198152167,nan,1.0287375543505088,nan
h Y s,3,-11.160476139596138,nan,-11.57827818722146,nan,-11.590649773981024,nan,1.143074214700259,nan,1.1429114077622577,nan,1.004792222062888,nan,1.0044881977591449,nan
