word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.028518113378137,nan,-12.887069486624455,nan,-12.901272113005966,nan,1.1063449327908368,nan,1.1062722180175837,nan,1.0010550487184262,nan,1.0010781573450744,nan
b O r,3,-13.329121670197686,nan,-inf,nan,-15.271668126078248,nan,1.1205587692688241,nan,1.1204512756749023,nan,1.0010550487184262,nan,1.0010781573450744,nan
b O s,3,-13.35999126534292,nan,-13.621025204537542,nan,-13.577067080623328,nan,1.090684555432346,nan,1.090650158917264,nan,1.0011179418001872,nan,1.001135559331183,nan
b U n,3,-10.856927950012706,nan,-inf,nan,-16.95738319991699,nan,1.1348312481883418,nan,1.1346897514499759,nan,1.0005585552038727,nan,1.0006244882966453,nan
b u r,3,-10.201508671176473,nan,-11.85263497840069,nan,-11.861622541744842,nan,1.264790135246606,nan,1.2643343861256204,nan,1.0168428750253224,nan,1.015487442568473,nan
b U s,3,-11.188401101977487,nan,-inf,nan,-17.181193043791296,nan,1.1191708708298511,nan,1.119067692349656,nan,1.0005585552038727,nan,1.0006244882966453,nan
b W r,3,-11.571263752645311,nan,-16.322636430646273,nan,-15.940493129025436,nan,1.140170263093686,nan,1.1400154163385972,nan,1.000683509974953,nan,1.0007385989138076,nan
C e D,3,-12.608683119740274,nan,-17.735845229883818,nan,-17.72359357515928,nan,1.0998512637354816,nan,1.0997956897621803,nan,1.0015690014742578,nan,1.00154638684966,nan
C i D,3,-12.189126453762245,nan,-17.171076525925752,nan,-17.16425188753983,nan,1.1054988774635273,nan,1.105429666978624,nan,1.0049610709271433,nan,1.0046426273242555,nan
C O b,3,-15.797555531028626,nan,-20.697763513724972,nan,-19.997217098742425,nan,1.0228404357271583,nan,1.022971093257695,nan,1,1,1.0001141106171625,1.0
C O g,3,-15.822574927658506,nan,-21.203524355390627,nan,-20.351892569177124,nan,1.039129743903259,nan,1.0392205442897546,nan,1,1,1.0001141106171625,1.0
C O v,3,-16.738028489119596,nan,-inf,nan,-20.993101959424642,nan,1.0113938948466552,nan,1.0115525601000313,nan,1,1,1.0001141106171625,1.0
C u D,3,-12.319823645150892,nan,-17.241885754481693,nan,-17.234163418370557,nan,1.175876833151481,nan,1.1756376907527697,nan,1.0012545360654528,nan,1.0012593769191163,nan
C u S,3,-14.398977458444339,nan,-15.774387710124223,nan,-15.804569395611882,nan,1.1522290344093429,nan,1.1520477541193548,nan,1.0013174291472138,nan,1.001316778905225,nan
C u T,3,-14.286964779249292,nan,-15.023450925870442,nan,-15.059053992394812,nan,1.1512856381829277,nan,1.151106666221745,nan,1.0018205738013017,nan,1.0017759947940947,nan
D e C,3,-12.608683119740274,nan,-12.944515319379942,nan,-12.928739993679539,nan,1.151672803301737,nan,1.151493308087078,nan,1.0169445039690206,nan,1.015596953604918,nan
D e D,3,-10.460454235296849,nan,-14.371539070468263,nan,-14.350493737925191,nan,1.1756979605344413,nan,1.1754596798795367,nan,1.0181394725224797,nan,1.0166875913409836,nan
D e J,3,-12.789279900943413,nan,-11.675110249605313,nan,-11.71241250847677,nan,1.151609910219976,nan,1.151430568893904,nan,1.0169445039690206,nan,1.015596953604918,nan
D e S,3,-12.539608048590296,nan,-12.325333195264166,nan,-12.332497476222185,nan,1.1520501617923031,nan,1.1518697432461218,nan,1.0169445039690206,nan,1.015596953604918,nan
D i C,3,-12.189126453762245,nan,-13.822600569912144,nan,-13.848311683772156,nan,1.1573204170297826,nan,1.1571272853035217,nan,1.0016831481435942,nan,1.0016514838511066,nan
D i D,3,-10.04089756931882,nan,-15.435257139098077,nan,-15.41675338664348,nan,1.181345574262487,nan,1.1810936570959805,nan,1.0055196261310158,nan,1.0051530050037383,nan
D i S,3,-12.120051382612267,nan,-14.143425704287843,nan,-14.161640947940215,nan,1.1576977755203488,nan,1.1575037204625656,nan,1.0017460412253554,nan,1.0017088858372152,nan
D i T,3,-12.00803870341722,nan,-13.319729565751631,nan,-13.344332858061446,nan,1.1567543792939337,nan,1.1565626325649558,nan,1.0014944688983112,nan,1.0014792778927804,nan
d u r,3,-9.755687268147554,nan,-10.550047353075168,nan,-10.560957701419655,nan,1.2766779440510145,nan,1.2761935584542183,nan,1.0257797582872847,nan,1.0236534854401982,nan
