word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.077265950346728,nan,-15.370909114525642,nan,-15.383849557977854,nan,1.1616184815422919,nan,1.161410306207884,nan,1.0016632208081744,nan,1.0016318203568275,nan
g i T,3,-12.377734399269944,nan,-12.991334136077594,nan,-13.02313080015579,nan,1.1069246522222813,nan,1.106851328824127,nan,1.0004479713298349,nan,1.0005243139808284,nan
z i T,3,-12.446961778584669,nan,-17.428789306380896,nan,-17.3869886115462,nan,1.0801400659936016,nan,1.080132568977886,nan,1.0004479713298349,nan,1.0005243139808284,nan
y c g,3,-11.695252373401342,nan,-16.233039766576248,nan,-15.961254601898915,nan,1.194232294828958,nan,1.1939437579543553,nan,1.001023261765553,nan,1.0010486279616564,nan
l R z,3,-11.636442207721018,nan,-12.814656154621717,nan,-12.81382472922888,nan,1.0818830632238547,nan,1.0818711859430945,nan,1.0000633232016212,nan,1.0001738393688997,nan
J Y p,3,-13.69546618846077,nan,-16.948006643975617,nan,-16.31512447504391,nan,1.041714892144496,nan,1.0418018688095037,nan,1.0011519262767183,nan,1.0011658256155167,nan
C ^ z,3,-12.225844699959417,nan,-13.905747276902133,nan,-13.918840917897304,nan,1.1119481833163265,nan,1.1118619623531307,nan,1.0033264416163485,nan,1.003147561409447,nan
C e J,3,-14.927452837772693,nan,-15.107825001464423,nan,-15.151255218796749,nan,1.078368901792573,nan,1.078365763282848,nan,1.0003812846150084,nan,1.0004637580420077,nan
z i S,3,-12.563992085564186,nan,-18.48376089683802,nan,-18.433260511305544,nan,1.0810360086532713,nan,1.0810262810749176,nan,1.0006399590426214,nan,1.0006992716993797,nan
z u v,3,-11.905698069275715,nan,-21.241374320042528,nan,-21.051645744720343,nan,1.1579433378506665,nan,1.1577440655944284,nan,1.0015352289996502,nan,1.0015151818777934,nan
D Y p,3,-11.371719310638854,nan,-15.413880814818413,nan,-15.208964510610034,nan,1.114993477109752,nan,1.1149003627284653,nan,1.0012152494783395,nan,1.0012235856802079,nan
s R k,3,-11.007026719605918,nan,-13.655882392309678,nan,-13.656001993835456,nan,1.1180110595602004,nan,1.1179093098444264,nan,1.000509949126174,nan,1.0005809556958678,nan
b R s,3,-11.388147080567462,nan,-12.443816841461016,nan,-12.456677704739956,nan,1.1054678704102185,nan,1.105396564100602,nan,1.0015318654864447,nan,1.0015123860036643,nan
T ^ z,3,-12.044727237230266,nan,-14.178802234956969,nan,-14.178074404208648,nan,1.1140328327162001,nan,1.113941488473239,nan,1.0031997952131064,nan,1.0030320412800644,nan
S c G,3,-14.332935908887,nan,-15.113990192678568,nan,-15.045587494208359,nan,1.0176404280413447,nan,1.0177868989827283,nan,1.0001919877127863,nan,1.0002910370227598,nan
J e J,3,-15.11049667701047,nan,-15.849938461957784,nan,-15.87079066791386,nan,1.0827908853680626,nan,1.082776879295199,nan,1.0004446078166296,nan,1.0005215181066989,nan
D ^ z,3,-10.085141661375278,nan,-8.754672142323253,nan,-8.76955942024318,nan,1.189648751857072,nan,1.1893715722844433,nan,1.0150412339162473,nan,1.0138331733773323,nan
S Y p,3,-13.448335193473358,nan,-14.946308289273809,nan,-14.916991421330662,nan,1.0398829275203647,nan,1.0399744064615297,nan,1.0011519262767183,nan,1.0011658256155167,nan
n W C,3,-13.053814944538122,nan,-13.909041413404944,nan,-13.911107518492264,nan,1.0632102293642076,nan,1.0632446497519832,nan,1.0119047619047619,nan,1.0109749714661675,nan
l W C,3,-13.556120895253535,nan,-14.806023394427475,nan,-14.799999077810533,nan,1.074644215466545,nan,1.0746505354410625,nan,1,1,1.0001160793042085,1.0
S c d,3,-13.289486732009804,nan,-19.100111368693163,nan,-18.747211485812418,nan,1.0793324797500354,nan,1.0793253605211899,nan,1,1,1.0001160793042085,1.0
g i J,3,-12.741895701236873,nan,-14.697446957918785,nan,-14.715608636894956,nan,1.1074366194563783,nan,1.1073620214510023,nan,1.0004479713298349,nan,1.0005243139808284,nan
C u T,3,-14.275808877078296,nan,-15.0528896958096,nan,-15.087111761140822,nan,1.1553645333426708,nan,1.1551717278475588,nan,1.0018531904130374,nan,1.0018051005509014,nan
D i g,3,-10.418148823414956,nan,-13.931421519040953,nan,-13.929587490958577,nan,1.1918674872642876,nan,1.1915843639839059,nan,1.0048515800763826,nan,1.004538276360644,nan
w u T,3,-12.288313744611536,nan,-16.275545719260297,nan,-16.023231160520517,nan,1.2601655440817738,nan,1.2597151773402804,nan,1.0017265440097953,nan,1.001689580421519,nan
T c T,3,-15.227506513585963,nan,-16.73349922367032,nan,-16.67804507221715,nan,1.0161751199259283,nan,1.0163252227630686,nan,1.0000633232016212,nan,1.0001738393688997,nan
g u T,3,-12.506768437748592,nan,-17.410899932098644,nan,-17.158492992796404,nan,1.1806961821108326,nan,1.1804411210040273,nan,1.0015998976065532,nan,1.0015740602921364,nan
f R s,3,-11.97087965606975,nan,-14.207453713267466,nan,-14.206702949923807,nan,1.0868955393931627,nan,1.0868698768487275,nan,1.0015951886880659,nan,1.0015701460683555,nan
J Y m,3,-13.26214924178963,nan,-16.41545582372342,nan,-15.782941510505772,nan,1.0762086845417826,nan,1.0762097845452203,nan,1.0012159221809804,nan,1.0012241448550336,nan
n R z,3,-11.134136257005602,nan,-14.385847075333873,nan,-14.35719608621319,nan,1.0704490771215174,nan,1.0704653002540152,nan,1.0000633232016212,nan,1.0001738393688997,nan
m R n,3,-10.757822529016188,nan,-14.1306457820397,nan,-14.106068169605255,nan,1.1227096525962978,nan,1.1225955116679784,nan,1.0014079098937667,nan,1.001399102573585,nan
C u S,3,-14.392839184057813,nan,-15.97205974510766,nan,-15.99895980949262,nan,1.1562604760023405,nan,1.1560654399445904,nan,1.0013412231789405,nan,1.0013385466347646,nan
S e J,3,-14.863365682023058,nan,-14.83968356150947,nan,-14.890098913355493,nan,1.0809589207439312,nan,1.0809494169472251,nan,1.000951193429598,nan,1.000983598624229,nan
T ^ S,3,-13.68045314149561,nan,-16.60453302606889,nan,-16.618078515372943,nan,1.1006576887254156,nan,1.1005996435961245,nan,1.0001279918085242,nan,1.0002327177832426,nan
v e D,3,-11.752290749434025,nan,-19.958412193416198,nan,-19.88994160766042,nan,1.1011621649441357,nan,1.10110225343803,nan,1.0013439139895046,nan,1.001340783334068,nan
C ^ Z,3,-18.451062977493624,nan,-inf,nan,-22.21794381063324,nan,1.094093326027193,nan,1.0940515569908582,nan,1.0001266464032421,nan,1.000231599433591,nan
n c T,3,-12.642751500126757,nan,-16.748300699083416,nan,-16.68340636370631,nan,1.0497190239057137,nan,1.0497866885139036,nan,1.0000633232016212,nan,1.0001738393688997,nan
s R p,3,-11.526612741468064,nan,-13.559932272187808,nan,-13.561281174426243,nan,1.0783975948219435,nan,1.0783944678399577,nan,1.0006379409346982,nan,1.0006975941749021,nan
D i D,3,-10.046486224160521,nan,-15.742168968944938,nan,-15.715582220364654,nan,1.1834200279016869,nan,1.183157935640465,nan,1.0056195309275282,nan,1.0052381072348495,nan
S c g,3,-13.756613843964928,nan,-16.606050472747107,nan,-16.53027406805416,nan,1.0492544047468355,nan,1.049322168692272,nan,1.0009599385639318,nan,1.0009908678969652,nan
C i S,3,-14.263805145579164,nan,-16.001329253432605,nan,-16.029044424614423,nan,1.0824889461137892,nan,1.0824756477646902,nan,1.001209867857211,nan,1.001219112281601,nan
g i D,3,-10.418148823414956,nan,-15.477976530627156,nan,-15.458724296036287,nan,1.1310511081291033,nan,1.1309177188656208,nan,1.004479713298349,nan,1.0041984260704067,nan
T c S,3,-15.34453682056548,nan,-15.406173646625382,nan,-15.420839420199425,nan,1.017071062585598,nan,1.0172189348601002,nan,1.000511294531456,nan,1.0005820740455196,nan
z u T,3,-12.575995817063317,nan,-19.937536273157903,nan,-19.773150949377555,nan,1.1539115958821526,nan,1.1537223611577863,nan,1.0016632208081744,nan,1.0016318203568275,nan
S Y m,3,-13.015018246802217,nan,-14.413757469021611,nan,-14.384808456792523,nan,1.0743767199176513,nan,1.0743823221972464,nan,1.0012159221809804,nan,1.0012241448550336,nan
D ^ v,3,-10.933539510873505,nan,-10.006372449765237,nan,-10.02337071258161,nan,1.1794094071751315,nan,1.1791577197469394,nan,1.0124813977457623,nan,1.0115004037966475,nan
t W C,3,-12.706412814369592,nan,-16.009322197726238,nan,-16.004201016132935,nan,1.0443220423774735,nan,1.0444028827849405,nan,1.0001266464032421,nan,1.000231599433591,nan
g Y b,3,-11.604916248992687,nan,-17.574855070701144,nan,-17.4830599710032,nan,1.0688321600505948,nan,1.068852294054483,nan,1.0014079098937667,nan,1.001399102573585,nan
r c S,3,-13.061621833528474,nan,-15.140808737679318,nan,-15.162892877261381,nan,1.0204823070581186,nan,1.0206217957839139,nan,1.000574617733077,nan,1.000639834110211,nan
