word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.199307768041857,nan,-11.463464850326783,nan,-11.4784358582057,nan,1.1065583651390976,nan,1.1064856678585289,nan,1.002093773345043,nan,1.0020255049712683,nan
b i l,3,-10.280814875954642,nan,-11.326694407897593,nan,-11.338400954231766,nan,1.145391542129239,nan,1.1452225104775497,nan,1.0075935554876527,nan,1.0070377516660658,nan
b i s,3,-10.113577955703462,nan,-11.444728282057703,nan,-11.455518028272643,nan,1.1668013970535056,nan,1.1665791342184653,nan,1.002608574341107,nan,1.0024944152261774,nan
b R s,3,-11.38247544255212,nan,-12.438160626483494,nan,-12.451001229873505,nan,1.1052512450778216,nan,1.1051806123310293,nan,1.0015303194743137,nan,1.0015110306112733,nan
b Y s,3,-10.94096376910069,nan,-11.816617234377695,nan,-11.82957675730627,nan,1.113293291683698,nan,1.1132028471866922,nan,1.0030547708178457,nan,1.0029011748709376,nan
b ^ l,3,-9.878901045290522,nan,-10.366065571230196,nan,-10.378495597143571,nan,1.160842403324781,nan,1.1606353081529968,nan,1.0108992192488417,nan,1.0100570809936604,nan
C @ l,3,-12.368674026623413,nan,-16.381943952701658,nan,-16.3651587261634,nan,1.1106877555057872,nan,1.110604068668964,nan,1.0008290697518563,nan,1.0008717671925955,nan
C i D,3,-12.193992788346169,nan,-17.566331451153985,nan,-17.54839114181474,nan,1.1061260325151017,nan,1.1060539037653532,nan,1.0049796998288416,nan,1.004654953862197,nan
C i n,3,-11.567390299515456,nan,-13.928458025946988,nan,-13.941238546312425,nan,1.1560397539952576,nan,1.1558435250837262,nan,1.0022315691967716,nan,1.002150294029951,nan
C R J,3,-15.782926819522682,nan,-17.44548869762438,nan,-17.39480580290236,nan,1.0209291751006755,nan,1.0210674690894435,nan,1.0000639100146993,nan,1.0001742558708424,nan
C R g,3,-13.832081435280639,nan,-17.809653156554944,nan,-17.773108101099908,nan,1.0530759124944251,nan,1.0531342802586388,nan,1.0002556400587972,nan,1.0003489995800687,nan
C R T,3,-15.42625187558395,nan,-17.096593941004613,nan,-17.029148543419677,nan,1.0204178949830809,nan,1.0205574601642873,nan,1,1,1.000116007967767,1.0
C ^ J,3,-14.112115502009907,nan,-17.88308164271476,nan,-17.87840852295031,nan,1.0979301882719015,nan,1.0978787886523265,nan,1.0001905564179414,nan,1.000289776000225,nan
C ^ n,3,-11.165476468851338,nan,-12.732438539891795,nan,-12.74255479447117,nan,1.1714906151907996,nan,1.1712563227591732,nan,1.0127169192990049,nan,1.0117063650030207,nan
C ^ S,3,-13.86755785619188,nan,-16.324045361657728,nan,-16.35168738185743,nan,1.0983136483600973,nan,1.0982612953461934,nan,1.0002544664326407,nan,1.0003480239033005,nan
C ^ C,3,-13.935340806176118,nan,-15.616937384376222,nan,-15.653202697309322,nan,1.0977384582278036,nan,1.0976875353053928,nan,1.0006379265208365,nan,1.0006975113217533,nan
d i k,3,-9.926925505716921,nan,-12.167809376472638,nan,-12.176096390082797,nan,1.166988698210293,nan,1.1667662938993302,nan,1.00338488352675,nan,1.0032011954772309,nan
d i s,3,-9.659223140840021,nan,-12.225840351624022,nan,-12.233010118394468,nan,1.1781090407679717,nan,1.1778589880214771,nan,1.0015954031151697,nan,1.0015702541911171,nan
d i t,3,-8.978215391647513,nan,-10.95164188610282,nan,-10.959548353787302,nan,1.2612559698917656,nan,1.2607991894750028,nan,1.001851043173967,nan,1.0018032458034192,nan
d E p,3,-11.141856183404716,nan,-16.303581200420172,nan,-16.249659650010624,nan,1.1176127160470795,nan,1.1175128528471894,nan,1.0003189632604184,nan,1.00040675964476,nan
d R s,3,-10.928120627688678,nan,-12.460979525865135,nan,-12.472095488934897,nan,1.1165588887922877,nan,1.1164604661340412,nan,1.0015303194743137,nan,1.0015110306112733,nan
D i D,3,-10.050730939852098,nan,-15.827613663512164,nan,-15.798208982707834,nan,1.1836370874740405,nan,1.183374465867565,nan,1.0055496086434312,nan,1.0051747944444185,nan
D i g,3,-10.419922099937912,nan,-13.958180070172595,nan,-13.956138992189064,nan,1.192137119429048,nan,1.1918533642482865,nan,1.0049744185111376,nan,1.004650563316739,nan
D i C,3,-12.193992788346169,nan,-13.859118339950196,nan,-13.883589259356066,nan,1.1597986519912005,nan,1.1595952997321575,nan,1.0015871877320743,nan,1.0015634244537381,nan
d I J,3,-12.058278650902526,nan,-14.542074732195177,nan,-14.539702952434572,nan,1.0868874139492317,nan,1.086863433831229,nan,1.0074721377912867,nan,1.006931695601337,nan
d I D,3,-9.73824210657467,nan,-14.425213845921396,nan,-14.403743223233047,nan,1.1105341193879739,nan,1.1104513466197028,nan,1.0084946980264755,nan,1.0078636620505448,nan
d Y p,3,-11.272402634190138,nan,-12.540770110227017,nan,-12.551371080780289,nan,1.0738563837269173,nan,1.0738643151679523,nan,1.0018475222954975,nan,1.001800318773114,nan
d Y t,3,-9.805601205044741,nan,-11.521979595600953,nan,-11.530736151435054,nan,1.207747864521958,nan,1.2074229024432297,nan,1.0029339925453857,nan,1.0027905331253972,nan
d I T,3,-11.701603706963795,nan,-13.948057517542424,nan,-13.945204120523037,nan,1.0863761338316371,nan,1.086353424906073,nan,1.0074721377912867,nan,1.006931695601337,nan
d I Z,3,-16.40208407275621,nan,-inf,nan,-18.92195125421652,nan,1.0827971730084762,nan,1.0827833624299794,nan,1.0074721377912867,nan,1.006931695601337,nan
f i k,3,-10.963297699918085,nan,-13.255830577765426,nan,-13.265289886405764,nan,1.1366033539272862,nan,1.1364556253001747,nan,1.0036381763332345,nan,1.003432235735996,nan
f i s,3,-10.695595335041185,nan,-13.313861552916809,nan,-13.322203614717434,nan,1.1477236964849649,nan,1.147548319422322,nan,1.0018486959216542,nan,1.0018012944498822,nan
f R s,3,-11.964492821889841,nan,-14.237742215447238,nan,-14.236765975849782,nan,1.0861735445092808,nan,1.086149797534886,nan,1.0015936426759349,nan,1.0015687906759645,nan
f R t,3,-11.283485072697335,nan,-13.646390750286198,nan,-13.645874480323922,nan,1.1693204736330747,nan,1.1690899989884111,nan,1.001210182587739,nan,1.0012193032575116,nan
f Y k,3,-11.790683513315313,nan,-12.421642120805183,nan,-12.434777915843778,nan,1.0830952485574785,nan,1.0830793382684016,nan,1.0024227124277914,nan,1.0023245499007933,nan
f ^ l,3,-10.460918424628245,nan,-12.04223101998712,nan,-12.053011854784463,nan,1.1417647027562403,nan,1.1416044933568534,nan,1.0016540318121647,nan,1.0016241115487345,nan
g e s,3,-10.540877041367047,nan,-13.627440081219579,nan,-13.619475136382771,nan,1.1630657841809187,nan,1.1628527229884424,nan,1.0022368505144756,nan,1.002154684575409,nan
g W d,3,-11.8134154278655,nan,-17.342062504530798,nan,-16.94939185725635,nan,1.1144552774198284,nan,1.1143619153790325,nan,1.0013421103086855,nan,1.001339213932352,nan
g W r,3,-11.588270284874794,nan,-20.59276505813822,nan,-19.811933070521743,nan,1.1422561338140254,nan,1.1420936506844004,nan,1.0000639100146993,nan,1.0001742558708424,nan
g W z,3,-12.351714949424322,nan,-19.899868738286838,nan,-19.12363670827581,nan,1.0668423164688474,nan,1.0668673342238624,nan,1,1,1.000116007967767,1.0
g i C,3,-12.56318394843198,nan,-13.616764417727847,nan,-13.64842685321152,nan,1.1073033898307456,nan,1.1072290510712464,nan,1.000447370102895,nan,1.0005237432892953,nan
g i J,3,-12.73995864426577,nan,-14.709419742874639,nan,-14.727479445415398,nan,1.1074951198748435,nan,1.10742030441818,nan,1.000447370102895,nan,1.0005237432892953,nan
g i D,3,-10.419922099937912,nan,-15.585259741289812,nan,-15.563046576563288,nan,1.1311418253135856,nan,1.1310082172066538,nan,1.004409791014252,nan,1.0041351132799756,nan
g R g,3,-12.058010746872384,nan,-15.433927254686822,nan,-15.408494970403266,nan,1.078091705292909,nan,1.0780885936999394,nan,1.0003189632604184,nan,1.00040675964476,nan
g u v,3,-11.835658058481524,nan,-18.73688589370142,nan,-18.458985468489917,nan,1.1844668450029854,nan,1.1842023236767594,nan,1.0015977503674827,nan,1.001572205544654,nan
h e s,3,-10.74951098341357,nan,-11.379955280260841,nan,-11.391726607430193,nan,1.193261614882119,nan,1.1929743437584972,nan,1.0062895354182244,nan,1.0058513287156503,nan
h e n,3,-10.415400308942296,nan,-11.66816350897944,nan,-11.677465202847154,nan,1.2077052782041615,nan,1.2073820958941595,nan,1.0056504352712314,nan,1.0052688496848954,nan
h i n,3,-10.001953553153724,nan,-9.575479069976932,nan,-9.590083884943848,nan,1.2112513774949418,nan,1.2109194592950816,nan,1.0318668275554341,nan,1.0291820043054665,nan
h Y s,3,-11.163450041022225,nan,-11.614003184985396,nan,-11.626300846617312,nan,1.1432996088030916,nan,1.143135420127646,nan,1.0048278204632357,nan,1.0045184566822931,nan
h ^ s,3,-9.934150396960879,nan,-10.53228233317019,nan,-10.545665864902595,nan,1.2122585753684412,nan,1.2119245048348661,nan,1.0078456746679803,nan,1.0072678162480624,nan
J R T,3,-15.60302657141774,nan,-inf,nan,-19.291748496589992,nan,1.024776707364635,nan,1.0249055602336048,nan,1,1,1.000116007967767,1.0
J ^ n,3,-11.342251164685127,nan,-9.664863177727216,nan,-9.716002055743013,nan,1.1758494275723537,nan,1.1756044228284908,nan,1.017846098630312,nan,1.0163849302430137,nan
k e d,3,-10.340372261505493,nan,-12.02517541878889,nan,-12.03363347804956,nan,1.1734531963546095,nan,1.1732145390325552,nan,1.0024854488163342,nan,1.0023818221271004,nan
k R m,3,-11.35533952845606,nan,-14.42840272621398,nan,-14.420522574037166,nan,1.0966595993481107,nan,1.0966105525465515,nan,1.0003816996489612,nan,1.0004640318710671,nan
l e l,3,-10.213667907424153,nan,-11.654771855535103,nan,-11.664543210823455,nan,1.1637026759401645,nan,1.163488663366249,nan,1.0017197022660989,nan,1.001683822966963,nan
m @ b,3,-10.766506453686246,nan,-15.803867520457429,nan,-15.789112370671837,nan,1.1152837455015887,nan,1.11518942862478,nan,1.0026003589580117,nan,1.0024875854887985,nan
m e p,3,-11.017980112471964,nan,-12.852312897882399,nan,-12.861136456404811,nan,1.1151007650428366,nan,1.1150070386601683,nan,1.0043786899211056,nan,1.0041092578456121,nan
m @ v,3,-11.698189161621006,nan,-12.536731793062058,nan,-12.551885660573031,nan,1.1044829530174065,nan,1.1044154900808556,nan,1.0030477290609068,nan,1.0028953208103268,nan
m @ z,3,-10.850451160381626,nan,-12.248039080106608,nan,-12.256583556005726,nan,1.1146446453545957,nan,1.114551917468335,nan,1.0022808088845152,nan,1.002196345973421,nan
m R n,3,-10.753526489107886,nan,-14.141437407262377,nan,-14.11676713383938,nan,1.1222849273512223,nan,1.1221720181310686,nan,1.0013421103086855,nan,1.001339213932352,nan
m R s,3,-11.08763716357916,nan,-14.538068363380436,nan,-14.513008886765515,nan,1.1078412640291797,nan,1.1077642659954061,nan,1.0011503802645874,nan,1.0011644702231257,nan
m Y d,3,-10.839601319834529,nan,-10.878686863914528,nan,-10.8937202785505,nan,1.1182479811789303,nan,1.1181452921299164,nan,1.005596501078862,nan,1.0052188950343515,nan
m ^ b,3,-10.064656490636622,nan,-13.47435376166642,nan,-13.473582151087125,nan,1.140233086940292,nan,1.1400773068384116,nan,1.003637002707078,nan,1.0034312600592277,nan
n e s,3,-9.545083392450522,nan,-13.289423441099583,nan,-13.291444858365168,nan,1.1738680583439003,nan,1.1736284492471856,nan,1.0024901433209599,nan,1.002385724834174,nan
n e n,3,-9.210972717979248,nan,-13.577631669818183,nan,-13.577183453782126,nan,1.188311721665943,nan,1.188036201382848,nan,1.001851043173967,nan,1.0018032458034192,nan
n c d,3,-10.586175553884793,nan,-18.341826424237006,nan,-18.046804841404278,nan,1.112339618452111,nan,1.1122515321058448,nan,1.0000633232016212,nan,1.000173768032458,nan
n W d,3,-10.817621778948975,nan,-12.684451708032142,nan,-12.690311698755908,nan,1.12525755158281,nan,1.1251376416377759,nan,1.0132468722134473,nan,1.012198106094311,nan
n c G,3,-11.634934063091842,nan,-14.327326355159649,nan,-14.317026403409386,nan,1.0513055544142764,nan,1.0513692166653248,nan,1.0003189632604184,nan,1.00040675964476,nan
n i n,3,-8.797525962190676,nan,-11.897549317123271,nan,-11.903581281654555,nan,1.1918578209567232,nan,1.1915735647837702,nan,1.0022948923983928,nan,1.0022080540946423,nan
p e k,3,-10.932690111751587,nan,-12.67519576732552,nan,-12.681597651508188,nan,1.1434805016358742,nan,1.1433158924997946,nan,1.0065176478731725,nan,1.0060563184046984,nan
p e m,3,-11.017980112471964,nan,-13.590913773977993,nan,-13.595235645255077,nan,1.138175970415832,nan,1.138024549901299,nan,1.0021717668736199,nan,1.002095460995565,nan
p e p,3,-11.450781426827575,nan,-13.67024568912522,nan,-13.675388115049817,nan,1.103856292522306,nan,1.1037902008001899,nan,1.0011492066384309,nan,1.0011634945463572,nan
p i m,3,-10.604533356683392,nan,-13.055259519942851,nan,-13.063604529541115,nan,1.1417220697066124,nan,1.1415619133022212,nan,1.0030512499393762,nan,1.0028982478406323,nan
p R b,3,-12.168269122505011,nan,-14.725703313194119,nan,-14.726822535669875,nan,1.0519876012485354,nan,1.0520491494155502,nan,1.0005089328652814,nan,1.0005800398388338,nan
p R d,3,-11.71391430764157,nan,-12.33783158106758,nan,-12.35256632023404,nan,1.0989614620525234,nan,1.0989062194142751,nan,1.0007006629093793,nan,1.0007547835480604,nan
p R v,3,-13.099951830439771,nan,-15.45872119636851,nan,-15.416704468417256,nan,1.0411868087643532,nan,1.0412752108716257,nan,1.0003811128358828,nan,1.000463544032683,nan
r e m,3,-10.200517119235165,nan,-14.322892108078962,nan,-14.324015280182184,nan,1.1275000386407215,nan,1.1273748555286227,nan,1.002298413276862,nan,1.0022109811249476,nan
r i g,3,-10.095760972294567,nan,-14.42642741440305,nan,-14.424892484321154,nan,1.1205009855061168,nan,1.1203932848481983,nan,1.0049110953095166,nan,1.0045928032520477,nan
r i s,3,-9.434077997849315,nan,-13.178567883963861,nan,-13.180223399013379,nan,1.1474710117092226,nan,1.1472962556501876,nan,1.0024186047362438,nan,1.0023211350321035,nan
r i t,3,-8.753070248656808,nan,-11.904369418442663,nan,-11.906761634406212,nan,1.2306179408330165,nan,1.2302364571037128,nan,1.002674244795041,nan,1.0025541266444056,nan
r i z,3,-10.165853349114935,nan,-11.354546669980142,nan,-11.36288781501906,nan,1.1022227213021158,nan,1.1021604657738646,nan,1.0095765263825656,nan,1.0088449001765585,nan
r E p,3,-10.91671104041401,nan,-15.723070653927818,nan,-15.688293595481277,nan,1.0869746869883303,nan,1.0869501204758996,nan,1.0021553361074294,nan,1.0020818015208068,nan
r I D,3,-9.513096963583962,nan,-16.396174161343865,nan,-16.367335116689915,nan,1.0798960903292247,nan,1.079888614248413,nan,1.0016557922513996,nan,1.0016255750638874,nan
r I S,3,-11.588575862093794,nan,-14.43075062279607,nan,-14.456514405085626,nan,1.0566328449786784,nan,1.0566832081538062,nan,1.0010166921044066,nan,1.0010430960331325,nan
r I T,3,-11.47645856397309,nan,-15.919017832964894,nan,-15.908796013979906,nan,1.055738104772888,nan,1.055790692534783,nan,1.0006332320162108,nan,1.0006936086146796,nan
r I Z,3,-16.176938929765505,nan,-inf,nan,-20.88554314767339,nan,1.052159143949727,nan,1.0522206300586896,nan,1.0006332320162108,nan,1.0006936086146796,nan
r I z,3,-9.952380500490145,nan,-11.643903909865053,nan,-11.65125607519025,nan,1.0701178580802313,nan,1.0701346935548008,nan,1.0017836122807982,nan,1.0017420708700384,nan
r ^ l,3,-9.199401087436375,nan,-12.761644567278989,nan,-12.763776729409283,nan,1.141512017980498,nan,1.141352429584719,nan,1.0021606174251334,nan,1.0020861920662647,nan
s i g,3,-10.127430285578473,nan,-12.6940103709352,nan,-12.69886846538373,nan,1.1638364245459145,nan,1.1636222217692394,nan,1.013079788318635,nan,1.0120438515972219,nan
s i v,3,-11.04526066363822,nan,-12.950807286456405,nan,-12.960339561091981,nan,1.1353964680047244,nan,1.1352529753074263,nan,1.0100760176277677,nan,1.0093062001526738,nan
s R d,3,-10.928120627688678,nan,-13.05494171201186,nan,-13.058525184101786,nan,1.1316209693172106,nan,1.1314854619626398,nan,1.0006373397077584,nan,1.000697023483369,nan
s R g,3,-11.396327772427131,nan,-16.295438140425322,nan,-16.25947012001881,nan,1.1022862725702305,nan,1.1022236998818034,nan,1.0004456096636605,nan,1.0005222797741424,nan
s R k,3,-11.002347162858783,nan,-13.611986953683614,nan,-13.612577549528872,nan,1.1181359562156576,nan,1.1180339765616454,nan,1.0005095196783598,nan,1.000580527677218,nan
s R m,3,-11.08763716357916,nan,-13.879315680417637,nan,-13.878149414156454,nan,1.1128314249956155,nan,1.1127426339631499,nan,1.0003816996489612,nan,1.0004640318710671,nan
S ^ J,3,-14.044332552025669,nan,-17.26013345583666,nan,-17.265368812211833,nan,1.1005202072232596,nan,1.1004624423167035,nan,1.0003805260228047,nan,1.0004630561942986,nan
S ^ C,3,-13.86755785619188,nan,-14.99398919749812,nan,-15.040162986570845,nan,1.1003284771791617,nan,1.1002711889697698,nan,1.0008278961256998,nan,1.000870791515827,nan
s Y b,3,-10.94096376910069,nan,-14.99893862055868,nan,-14.992368616577544,nan,1.092689155119099,nan,1.0926506268195777,nan,1.0013421103086855,nan,1.001339213932352,nan
s Y v,3,-11.872646477035449,nan,-14.99661872606543,nan,-14.987465366760741,nan,1.0818883626349167,nan,1.0818766882756532,nan,1.0003195500734965,nan,1.0004072474831442,nan
s ^ J,3,-11.6763618391564,nan,-14.727128247834022,nan,-14.721121342264746,nan,1.1471405483477068,nan,1.146968208275491,nan,1.003420039700616,nan,1.0032355392994798,nan
s ^ g,3,-9.725516454914356,nan,-12.47171115364998,nan,-12.476719537030649,nan,1.1792872857414565,nan,1.1790350194446864,nan,1.004059139847609,nan,1.0038180183302348,nan
s ^ S,3,-11.431804193338372,nan,-13.16809196677699,nan,-13.194400201171868,nan,1.1475240084359026,nan,1.147350714969358,nan,1.0034839497153154,nan,1.0032937872025554,nan
t e s,3,-9.198186317729288,nan,-12.528057020015023,nan,-12.53467785343378,nan,1.155169384938973,nan,1.154975730109244,nan,1.0054663337971503,nan,1.005100447874664,nan
t E m,3,-9.8345712901498,nan,-13.674598266892758,nan,-13.680806559256425,nan,1.132538837402387,nan,1.1324013074369874,nan,1.0049069876179688,nan,1.0045893883833583,nan
