word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.14211321841635,nan,-13.021018762855276,nan,-12.973883706866175,nan,1.1116533811461868,nan,1.1115467057258712,nan,1.0006142034548944,nan,1.000688676434007,nan
b O r,3,-13.476153672325403,nan,-inf,nan,-14.514272227251732,nan,1.1187766688174197,nan,1.1186483133425404,nan,1.0006142034548944,nan,1.000688676434007,nan
b O s,3,-13.464290365889326,nan,-12.960555614301787,nan,-12.955471997400304,nan,1.0956846923007857,nan,1.0956266183214698,nan,1.0006924813413915,nan,1.000758626070269,nan
b U n,3,-10.867353547115378,nan,-inf,nan,-16.158088473558976,nan,1.1389854348889892,nan,1.1387971650032749,nan,1.0009980806142034,nan,1.0010324135438655,nan
b u r,3,-10.168160163159296,nan,-11.289274567803904,nan,-11.30424989213528,nan,1.2487574749594543,nan,1.2482410873780578,nan,1.0155502552294813,nan,1.0140370348171261,nan
b U s,3,-11.189530694588354,nan,-inf,nan,-16.32199832088706,nan,1.123016746043588,nan,1.1228770775988735,nan,1.0009980806142034,nan,1.0010324135438655,nan
b W r,3,-11.710308491862818,nan,-inf,nan,-16.222734988877637,nan,1.1356672638270167,nan,1.1354884848061044,nan,1.0004606525911708,nan,1.0005511815900636,nan
C e D,3,-12.608265637900297,nan,-16.627505628111027,nan,-16.643163107738918,nan,1.1062090744531725,nan,1.1061211992011675,nan,1.0014722552970916,nan,1.0014557180043075,nan
C i D,3,-12.242820132624564,nan,-15.906358768818816,nan,-15.937936802381163,nan,1.1086658882727503,nan,1.1085706786867768,nan,1.00373480173233,nan,1.0034782463844512,nan
C O b,3,-15.984380654543314,nan,-18.78806111759309,nan,-18.11251969981747,nan,1.0269155286226719,nan,1.0270650205975256,nan,1,1,1.0001386970582336,1.0
C O g,3,-15.966804444506673,nan,-20.32385923179217,nan,-19.176537955414172,nan,1.0447628867440026,nan,1.0448580594612684,nan,1,1,1.0001386970582336,1.0
C O v,3,-16.94873573640166,nan,-inf,nan,-19.117947869271042,nan,1.019792240951439,nan,1.0199634129808564,nan,1,1,1.0001386970582336,1.0
C u D,3,-12.293909185598054,nan,-16.398451560856344,nan,-16.420077278148295,nan,1.1680900725337868,nan,1.1678174637449519,nan,1.0012419290015062,nan,1.0012494757383925,nan
C u S,3,-14.418352456200854,nan,-15.485431900735346,nan,-15.54356919185952,nan,1.1410842016922995,nan,1.14089378651692,nan,1.0013202068880032,nan,1.0013194253746542,nan
C u T,3,-14.414868132118242,nan,-14.514517862136522,nan,-14.59531435689231,nan,1.1400665891678377,nan,1.13987927114311,nan,1.0017898742069855,nan,1.0017391231922257,nan
D e C,3,-12.608265637900297,nan,-13.49224059359939,nan,-13.45469388157377,nan,1.1412765968454088,nan,1.1410861761858457,nan,1.01658649819142,nan,1.014990544632696,nan
D e D,3,-10.343536727607411,nan,-14.456845122993826,nan,-14.425107734992128,nan,1.1687521350058785,nan,1.168478091278713,nan,1.0171344433968996,nan,1.0154801920865293,nan
D e J,3,-12.810052529482356,nan,-12.491946005799562,nan,-12.53003389231048,nan,1.1405720958669352,nan,1.1403838193885927,nan,1.016429942418426,nan,1.0148506453601722,nan
D e S,3,-12.467979998210211,nan,-12.628812686444165,nan,-12.638039591538181,nan,1.1417462641643912,nan,1.141554414050681,nan,1.01658649819142,nan,1.014990544632696,nan
D i C,3,-12.242820132624564,nan,-14.414835794315355,nan,-14.44661045001236,nan,1.1437334106649866,nan,1.143535655671455,nan,1.0012359191829652,nan,1.0012446668812316,nan
D i D,3,-9.978091222331678,nan,-15.675480653775772,nan,-15.651531613395242,nan,1.1712089488254562,nan,1.1709275707643223,nan,1.0034277000048828,nan,1.0032032566965645,nan
D i S,3,-12.102534492934478,nan,-14.880543834440068,nan,-14.894082887122455,nan,1.144203077983969,nan,1.1440038935362904,nan,1.0013924749559593,nan,1.0013845661537553,nan
D i T,3,-12.099050168851866,nan,-13.916550238685819,nan,-13.951307517919869,nan,1.143185465459507,nan,1.1429893781624805,nan,1.0010010855234739,nan,1.0010348179724458,nan
d u r,3,-9.727551026817572,nan,-10.161302659206976,nan,-10.177917998366741,nan,1.2539630173310383,nan,1.2534311346990774,nan,1.0245329807573123,nan,1.0220804831878123,nan
D W C,3,-13.836057514301574,nan,-17.57518860374471,nan,-17.309960826096912,nan,1.0900673837935855,nan,1.0900298381576767,nan,1,1,1.0001386970582336,1.0
D W D,3,-11.571328604008688,nan,-19.090825177383174,nan,-18.819371180247952,nan,1.1175429219540551,nan,1.117421753250544,nan,1.0008610567514677,nan,1.0009081430571143,nan
D W T,3,-13.692287550528876,nan,-15.132269223419463,nan,-14.9836160764417,nan,1.089519438588106,nan,1.089483560648702,nan,1.0000782778864972,nan,1.0002086466944955,nan
f U n,3,-11.598194023394027,nan,-inf,nan,-17.344371702963834,nan,1.1218377659002423,nan,1.1217005385340335,nan,1.0005374280230326,nan,1.0006199290120354,nan
f u r,3,-10.899000639437947,nan,-13.152754655490321,nan,-13.139013855114515,nan,1.2316098059707075,nan,1.2311444609088165,nan,1.0142450728878305,nan,1.0128683286436078,nan
f U s,3,-11.920371170867003,nan,-inf,nan,-17.50828155029192,nan,1.1058690770548412,nan,1.105780451129632,nan,1.0005374280230326,nan,1.0006199290120354,nan
f W r,3,-12.441148968141466,nan,-inf,nan,-17.55894342068269,nan,1.1185195948382698,nan,1.118391858336863,nan,1.0002303262955854,nan,1.0003449393241486,nan
f ^ r,3,-10.430551144394723,nan,-12.247459868567944,nan,-12.268996378371202,nan,1.190534949924642,nan,1.190192225758786,nan,1.0029354958663717,nan,1.00276552566464,nan
g U n,3,-10.849777337078738,nan,-inf,nan,-16.11777033493381,nan,1.1360764553283982,nan,1.1358968444415285,nan,1.0021497120921306,nan,1.0020636248734405,nan
g U S,3,-13.551759133515617,nan,-13.266199906339555,nan,-13.301197484646243,nan,1.0614776294966957,nan,1.0615250635768492,nan,1.002775935184107,nan,1.0026232219635356,nan
g U T,3,-13.548274809433005,nan,-inf,nan,-16.38970854169862,nan,1.0604600169722338,nan,1.0605105482030392,nan,1.0021497120921306,nan,1.0020636248734405,nan
g W C,3,-14.200959264044089,nan,-18.746326601481428,nan,-18.300956175511832,nan,1.050566503444508,nan,1.0506465378981742,nan,1,1,1.0001386970582336,1.0
g W D,3,-11.936230353751203,nan,-20.26196317511989,nan,-19.810366529662872,nan,1.0780420416049776,nan,1.0780384529910414,nan,1.0008610567514677,nan,1.0009081430571143,nan
g W T,3,-14.057189300271391,nan,-16.30340722115618,nan,-15.97461142585662,nan,1.0500185582390285,nan,1.0501002603891996,nan,1.0000782778864972,nan,1.0002086466944955,nan
g ^ r,3,-9.682134458079432,nan,-11.163295091134925,nan,-11.178456020418645,nan,1.2047736393527981,nan,1.204388531666281,nan,1.0050852079585022,nan,1.0046904534798469,nan
h U n,3,-11.161681521028557,nan,-inf,nan,-19.57118834028025,nan,1.1684579909633979,nan,1.1681819917472833,nan,1,1,1.0001386970582336,1.0
h u r,3,-10.462488137072475,nan,-11.124044094830532,nan,-11.135684389049768,nan,1.278230031033863,nan,1.2776259141220663,nan,1.0173928655941644,nan,1.0156869729444464,nan
h U s,3,-11.483858668501533,nan,-inf,nan,-19.735098187608337,nan,1.1524893021179967,nan,1.152261904342882,nan,1,1,1.0001386970582336,1.0
h W r,3,-12.004636465775995,nan,-inf,nan,-14.764274747878789,nan,1.1651398199014253,nan,1.1648733115501129,nan,1.0051439539347409,nan,1.004744774330336,nan
J O b,3,-16.186167546125375,nan,-17.322337956917544,nan,-17.070443129927504,nan,1.028140362121868,nan,1.0282862082024713,nan,1,1,1.0001386970582336,1.0
J ^ r,3,-11.783748510211861,nan,-11.270740073985717,nan,-11.357947175737852,nan,1.1829562926483659,nan,1.1826361274531838,nan,1.0061600640045674,nan,1.0056529173874502,nan
k E G,3,-11.570356585070211,nan,-17.736051839644848,nan,-17.408525957209662,nan,1.0980071663756388,nan,1.0979451295967215,nan,1,1,1.0001386970582336,1.0
k E S,3,-12.797104700958199,nan,-18.257834458434093,nan,-18.065842016715322,nan,1.0904924892719206,nan,1.090453323759356,nan,1,1,1.0001386970582336,1.0
k i b,3,-10.340746108889014,nan,-14.146916742340638,nan,-14.149934247499862,nan,1.1226577893308918,nan,1.122521679701566,nan,1.000540432932303,nan,1.0006223334406157,nan
k i C,3,-12.222997059402745,nan,-13.862930403662883,nan,-13.906315518692477,nan,1.1063759889395024,nan,1.1062894337206077,nan,1.0007752665917944,nan,1.0008321823494015,nan
k i D,3,-9.958268149109859,nan,-15.1235752631233,nan,-15.111236682075358,nan,1.133851527099972,nan,1.133681348813475,nan,1.002967047413712,nan,1.0027907721647344,nan
k i r,3,-9.714770077184834,nan,-10.806780116471726,nan,-10.821165294148749,nan,1.18856776976142,nan,1.1882310600667916,nan,1.0219885738324987,nan,1.019788533776374,nan
k u f,3,-11.122675638141153,nan,-15.460756604714804,nan,-15.4400928342608,nan,1.1682267876819479,nan,1.1679554477470988,nan,1.0018003913894324,nan,1.001747538692257,nan
k U m,3,-11.152946048827296,nan,-inf,nan,-17.68238535621803,nan,1.1030731429148095,nan,1.1029941225316726,nan,1.000767754318618,nan,1.0008261712779505,nan
k U n,3,-10.465052514114404,nan,-inf,nan,-17.473783897263832,nan,1.1382199139519915,nan,1.1380339227501837,nan,1.000767754318618,nan,1.0008261712779505,nan
k U p,3,-11.620623554670138,nan,-16.916619132111162,nan,-16.5344759715844,nan,1.0729361566134397,nan,1.0729488595380718,nan,1.000924310091612,nan,1.0009660705504742,nan
k u r,3,-9.765859130158322,nan,-13.47756294788368,nan,-13.453348387908523,nan,1.2479919540224567,nan,1.2474778451249666,nan,1.0141682974559687,nan,1.012799581221636,nan
l U n,3,-10.458937533787784,nan,-inf,nan,-15.657535285790729,nan,1.1495496238195564,nan,1.1493299080959325,nan,1.0092130518234166,nan,1.0083883876948347,nan
l R l,3,-11.293290435084232,nan,-13.711749376871044,nan,-13.695176378876187,nan,1.095355183652934,nan,1.0952995571258946,nan,1.0011726658428206,nan,1.0011867393878717,nan
m W l,3,-11.655745559339062,nan,-13.597734406870611,nan,-13.594005487820393,nan,1.0880184662566692,nan,1.0879846419701094,nan,1.0006217157280708,nan,1.000694687505458,nan
m W r,3,-11.438185540962476,nan,-inf,nan,-16.486815282867383,nan,1.1346720866089197,nan,1.134496269877086,nan,1.0002303262955854,nan,1.0003449393241486,nan
m W t,3,-10.728099105429408,nan,-10.704693720993655,nan,-10.733477206133347,nan,1.1960419496226184,nan,1.1956793508822365,nan,1.0010913830470531,nan,1.0011143853230293,nan
n c n,3,-10.194541008197744,nan,-16.051824833333164,nan,-15.983344872569596,nan,1.116346509368887,nan,1.1162257943744256,nan,1.0000782778864972,nan,1.0002086466944955,nan
n W C,3,-13.258518988467495,nan,-15.031442229132079,nan,-14.979562200061524,nan,1.0501071908823094,nan,1.0501885925463195,nan,1.0082917466410748,nan,1.0075634186311746,nan
n W D,3,-10.993790078174609,nan,-16.547078802770546,nan,-16.48897255421257,nan,1.077582729042779,nan,1.0775805076391867,nan,1.0091528033925425,nan,1.0083328646300553,nan
n ^ r,3,-8.739694182502838,nan,-11.454919614920684,nan,-11.463720167975024,nan,1.2043143267905996,nan,1.2039305863144263,nan,1.0016303135247209,nan,1.0015968194911213,nan
p c k,3,-11.90782750136574,nan,-14.27450811458749,nan,-14.206262683258004,nan,1.085034120348824,nan,1.0850082451251681,nan,1.001252446183953,nan,1.0012578912384238,nan
p c p,3,-12.505683089309212,nan,-inf,nan,-18.95231477408096,nan,1.0441730635973563,nan,1.0442715508844937,nan,1,1,1.0001386970582336,1.0
p c s,3,-11.672289196226455,nan,-15.685445851608655,nan,-15.589624428433892,nan,1.093488132090507,nan,1.0934365266922041,nan,1,1,1.0001386970582336,1.0
p O l,3,-13.88926824564449,nan,-15.775084158712607,nan,-15.637705247750173,nan,1.061865067909401,nan,1.0619092392441427,nan,1.0001565557729941,nan,1.0002785963307572,nan
p O m,3,-14.02556130807174,nan,-inf,nan,-17.85265444877247,nan,1.0662486295532367,nan,1.066279459315939,nan,1,1,1.0001386970582336,1.0
p O n,3,-13.337667773358849,nan,-16.29205008951421,nan,-16.03461507738417,nan,1.1013954005904187,nan,1.10131925953445,nan,1,1,1.0001386970582336,1.0
p O r,3,-13.671708227267903,nan,-inf,nan,-17.575003597769726,nan,1.1085186882616516,nan,1.1084208671511193,nan,1,1,1.0001386970582336,1.0
p O s,3,-13.659844920831825,nan,-16.231586940960717,nan,-16.0162033679183,nan,1.0854267117450176,nan,1.0853991721300487,nan,1.0000782778864972,nan,1.0002086466944955,nan
p O t,3,-12.961621791734835,nan,-inf,nan,-17.535398326545057,nan,1.1698885512753503,nan,1.16960394815627,nan,1,1,1.0001386970582336,1.0
p u k,3,-10.587389716805003,nan,-12.28781938618866,nan,-12.299466993347433,nan,1.2069535061453693,nan,1.20656366459853,nan,1.0118862191104716,nan,1.0107614240557194,nan
p U m,3,-11.750801636770769,nan,-inf,nan,-15.519067358043012,nan,1.093580683296039,nan,1.0935299185933427,nan,1.0095969289827256,nan,1.0087321248046932,nan
p U n,3,-11.062908102057877,nan,-inf,nan,-15.310465899088815,nan,1.128727454333221,nan,1.1285697188118538,nan,1.0095969289827256,nan,1.0087321248046932,nan
p U p,3,-12.21847914261361,nan,-14.734014385711248,nan,-14.371157973409382,nan,1.0634436969946692,nan,1.063484655599742,nan,1.0097534847557197,nan,1.0088720240772169,nan
