word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.081561355557477,nan,-15.394017097006142,nan,-15.406715951492679,nan,1.1635005329779402,nan,1.1632843867395584,nan,1.001679333994156,nan,1.0016464598129295,nan
g i T,3,-12.381669901470433,nan,-13.032595722019085,nan,-13.064140792034737,nan,1.106481404177186,nan,1.1064078495625058,nan,1.0003876219394017,nan,1.0004702887299943,nan
z i T,3,-12.448417644960537,nan,-17.436945465128137,nan,-17.395141367273435,nan,1.0798720171548726,nan,1.0798648370904878,nan,1.0003876219394017,nan,1.0004702887299943,nan
y c g,3,-11.69567733701673,nan,-16.28268941117919,nan,-16.010405844582376,nan,1.1965574157882222,nan,1.196258879996939,nan,1.0010332974284863,nan,1.001058224518812,nan
l R z,3,-11.629582109503845,nan,-12.783983084279445,nan,-12.78373183501229,nan,1.0817854321957512,nan,1.081773503128131,nan,1.000064242579982,nan,1.0001758715776354,nan
J Y p,3,-13.685871529667727,nan,-16.95665116709727,nan,-16.323499981505503,nan,1.041747372116467,nan,1.0418353840459662,nan,1.0012274694747723,nan,1.0012349946123473,nan
C ^ z,3,-12.223794570405854,nan,-13.936144214990808,nan,-13.94836710251161,nan,1.1118772976022242,nan,1.1117899375956535,nan,1.0033586679883122,nan,1.0031755720723357,nan
C e J,3,-14.923968463516,nan,-15.228846131313821,nan,-15.269233014416567,nan,1.07987254819174,nan,1.0798653654179147,nan,1.0003861776330618,nan,1.0004690907087948,nan
z i S,3,-12.562309869307532,nan,-18.54146672926187,nan,-18.490103696336714,nan,1.0807118646902432,nan,1.0807025739122431,nan,1.0006460365656695,nan,1.0007055828476414,nan
z u v,3,-11.901955044781296,nan,-21.38275772985943,nan,-21.191209349718598,nan,1.1597490140505355,nan,1.1595421466398286,nan,1.001614730337589,nan,1.0015876362835179,nan
D Y p,3,-11.36489544145833,nan,-15.419754548327541,nan,-15.214796387649432,nan,1.1161254177691984,nan,1.116027900835221,nan,1.0012917120547542,nan,1.001293518636459,nan
s R k,3,-11.003593074976179,nan,-13.65342096815831,nan,-13.653904312789503,nan,1.1176919796512461,nan,1.1175898424315132,nan,1.000515746022781,nan,1.0005870372729182,nan
b R s,3,-11.385444173807386,nan,-12.434024621686188,nan,-12.446859895732395,nan,1.106111012024339,nan,1.1060375400679334,nan,1.0015483212980973,nan,1.0015273152276067,nan
T ^ z,3,-12.047091005916123,nan,-14.155407393899335,nan,-14.155799710183324,nan,1.1139932247630346,nan,1.1139005867801755,nan,1.003230182828348,nan,1.0030585240241119,nan
S c G,3,-14.336943231610713,nan,-15.040805695777507,nan,-14.973114413848867,nan,1.0174891239571184,nan,1.0176378593910984,nan,1.0002584146262679,nan,1.0003526416711708,nan
J e J,3,-15.10509026011805,nan,-15.850257366491011,nan,-15.874409456214408,nan,1.084424997537726,nan,1.0844064591179468,nan,1.000514662793026,nan,1.0005861387570185,nan
D ^ z,3,-10.083940278798508,nan,-8.75765469262858,nan,-8.772503120921447,nan,1.1908077926009417,nan,1.1905235480849403,nan,1.0148580898050923,nan,1.0136513723883653,nan
S Y p,3,-13.441938392922939,nan,-14.901744533578173,nan,-14.872963518130828,nan,1.040144396994641,nan,1.0402364073910253,nan,1.0012274694747723,nan,1.0012349946123473,nan
n W C,3,-13.053425696441234,nan,-13.983556585705145,nan,-13.984480040932008,nan,1.0629708498182688,nan,1.0630060823117886,nan,1.0120776050366183,nan,1.0111198640865604,nan
l W C,3,-13.555777118163773,nan,-14.86124968535988,nan,-14.85439111011605,nan,1.0745122706954169,nan,1.0745187142273627,nan,1,1,1.0001173475535237,1.0
S c d,3,-13.29236442112599,nan,-19.056520070555365,nan,-18.704180121707807,nan,1.078862597695732,nan,1.0788570886732223,nan,1,1,1.0001173475535237,1.0
g i J,3,-12.739495262562215,nan,-14.81884233128579,nan,-14.834645903733426,nan,1.1070628370862887,nan,1.1069878212083364,nan,1.0004522255959687,nan,1.0005291122594062,nan
C u T,3,-14.281323627347069,nan,-15.11677610684134,nan,-15.149861555659877,nan,1.1569603944808897,nan,1.1567605619873997,nan,1.0018720617341021,nan,1.0018220318852653,nan
D i g,3,-10.418519174352818,nan,-13.941558698016523,nan,-13.939639123530908,nan,1.1931609951099476,nan,1.192870606966526,nan,1.0049679821771271,nan,1.004641368222832,nan
w u T,3,-12.296727187562627,nan,-16.312678471856337,nan,-16.060069443493518,nan,1.263013228540905,nan,1.2625488574782857,nan,1.0017435765741383,nan,1.0017049838370415,nan
T c T,3,-15.23848578945292,nan,-16.769248961456128,nan,-16.713462894845883,nan,1.0157511257018312,nan,1.0159042134147926,nan,1.000064242579982,nan,1.0001758715776354,nan
g u T,3,-12.510592025511295,nan,-17.46984052289677,nan,-17.21705690964194,nan,1.1821591633959962,nan,1.1818964750030698,nan,1.0016150914141742,nan,1.0015879357888178,nan
f R s,3,-11.966173646399504,nan,-14.16588247317683,nan,-14.16562058346503,nan,1.0873241435965368,nan,1.0872975336720268,nan,1.0016125638780793,nan,1.0015858392517187,nan
J Y m,3,-13.253782806013646,nan,-16.41071006957103,nan,-15.777920973902518,nan,1.0767625539757602,nan,1.0767625653837674,nan,1.0011628658182052,nan,1.0011761710829354,nan
n R z,3,-11.127230687781307,nan,-14.333157849405616,nan,-14.30671342783208,nan,1.0702440113186031,nan,1.070260871212557,nan,1.000064242579982,nan,1.0001758715776354,nan
m R n,3,-10.752223285880639,nan,-14.134771495039871,nan,-14.110128009936915,nan,1.1232752293000061,nan,1.123158670700019,nan,1.001421280444473,nan,1.0014114652005826,nan
C u S,3,-14.395215851694063,nan,-16.07583391890428,nan,-16.100830582299462,nan,1.1578002420162603,nan,1.157598298809155,nan,1.0013552324815664,nan,1.0013514436499713,nan
S e J,3,-14.861157123373262,nan,-14.87392227075658,nan,-14.922864158958722,nan,1.0828220224159,nan,1.0828074824630058,nan,1.0009643608529,nan,1.0009958069258018,nan
T ^ S,3,-13.688263524119055,nan,-16.65349560397142,nan,-16.667134958305354,nan,1.1006202678536736,nan,1.1005612389260706,nan,1.0001292073131338,nan,1.0002349946123472,nan
v e D,3,-11.750904086596767,nan,-20.195838603578434,nan,-20.119054748457035,nan,1.1024901284621975,nan,1.1024260872725151,nan,1.0013566767879063,nan,1.0013526416711709,nan
C ^ Z,3,-18.455587493582147,nan,-inf,nan,-22.232822357499114,nan,1.0941112920463099,nan,1.0940685817508282,nan,1.000128485159964,nan,1.0002343956017474,nan
n c T,3,-12.649300698171837,nan,-16.79426052812262,nan,-16.729119555809266,nan,1.0490930082358143,nan,1.049162927837562,nan,1.000064242579982,nan,1.0001758715776354,nan
s R p,3,-11.519033381596842,nan,-13.597524482461184,nan,-13.598858159634936,nan,1.0777023162362969,nan,1.0777006814571608,nan,1.0006449533359147,nan,1.0007046843317418,nan
D i D,3,-10.049396484581246,nan,-15.907254953309192,nan,-15.874515528841911,nan,1.1842456905037069,nan,1.1839777083971228,nan,1.0054848114296628,nan,1.0051119564581261,nan
S c g,3,-13.758349976453871,nan,-16.605220987934814,nan,-16.52952871047468,nan,1.0495325376143314,nan,1.0496007412057653,nan,1.0009690548485044,nan,1.0009997004947002,nan
C i S,3,-14.266293727653201,nan,-16.0911981906591,nan,-16.117199127845954,nan,1.08212248279745,nan,1.082109673368591,nan,1.0012242197855077,nan,1.0012322990646485,nan
g i D,3,-10.418519174352818,nan,-15.698868774753464,nan,-15.673018475262747,nan,1.1305139644200959,nan,1.130380010923506,nan,1.0043284449899865,nan,1.004058524024112,nan
T c S,3,-15.352378013799914,nan,-15.491473058087802,nan,-15.504947672132094,nan,1.0165909732372018,nan,1.016741950236548,nan,1.0004518645193836,nan,1.000528812754106,nan
z u T,3,-12.5773397690014,nan,-19.97819450833222,nan,-19.813456429492533,nan,1.1555497763736828,nan,1.1553534625310518,nan,1.001679333994156,nan,1.0016464598129295,nan
S Y m,3,-13.009849669268858,nan,-14.355803436051938,nan,-14.327384510527843,nan,1.075159578853934,nan,1.0751635887288264,nan,1.0011628658182052,nan,1.0011761710829354,nan
D ^ v,3,-10.93583584843434,nan,-10.134827784814533,nan,-10.15007552956816,nan,1.1807942258330628,nan,1.180535147517857,nan,1.012080132572713,nan,1.0111219606236597,nan
t W C,3,-12.708069191536213,nan,-16.243283163881284,nan,-16.236370234299866,nan,1.041747459205291,nan,1.0418356314003718,nan,1.000064242579982,nan,1.0001758715776354,nan
g Y b,3,-11.600428923440447,nan,-17.74948288583738,nan,-17.655151646129873,nan,1.0685310390594487,nan,1.0685521262898166,nan,1.0013566767879063,nan,1.0013526416711709,nan
r c S,3,-13.064692096735694,nan,-15.37287826774745,nan,-15.392591734187837,nan,1.0190916144272506,nan,1.0192363538182556,nan,1.0005161070993658,nan,1.000587336778218,nan
d R s,3,-10.929218761025442,nan,-12.44825592891447,nan,-12.459387183512264,nan,1.117844789916106,nan,1.1177420491821004,nan,1.0015483212980973,nan,1.0015273152276067,nan
S c z,3,-13.825097719943976,nan,-14.679223287125195,nan,-14.609517224167261,nan,1.0307974772099124,nan,1.030912765951222,nan,1.000064603656567,nan,1.0001761710829356,nan
y c d,3,-11.22969178168885,nan,-18.733988493799743,nan,-18.1850572558155,nan,1.2258874758696228,nan,1.225515227464396,nan,1.000064242579982,nan,1.0001758715776354,nan
J u S,3,-14.576337648296114,nan,-14.853411445482791,nan,-14.904805096043246,nan,1.1623526913622464,nan,1.1621393925091872,nan,1.0012267473216026,nan,1.0012343956017475,nan
h u S,3,-12.833980041077842,nan,-13.91725028074076,nan,-13.937612906209182,nan,1.2140967282947932,nan,1.2137543589306774,nan,1.0052740298604692,nan,1.004921409120797,nan
g u S,3,-12.62448424985829,nan,-18.428898334959708,nan,-18.168025936281524,nan,1.1829990109313668,nan,1.1827342118248252,nan,1.0010982621616384,nan,1.0011173475535238,nan
y R z,3,-11.767635363972243,nan,-10.081201396354636,nan,-10.098244958289504,nan,1.1847605540218604,nan,1.1844917634415304,nan,1.010407297957086,nan,1.009598239459651,nan
C e g,3,-12.972115065078174,nan,-15.62114089895031,nan,-15.633229468294486,nan,1.1122389801317878,nan,1.1121504537024876,nan,1.0012906288249994,nan,1.0012926201205594,nan
z i J,3,-12.80624300605232,nan,-19.223192074394838,nan,-19.165646478972125,nan,1.0804534500639753,nan,1.0804448087363183,nan,1.0004522255959687,nan,1.0005291122594062,nan
m u S,3,-12.316224591447728,nan,-14.893944726015874,nan,-14.910974671358197,nan,1.1858202471457806,nan,1.185548410737521,nan,1.0025758415012247,nan,1.0024634001080974,nan
D Y m,3,-10.93280671780425,nan,-14.873813450801306,nan,-14.669217380046447,nan,1.1511405996284916,nan,1.1509550821730221,nan,1.0012271083981872,nan,1.0012346951070472,nan
J e g,3,-13.153236861680226,nan,-16.2425521341275,nan,-16.238405910092325,nan,1.1167914294777739,nan,1.1166915474025196,nan,1.0014191139849635,nan,1.0014096681687832,nan
f u v,3,-12.406176631337374,nan,-16.798580318533354,nan,-16.784468871718744,nan,1.167699770654793,nan,1.1674730708483352,nan,1.001614730337589,nan,1.0015876362835179,nan
v R n,3,-11.979126257417139,nan,-13.479715253595053,nan,-13.467732623360757,nan,1.0944216771071362,nan,1.094377090911084,nan,1.001421280444473,nan,1.0014114652005826,nan
g i C,3,-12.558373465960164,nan,-13.741503138277835,nan,-13.77114178024453,nan,1.1067398188034538,nan,1.1066656147384306,nan,1.0004522255959687,nan,1.0005291122594062,nan
C i D,3,-12.189250776188592,nan,-17.65294997925974,nan,-17.631114482010688,nan,1.1053151955049894,nan,1.105244097907836,nan,1.0049066282098247,nan,1.004585240241119,nan
C Y z,3,-13.447668411312263,nan,-16.40114982819834,nan,-16.34543926651229,nan,1.0430092518615073,nan,1.0430940068042405,nan,1,1,1.0001173475535237,1.0
d c T,3,-13.178472196778996,nan,-14.729012339259782,nan,-14.68782039320871,nan,1.0506959833576404,nan,1.050761904492503,nan,1.0009636386997303,nan,1.000995207915202,nan
y R v,3,-12.619530933608075,nan,-13.9120982108919,nan,-13.86820957524272,nan,1.1747469872539815,nan,1.174503362874447,nan,1.0105365052702198,nan,1.0097158865184745,nan
