word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.19891458930204,nan,-11.528533725425167,nan,-11.543336869636539,nan,1.1052438518308656,nan,1.1051752025610049,nan,1.0019413259486374,nan,1.001887023085079,nan
b i l,3,-10.284351031824851,nan,-11.330685576297014,nan,-11.342379494362754,nan,1.1434509432742834,nan,1.1432888848018328,nan,1.0075446890044637,nan,1.007000697129591,nan
b i s,3,-10.115572750677071,nan,-11.454523334352876,nan,-11.465292664492226,nan,1.1659221461445548,nan,1.165705059610322,nan,1.002697958973621,nan,1.0025774434531205,nan
b R s,3,-11.386793199092258,nan,-12.441325223078287,nan,-12.454217352594373,nan,1.105160753383412,nan,1.1050914402538738,nan,1.0014451276052228,nan,1.0014335963471186,nan
b Y s,3,-10.936380832784991,nan,-11.812054060565183,nan,-11.825008612920943,nan,1.114287464641773,nan,1.1141959550954803,nan,1.0032006496906467,nan,1.0030362808548183,nan
b ^ l,3,-9.882088403974777,nan,-10.37042925868229,nan,-10.38283801412608,nan,1.159641478999732,nan,1.1594400446920796,nan,1.0106330521098092,nan,1.009823883092097,nan
C @ l,3,-12.362301668557809,nan,-16.28938446638934,nan,-16.274659672633817,nan,1.1100511757323834,nan,1.1099702398637432,nan,1.000754036075539,nan,1.000802785097513,nan
C i D,3,-12.185363884162255,nan,-17.15301844636877,nan,-17.145661675745053,nan,1.105393031448477,nan,1.105323655873251,nan,1.0050312354193338,nan,1.0047065101211023,nan
C i n,3,-11.562033779437456,nan,-13.728058407614995,nan,-13.744014596054813,nan,1.1553710008574276,nan,1.1551792379403114,nan,1.0023875644934195,nan,1.002293826297573,nan
C R J,3,-15.780048204878863,nan,-17.395115900544347,nan,-17.346064781029284,nan,1.0212162676292365,nan,1.0213520056239234,nan,1.000062944545855,nan,1.0001719738479076,nan
C R g,3,-13.82857962668999,nan,-17.864979937809004,nan,-17.819957483749864,nan,1.053758597836324,nan,1.0538146453325759,nan,1.0001888336375653,nan,1.00028686355379,nan
C R T,3,-15.41890349645136,nan,-16.893214391616507,nan,-16.83802751705841,nan,1.0205238776248302,nan,1.0206613111620373,nan,1,1,1.0001145289949664,1.0
C ^ J,3,-14.1065651286136,nan,-18.02524936681655,nan,-18.01250982703793,nan,1.0981681961158278,nan,1.0981167848706184,nan,1.0001879679877503,nan,1.0002861421319582,nan
C ^ n,3,-11.15977115158738,nan,-12.636501933570282,nan,-12.648480680609872,nan,1.1715615365828764,nan,1.1713303978305583,nan,1.0122103762460748,nan,1.011258109043723,nan
C ^ S,3,-13.856053848717366,nan,-16.28775946743391,nan,-16.316762360482148,nan,1.0984199742992482,nan,1.0983679464931224,nan,1.0002509125336054,nan,1.0003435869848996,nan
C ^ C,3,-13.919917681872523,nan,-15.621629648111801,nan,-15.65849241188799,nan,1.0977905288406973,nan,1.0977400424368624,nan,1.000628579808736,nan,1.0006882561025465,nan
d i k,3,-9.931992936491014,nan,-12.146779082778897,nan,-12.15509265993173,nan,1.165439111757752,nan,1.1652234632573795,nan,1.0033338968057832,nan,1.00315730264627,nan
d i s,3,-9.66173181043953,nan,-12.19295698388842,nan,-12.200194593703921,nan,1.1779650763829175,nan,1.1777187539769576,nan,1.0017602831594057,nan,1.0017211813227405,nan
d i t,3,-8.980940986494259,nan,-10.913900816167466,nan,-10.921842457580532,nan,1.2579675941647517,nan,1.2575253595276294,nan,1.0021379504345362,nan,1.0020658504403874,nan
d E p,3,-11.141980512766384,nan,-16.419371290182323,nan,-16.362621471537928,nan,1.1170367351854376,nan,1.1169394581648566,nan,1.000314289904368,nan,1.0004013925487565,nan
d R s,3,-10.93295225885472,nan,-12.430291561645502,nan,-12.441557173351924,nan,1.1172036836217747,nan,1.1171051346205094,nan,1.0014451276052228,nan,1.0014335963471186,nan
D i D,3,-10.048547458601911,nan,-15.620559646863464,nan,-15.598149736568491,nan,1.1818313192308307,nan,1.181576379184798,nan,1.0053437940240724,nan,1.0049919308312292,nan
D i g,3,-10.420542752714459,nan,-13.91030265038666,nan,-13.908612409511099,nan,1.1909582783798205,nan,1.190680988000571,nan,1.004588459473811,nan,1.004302592595935,nan
D i C,3,-12.185363884162255,nan,-13.999442009363966,nan,-14.022040493128769,nan,1.1580382808976024,nan,1.1578416058581624,nan,1.0013782876352009,nan,1.001372905095935,nan
d I J,3,-12.05858740930057,nan,-14.579663911806655,nan,-14.576704005233072,nan,1.0883505325783436,nan,1.0883231576001375,nan,1.0075014065137213,nan,1.0069646260380078,nan
d I D,3,-9.735123536999147,nan,-14.172193289172277,nan,-14.15815509042532,nan,1.1117659036364413,nan,1.1116811884930171,nan,1.0086344083391132,nan,1.007998633390949,nan
d Y p,3,-11.267425405387677,nan,-12.543970630037993,nan,-12.554614716927036,nan,1.0747788118248074,nan,1.0747843072544052,nan,1.0018835753016715,nan,1.0018339067631277,nan
d Y t,3,-9.801749068602179,nan,-11.459296690630296,nan,-11.46820063309335,nan,1.20633291266197,nan,1.2060162550127878,nan,1.0033312998563388,nan,1.0031551383807746,nan
d I T,3,-11.697442700873065,nan,-13.895440846084862,nan,-13.89431335411742,nan,1.0876581425739373,nan,1.0876324631382515,nan,1.0075014065137213,nan,1.0069646260380078,nan
d I Z,3,-16.295588271924192,nan,-inf,nan,-18.9448021196558,nan,1.0841332480060517,nan,1.0841162004231943,nan,1.0075014065137213,nan,1.0069646260380078,nan
f i k,3,-10.967851256066275,nan,-13.210657530511673,nan,-13.220439465169346,nan,1.1353629854629812,nan,1.135220350901326,nan,1.0037089671314694,nan,1.0034998074984218,nan
f i s,3,-10.697590130014792,nan,-13.256835431621196,nan,-13.265541398941535,nan,1.1478889500881466,nan,1.147715641620904,nan,1.0021353534850919,nan,1.0020636861748924,nan
f R s,3,-11.968810578429979,nan,-14.169572286407188,nan,-14.169090033394784,nan,1.0871275573270038,nan,1.0871020222644558,nan,1.0014451276052228,nan,1.0014335963471186,nan
f R t,3,-11.288019754484706,nan,-13.574544176242092,nan,-13.574452186506452,nan,1.167130075108838,nan,1.1669086278151277,nan,1.001067460330092,nan,1.0010889272294716,nan
f Y k,3,-11.788659338174197,nan,-12.358741330070298,nan,-12.372268317089663,nan,1.0837283039601995,nan,1.0837112463864842,nan,1.0025763981309848,nan,1.0024661608563965,nan
f ^ l,3,-10.464105783312498,nan,-11.974729311235734,nan,-11.985922862440852,nan,1.1416082829433238,nan,1.1414506267026616,nan,1.0016938760142913,nan,1.0016608507824727,nan
g e s,3,-10.542002528546016,nan,-13.710773015625909,nan,-13.700499485077701,nan,1.1636707061223512,nan,1.1634590976186407,nan,1.0023289481966389,nan,1.00223998855379,nan
g W d,3,-11.815479720819203,nan,-17.29631417081984,nan,-16.90400348864847,nan,1.114677098596039,nan,1.1145846058505113,nan,1.0014477245546674,nan,1.0014357606126136,nan
g W r,3,-11.590230959618605,nan,-20.57691971190957,nan,-19.796109104979074,nan,1.1414285305844571,nan,1.14127052824157,nan,1.000062944545855,nan,1.0001719738479076,nan
g W z,3,-12.345812461706606,nan,-19.884943459776142,nan,-19.10867418181818,nan,1.0666504101085965,nan,1.0666755263578578,nan,1,1,1.0001145289949664,1.0
g i C,3,-12.557359178274803,nan,-13.688596141991944,nan,-13.718910483116849,nan,1.1064346368192297,nan,1.1063632367327345,nan,1.0005031235419333,nan,1.00057372710758,nan
g i J,3,-12.744006625015881,nan,-14.700190824867818,nan,-14.718554753360642,nan,1.1068123040943603,nan,1.1067399791664905,nan,1.0005031235419333,nan,1.00057372710758,nan
g i D,3,-10.420542752714459,nan,-15.309713779491442,nan,-15.295019726556573,nan,1.130227675152458,nan,1.13009801005937,nan,1.0044686299308048,nan,1.0041927528428742,nan
g R g,3,-12.063758495242194,nan,-15.574867114954328,nan,-15.538776788901105,nan,1.078593241540305,nan,1.0785889995186948,nan,1.000251345358513,nan,1.0003439476958154,nan
g u v,3,-11.836660939367368,nan,-18.830466605712573,nan,-18.55143219198061,nan,1.184476532531099,nan,1.1842152657618554,nan,1.0015106691005224,nan,1.0014932054655548,nan
h e s,3,-10.746032037187497,nan,-11.375473652567312,nan,-11.387231175472143,nan,1.1932476435989516,nan,1.192964233006129,nan,1.0063922100582379,nan,1.0059504577854375,nan
h e n,3,-10.41299875499967,nan,-11.620730652892354,nan,-11.630110992264637,nan,1.2069695545953638,nan,1.2066525414326015,nan,1.0057627645996867,nan,1.0053760092560258,nan
h i n,3,-10.00124215663114,nan,-9.539894854734047,nan,-9.554491761404048,nan,1.209782582038009,nan,1.2094587275139186,nan,1.0312679795712467,nan,1.0286666999132825,nan
h Y s,3,-11.155083520926889,nan,-11.592902123725056,nan,-11.605260914085719,nan,1.1444259895388154,nan,1.1442613145726044,nan,1.004888466156234,nan,1.0045775526895024,nan
h ^ s,3,-9.932012810968892,nan,-10.546606763646198,nan,-10.559901649430776,nan,1.2122512067670457,nan,1.211921578977693,nan,1.0079193265052424,nan,1.0073428412708274,nan
J R T,3,-15.605550943192437,nan,-inf,nan,-19.154602975134946,nan,1.0248293811815505,nan,1.0249563625159122,nan,1,1,1.0001145289949664,1.0
J ^ n,3,-11.346418598328459,nan,-9.598161583498152,nan,-9.649741195769801,nan,1.1758670401395968,nan,1.1756254491844331,nan,1.0174613608056797,nan,1.0160531769738521,nan
k e d,3,-10.343749534859544,nan,-11.97772070168673,nan,-11.986246550524667,nan,1.1747973112956607,nan,1.1745586434132098,nan,1.002512587935315,nan,1.0024079945816236,nan
k R m,3,-11.364327342385605,nan,-14.494151731735418,nan,-14.484051612483253,nan,1.0985950276791838,nan,1.098541992506533,nan,1.0003138570794605,nan,1.0004010318378407,nan
l e l,3,-10.217266974192059,nan,-11.600300463463576,nan,-11.61017612388223,nan,1.1640997902856502,nan,1.1638876162430802,nan,1.0020094643933817,nan,1.00194879646901,nan
m @ b,3,-10.768921030852782,nan,-15.841988503151923,nan,-15.826506542111066,nan,1.1149051012211075,nan,1.1148128712386451,nan,1.002503498612259,nan,1.0024004196523912,nan
m e p,3,-11.019487879127688,nan,-12.810833034041904,nan,-12.819927681509174,nan,1.1152390531805882,nan,1.1151461114644625,nan,1.004632792548647,nan,1.0043445268794953,nan
m @ v,3,-11.69957704465218,nan,-12.608747396358478,nan,-12.622816433477052,nan,1.1043933620633055,nan,1.1043268734990996,nan,1.0029441104332448,nan,1.0028025336229796,nan
m @ z,3,-10.845412831502646,nan,-12.19525714438466,nan,-12.20396302541062,nan,1.1147162675835423,nan,1.114624500021767,nan,1.0021887758829835,nan,1.0021131953876854,nan
m R n,3,-10.761032934146295,nan,-14.213983628572933,nan,-14.183260296980245,nan,1.1225641819138312,nan,1.1224523288235146,nan,1.0015736136463775,nan,1.0015506503184959,nan
m R s,3,-11.094066216334122,nan,-14.633623172341444,nan,-14.602523320827736,nan,1.1088422709174193,nan,1.1087640203970421,nan,1.0010700572795368,nan,1.0010910914949664,nan
m Y d,3,-10.837431846938419,nan,-10.827251203601838,nan,-10.8423394469566,nan,1.120234985826564,nan,1.1201289898411853,nan,1.0058313358693385,nan,1.0054381433508728,nan
m ^ b,3,-10.068202077217961,nan,-13.58495132804535,nan,-13.58216509164156,nan,1.140222348204917,nan,1.1400685459704984,nan,1.0035830780397592,nan,1.0033849177925394,nan
