word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.081154375412376,nan,-15.414825895451298,nan,-15.427322868051558,nan,1.163553990292349,nan,1.1633372848097316,nan,1.0016803935173368,nan,1.0016474689216852,nan
g i T,3,-12.381779457659047,nan,-13.037926650070398,nan,-13.069424438337276,nan,1.10651437000794,nan,1.1064405193708673,nan,1.000387847446671,nan,1.0004706063341873,nan
z i T,3,-12.447463360579366,nan,-17.579300040319715,nan,-17.526529679331972,nan,1.0798888635445019,nan,1.079881627915902,nan,1.000387847446671,nan,1.0004706063341873,nan
y c g,3,-11.694729378097861,nan,-16.290644025370728,nan,-16.01826267352849,nan,1.1970531041309307,nan,1.1967524436034394,nan,1.0010339811062186,nan,1.0010589220439263,nan
l R z,3,-11.629743146323946,nan,-12.783546195398594,nan,-12.783295848076994,nan,1.0817794278089272,nan,1.0817673976781372,nan,1.0000643624895411,nan,1.000176101727288,nan
J Y p,3,-13.687312584493675,nan,-16.953633023852596,nan,-16.320489570905337,nan,1.0418177886006956,nan,1.041905798191244,nan,1.0012281835811248,nan,1.0012357172752737,nan
C ^ z,3,-12.224018378796604,nan,-13.93171519577507,nan,-13.943945456796794,nan,1.111937432815641,nan,1.111849800759327,nan,1.0034254282757855,nan,1.0032363143236143,nan
C e J,3,-14.925091957208762,nan,-15.226145549202336,nan,-15.266538160777053,nan,1.079890180180721,nan,1.0798829379376897,nan,1.0003867324403881,nan,1.0004696816621081,nan
z i S,3,-12.560108862224055,nan,-18.667049521653084,nan,-18.604980953912733,nan,1.0807938409200675,nan,1.0807843295730044,nan,1.0006464124111183,nan,1.0007060250852908,nan
z u v,3,-11.902621567594473,nan,-21.560982106772162,nan,-21.35804356084641,nan,1.1596512706833046,nan,1.159444278434482,nan,1.001615752276225,nan,1.0015886142339094,nan
D Y p,3,-11.365771604304847,nan,-15.42046335503295,nan,-15.215507256214117,nan,1.11616340568218,nan,1.1160654081476207,nan,1.0012925460706659,nan,1.0012943407950299,nan
s R k,3,-11.005269221753363,nan,-13.650167732962405,nan,-13.650663540735748,nan,1.1176461207661086,nan,1.1175439207274158,nan,1.0005162936741825,nan,1.0005876222056798,nan
b R s,3,-11.386449371060822,nan,-12.445620491453832,nan,-12.45843218072758,nan,1.1057443666392066,nan,1.1056717923103534,nan,1.0015497172772594,nan,1.0015286037060347,nan
T ^ z,3,-12.046309283804854,nan,-14.151983905185615,nan,-14.152344715099602,nan,1.1140597557946108,nan,1.113966813846317,nan,1.0032967032967033,nan,1.003119067284102,nan
S c G,3,-14.334271836118399,nan,-15.065828381548714,nan,-14.997837348214041,nan,1.0173931322747518,nan,1.0175423760527047,nan,1.0003232062055591,nan,1.0004117516464115,nan
J e J,3,-15.106213753810813,nan,-15.847556784379528,nan,-15.871714602574894,nan,1.084456390226383,nan,1.0844377236703047,nan,1.0005154574194701,nan,1.0005869287016205,nan
D ^ z,3,-10.083599195209825,nan,-8.75653586986658,nan,-8.771386174486263,nan,1.1908492599427876,nan,1.1905641964483185,nan,1.0149463139036417,nan,1.0137299243599607,nan
S Y p,3,-13.441127194544563,nan,-14.925671256128195,nan,-14.896499733902807,nan,1.0400813425269932,nan,1.0401736965746158,nan,1.0012281835811248,nan,1.0012357172752737,nan
n W C,3,-13.053029216502093,nan,-13.980679623977384,nan,-13.981593919061904,nan,1.0631913833456301,nan,1.0632260245921428,nan,1.012100148033726,nan,1.0111386999216836,nan
l W C,3,-13.5552885119597,nan,-14.861462439503203,nan,-14.85458791168789,nan,1.0746390648685575,nan,1.0746450648795431,nan,1,1,1.000117478207532,1.0
S c d,3,-13.288687625313,nan,-19.08587321140168,nan,-18.733103698856638,nan,1.0789962350543252,nan,1.078990567425456,nan,1,1,1.000117478207532,1.0
g i J,3,-12.740610349252846,nan,-14.823167728835084,nan,-14.83896289940487,nan,1.1070961411779465,nan,1.1070208275790046,nan,1.0004524886877828,nan,1.0005294610219633,nan
