word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.020259327065425,nan,-12.955462156987704,nan,-12.960151140778887,nan,1.1055343285291952,nan,1.105462305032818,nan,1.0010026319087606,nan,1.0010307622753634,nan
b O r,3,-13.318806925180157,nan,-inf,nan,-15.250536019957377,nan,1.120147307917875,nan,1.120039007769928,nan,1.0010026319087606,nan,1.0010307622753634,nan
b O s,3,-13.35237651090301,nan,-13.750024096751849,nan,-13.678464697071043,nan,1.0914318462370634,nan,1.0913948320856506,nan,1.001066444045829,nan,1.0010889288644744,nan
b U n,3,-10.860560830255423,nan,-inf,nan,-16.954873818419426,nan,1.1339840089402744,nan,1.1338426263430639,nan,1.0005013159543803,nan,1.0005730701877154,nan
b u r,3,-10.21293449034379,nan,-11.890356983662464,nan,-11.899402662364844,nan,1.262333045478973,nan,1.2618781026002088,nan,1.0166389007760777,nan,1.015283486763921,nan
b U s,3,-11.192678014093008,nan,-inf,nan,-17.162361750945596,nan,1.1198815266481426,nan,1.1197751533958964,nan,1.0005013159543803,nan,1.0005730701877154,nan
b W r,3,-11.566342452272853,nan,-16.27356675207419,nan,-15.891987334401446,nan,1.1396986301387046,nan,1.1395426647056035,nan,1.0008157860686389,nan,1.0008600828206504,nan
C e D,3,-12.592324506593002,nan,-17.851007808243537,nan,-17.835789480458804,nan,1.0999848545193665,nan,1.0999284671359075,nan,1.0015895652128572,nan,1.0015647674370716,nan
C i D,3,-12.182500193674223,nan,-17.269827540108942,nan,-17.260621190237828,nan,1.1022407763140776,nan,1.1021788890900241,nan,1.0046479572210598,nan,1.004352943401789,nan
C O b,3,-15.775648512508727,nan,-20.421656021507868,nan,-19.738936001904637,nan,1.0226467756978372,nan,1.0227792705985397,nan,1,1,1.0001153781000673,1.0
C O g,3,-15.790967246646051,nan,-21.09215842783842,nan,-20.242150301993615,nan,1.0399398648433928,nan,1.0400294297328492,nan,1,1,1.0001153781000673,1.0
