word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.192482602879801,nan,-11.431504217926545,nan,-11.446992489117235,nan,1.105858894468558,nan,1.105789132727341,nan,1.002009204436838,nan,1.0019491623816579,nan
b i l,3,-10.276325924904715,nan,-11.303776718295925,nan,-11.31586008539273,nan,1.142073744403147,nan,1.1419146204257846,nan,1.0073601831289714,nan,1.0068274799426173,nan
b i s,3,-10.10905395158179,nan,-11.438749197713152,nan,-11.449837997474269,nan,1.163659226733615,nan,1.1634466326209065,nan,1.002775655908341,nan,1.002647751624958,nan
b R s,3,-11.379523289201364,nan,-12.451862704703471,nan,-12.464916044863738,nan,1.1042291554925203,nan,1.1041610519214489,nan,1.001582395323794,nan,1.001558542762517,nan
b Y s,3,-10.936695511964608,nan,-11.818272956835472,nan,-11.831535872604492,nan,1.1122281556175047,nan,1.1121406043184314,nan,1.0027768377090398,nan,1.0026487355534697,nan
b ^ l,3,-9.873254463897428,nan,-10.368380477014474,nan,-10.381145759689609,nan,1.1595715571765504,nan,1.1593698912941843,nan,1.0107746560333255,nan,1.0099524368957449,nan
C @ l,3,-12.3363971348645,nan,-16.41791166321244,nan,-16.39857714235837,nan,1.1100656663670645,nan,1.109984240642866,nan,1.0007605424680082,nan,1.0008087892366093,nan
C i D,3,-12.162046979450269,nan,-17.211892342903536,nan,-17.20332844177763,nan,1.1027911816948404,nan,1.1027281226502528,nan,1.0047649129818659,nan,1.0044601479434911,nan
C i n,3,-11.541110929445178,nan,-13.868059095151832,nan,-13.882113189226457,nan,1.153794047024353,nan,1.1536046470404966,nan,1.0024726493715508,nan,1.0023702837846613,nan
C R J,3,-15.74346106863221,nan,-17.277763810536694,nan,-17.22204073263128,nan,1.0212025622206988,nan,1.0213388834142096,nan,1.0000636739891755,nan,1.0001731714180575,nan
