word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.023313381222993,nan,-12.785807517516615,nan,-12.80527079215997,nan,1.108068334714955,nan,1.1079898235501429,nan,1.0010839071665392,nan,1.0011048378918166,nan
b O r,3,-13.325055305189343,nan,-inf,nan,-15.273623412505266,nan,1.1226805007915561,nan,1.1225653982258845,nan,1.0010839071665392,nan,1.0011048378918166,nan
b O s,3,-13.356896513498372,nan,-13.613172978987523,nan,-13.566163769670595,nan,1.0926837193303396,nan,1.092643733913569,nan,1.001148277942207,nan,1.0011634682858128,nan
b U n,3,-10.86476008616494,nan,-inf,nan,-16.976809017042296,nan,1.1376526244369647,nan,1.1375007311377534,nan,1.0005100739607242,nan,1.0005817341429064,nan
b u r,3,-10.216810731707568,nan,-11.871461914734558,nan,-11.880332446595059,nan,1.2704744309114235,nan,1.2699927339760595,nan,1.0171784356752327,nan,1.015763959656564,nan
b U s,3,-11.19834321844032,nan,-inf,nan,-17.19870549382023,nan,1.1222680090523494,nan,1.1221546415011796,nan,1.0005100739607242,nan,1.0005817341429064,nan
b W r,3,-11.573987163988912,nan,-16.331008824099193,nan,-15.9485027029979,nan,1.1427009037499851,nan,1.1425361417226727,nan,1.0006382039814827,nan,1.0006984871756706,nan
C e D,3,-12.599280587756777,nan,-18.111703714999404,nan,-18.08791732770559,nan,1.1029744764615825,nan,1.102909699386577,nan,1.001606823269387,nan,1.0015804818617564,nan
C i D,3,-12.184994611679642,nan,-17.527614766313928,nan,-17.509633280395683,nan,1.1053335685299326,nan,1.1052629398623133,nan,1.0048866751755607,nan,1.004568093179423,nan
C O b,3,-15.785279334343446,nan,-20.77540431796909,nan,-20.10404665671441,nan,1.0217178394053084,nan,1.0218548423690157,nan,1,1,1.000116753032764,1.0
C O g,3,-15.795274318111543,nan,-20.988552885515205,nan,-20.197673243324036,nan,1.0398703981436412,nan,1.0399619439485712,nan,1,1,1.000116753032764,1.0
C O v,3,-16.7116675562643,nan,-inf,nan,-21.341927955953345,nan,1.0113541445227852,nan,1.0115170999778509,nan,1,1,1.000116753032764,1.0
C u D,3,-12.317745012404803,nan,-17.620627938437185,nan,-17.60097402346529,nan,1.179103015099685,nan,1.178849405549523,nan,1.0012849693910477,nan,1.001287329891775,nan
C u S,3,-14.391675341096054,nan,-16.043012871150893,nan,-16.06906621425935,nan,1.1558651650835923,nan,1.1556697471444892,nan,1.0013493401667155,nan,1.0013459602857715,nan
C u T,3,-14.275773065821035,nan,-15.067946604513303,nan,-15.102329978271419,nan,1.1550283449999104,nan,1.1548350226035877,nan,1.0018643063720585,nan,1.0018150034377413,nan
D e C,3,-12.599280587756777,nan,-13.137236842293754,nan,-13.117570108358612,nan,1.157367802382896,nan,1.1571690404334891,nan,1.0181088486668675,nan,1.0166245979532762,nan
