word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b O n,3,-13.019326245213055,nan,-12.792639774603,nan,-12.811855040014754,nan,1.1073212975859708,nan,1.1072446808647718,nan,1.00108335457558,nan,1.0011043275983953,nan
b O r,3,-13.31907854691761,nan,-inf,nan,-15.284321590718834,nan,1.12263464207188,nan,1.1225196953054366,nan,1.00108335457558,nan,1.0011043275983953,nan
b O s,3,-13.353406860447258,nan,-13.62128179532936,nan,-13.574024633422999,nan,1.0923296620178329,nan,1.0922905700888268,nan,1.0011476963591341,nan,1.0011629339396015,nan
b U n,3,-10.866878448732809,nan,-inf,nan,-16.98816081573302,nan,1.1367630513458482,nan,1.1366134431812172,nan,1.00050981391792,nan,1.0005814669698008,nan
b u r,3,-10.213158286626085,nan,-11.876959840640456,nan,-11.885809383781861,nan,1.270225771309708,nan,1.269744919385279,nan,1.017299329162691,nan,1.0158746577297573,nan
b U s,3,-11.200959063967012,nan,-inf,nan,-17.211333908408577,nan,1.1217714157777103,nan,1.1216593324052722,nan,1.00050981391792,nan,1.0005814669698008,nan
b W r,3,-11.56929604337078,nan,-16.339970793683378,nan,-15.957450893484001,nan,1.1427085650899782,nan,1.1425438514302857,nan,1.0007016091809542,nan,1.0007562645618058,nan
C e D,3,-12.599254703554639,nan,-18.044283526621957,nan,-18.022701999937563,nan,1.102732599392468,nan,1.1026684747369377,nan,1.001669811153339,nan,1.001637913258931,nan
C i D,3,-12.187714724013407,nan,-17.46120093101913,nan,-17.4454245005588,nan,1.1052816689820677,nan,1.1052112247210455,nan,1.004884440155794,nan,1.0045661874560101,nan
C O b,3,-15.782037413063042,nan,-20.866722754875198,nan,-20.185371140128623,nan,1.0219010237450148,nan,1.0220375194224967,nan,1,1,1.0001167019666055,1.0
C O g,3,-15.794074689897435,nan,-20.956207992825405,nan,-20.165399132163667,nan,1.0402384320579732,nan,1.040329028311528,nan,1,1,1.0001167019666055,1.0
C O v,3,-16.710262799779606,nan,-inf,nan,-21.32965373846004,nan,1.0113489712421193,nan,1.0115118792196856,nan,1,1,1.0001167019666055,1.0
C u D,3,-12.318631343189328,nan,-17.56393711008856,nan,-17.546267004526925,nan,1.1788860533817618,nan,1.1786331305121587,nan,1.0012843754958278,nan,1.001286785927501,nan
C u S,3,-14.390442496003473,nan,-16.0592393751307,nan,-16.085052687929235,nan,1.1557873530857896,nan,1.1555922473852733,nan,1.001348717279382,nan,1.0013453922687072,nan
C u T,3,-14.27667150183705,nan,-15.090139037617133,nan,-15.124304739298266,nan,1.1548865681160303,nan,1.1546937171240577,nan,1.001863451547816,nan,1.001814242998356,nan
D e C,3,-12.59925470355464,nan,-13.121120274317795,nan,-13.10171623155884,nan,1.1574427163844734,nan,1.1572438253370225,nan,1.0181633509135268,nan,1.01667497663705,nan
D e D,3,-10.463505449915168,nan,-14.72198776133704,nan,-14.691126346188405,nan,1.1809918091653253,nan,1.1807339735945157,nan,1.0193858448010575,nan,1.0177884971199662,nan
D e J,3,-12.780376500156692,nan,-11.859258313813758,nan,-11.891775121451797,nan,1.157571399951582,nan,1.1573721868029105,nan,1.0181633509135268,nan,1.01667497663705,nan
D e S,3,-12.535316602729313,nan,-12.551630429284799,nan,-12.556351982306074,nan,1.1578931088693531,nan,1.1576930904676304,nan,1.0181633509135268,nan,1.01667497663705,nan
D i C,3,-12.187714724013407,nan,-13.94492040510002,nan,-13.967799204755444,nan,1.1599917859740732,nan,1.1597865753211303,nan,1.001726157367308,nan,1.00168988029465,nan
D i D,3,-10.051965470373935,nan,-15.774629464548113,nan,-15.746451319023539,nan,1.183540878754925,nan,1.1832767235786235,nan,1.0054579808134538,nan,1.0050890480846049,nan
D i S,3,-12.123776623188078,nan,-14.356259813078752,nan,-14.371227450281372,nan,1.160442178458953,nan,1.160235840451738,nan,1.0017904991508622,nan,1.0017484866358561,nan
D i T,3,-12.010005629021656,nan,-13.268298272688456,nan,-13.292696465994018,nan,1.1595413934891936,nan,1.1593373101905224,nan,1.0015331320166452,nan,1.0015140612710316,nan
d u r,3,-9.75662974898437,nan,-10.58499165242559,nan,-10.595717336936914,nan,1.2822509669577324,nan,1.281740349697541,nan,1.0265397064249904,nan,1.0242985234126714,nan
D W C,3,-13.674769099934027,nan,-16.650023901423946,nan,-16.52359130906673,nan,1.1060789641540374,nan,1.1060074131572502,nan,1,1,1.0001167019666055,1.0
D W D,3,-11.539019846294554,nan,-19.272234896320487,nan,-19.100751119552598,nan,1.1296280569348893,nan,1.1294975614147433,nan,1.0012224938875305,nan,1.0012302224495218,nan
D W T,3,-13.497060004942277,nan,-14.569121311522707,nan,-14.483029420695276,nan,1.1056285716691578,nan,1.1055581480266423,nan,1.0000643417835542,nan,1.0001753083078118,nan
f U n,3,-11.448639902823384,nan,-inf,nan,-18.354546371657598,nan,1.1182480675703184,nan,1.1181442885734487,nan,1.00025490695896,nan,1.000349084468203,nan
f u r,3,-10.794919740716661,nan,-13.870936469933564,nan,-13.86338465626462,nan,1.2517107875341782,nan,1.2512757647775106,nan,1.0164708815460712,nan,1.015119414599565,nan
f U s,3,-11.782720518057587,nan,-inf,nan,-18.577719464333153,nan,1.1032564320021805,nan,1.1031901777975037,nan,1.00025490695896,nan,1.000349084468203,nan
f W r,3,-12.151057497461357,nan,-18.50376013007873,nan,-18.094737064173053,nan,1.1241935813144486,nan,1.1240746968225173,nan,1.0002555220027742,nan,1.00034959518401,nan
f ^ r,3,-10.262266604758489,nan,-13.322191103689235,nan,-13.330256013325148,nan,1.1947390822066228,nan,1.1944453026327009,nan,1.0015993189316423,nan,1.001574199759658,nan
g U n,3,-10.878915725567202,nan,-inf,nan,-16.805232535494937,nan,1.1368903020934462,nan,1.1367403789517172,nan,1.0023578893703797,nan,1.0022662401063835,nan
g U S,3,-13.57768879259186,nan,-13.286349869505122,nan,-13.310128198990574,nan,1.0628972510060701,nan,1.0629325360661515,nan,1.0030656489894765,nan,1.002910909859651,nan
g U T,3,-13.463917798425438,nan,-inf,nan,-16.681991525470135,nan,1.0619964660363108,nan,1.0620340058049358,nan,1.0023578893703797,nan,1.0022662401063835,nan
g W C,3,-14.044292186350606,nan,-18.60311388741122,nan,-18.205758636744616,nan,1.0530790277794113,nan,1.0531386647439474,nan,1,1,1.0001167019666055,1.0
g W D,3,-11.908542932711136,nan,-21.225324882307763,nan,-20.78291844723048,nan,1.0766281205602632,nan,1.0766288130014405,nan,1.0012224938875305,nan,1.0012302224495218,nan
g W T,3,-13.866583091358855,nan,-16.52221129750998,nan,-16.16519674837316,nan,1.0526286352945318,nan,1.0526893996133395,nan,1.0000643417835542,nan,1.0001753083078118,nan
g ^ r,3,-9.692542427502305,nan,-11.70146240621203,nan,-11.710840932334603,nan,1.2133813167297507,nan,1.2130413930109694,nan,1.003192487425142,nan,1.0030265903946431,nan
h U n,3,-11.084410114442605,nan,-inf,nan,-19.674059833256557,nan,1.1678122337597947,nan,1.167585771183248,nan,1,1,1.0001167019666055,1.0
h u r,3,-10.43068995233588,nan,-11.458811998802297,nan,-11.466776835786417,nan,1.3012749537236545,nan,1.3007172473873099,nan,1.020549392889431,nan,1.018837534625127,nan
h U s,3,-11.418490729676808,nan,-inf,nan,-19.897232925932116,nan,1.1528205981916568,nan,1.152631660407303,nan,1,1,1.0001167019666055,1.0
h W r,3,-11.786827709080576,nan,-14.983453919263201,nan,-14.606327174669218,nan,1.1737577475039247,nan,1.1735161794323166,nan,1.0051624809627537,nan,1.0048229583397643,nan
J O b,3,-15.963159209665092,nan,-17.840079766542335,nan,-17.72362439534372,nan,1.0264184252847488,nan,1.0265437392752512,nan,1.00006372673974,nan,1.0001747975920048,nan
J ^ r,3,-11.639890391327246,nan,-11.783666074683488,nan,-11.832653396365446,nan,1.1926394448712536,nan,1.1923508624194488,nan,1.0060601907134419,nan,1.0056408935376164,nan
k E G,3,-11.67310342487341,nan,-16.91178569600875,nan,-16.803372423921164,nan,1.1069205751994873,nan,1.1068467477095814,nan,1.0000643417835542,nan,1.0001753083078118,nan
k E S,3,-12.796188570060247,nan,-17.924231559152794,nan,-17.816094540699396,nan,1.106856233415933,nan,1.1067825669766373,nan,1,1,1.0001167019666055,1.0
k i b,3,-10.385762457623276,nan,-14.745551950970881,nan,-14.739683040138628,nan,1.1289729629586656,nan,1.1288441380412588,nan,1.0007052994438397,nan,1.0007593288566459,nan
k i C,3,-12.16402590168056,nan,-13.70425713171276,nan,-13.73257931511196,nan,1.1148177705767326,nan,1.1147243767935853,nan,1.000833983010948,nan,1.0008765415390581,nan
k i D,3,-10.028276648041087,nan,-15.53396619116085,nan,-15.511231429380056,nan,1.1383668633575845,nan,1.1382145250510785,nan,1.004565806457094,nan,1.004275709329013,nan
k i r,3,-9.701067035535127,nan,-11.044978836359427,nan,-11.054186810198406,nan,1.2045745586348977,nan,1.2042564992504237,nan,1.0245117593589084,nan,1.0224436751029098,nan
k u f,3,-11.098440530889775,nan,-15.002362984239523,nan,-14.991171295105037,nan,1.1926687126910067,nan,1.1923822109590005,nan,1.0022519624243984,nan,1.0021679239088197,nan
k U m,3,-11.171226880432148,nan,-17.06151267211017,nan,-16.787733562482146,nan,1.1131244073456001,nan,1.1130341889619857,nan,1.0011470813153198,nan,1.0011624232237948,nan
k U n,3,-10.485703816817773,nan,-inf,nan,-17.815482171171553,nan,1.144716223070732,nan,1.144546928837475,nan,1.0011470813153198,nan,1.0011624232237948,nan
k U p,3,-11.6038277998855,nan,-16.414714987332413,nan,-16.20855186092957,nan,1.0783798442263104,nan,1.0783765931722418,nan,1.0013401066659826,nan,1.0013382422474133,nan
k u r,3,-9.831983654711049,nan,-13.565424109716108,nan,-13.551770536864485,nan,1.2781789430345918,nan,1.2776784050415368,nan,1.0164071548063311,nan,1.0150613189741657,nan
l U n,3,-10.384104347582472,nan,-inf,nan,-16.37893034877535,nan,1.1584593038113313,nan,1.1582559920514888,nan,1.0099413713994392,nan,1.0091796195289129,nan
l R l,3,-11.068099527018795,nan,-13.660525188957259,nan,-13.656333335861959,nan,1.1062388529517413,nan,1.1061658712704157,nan,1.000963896665685,nan,1.000994775653084,nan
m W l,3,-11.472292704130265,nan,-13.548722741541752,nan,-13.549417337239651,nan,1.0936514696314403,nan,1.0936096190192242,nan,1.000963281621871,nan,1.0009942649372774,nan
m W r,3,-11.270371383192451,nan,-16.431978058647704,nan,-16.048348429256684,nan,1.145253580041941,nan,1.1450825668402882,nan,1.0002555220027742,nan,1.00034959518401,nan
m W t,3,-10.625567079591367,nan,-10.741172080589461,nan,-10.759761811802782,nan,1.19698437401955,nan,1.1966838761272403,nan,1.0003842055698828,nan,1.0004668078664223,nan
n c n,3,-10.058417250299549,nan,-15.5489528843781,nan,-15.519740226134429,nan,1.1239380622053843,nan,1.123820288807712,nan,1.0001924103068485,nan,1.000292010274417,nan
n W C,3,-13.04780718572351,nan,-13.971812403088828,nan,-13.972938684746218,nan,1.0629409607182672,nan,1.0629761869577072,nan,1.0119806270711191,nan,1.0110386795416941,nan
n W D,3,-10.91205793208404,nan,-16.59402339798537,nan,-16.550098495232085,nan,1.086490053499119,nan,1.0864663352152004,nan,1.0132031209586496,nan,1.0121522000246104,nan
n ^ r,3,-8.696057426875209,nan,-11.67090958261985,nan,-11.676499499849262,nan,1.2232432496686068,nan,1.2228789152247292,nan,1.0017904991508622,nan,1.0017484866358561,nan
p c k,3,-11.779814325244946,nan,-14.834104936418122,nan,-14.794559771816454,nan,1.0788506382317087,nan,1.0788452043417778,nan,1.0007714863588368,nan,1.0008194673452722,nan
p c p,3,-12.294665216435003,nan,-inf,nan,-19.67064628731167,nan,1.039023074211634,nan,1.0391173306494603,nan,1.00006372673974,nan,1.0001747975920048,nan
p c s,3,-11.510621848601481,nan,-15.798651612835638,nan,-15.748177051403577,nan,1.0903678174879177,nan,1.0903335555387486,nan,1.0001280685232943,nan,1.000233403933211,nan
p O l,3,-13.654676127130447,nan,-15.950895239219612,nan,-15.882361223811117,nan,1.0624431061985047,nan,1.062478582975614,nan,1.0001286835671084,nan,1.0002339146490178,nan
p O m,3,-13.838525568102455,nan,-inf,nan,-18.773331576540382,nan,1.0671400563979643,nan,1.067163776480524,nan,1,1,1.0001167019666055,1.0
p O n,3,-13.153002504488079,nan,-16.02207041736546,nan,-15.9298791743219,nan,1.098731872123096,nan,1.0986765163560133,nan,1,1,1.0001167019666055,1.0
p O r,3,-13.452754806192633,nan,-inf,nan,-18.40234572502598,nan,1.1140452166090054,nan,1.113951530796678,nan,1,1,1.0001167019666055,1.0
p O s,3,-13.487083119722282,nan,-16.850712438091815,nan,-16.692048767730146,nan,1.0837402365549582,nan,1.0837224055800683,nan,1.0000643417835542,nan,1.0001753083078118,nan
p O t,3,-12.807950502591549,nan,-18.348902856035537,nan,-17.64993642207322,nan,1.1657760105866144,nan,1.1655528400836301,nan,1,1,1.0001167019666055,1.0
p u k,3,-10.650355336074224,nan,-12.755700900556045,nan,-12.763307487602878,nan,1.2198141865365772,nan,1.2194592784629399,nan,1.0142121536397162,nan,1.0130625747834772,nan
p U m,3,-11.686077771622209,nan,-15.518208591797908,nan,-15.253633721168828,nan,1.0965818101578417,nan,1.0965325387969693,nan,1.0092403772622993,nan,1.0085405676495196,nan
p U n,3,-11.000554708007833,nan,-inf,nan,-16.28138232985824,nan,1.1281736258829735,nan,1.1280452786724586,nan,1.0092403772622993,nan,1.0085405676495196,nan
p U p,3,-12.118678691075562,nan,-14.87141090702015,nan,-14.674452019616254,nan,1.061837247038552,nan,1.0618749430072254,nan,1.009433402612962,nan,1.0087163866731381,nan
p U s,3,-11.334635323242036,nan,-inf,nan,-16.504555422533794,nan,1.1131819903148357,nan,1.1130911678965136,nan,1.0092403772622993,nan,1.0085405676495196,nan
p u v,3,-11.959755354705823,nan,-15.301020666648544,nan,-15.301951833674808,nan,1.1754826976677057,nan,1.1752387534645445,nan,1.0023089236821816,nan,1.0022204016603453,nan
r U n,3,-10.18218302664466,nan,-inf,nan,-21.017324103854627,nan,1.1169119347205378,nan,1.1168114629831973,nan,1,1,1.0001167019666055,1.0
r W r,3,-10.884600621282631,nan,-18.342477102609056,nan,-17.949732254344564,nan,1.1228574484646678,nan,1.1227418712322659,nan,1.000319248742514,nan,1.0004076908094093,nan
S c g,3,-13.753675317951304,nan,-16.569863446844966,nan,-16.494433229654796,nan,1.0496019040642925,nan,1.0496692973359611,nan,1.0009651267533135,nan,1.0009957970846974,nan
s c p,3,-11.510621848601481,nan,-inf,nan,-17.21238419393918,nan,1.0708357611111694,nan,1.070851273274492,nan,1.0003186336987,nan,1.0004071800936025,nan
