word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.192777629061297,nan,-11.495994115959991,nan,-11.511383685774783,nan,1.108932764509332,nan,1.1088544697135323,nan,1.0023510729022715,nan,1.0022602776712197,nan
b i l,3,-10.273748859365034,nan,-11.34589603986813,nan,-11.357919851913449,nan,1.1434885715813472,nan,1.1433239278776695,nan,1.0073185270573657,nan,1.0067838719638842,nan
b i s,3,-10.11110692823895,nan,-11.388369997895305,nan,-11.399621165975747,nan,1.1637823481565308,nan,1.1635668428574266,nan,1.0027443742420068,nan,1.002617938736166,nan
b R s,3,-11.37557236251001,nan,-12.3508117147424,nan,-12.364287268117101,nan,1.1058003251156396,nan,1.1057276056281533,nan,1.0018581861169276,nan,1.001809577976307,nan
b Y s,3,-10.932027895614086,nan,-11.73045394839909,nan,-11.744019460729659,nan,1.1139026165449344,nan,1.1138099444549514,nan,1.0031953470547887,nan,1.0030286645473494,nan
b ^ l,3,-9.876841126570724,nan,-10.305226525735087,nan,-10.318207167567333,nan,1.1623517188151744,nan,1.1621406229588085,nan,1.0109077137515952,nan,1.0100645356145097,nan
C @ l,3,-12.34157535705694,nan,-15.918545929135966,nan,-15.911342274743053,nan,1.1130897787672331,nan,1.1129998768281724,nan,1.0007697196432364,nan,1.0008177113759362,nan
C i D,3,-12.174545448856389,nan,-16.683483506458273,nan,-16.685698839997634,nan,1.103643524249247,nan,1.1035775542584236,nan,1.0049471945116137,nan,1.0046231783538848,nan
C i n,3,-11.543106650031845,nan,-13.379531065473202,nan,-13.403161653822487,nan,1.155569822406701,nan,1.1553737113177387,nan,1.0023057823224628,nan,1.0022174986026673,nan
C R J,3,-15.74322669325701,nan,-17.062090417340645,nan,-17.02072519128197,nan,1.02240418900632,nan,1.0225392938301272,nan,1.0001277238393316,nan,1.0002328303403178,nan
C R g,3,-13.802203412526953,nan,-17.30214632867218,nan,-17.273615209774306,nan,1.054423258713832,nan,1.0544781152426328,nan,1.000256573214412,nan,1.0003501805720847,nan
C R T,3,-15.396841900515117,nan,-16.558485558029624,nan,-16.51124320224953,nan,1.0224686136938603,nan,1.0226035570522851,nan,1.0001277238393316,nan,1.0002328303403178,nan
C ^ J,3,-14.081853526191644,nan,-17.52954111593358,nan,-17.531768621616397,nan,1.0992493592810384,nan,1.0991952261405395,nan,1.0004442195982886,nan,1.0005215306116961,nan
C ^ n,3,-11.146198917237536,nan,-12.306827135776851,nan,-12.326171018073596,nan,1.1744329696405282,nan,1.1741904063988777,nan,1.0135224311689623,nan,1.0124325791360171,nan
C ^ S,3,-13.83698913267622,nan,-15.913792940905584,nan,-15.95109759292138,nan,1.100086880219062,nan,1.1000306480285929,nan,1.0005086442858289,nan,1.0005802057275797,nan
C ^ C,3,-13.891895523863088,nan,-15.22572207376048,nan,-15.271421490439774,nan,1.099893606156441,nan,1.0998378583621191,nan,1.0010884664736912,nan,1.0011082817705297,nan
d i k,3,-9.918656975335372,nan,-12.078478482887014,nan,-12.087184901372096,nan,1.1640803321778572,nan,1.163864613066173,nan,1.0033433305376005,nan,1.0031619108264471,nan
d i s,3,-9.656721803343892,nan,-12.161180888039778,nan,-12.168673545974444,nan,1.174774830309541,nan,1.1745323079443941,nan,1.0016682886615536,nan,1.00163635781348,nan
d i t,3,-8.979492432045994,nan,-10.895599194790783,nan,-10.903839667008118,nan,1.2550479909847119,nan,1.2546042827532111,nan,1.0019904120992549,nan,1.0019297333928967,nan
d E p,3,-11.127161266597293,nan,-16.298919415533383,nan,-16.243383820036236,nan,1.1175831780460619,nan,1.1174836337333784,nan,1.0003209979019523,nan,1.000408855687968,nan
d R s,3,-10.92118723761495,nan,-12.385231948691551,nan,-12.396858020827032,nan,1.11679280726865,nan,1.1166930707151208,nan,1.0016682886615536,nan,1.00163635781348,nan
D i D,3,-10.060287641055382,nan,-15.462295310159906,nan,-15.442315404903173,nan,1.1782534174831847,nan,1.178004073038358,nan,1.0053269894223618,nan,1.0049696186795387,nan
D i g,3,-10.423480170454889,nan,-13.833606794207519,nan,-13.832624172312626,nan,1.1870151749886608,nan,1.1867438712518406,nan,1.0046183178594188,nan,1.0043241924048218,nan
D i C,3,-12.174545448856389,nan,-13.852210027219881,nan,-13.877035443176144,nan,1.1556403521565515,nan,1.1554476820609145,nan,1.0017192069201069,nan,1.0016838121900709,nan
d I J,3,-12.047126088976157,nan,-14.526612585880642,nan,-14.525063145919061,nan,1.0884188340202858,nan,1.0883915428074076,nan,1.0074692999113812,nan,1.0069297415746858,nan
d I D,3,-9.742910278846594,nan,-14.067718417724965,nan,-14.055878609980834,nan,1.1116761462223217,nan,1.1115905660064307,nan,1.0084356702244852,nan,1.0078098683129362,nan
d Y p,3,-11.25777131581343,nan,-12.511178610517891,nan,-12.522329365585046,nan,1.075932336167343,nan,1.07593536070187,nan,1.0020503346437997,nan,1.0019846682623492,nan
d Y t,3,-9.800413399421128,nan,-11.436356069894117,nan,-11.445614030380547,nan,1.2051682593731154,nan,1.204847384350736,nan,1.0030811296444437,nan,1.002923470116483,nan
d I T,3,-11.700741296234263,nan,-14.02300772656962,nan,-14.015581156886622,nan,1.0884832587078261,nan,1.0884558060295655,nan,1.0074692999113812,nan,1.0069297415746858,nan
d I Z,3,-16.363131622552245,nan,-inf,nan,-18.8795069659778,nan,1.0846822021429505,nan,1.0846642759222458,nan,1.0074692999113812,nan,1.0069297415746858,nan
f i k,3,-10.950436134187138,nan,-13.068864614241484,nan,-13.0797507533984,nan,1.1348933968060713,nan,1.1347494126628455,nan,1.0035332279929745,nan,1.0033351309892742,nan
f i s,3,-10.688500962195658,nan,-13.151567019394252,nan,-13.161239398000749,nan,1.1455878949377551,nan,1.1454171075410666,nan,1.0018581861169276,nan,1.001809577976307,nan
f R s,3,-11.952966396466715,nan,-14.012200774237414,nan,-14.013075763220634,nan,1.087605871896864,nan,1.0875778703117933,nan,1.0017315878133448,nan,1.0016940978677555,nan
f R t,3,-11.275737025168816,nan,-13.454216151729423,nan,-13.455447285546512,nan,1.1678790325720347,nan,1.1676498451206103,nan,1.0012161903130228,nan,1.0012246969406888,nan
f Y k,3,-11.771357101562272,nan,-12.195688331057902,nan,-12.21062914985931,nan,1.0850136651944748,nan,1.0849925142603702,nan,1.0026912049119554,nan,1.0025686142363597,nan
f ^ l,3,-10.454235160527432,nan,-11.86023219154761,nan,-11.87260089958989,nan,1.1441572655963987,nan,1.1439908876424485,nan,1.002235729956178,nan,1.0021541481787455,nan
g e s,3,-10.536664217117425,nan,-13.640540484211614,nan,-13.631404540495662,nan,1.1611256432863528,nan,1.160916675796755,nan,1.0021260146888287,nan,1.0020526939943097,nan
g W d,3,-11.804677496982144,nan,-17.317096499400023,nan,-16.924103574356536,nan,1.113058807211875,nan,1.1129681072152915,nan,1.0010952196881846,nan,1.0011138921401759,nan
g W r,3,-11.57645961323782,nan,-20.513075349700028,nan,-19.733251057438864,nan,1.1398594772286255,nan,1.1397016076330024,nan,1.0000644246875403,nan,1.0001750902860422,nan
g W z,3,-12.335771964043968,nan,-19.828239091795364,nan,-19.05312909019362,nan,1.0675105531209075,nan,1.0675340091496144,nan,1,1,1.000116415170159,1.0
g i C,3,-12.537737978255898,nan,-13.594018495228777,nan,-13.626325862449857,nan,1.1045948028483197,nan,1.1045275913122379,nan,1.0006431213396536,nan,1.0007022312673848,nan
g i J,3,-12.727695980584453,nan,-14.819027876029946,nan,-14.834192227746358,nan,1.103950555972917,nan,1.1038849590906583,nan,1.0003854225894926,nan,1.0004675308038513,nan
g i D,3,-10.423480170454889,nan,-15.2041037781688,nan,-15.191605824176886,nan,1.1272078681749529,nan,1.1270839822896814,nan,1.0042509038419085,nan,1.0039880377568526,nan
g R g,3,-12.051138134125456,nan,-15.327445163152683,nan,-15.301728357765539,nan,1.0779876026395379,nan,1.0779845432738906,nan,1.0003198723662035,nan,1.0004079206263605,nan
g u v,3,-11.83539841994802,nan,-18.63550655764136,nan,-18.35874718753043,nan,1.1784713970534844,nan,1.178222083467164,nan,1.001481767813426,nan,1.0014659428354762,nan
h e s,3,-10.741865334588496,nan,-11.32757180533955,nan,-11.339854109079784,nan,1.1915129071690997,nan,1.191229254571648,nan,1.0062404595552674,nan,1.005805797522227,nan
