word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.077368729683986,nan,-15.21251927334972,nan,-15.22871561516273,nan,1.1482824048091929,nan,1.1480943572330422,nan,1.0018169770034426,nan,1.001767440934071,nan
g i T,3,-12.38382680257711,nan,-12.90735693674166,nan,-12.947082579323013,nan,1.1025261994497604,nan,1.102459695875025,nan,1.0006278331869904,nan,1.0006926479897706,nan
z i T,3,-12.425262041071372,nan,-15.402322059655855,nan,-15.42526368005258,nan,1.081624783327756,nan,1.0816136308244377,nan,1.0008325414776762,nan,1.0008781079304234,nan
y c g,3,-11.728895452156237,nan,-16.066644786796314,nan,-15.6843067332106,nan,1.1751390522829956,nan,1.17487848456077,nan,1.0009093452714046,nan,1.0009469435814062,nan
l R z,3,-11.612253436206327,nan,-12.699996045555332,nan,-12.70061542919306,nan,1.0824790149983732,nan,1.0824647520192185,nan,1.0007643053807809,nan,1.0008162879502058,nan
J Y p,3,-13.652637228483878,nan,-inf,nan,-16.687127681795168,nan,1.04711411537236,nan,1.047193772998897,nan,1.0011891438164522,nan,1.0011998360388887,nan
C ^ z,3,-12.164623766942615,nan,-13.31308878567873,nan,-13.34330957222349,nan,1.1164897058777046,nan,1.1163849164890913,nan,1.0041884104788803,nan,1.00391141428606,nan
C e J,3,-14.847770850764551,nan,-14.424428765469317,nan,-14.493603281420615,nan,1.0778271362407057,nan,1.0778259997403052,nan,1.0007574512233144,nan,1.000810675413594,nan
z i S,3,-12.482712425716315,nan,-16.396343511184263,nan,-16.40751189812956,nan,1.0829538264167318,nan,1.082939058100336,nan,1.0012522392952476,nan,1.001257446616647,nan
z u v,3,-11.887181813303801,nan,-18.913588447735485,nan,-18.741608815934462,nan,1.1507708364499583,nan,1.1505757279226463,nan,1.0016770777309187,nan,1.00164099470533,nan
D Y p,3,-11.339351217659893,nan,-15.398288914905297,nan,-15.132990673284459,nan,1.1154692351980682,nan,1.11536787498844,nan,1.0012573799133475,nan,1.0012616560191063,nan
s R k,3,-10.969812150190075,nan,-13.273390516668753,nan,-13.276158071950755,nan,1.1173968371294019,nan,1.1172879115010934,nan,1.0009007775745713,nan,1.000939927910641,nan
b R s,3,-11.341927144971521,nan,-12.278951112530795,nan,-12.294594550632675,nan,1.105378148537258,nan,1.105300225086312,nan,1.0014518069678333,nan,1.001438697154841,nan
T ^ z,3,-12.03215526192923,nan,-13.932510478251624,nan,-13.941539065840303,nan,1.117102450975744,nan,1.1169960389172844,nan,1.0039837021881945,nan,1.0037259543454071,nan
S c G,3,-14.292890671907735,nan,-14.94613655050547,nan,-14.854332463495878,nan,1.0224557979516047,nan,1.0226015259510455,nan,1.0005578835507285,nan,1.0006294248754002,nan
J e J,3,-15.06702678453004,nan,-15.438270620501333,nan,-15.483182509398112,nan,1.0806185305762177,nan,1.080610001913185,nan,1.0007574512233144,nan,1.000810675413594,nan
D ^ z,3,-10.07059368988412,nan,-8.783712282500982,nan,-8.801475692557135,nan,1.1876362200389248,nan,1.187343020651514,nan,1.0168803245013984,nan,1.0154099306065347,nan
S Y p,3,-13.358363174349943,nan,-14.531048615163453,nan,-14.507141144534858,nan,1.04643328748565,nan,1.0465147480786823,nan,1.0011891438164522,nan,1.0011998360388887,nan
n W C,3,-13.027644926812123,nan,-13.822264476394498,nan,-13.827144411197464,nan,1.0619293213543919,nan,1.0619705565226811,nan,1.0098942340498123,nan,1.0090889402261412,nan
l W C,3,-13.520694514592243,nan,-14.583011021784767,nan,-14.579351743702915,nan,1.0723459880210586,nan,1.0723596378019642,nan,1.0002047082906858,nan,1.000310503035241,nan
S c d,3,-13.238887986549482,nan,-19.806051706848415,nan,-19.024375566711253,nan,1.0777859602347608,nan,1.0777811562265949,nan,1.0000682360968953,nan,1.0001868630748059,nan
g i J,3,-12.735551241355985,nan,-14.55811299850649,nan,-14.581002826538272,nan,1.1032256958123794,nan,1.1031572891781294,nan,1.0004879339144668,nan,1.0005662017610295,nan
C u T,3,-14.251874795519049,nan,-14.727980735157225,nan,-14.779375827514837,nan,1.1414060431534194,nan,1.1412362055388752,nan,1.001953449197233,nan,1.0018910808945063,nan
D i g,3,-10.422265230532,nan,-13.553585251796452,nan,-13.554660440893123,nan,1.1793606172310493,nan,1.1790885083826501,nan,1.004314601436471,nan,1.0040266354415772,nan
w u T,3,-12.31490779550018,nan,-16.15269455941892,nan,-15.908396120317494,nan,1.2330454767046177,nan,1.2326329597997565,nan,1.0018852131003377,nan,1.0018292609142887,nan
T c T,3,-15.24319895215315,nan,-16.501523254668992,nan,-16.452604537748922,nan,1.0185796889679377,nan,1.0187358538960187,nan,1.0001364721937904,nan,1.0002486830550235,nan
g u T,3,-12.532046545299625,nan,-17.58278891821563,nan,-17.22091692798902,nan,1.165166936399607,nan,1.1649341752543636,nan,1.0017487409065473,nan,1.0017056209538535,nan
f R s,3,-11.932869535274413,nan,-14.001215362949715,nan,-13.99929773577925,nan,1.0878127890601337,nan,1.087781382144776,nan,1.0009741542895665,nan,1.0010059572933176,nan
J Y m,3,-13.238831788459494,nan,-inf,nan,-16.12394955302851,nan,1.076073264784783,nan,1.0760741357474144,nan,1.0014689423614997,nan,1.001452728496371,nan
n R z,3,-11.11920384842621,nan,-14.266527205749481,nan,-14.234379978794475,nan,1.0720623483317064,nan,1.0720756707399355,nan,1.0006278331869904,nan,1.0006926479897706,nan
m R n,3,-10.759730074999572,nan,-14.062445516632891,nan,-14.027531045772415,nan,1.1236078771631484,nan,1.123480614036618,nan,1.0014689423614997,nan,1.001452728496371,nan
C u S,3,-14.309325180163992,nan,-15.593158203669823,nan,-15.633917852626102,nan,1.1427350862423953,nan,1.1425616328147734,nan,1.001253952834614,nan,1.0012588497508002,nan
S e J,3,-14.772752730396107,nan,-14.375010465690638,nan,-14.443136456298756,nan,1.0799377026895076,nan,1.0799309769929704,nan,1.0013715760953716,nan,1.0013670552355523,nan
T ^ S,3,-13.635530153285947,nan,-16.324531900750376,nan,-16.34990050879388,nan,1.102133228815699,nan,1.1020675422308526,nan,1.000346321102576,nan,1.0004383523981353,nan
v e D,3,-11.71571636443709,nan,-18.71737339227972,nan,-18.674754795347525,nan,1.0975921374659674,nan,1.0975371244919145,nan,1.0009093452714046,nan,1.0009469435814062,nan
C ^ Z,3,-18.2054074388248,nan,-inf,nan,-21.46679138593831,nan,1.09634421063428,nan,1.0962942293596878,nan,1.0003411804844762,nan,1.0004341429956762,nan
n c T,3,-12.663753154371173,nan,-16.679815689733044,nan,-16.611056033248534,nan,1.050782848009332,nan,1.0508537326221679,nan,1,1,1.0001250430945883,1.0
