word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
f u T,3,-13.080860798939927,nan,-15.162980008388363,nan,-15.17750508638118,nan,1.1595032655832835,nan,1.1592897209873356,nan,1.0014100718338894,nan,1.0014008409794142,nan
g i T,3,-12.369737858666483,nan,-12.926763279296363,nan,-12.9617208590559,nan,1.1072623628683607,nan,1.107184225748814,nan,1.0003358635050716,nan,1.0004261640294438,nan
z i T,3,-12.420545368176086,nan,-16.72391877204798,nan,-16.71629654749884,nan,1.080102197777161,nan,1.0800943910764815,nan,1.000402481318675,nan,1.0004866527785365,nan
y c g,3,-11.717898170049782,nan,-16.52701747827585,nan,-16.139384810591167,nan,1.1866455494946309,nan,1.1863612447984615,nan,1.0011408261424215,nan,1.0011566003282142,nan
l R z,3,-11.595620407564287,nan,-12.614902145498807,nan,-12.616343222929371,nan,1.0826649242408155,nan,1.0826502207350026,nan,1.0001332356272068,nan,1.0002424121273366,nan
J Y p,3,-13.6563088148594,nan,-16.79447949006822,nan,-16.16685646463729,nan,1.044744638179293,nan,1.0448282390125474,nan,1.0014777994223147,nan,1.0014622439904384,nan
C ^ z,3,-12.188039090204276,nan,-13.501854808847307,nan,-13.52396496424003,nan,1.1148743532983032,nan,1.1147760982020742,nan,1.003424697976908,nan,1.0032287602502035,nan
C e J,3,-14.868825582439907,nan,-14.74553242490869,nan,-14.799951043530431,nan,1.0797079787880621,nan,1.079701179322089,nan,1.00073446061187,nan,1.0007881822620681,nan
z i S,3,-12.509058021532356,nan,-17.850058868317824,nan,-17.830729599464192,nan,1.08117696099339,nan,1.0811663460543726,nan,1.0006039994217177,nan,1.000669490418712,nan
z u v,3,-11.89195267713841,nan,-20.335644367348323,nan,-20.179672015240765,nan,1.1546236397163578,nan,1.1544226096235284,nan,1.0018797258535788,nan,1.0018270050088578,nan
D Y p,3,-11.371742227368033,nan,-15.333471279769107,nan,-15.130239036421493,nan,1.113643586388586,nan,1.1135487754975086,nan,1.001544417235918,nan,1.001522732739531,nan
s R k,3,-10.977763868822997,nan,-13.568358426081044,nan,-13.568369438281426,nan,1.1229783690022512,nan,1.1228584790036258,nan,1.0009370884897346,nan,1.0009719341641752,nan
b R s,3,-11.359474890923055,nan,-12.24832659044706,nan,-12.262546208274351,nan,1.1087511444225553,nan,1.1086678735616071,nan,1.001675988200892,nan,1.0016423388448188,nan
T ^ z,3,-12.034987915710435,nan,-13.950198642323748,nan,-13.953236814688912,nan,1.1164054410362874,nan,1.1163032212350732,nan,1.0033580801633044,nan,1.0031682715011108,nan
S c G,3,-14.30050922985243,nan,-14.948979853813588,nan,-14.871107505723646,nan,1.0207622200249276,nan,1.0209081416410244,nan,1.0006039994217177,nan,1.000669490418712,nan
J e J,3,-15.060420776019193,nan,-15.651574385839309,nan,-15.68363166344091,nan,1.083568982649066,nan,1.083552185231391,nan,1.0006012249846632,nan,1.0006672047638827,nan
D ^ z,3,-10.095067696292192,nan,-8.727767926109358,nan,-8.744051318865672,nan,1.1876343053686,nan,1.1873476405963375,nan,1.014816344103082,nan,1.0135723363450497,nan
S Y p,3,-13.400175100142546,nan,-14.71344777819425,nan,-14.689217585442965,nan,1.043280119473395,nan,1.043367512633157,nan,1.0014777994223147,nan,1.0014622439904384,nan
n W C,3,-13.027566424952026,nan,-13.954232105966295,nan,-13.95430073876529,nan,1.0614956200149133,nan,1.0615360817573203,nan,1.0110591119455683,nan,1.0101630241095,nan
l W C,3,-13.523481767960075,nan,-14.848130892545225,nan,-14.839434362224022,nan,1.0730120625658386,nan,1.0730227028316182,nan,1.0001337905146177,nan,1.0002428692583025,nan
S c d,3,-13.253399945124908,nan,-18.842815706420403,nan,-18.480136405306933,nan,1.079807024216504,nan,1.0797986682389074,nan,1.0000666178136033,nan,1.0001819233782439,nan
g i J,3,-12.714384226739607,nan,-14.646920590218963,nan,-14.66625736112167,nan,1.1080684352805323,nan,1.1079881919822323,nan,1.0004702089071003,nan,1.0005480557895607,nan
C u T,3,-14.264238354235747,nan,-14.76030253066035,nan,-14.805225457574283,nan,1.1510489985083268,nan,1.150857345979036,nan,1.001676543088303,nan,1.0016427959757848,nan
D i g,3,-10.429817639248238,nan,-13.893948555269272,nan,-13.892867374033626,nan,1.1856951125891817,nan,1.1854131447023077,nan,1.004557200808165,nan,1.0042570689847787,nan
w u T,3,-12.31284873941581,nan,-16.261891223552073,nan,-16.012075594877075,nan,1.2521007892152898,nan,1.251647466156979,nan,1.001476689647493,nan,1.0014613297285069,nan
T c T,3,-15.22768951444451,nan,-16.48972988945134,nan,-16.441234919667103,nan,1.0175457780723052,nan,1.0177000836299754,nan,1.0001332356272068,nan,1.0002424121273366,nan
g u T,3,-12.524897418627283,nan,-17.334354211150547,nan,-17.084581736791186,nan,1.1766115068294558,nan,1.1763536609647607,nan,1.0013434540202861,nan,1.0013403522303215,nan
f R s,3,-11.938366376344584,nan,-13.750789442635153,nan,-13.753631128110726,nan,1.0895126941496223,nan,1.089479240668705,nan,1.001809223828099,nan,1.0017633163430042,nan
J Y m,3,-13.238696124144138,nan,-16.257739484437266,nan,-15.630602530253407,nan,1.077927952480361,nan,1.0779248489549298,nan,1.001276281319272,nan,1.0012794063502628,nan
n R z,3,-11.099705064556238,nan,-14.141684427644833,nan,-14.117176301403735,nan,1.0711484816898902,nan,1.0711635996607047,nan,1.0000666178136033,nan,1.0001819233782439,nan
