word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
b @ p,3,-11.186737571420402,nan,-11.319990053126691,nan,-11.336664307620824,nan,1.11172666167686,nan,1.1116366038414367,nan,1.002808319103528,nan,1.002670702546513,nan
b i l,3,-10.271433180502324,nan,-11.167366681235924,nan,-11.180528405838844,nan,1.1491479129643867,nan,1.1489600605852313,nan,1.0075911306393088,nan,1.007009014490689,nan
b i s,3,-10.109528942141615,nan,-11.326758598244279,nan,-11.33872106761154,nan,1.1688666019744143,nan,1.1686271299905207,nan,1.0030820788861625,nan,1.0029186604003348,nan
b R s,3,-11.36113824184267,nan,-12.225636398027756,nan,-12.240006486880251,nan,1.110145128599264,nan,1.1100580784098217,nan,1.0016784896672792,nan,1.00164459403873,nan
b Y s,3,-10.925725221857064,nan,-11.645907479505183,nan,-11.660303747278295,nan,1.1182193311883473,nan,1.118111323002168,nan,1.0031505188318213,nan,1.0029806498637903,nan
b ^ l,3,-9.878630145497446,nan,-10.19531059430722,nan,-10.209291403366272,nan,1.1666308970828971,nan,1.1663976645785756,nan,1.0111517188122021,nan,1.010245126332241,nan
C @ l,3,-12.310403531540384,nan,-15.950765156985394,nan,-15.939360880703694,nan,1.1138705103472273,nan,1.1137741691451815,nan,1.001141806426739,nan,1.0011576026539375,nan
C i D,3,-12.160009118660087,nan,-17.339256269231207,nan,-17.322240781548466,nan,1.1050571563450304,nan,1.1049840535973934,nan,1.00483984482383,nan,1.0045125378044746,nan
C i n,3,-11.512973290059547,nan,-13.553221303285346,nan,-13.574709544292324,nan,1.1570794997059564,nan,1.1568702128133954,nan,1.0024170707475126,nan,1.0023147356066724,nan
C R J,3,-15.71277391854559,nan,-16.9327805922859,nan,-16.896700371362474,nan,1.0236558256443538,nan,1.0237945160454232,nan,1.0000672992798978,nan,1.0001826804819474,nan
C R g,3,-13.75940863499526,nan,-17.25314168845665,nan,-17.226142328820988,nan,1.0534021073591393,nan,1.0534629279127878,nan,1.0002691971195907,nan,1.0003658306650975,nan
C R T,3,-15.321160923245579,nan,-16.43145021970875,nan,-16.387040113070405,nan,1.0230501321252743,nan,1.0231904081114722,nan,1,1,1.0001216304208973,1.0
C ^ J,3,-14.06836158383966,nan,-17.55219245566697,nan,-17.55129680071697,nan,1.0998602831380144,nan,1.0998011716194664,nan,1.0002007571739322,nan,1.000303841201642,nan
C ^ n,3,-11.120170255054669,nan,-12.343153215692116,nan,-12.36247789577934,nan,1.174562483824467,nan,1.1743078168067398,nan,1.0123819268354168,nan,1.011353902251703,nan
C ^ S,3,-13.810893289984374,nan,-15.828162056811832,nan,-15.867612399607493,nan,1.1003313780972983,nan,1.1002710333458725,nan,1.0003353557337276,nan,1.0004259413237422,nan
C ^ C,3,-13.83825818159039,nan,-15.218826885625138,nan,-15.265090905400232,nan,1.0999948816978098,nan,1.099935417827011,nan,1.0009410492528068,nan,1.0009753918731927,nan
d i k,3,-9.928382734686753,nan,-12.06665193970603,nan,-12.075900903059484,nan,1.1671042834129004,nan,1.1668696313506373,nan,1.0033615419976023,nan,1.003171315266184,nan
